bits,levels,vin,cint_f,tau_s,gsum_siemens,sigma_v,adc_vmin,adc_vmax,trials,vint_mean,vint_std,vint_analytic,mean_code_0_1,std_code_0_1,mean_code_bipolar,ecap_j_mean,source,simulator
2,4,-0.12,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.0120798,0.0,-0.012,0.0,0.0,-1.0,7.296090000000001e-19,spice,ngspice-46 : Circuit level simulation program
2,4,-0.07999999999999999,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00805321,0.0,-0.007999999999999998,0.0,0.0,-1.0,3.24271e-19,spice,ngspice-46 : Circuit level simulation program
2,4,-0.039999999999999994,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.0040266,0.0,-0.003999999999999999,0.33333375,0.0,-0.33333250000000003,8.106769999999999e-20,spice,ngspice-46 : Circuit level simulation program
2,4,0.0,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0,0.0,0.0,0.5555554166666666,0.19244960860465088,0.11111083333333327,0.0,spice,ngspice-46 : Circuit level simulation program
2,4,0.04000000000000001,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0040266,0.0,0.004000000000000001,0.6666662499999999,0.0,0.3333324999999998,8.106769999999999e-20,spice,ngspice-46 : Circuit level simulation program
2,4,0.08000000000000002,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00805321,0.0,0.008000000000000002,1.0,0.0,1.0,3.24271e-19,spice,ngspice-46 : Circuit level simulation program
2,4,0.12,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0120798,0.0,0.012,1.0,0.0,1.0,7.296090000000001e-19,spice,ngspice-46 : Circuit level simulation program
2,4,-0.12,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.0036239400000000004,5.311484201212962e-19,-0.0036,0.2222225,0.19245033029248743,-0.555555,6.56648e-20,spice,ngspice-46 : Circuit level simulation program
2,4,-0.07999999999999999,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00241596,0.0,-0.0023999999999999994,0.4444445833333333,0.19244960860465088,-0.11111083333333338,2.91844e-20,spice,ngspice-46 : Circuit level simulation program
2,4,-0.039999999999999994,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00120798,0.0,-0.0011999999999999997,0.4444445833333333,0.19244960860465088,-0.11111083333333338,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
