cell,experiment,target,out,dplus,dminus,dnet,dp,dn,wp,wn,act,hdp_v,hdn_v,hnet
error,target_sweep_low_output,0.2,0.2,1.33441e-29,1.33441e-29,1.96182e-44,,,,,,,,
error,target_sweep_low_output,0.5,0.2,0.13333,5.83892e-237,0.13333,,,,,,,,
error,target_sweep_low_output,0.8,0.2,0.404143,1.37313e-285,0.404143,,,,,,,,
error,target_sweep_low_output,1.1,0.2,0.678382,9.88131e-310,0.678382,,,,,,,,
error,target_sweep_high_output,0.2,0.8,1.37313e-285,0.404143,-0.404143,,,,,,,,
error,target_sweep_high_output,0.5,0.8,0.0348871,0.16193,-0.127043,,,,,,,,
error,target_sweep_high_output,0.8,0.8,0.100616,0.100616,0.0,,,,,,,,
error,target_sweep_high_output,1.1,0.8,0.100009,0.0930016,0.00700727,,,,,,,,
error,output_sweep_high_target,1.0,0.2,0.586661,-1.89814e-304,0.586661,,,,,,,,
error,output_sweep_high_target,1.0,0.5,0.251772,0.0322086,0.219564,,,,,,,,
error,output_sweep_high_target,1.0,0.8,0.10099,0.0900549,0.0109352,,,,,,,,
error,output_sweep_high_target,1.0,1.1,0.0928895,0.0925912,0.000298323,,,,,,,,
error,output_sweep_low_target,0.2,0.2,1.33441e-29,1.33441e-29,1.96182e-44,,,,,,,,
error,output_sweep_low_target,0.2,0.5,5.83892e-237,0.13333,-0.13333,,,,,,,,
error,output_sweep_low_target,0.2,0.8,1.37313e-285,0.404143,-0.404143,,,,,,,,
error,output_sweep_low_target,0.2,1.1,9.88131e-310,0.678382,-0.678382,,,,,,,,
hidden_delta,pos_delta_pos_weight,,,,,,1.1,0.2,1.1,0.2,1.1,0.678235,-2.27565e-94,0.678235
hidden_delta,neg_delta_pos_weight,,,,,,0.2,1.1,1.1,0.2,1.1,-2.27566e-94,0.678235,-0.678235
hidden_delta,pos_delta_neg_weight,,,,,,1.1,0.2,0.2,1.1,1.1,-2.27566e-94,0.678235,-0.678235
hidden_delta,neg_delta_neg_weight,,,,,,0.2,1.1,0.2,1.1,1.1,0.678235,-2.27566e-94,0.678235
hidden_delta,inactive_pos_delta_pos_weight,,,,,,1.1,0.2,1.1,0.2,0.2,6.06055e-97,-6.22002e-112,6.06055e-97
hidden_delta,balanced_delta,,,,,,1.1,1.1,1.1,0.2,1.1,0.678235,0.678235,1.07692e-14
hidden_delta,balanced_weight,,,,,,1.1,0.2,1.1,1.1,1.1,0.678235,0.678235,-1.88738e-15
