cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_0500ps,other_out_0500ps,margin_0500ps,correct_0500ps,target_out_0750ps,other_out_0750ps,margin_0750ps,correct_0750ps,target_out_1000ps,other_out_1000ps,margin_1000ps,correct_1000ps,target_out_1250ps,other_out_1250ps,margin_1250ps,correct_1250ps,target_out_1500ps,other_out_1500ps,margin_1500ps,correct_1500ps,target_out_1750ps,other_out_1750ps,margin_1750ps,correct_1750ps,target_out_2000ps,other_out_2000ps,margin_2000ps,correct_2000ps,target_out_2500ps,other_out_2500ps,margin_2500ps,correct_2500ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3500ps,other_out_3500ps,margin_3500ps,correct_3500ps,target_out_4050ps,other_out_4050ps,margin_4050ps,correct_4050ps,target_out_4500ps,other_out_4500ps,margin_4500ps,correct_4500ps,target_out_5000ps,other_out_5000ps,margin_5000ps,correct_5000ps,target_out_5500ps,other_out_5500ps,margin_5500ps,correct_5500ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,2.02788e-100,2.02788e-100,0.0,4.27536e-98,3.44029e-98,0.00659575,0.00632697,0.15551,0.162822,False,2.0278800000000006e-100,2.02788e-100,2.02788e-100,0.0,False,0.130275,0.136482,-0.00620751,False,0.154125,0.161337,-0.007212,False,0.154939,0.162201,-0.00726223,False,0.155201,0.162483,-0.00728201,False,0.155327,0.162619,-0.0072928,False,0.155399,0.162699,-0.00729966,False,0.155477,0.162785,-0.00730796,False,0.155515,0.162827,-0.00731246,False,0.155514,0.162827,-0.00731266,False,0.15551,0.162822,-0.00731246,False,0.155506,0.162818,-0.00731229,False,0.155502,0.162814,-0.00731211,False,0.155498,0.16281,-0.00731193,False,2.02788e-100,2.02788e-100,2.02788e-100,2.02788e-100,2.02788e-100,2.02788e-100,2.02788e-100,2.02788e-100,0.336078,0.336067,1.21817,1.21808
1,initial_eval,1,0,False,False,1.11244e-24,1.1794e-24,-6.69641e-26,4.74896e-32,4.5553e-32,0.00841478,0.00817197,0.135725,0.14308,False,2.25042375e-25,1.11244e-24,1.1794e-24,-6.69641e-26,False,0.12733,0.133587,-0.00625647,False,0.135746,0.143102,-0.00735601,False,0.135744,0.1431,-0.00735592,False,0.135743,0.143098,-0.00735582,False,0.135741,0.143097,-0.00735573,False,0.135739,0.143095,-0.00735564,False,0.135736,0.143091,-0.00735546,False,0.135733,0.143088,-0.00735529,False,0.135729,0.143084,-0.00735509,False,0.135725,0.14308,-0.00735488,False,0.135722,0.143077,-0.00735472,False,0.135719,0.143073,-0.00735453,False,0.135715,0.14307,-0.00735435,False,1.6992e-25,5.04892e-25,-7.27489e-63,5.317e-25,-4.87361e-109,2.58851e-25,1.46581e-25,1.88395e-25,0.338447,0.338332,1.20768,1.20754
2,initial_eval,2,0,False,False,9.38475e-25,1.00153e-24,-6.30539e-26,6.06e-32,5.88497e-32,0.0146373,0.0145864,0.121581,0.127652,False,4.32249825e-25,9.38475e-25,1.00153e-24,-6.30539e-26,False,0.1216,0.127655,-0.00605494,False,0.1216,0.127672,-0.00607216,False,0.121598,0.12767,-0.00607209,False,0.121597,0.127669,-0.00607201,False,0.121595,0.127667,-0.00607194,False,0.121594,0.127665,-0.00607186,False,0.121591,0.127662,-0.00607171,False,0.121588,0.127659,-0.00607157,False,0.121584,0.127656,-0.0060714,False,0.121581,0.127652,-0.00607124,False,0.121578,0.127649,-0.0060711,False,0.121575,0.127646,-0.00607095,False,0.121572,0.127643,-0.00607079,False,5.96114e-25,5.97329e-25,1.95328e-26,1.1265e-24,9.40878e-26,5.26967e-25,2.78179e-25,2.19289e-25,0.342939,0.342758,1.19738,1.19719
3,initial_eval,3,0,False,False,8.21618e-25,8.71302e-25,-4.96846e-26,1.05372e-31,1.05008e-31,-0.00145204,-0.00169875,0.155976,0.163214,False,1.1059375e-24,8.21618e-25,8.71302e-25,-4.96846e-26,False,0.129746,0.135953,-0.00620608,False,0.155112,0.162259,-0.00714778,False,0.155723,0.162916,-0.00719308,False,0.155875,0.163086,-0.0072112,False,0.155933,0.163154,-0.00722106,False,0.15596,0.163187,-0.00722727,False,0.15598,0.163214,-0.00723457,False,0.155984,0.163222,-0.0072383,False,0.15598,0.163219,-0.00723842,False,0.155976,0.163214,-0.00723822,False,0.155972,0.16321,-0.00723806,False,0.155969,0.163206,-0.00723788,False,0.155965,0.163202,-0.0072377,False,1.52989e-24,1.00977e-24,1.00501e-24,1.24931e-24,8.2414e-25,9.902e-25,1.08418e-24,1.155e-24,0.336047,0.336043,1.18669,1.18645
4,initial_eval,4,0,False,False,1.11635e-24,1.18269e-24,-6.63406e-26,-1.04435e-32,-1.22174e-32,0.000971416,0.000756483,0.148232,0.155366,False,3.0697375e-25,1.11635e-24,1.18269e-24,-6.63406e-26,False,0.130055,0.136245,-0.00619026,False,0.148244,0.155371,-0.00712666,False,0.148253,0.155388,-0.00713494,False,0.148251,0.155386,-0.00713485,False,0.14825,0.155384,-0.00713476,False,0.148248,0.155382,-0.00713467,False,0.148244,0.155378,-0.00713449,False,0.148241,0.155375,-0.00713433,False,0.148237,0.155371,-0.00713413,False,0.148232,0.155366,-0.00713394,False,0.148229,0.155363,-0.00713378,False,0.148225,0.155359,-0.0071336,False,0.148222,0.155355,-0.00713342,False,2.50475e-25,4.45765e-25,2.61776e-25,4.23506e-25,1.14535e-25,3.76276e-25,2.76604e-25,3.06853e-25,0.337172,0.337181,1.17633,1.17603
5,initial_eval,5,0,False,False,1.04688e-24,1.11059e-24,-6.37036e-26,6.9892e-33,5.44263e-33,-0.00157464,-0.00177947,0.151698,0.158875,False,3.99051375e-25,1.04688e-24,1.11059e-24,-6.37036e-26,False,0.129749,0.135955,-0.00620589,False,0.151571,0.158711,-0.00714078,False,0.151715,0.158888,-0.00717303,False,0.151718,0.158896,-0.00717802,False,0.151716,0.158894,-0.00717794,False,0.151714,0.158892,-0.00717785,False,0.15171,0.158888,-0.00717767,False,0.151707,0.158884,-0.0071775,False,0.151702,0.15888,-0.00717731,False,0.151698,0.158875,-0.00717711,False,0.151695,0.158872,-0.00717695,False,0.151691,0.158868,-0.00717677,False,0.151687,0.158864,-0.00717659,False,4.60521e-25,2.86076e-25,6.39291e-25,2.19734e-25,2.94184e-25,3.39614e-25,5.03166e-25,4.49825e-25,0.336589,0.336591,1.16597,1.16562
6,initial_eval,6,1,False,False,1.14274e-24,1.07788e-24,6.48543e-26,-1.13251e-32,-1.27978e-32,0.00617241,0.00609772,0.111798,0.116869,True,3.6352875e-25,1.14274e-24,1.07788e-24,6.48543e-26,True,0.116889,0.111816,0.00507209,True,0.116887,0.111815,0.00507203,True,0.116886,0.111814,0.00507196,True,0.116884,0.111812,0.0050719,True,0.116883,0.111811,0.00507184,True,0.116881,0.111809,0.00507177,True,0.116878,0.111807,0.00507165,True,0.116876,0.111804,0.00507153,True,0.116872,0.111801,0.00507139,True,0.116869,0.111798,0.00507125,True,0.116867,0.111795,0.00507114,True,0.116864,0.111793,0.00507101,True,0.116861,0.11179,0.00507088,True,4.38747e-25,4.18198e-25,4.39062e-25,1.88788e-25,2.09197e-25,3.12963e-25,4.24746e-25,4.76529e-25,0.337469,0.337439,1.156,1.15562
7,initial_eval,7,1,False,False,7.83588e-25,7.43428e-25,4.01596e-26,4.44394e-32,4.39012e-32,0.00617262,0.00609793,0.112333,0.117344,True,2.19669625e-24,7.83588e-25,7.43428e-25,4.01596e-26,True,0.117363,0.112351,0.00501193,True,0.117362,0.11235,0.00501187,True,0.11736,0.112349,0.00501181,True,0.117359,0.112347,0.00501174,True,0.117357,0.112346,0.00501168,True,0.117356,0.112344,0.00501162,True,0.117353,0.112341,0.00501149,True,0.11735,0.112339,0.00501138,True,0.117347,0.112336,0.00501124,True,0.117344,0.112333,0.0050111,True,0.117341,0.11233,0.00501099,True,0.117338,0.112327,0.00501086,True,0.117335,0.112325,0.00501074,True,2.34021e-24,2.27904e-24,1.72561e-24,2.63083e-24,2.01882e-24,1.95981e-24,2.34021e-24,2.27904e-24,0.337469,0.337439,1.14624,1.14583
8,initial_eval,8,1,False,False,7.87325e-25,7.47584e-25,3.9741e-26,4.44409e-32,4.39028e-32,0.00666137,0.00638257,0.138054,0.144917,True,2.19623375e-24,7.87325e-25,7.47584e-25,3.9741e-26,True,0.136255,0.13017,0.00608487,True,0.144939,0.138075,0.00686397,True,0.144937,0.138073,0.00686388,True,0.144935,0.138071,0.0068638,True,0.144933,0.13807,0.00686371,True,0.144932,0.138068,0.00686363,True,0.144928,0.138064,0.00686345,True,0.144925,0.138061,0.0068633,True,0.144921,0.138058,0.00686311,True,0.144917,0.138054,0.00686292,True,0.144913,0.138051,0.00686277,True,0.14491,0.138047,0.00686259,True,0.144906,0.138044,0.00686242,True,2.33969e-24,2.27855e-24,1.72532e-24,2.63018e-24,2.01844e-24,1.95945e-24,2.33969e-24,2.27855e-24,0.339901,0.339868,1.13943,1.13939
9,initial_eval,9,1,False,False,1.01777e-24,9.58511e-25,5.92628e-26,4.79626e-32,4.59536e-32,0.00617302,0.00609833,0.109378,0.11444,True,5.57315375e-25,1.01777e-24,9.58511e-25,5.92628e-26,True,0.114459,0.109396,0.00506325,True,0.114458,0.109395,0.00506319,True,0.114456,0.109393,0.00506312,True,0.114455,0.109392,0.00506306,True,0.114453,0.10939,0.005063,True,0.114452,0.109389,0.00506293,True,0.114449,0.109386,0.00506281,True,0.114447,0.109384,0.00506269,True,0.114443,0.109381,0.00506255,True,0.11444,0.109378,0.00506241,True,0.114438,0.109375,0.0050623,True,0.114435,0.109373,0.00506217,True,0.114432,0.10937,0.00506205,True,5.5344e-25,8.08881e-25,5.89127e-25,3.25505e-25,4.11602e-25,3.66275e-25,7.83677e-25,6.20016e-25,0.337469,0.337439,1.13993,1.13993
