cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0767125,0.0775058,-0.000793312,0.1096,0.110417,0.018992,0.0189622,0.0767191,0.0775124,False,0.11001087500000001,0.0767125,0.0775058,-0.000793312,False,0.110025,0.110023,0.109969,0.110027,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21815,1.21814,
1,initial_eval,1,0,False,False,0.0769766,0.0777792,-0.000802561,0.109872,0.110699,0.0189984,0.0189686,0.0769832,0.0777857,False,0.11040975,0.0769766,0.0777792,-0.000802561,False,0.110303,0.1103,0.110246,0.111278,0.110301,0.110243,0.110305,0.110302,0.337464,0.337467,1.20805,1.20804,
2,initial_eval,2,0,False,False,0.078873,0.0797056,-0.000832595,0.111826,0.112684,0.00289912,0.00284386,0.0788794,0.0797119,False,0.113197875,0.078873,0.0797056,-0.000832595,False,0.115331,0.112677,0.112632,0.113751,0.112313,0.1126,0.113028,0.113251,0.334903,0.334895,1.19801,1.19799,
3,initial_eval,3,0,False,False,0.0766767,0.0774698,-0.000793089,0.109563,0.11038,0.0189943,0.0189644,0.0766833,0.0774763,False,0.109973875,0.0766767,0.0774698,-0.000793089,False,0.109988,0.109986,0.109932,0.10999,0.109987,0.109929,0.109991,0.109988,0.337464,0.337467,1.18809,1.18806,
4,initial_eval,4,0,False,False,0.0766648,0.0774578,-0.000793017,0.10955,0.110368,0.018995,0.0189651,0.0766714,0.0774644,False,0.10996175000000001,0.0766648,0.0774578,-0.000793017,False,0.109976,0.109974,0.10992,0.109977,0.109975,0.109917,0.109979,0.109976,0.337464,0.337467,1.17823,1.1782,
5,initial_eval,5,0,False,False,0.0766528,0.0774458,-0.000792941,0.109538,0.110355,0.0189957,0.0189659,0.0766594,0.0774523,False,0.10994925,0.0766528,0.0774458,-0.000792941,False,0.109964,0.109961,0.109907,0.109965,0.109962,0.109905,0.109966,0.109964,0.337464,0.337467,1.16846,1.16842,
6,initial_eval,6,1,False,False,0.0923445,0.0913173,0.0010272,0.124648,0.125706,0.012079,0.012063,0.0913231,0.0923503,True,0.132259375,0.0923445,0.0913173,0.0010272,True,0.133314,0.132285,0.12858,0.13613,0.130578,0.130391,0.133999,0.132798,0.337089,0.337083,1.15859,1.15854,
7,initial_eval,7,1,False,False,0.0923297,0.0913026,0.0010271,0.124633,0.125691,0.0120677,0.0120517,0.0913084,0.0923354,True,0.1322425,0.0923297,0.0913026,0.0010271,True,0.133297,0.132268,0.128564,0.136112,0.130562,0.130374,0.133982,0.132781,0.337088,0.337082,1.14885,1.1488,
8,initial_eval,8,1,False,False,0.0774308,0.0766376,0.000793278,0.109522,0.11034,0.0189982,0.0189683,0.0766442,0.0774374,True,0.10994187500000001,0.0774308,0.0766376,0.000793278,True,0.109948,0.109987,0.109892,0.109949,0.109947,0.109889,0.109975,0.109948,0.337465,0.337468,1.13995,1.13994,
9,initial_eval,9,1,False,False,0.0922998,0.0912729,0.00102692,0.124602,0.12566,0.0120451,0.012029,0.0912787,0.0923055,True,0.13220874999999999,0.0922998,0.0912729,0.00102692,True,0.133263,0.132233,0.128531,0.136077,0.130529,0.130341,0.133949,0.132747,0.337086,0.33708,1.13965,1.13964,
10,initial_eval,10,1,False,False,0.092285,0.0912582,0.00102682,0.124587,0.125645,0.0120339,0.0120178,0.091264,0.0922908,True,0.132192,0.092285,0.0912582,0.00102682,True,0.133247,0.132216,0.128515,0.136059,0.130513,0.130324,0.133932,0.13273,0.337085,0.337079,1.13978,1.13978,
11,initial_eval,11,1,False,False,0.0922702,0.0912434,0.00102673,0.124572,0.12563,0.0120228,0.0120066,0.0912492,0.0922759,True,0.132175125,0.0922702,0.0912434,0.00102673,True,0.13323,0.132199,0.128499,0.136042,0.130496,0.130307,0.133915,0.132713,0.337084,0.337078,1.13978,1.13978,
12,train,0,0,True,True,0.0765693,0.0773617,-0.00079242,0.109452,0.110269,0.0190009,0.0189711,0.0765759,0.0773683,False,0.109862875,0.0765693,0.0773617,-0.00079242,False,0.109877,0.109875,0.109821,0.109879,0.109876,0.109818,0.10988,0.109877,0.337508,0.33751,1.2,4.82258e-07,1.04498
13,train,1,0,True,True,0.0667454,0.0669042,-0.000158852,0.0993272,0.0994909,0.0197144,0.0196941,0.0667526,0.0669115,False,0.09962672500000001,0.0667454,0.0669042,-0.000158852,False,0.0994127,0.0994122,0.0994005,0.10115,0.0994125,0.0993998,0.0994134,0.0994127,0.337686,0.337703,1.2,4.82309e-07,1.04498
14,train,2,0,True,True,0.0646166,0.0646972,-8.06136e-05,0.0971335,0.0972166,0.0201052,0.0200963,0.064624,0.0647046,False,0.0984985125,0.0646166,0.0646972,-8.06136e-05,False,0.101586,0.0976851,0.097912,0.0989071,0.0972212,0.0978989,0.0981353,0.0986425,0.337796,0.337808,1.2,4.82324e-07,1.04498
15,train,3,0,True,True,0.0568779,0.0568664,1.14695e-05,0.0891555,0.0891437,0.0207273,0.0206879,0.0568857,0.0568743,True,0.089149525,0.0568779,0.0568664,1.14695e-05,True,0.0891493,0.0891493,0.0891502,0.0891493,0.0891493,0.0891503,0.0891492,0.0891493,0.337953,0.337968,1.2,4.82396e-07,1.04498
