cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0711768,0.0718443,-0.00066758,0.103895,0.104583,0.0203441,0.0203435,0.0711837,0.0718513,False,0.10423750000000001,0.0711768,0.0718443,-0.00066758,False,0.104232,0.104233,0.104234,0.104231,0.104233,0.104233,0.10428,0.104232,0.104233,0.104234,0.337777,0.337771,1.21822,1.21821,
1,initial_eval,1,0,False,False,0.0714841,0.0721478,-0.000663751,0.104212,0.104896,0.0203531,0.0203516,0.071491,0.0721547,False,0.10468090000000001,0.0714841,0.0721478,-0.000663751,False,0.104547,0.104548,0.104549,0.105831,0.104547,0.104548,0.104595,0.104547,0.104548,0.104549,0.337778,0.337772,1.20816,1.20815,
2,initial_eval,2,0,False,False,0.073818,0.0744718,-0.000653872,0.106617,0.107291,0.00105956,0.00103441,0.0738246,0.0744785,False,0.107959,0.073818,0.0744718,-0.000653872,False,0.110548,0.107522,0.10747,0.108792,0.107049,0.107438,0.10787,0.108207,0.106949,0.107745,0.335249,0.335242,1.19816,1.19814,
3,initial_eval,3,0,False,False,0.0711439,0.0718113,-0.000667391,0.103861,0.104549,0.0203459,0.0203459,0.0711508,0.0718182,False,0.1042035,0.0711439,0.0718113,-0.000667391,False,0.104198,0.104199,0.1042,0.104197,0.104199,0.104199,0.104246,0.104198,0.104199,0.1042,0.337779,0.337772,1.18827,1.18825,
4,initial_eval,4,0,False,False,0.071133,0.0718003,-0.000667329,0.10385,0.104538,0.0203465,0.0203467,0.0711399,0.0718072,False,0.1041922,0.071133,0.0718003,-0.000667329,False,0.104187,0.104188,0.104188,0.104186,0.104187,0.104188,0.104235,0.104187,0.104188,0.104188,0.337779,0.337772,1.17846,1.17843,
5,initial_eval,5,0,False,False,0.0711219,0.0717892,-0.000667265,0.103838,0.104526,0.020347,0.0203475,0.0711289,0.0717961,False,0.1041808,0.0711219,0.0717892,-0.000667265,False,0.104175,0.104176,0.104177,0.104175,0.104176,0.104177,0.104224,0.104175,0.104176,0.104177,0.337779,0.337772,1.16873,1.16869,
6,initial_eval,6,1,False,False,0.0890743,0.0884433,0.000630948,0.121688,0.122338,0.0288672,0.0288983,0.0884493,0.0890802,True,0.12935990000000003,0.0890743,0.0884433,0.000630948,True,0.130933,0.129759,0.125409,0.134008,0.12796,0.127109,0.130484,0.130376,0.125647,0.131914,0.333511,0.333519,1.15887,1.15883,
7,initial_eval,7,1,False,False,0.0890599,0.088429,0.000630892,0.121673,0.122323,0.0122368,0.012253,0.088435,0.0890659,True,0.1293436,0.0890599,0.088429,0.000630892,True,0.130916,0.129743,0.125394,0.133991,0.127944,0.127093,0.130468,0.130359,0.125631,0.131897,0.33724,0.337243,1.14915,1.14911,
8,initial_eval,8,1,False,False,0.0718073,0.071139,0.000668252,0.103856,0.104545,0.0203496,0.0203507,0.071146,0.0718142,True,0.1042165,0.0718073,0.071139,0.000668252,True,0.104193,0.1043,0.104195,0.104193,0.104194,0.104195,0.104313,0.104193,0.104194,0.104195,0.337781,0.337773,1.13996,1.13996,
9,initial_eval,9,1,False,False,0.0890311,0.0884003,0.000630779,0.121643,0.122293,0.012212,0.0122282,0.0884063,0.0890371,True,0.12931089999999998,0.0890311,0.0884003,0.000630779,True,0.130884,0.129709,0.125362,0.133957,0.127912,0.127061,0.130435,0.130326,0.1256,0.131863,0.337237,0.337241,1.13963,1.13963,
10,initial_eval,10,1,False,False,0.0890169,0.0883862,0.000630722,0.121629,0.122279,0.0121997,0.0122159,0.0883921,0.0890228,True,0.12929449999999998,0.0890169,0.0883862,0.000630722,True,0.130867,0.129693,0.125347,0.133939,0.127896,0.127045,0.130419,0.130309,0.125584,0.131846,0.337236,0.33724,1.13979,1.13979,
11,initial_eval,11,1,False,False,0.0890025,0.0883719,0.000630666,0.121614,0.122264,0.0121875,0.0122037,0.0883779,0.0890085,True,0.1292782,0.0890025,0.0883719,0.000630666,True,0.130851,0.129676,0.125331,0.133922,0.12788,0.127028,0.130403,0.130293,0.125569,0.131829,0.337235,0.337239,1.13979,1.13979,
12,train,0,0,True,True,0.0710452,0.071712,-0.000666824,0.103759,0.104447,0.020351,0.020353,0.0710522,0.071719,False,0.1041015,0.0710452,0.071712,-0.000666824,False,0.104096,0.104097,0.104098,0.104095,0.104097,0.104097,0.104144,0.104096,0.104097,0.104098,0.337824,0.337816,1.2,4.82283e-07,1.04498
13,train,1,0,True,True,0.062239,0.062645,-0.000406017,0.0946826,0.0951011,0.0211245,0.0211162,0.0622465,0.0626525,False,0.09509312,0.062239,0.062645,-0.000406017,False,0.0948872,0.0948879,0.0948884,0.096909,0.0948876,0.0948882,0.0949194,0.0948872,0.0948879,0.0948884,0.338029,0.338036,1.2,4.8234e-07,1.04498
14,train,2,0,True,True,0.0617218,0.06208,-0.00035818,0.0941498,0.094519,0.0215935,0.0215813,0.0617293,0.0620874,False,0.09596805,0.0617218,0.06208,-0.00035818,False,0.0996901,0.0953596,0.0953517,0.0971499,0.094622,0.0952843,0.0958295,0.0964199,0.0943833,0.0955902,0.338157,0.338161,1.2,4.82344e-07,1.04498
15,train,3,0,True,True,0.0531482,0.0535104,-0.000362252,0.0853103,0.0856838,0.0367146,0.0366838,0.0531563,0.0535185,False,0.08549617000000001,0.0531482,0.0535104,-0.000362252,False,0.0854926,0.0854932,0.0854937,0.0854922,0.0854929,0.0854935,0.0855239,0.0854926,0.0854933,0.0854938,0.313019,0.313233,1.2,4.82441e-07,1.04498
16,train,4,0,True,True,0.0491235,0.0494637,-0.000340184,0.0811604,0.0815112,0.0369764,0.0369268,0.0491319,0.0494721,False,0.08134672,0.0491235,0.0494637,-0.000340184,False,0.0813313,0.081332,0.0814512,0.0813309,0.0813317,0.0813322,0.0813621,0.0813313,0.081332,0.0813325,0.311578,0.311914,1.2,4.82517e-07,1.04498
17,train,5,0,True,True,0.0451667,0.0454862,-0.000319528,0.0770801,0.0774096,0.0245942,0.024518,0.0451754,0.0454949,False,0.07724397000000001,0.0451667,0.0454862,-0.000319528,False,0.0772405,0.0772411,0.0772416,0.0772401,0.0772408,0.0772414,0.0772708,0.0772405,0.0772412,0.0772417,0.339043,0.338993,1.2,4.8263e-07,1.04498
18,train,6,1,True,True,0.0686553,0.0685035,0.000151808,0.101141,0.101298,0.0103801,0.0103588,0.0685108,0.0686626,True,0.11570929999999999,0.0686553,0.0685035,0.000151808,True,0.119188,0.116079,0.108387,0.124919,0.113501,0.111312,0.117706,0.117873,0.109121,0.119007,0.337305,0.337294,1.2,4.82299e-07,0.0202738
19,train,7,1,True,True,0.0686421,0.0684903,0.000151771,0.101128,0.101284,0.0103744,0.0103531,0.0684976,0.0686494,True,0.11569319999999998,0.0686421,0.0684903,0.000151771,True,0.119172,0.116063,0.108372,0.124901,0.113485,0.111296,0.11769,0.117857,0.109106,0.11899,0.337304,0.337293,1.2,4.82299e-07,0.00652682
