cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0767125,0.0775058,-0.000793312,0.1096,0.110417,0.018992,0.0189622,0.0767191,0.0775124,False,0.11001087500000001,0.0767125,0.0775058,-0.000793312,False,0.110025,0.110023,0.109969,0.110027,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21815,1.21814,
1,initial_eval,1,0,False,False,0.0768885,0.0776881,-0.000799561,0.109781,0.110605,0.0189966,0.0189667,0.0768951,0.0776946,False,0.110278125,0.0768885,0.0776881,-0.000799561,False,0.11021,0.110208,0.110153,0.110872,0.110209,0.11015,0.110213,0.11021,0.337464,0.337467,1.20805,1.20804,
2,initial_eval,2,0,False,False,0.0785598,0.079385,-0.000825209,0.111503,0.112353,0.0190304,0.0190005,0.0785663,0.0793914,False,0.112736375,0.0785598,0.079385,-0.000825209,False,0.116059,0.111996,0.111895,0.113082,0.111945,0.112614,0.11216,0.11214,0.337467,0.33747,1.19802,1.198,
3,initial_eval,3,0,False,False,0.0766767,0.0774698,-0.000793089,0.109563,0.11038,0.0189942,0.0189644,0.0766833,0.0774763,False,0.109973875,0.0766767,0.0774698,-0.000793089,False,0.109988,0.109986,0.109932,0.10999,0.109987,0.109929,0.109991,0.109988,0.337464,0.337467,1.18809,1.18806,
4,initial_eval,4,0,False,False,0.0766648,0.0774578,-0.000793017,0.10955,0.110368,0.018995,0.0189651,0.0766714,0.0774644,False,0.10996175000000001,0.0766648,0.0774578,-0.000793017,False,0.109976,0.109974,0.10992,0.109977,0.109975,0.109917,0.109979,0.109976,0.337464,0.337467,1.17824,1.1782,
5,initial_eval,5,0,False,False,0.0766529,0.0774458,-0.000792942,0.109538,0.110355,0.0189957,0.0189659,0.0766595,0.0774524,False,0.10994925,0.0766529,0.0774458,-0.000792942,False,0.109964,0.109961,0.109907,0.109965,0.109962,0.109905,0.109966,0.109964,0.337464,0.337467,1.16846,1.16842,
6,initial_eval,6,1,False,False,0.0922137,0.0911884,0.00102526,0.124515,0.125571,0.0472288,0.0471351,0.0911942,0.0922194,True,0.132054375,0.0922137,0.0911884,0.00102526,True,0.133114,0.13207,0.12841,0.135891,0.130388,0.130187,0.133789,0.132586,0.19266,0.194153,1.15859,1.15854,
7,initial_eval,7,1,False,False,0.0920424,0.0910198,0.00102267,0.124342,0.125395,0.0125912,0.0125762,0.0910256,0.0920482,True,0.131793,0.0920424,0.0910198,0.00102267,True,0.13286,0.131794,0.128197,0.135585,0.130142,0.129927,0.133517,0.132322,0.33714,0.337134,1.14886,1.14881,
8,initial_eval,8,1,False,False,0.0774097,0.076617,0.000792717,0.109501,0.110318,0.0312717,0.0311209,0.0766236,0.0774163,True,0.10991225,0.0774097,0.076617,0.000792717,True,0.109927,0.109924,0.10987,0.109928,0.109925,0.109868,0.109929,0.109927,0.332571,0.332757,1.13995,1.13994,
9,initial_eval,9,1,False,False,0.0922998,0.0912729,0.00102692,0.124602,0.12566,0.0120451,0.012029,0.0912787,0.0923055,True,0.13220874999999999,0.0922998,0.0912729,0.00102692,True,0.133263,0.132233,0.128531,0.136077,0.130529,0.130341,0.133949,0.132747,0.337086,0.33708,1.13965,1.13964,
10,initial_eval,10,1,False,False,0.092285,0.0912582,0.00102682,0.124587,0.125645,0.0120339,0.0120178,0.091264,0.0922908,True,0.132192,0.092285,0.0912582,0.00102682,True,0.133247,0.132216,0.128515,0.136059,0.130513,0.130324,0.133932,0.13273,0.337085,0.337079,1.13978,1.13978,
11,initial_eval,11,1,False,False,0.0922702,0.0912434,0.00102673,0.124572,0.12563,0.0120228,0.0120066,0.0912492,0.0922759,True,0.132175125,0.0922702,0.0912434,0.00102673,True,0.13323,0.132199,0.128499,0.136042,0.130496,0.130307,0.133915,0.132713,0.337084,0.337078,1.13978,1.13978,
12,train,0,0,True,True,0.0765693,0.0773617,-0.00079242,0.109452,0.110269,0.0190009,0.0189711,0.0765759,0.0773683,False,0.109862875,0.0765693,0.0773617,-0.00079242,False,0.109877,0.109875,0.109821,0.109879,0.109876,0.109818,0.10988,0.109877,0.337508,0.33751,1.2,4.82258e-07,1.04498
13,train,1,0,True,True,0.066807,0.0672556,-0.000448569,0.0993906,0.099853,0.0196905,0.0196648,0.0668143,0.0672628,False,0.099775675,0.066807,0.0672556,-0.000448569,False,0.0996352,0.0996309,0.0995976,0.100848,0.0996315,0.0995958,0.0996341,0.0996323,0.337683,0.337693,1.2,4.82307e-07,1.04498
14,train,2,0,True,True,0.0647566,0.06516,-0.000403406,0.0972778,0.0976936,0.0200879,0.0200605,0.0647639,0.0651673,False,0.0987906875,0.0647566,0.06516,-0.000403406,False,0.10358,0.0976258,0.097562,0.0992516,0.0974949,0.0989558,0.0979256,0.0979298,0.33778,0.337793,1.2,4.82321e-07,1.04498
15,train,3,0,True,True,0.0571141,0.0574313,-0.000317136,0.0893991,0.089726,0.0206654,0.0206075,0.057122,0.0574391,False,0.08956385,0.0571141,0.0574313,-0.000317136,False,0.0895707,0.0895696,0.0895439,0.0895713,0.0895701,0.0895425,0.0895721,0.0895706,0.337946,0.337939,1.2,4.82389e-07,1.04498
16,train,4,0,True,True,0.0527166,0.0530112,-0.000294533,0.0848651,0.0851688,0.0217036,0.0216244,0.0527248,0.0530193,False,0.0850181625,0.0527166,0.0530112,-0.000294533,False,0.0850248,0.0850237,0.0849988,0.0850254,0.0850242,0.0849974,0.0850262,0.0850248,0.338201,0.33818,1.2,4.82449e-07,1.04498
17,train,5,0,True,True,0.0484843,0.0487566,-0.000272294,0.0805011,0.0807819,0.0230408,0.0229473,0.0484927,0.048765,False,0.0806427125,0.0484843,0.0487566,-0.000272294,False,0.0806491,0.0806481,0.080624,0.0806498,0.0806485,0.0806226,0.0806505,0.0806491,0.338543,0.33851,1.2,4.82533e-07,1.04498
18,train,6,1,True,True,0.0681489,0.0673345,0.000814367,0.0999365,0.100776,0.00874479,0.0085712,0.067342,0.0681563,True,0.11369250000000003,0.0681489,0.0673345,0.000814367,True,0.115765,0.112889,0.107592,0.120135,0.110825,0.110381,0.117696,0.114257,0.336931,0.336877,1.2,4.82302e-07,0.0203666
19,train,7,1,True,True,0.0678347,0.0670336,0.000801108,0.0996264,0.100452,0.00158623,0.00155386,0.067041,0.067842,True,0.11312887499999999,0.0678347,0.0670336,0.000801108,True,0.115243,0.11226,0.107236,0.1194,0.110313,0.109791,0.117102,0.113686,0.334377,0.334345,1.2,4.82304e-07,0.00669544
20,train,8,1,True,True,0.0448691,0.0446232,0.000245918,0.0765195,0.0767731,0.0245767,0.0244726,0.0446319,0.0448778,True,0.076734625,0.0448691,0.0446232,0.000245918,True,0.0767107,0.0766525,0.0769111,0.0766541,0.0766529,0.0766283,0.0768034,0.076864,0.338992,0.338948,1.2,4.82653e-07,0.00863864
21,train,9,1,True,True,0.0683726,0.0675482,0.000824452,0.100157,0.101007,0.00853701,0.00836,0.0675556,0.06838,True,0.11412687499999999,0.0683726,0.0675482,0.000824452,True,0.11616,0.113372,0.107873,0.12071,0.111201,0.110842,0.118138,0.114719,0.336896,0.336841,1.2,4.82301e-07,0.00609489
22,train,10,1,True,True,0.0683589,0.0675345,0.000824361,0.100143,0.100992,0.00853653,0.00835942,0.0675419,0.0683662,True,0.11410962499999999,0.0683589,0.0675345,0.000824361,True,0.116143,0.113354,0.107856,0.120692,0.111184,0.110825,0.118121,0.114702,0.336896,0.336841,1.2,4.82301e-07,0.00641358
23,train,11,1,True,True,0.068345,0.0675207,0.000824269,0.100128,0.100978,0.0178821,0.0176846,0.0675281,0.0683523,True,0.114092625,0.068345,0.0675207,0.000824269,True,0.116126,0.113337,0.10784,0.120674,0.111168,0.110808,0.118104,0.114684,0.337885,0.337831,1.2,4.82301e-07,0.00638736
24,train,0,0,True,True,0.0443607,0.0446108,-0.000250042,0.0762483,0.0765061,0.024588,0.0244838,0.0443695,0.0446195,False,0.076378375,0.0443607,0.0446108,-0.000250042,False,0.0763846,0.0763836,0.0763603,0.0763852,0.076384,0.0763589,0.0763859,0.0763845,0.338997,0.338953,1.2,4.82663e-07,1.04498
25,train,1,0,True,True,0.0381275,0.0384115,-0.000284032,0.0698201,0.070113,0.0278996,0.0277792,0.0381366,0.0384206,False,0.0705628125,0.0381275,0.0384115,-0.000284032,False,0.0701023,0.0699933,0.0699452,0.0745898,0.0699751,0.0699434,0.0699776,0.0699758,0.340324,0.340249,1.2,4.83094e-07,1.04498
26,train,2,0,True,True,0.0392235,0.0395083,-0.000284831,0.0709513,0.0712451,0.0289681,0.0288342,0.0392325,0.0395173,False,0.073818725,0.0392235,0.0395083,-0.000284831,False,0.0835513,0.0712551,0.0712957,0.0745401,0.0711076,0.0748225,0.0718379,0.0721396,0.34098,0.340894,1.2,4.82977e-07,1.04498
27,train,3,0,True,True,0.0297228,0.0298999,-0.000177153,0.0611496,0.0613324,0.0307692,0.0306386,0.0297328,0.0299099,False,0.06124206250000001,0.0297228,0.0298999,-0.000177153,False,0.0612475,0.0612465,0.0612263,0.0612481,0.0612469,0.061225,0.0612488,0.0612474,0.343183,0.343113,1.19701,1.15087,0.0294587
28,train,4,0,True,True,0.0297802,0.0299521,-0.000171902,0.0612087,0.061386,0.0307729,0.0306422,0.0297901,0.029962,False,0.0613212,0.0297802,0.0299521,-0.000171902,False,0.0613036,0.0613026,0.0614304,0.0613042,0.0613031,0.0612818,0.0613404,0.0613035,0.343183,0.343113,1.18744,1.14167,0.000784992
29,train,5,0,True,True,0.0297073,0.0298844,-0.000177052,0.0611335,0.0613162,0.0307749,0.0306443,0.0297173,0.0298944,False,0.061225875000000006,0.0297073,0.0298844,-0.000177052,False,0.0612313,0.0612303,0.0612102,0.0612319,0.0612307,0.0612088,0.0612326,0.0612312,0.343191,0.343121,1.17795,1.13993,2.6532e-05
30,train,6,1,True,True,0.0564297,0.0551022,0.00132745,0.0873274,0.0886961,0.0199704,0.0195948,0.0551103,0.0564377,True,0.1079492375,0.0564297,0.0551022,0.00132745,True,0.111154,0.10563,0.0993459,0.117343,0.103622,0.102835,0.115333,0.108331,0.338604,0.338466,1.2,4.82401e-07,0.00722845
31,train,7,1,True,True,0.0560144,0.0547398,0.00127456,0.0869535,0.0882677,0.00206774,0.00212487,0.054748,0.0560225,True,0.10694451249999999,0.0560144,0.0547398,0.00127456,True,0.110293,0.10444,0.0989931,0.115793,0.102781,0.101709,0.11424,0.107307,0.334641,0.334519,1.2,4.82406e-07,0.00620647
32,train,8,1,True,True,0.0306588,0.0304948,0.000163963,0.0619463,0.0621155,0.0307703,0.0306397,0.0305046,0.0306685,True,0.0623374375,0.0306588,0.0304948,0.000163963,True,0.0624344,0.0620366,0.0628768,0.0620375,0.0620364,0.062016,0.0625346,0.0627272,0.343061,0.343001,1.18839,1.13578,0.00909277
33,train,9,1,True,True,0.0567967,0.0554171,0.00137961,0.0876524,0.0890749,0.0196349,0.01924,0.0554252,0.0568048,True,0.1089141375,0.0567967,0.0554171,0.00137961,True,0.111921,0.106811,0.0996381,0.118919,0.104335,0.103982,0.116269,0.109438,0.338575,0.33843,1.2,4.82397e-07,0.00721292
34,train,10,1,True,True,0.0567837,0.0554041,0.00137956,0.0876389,0.0890614,0.0104865,0.0101253,0.0554123,0.0567918,True,0.1088968625,0.0567837,0.0554041,0.00137956,True,0.111903,0.106794,0.0996219,0.118901,0.104318,0.103965,0.116252,0.10942,0.337575,0.337425,1.2,4.82397e-07,0.00593029
35,train,11,1,True,True,0.0567707,0.0553912,0.00137952,0.0876255,0.0890479,0.0104892,0.0101278,0.0553994,0.0567789,True,0.108879475,0.0567707,0.0553912,0.00137952,True,0.111886,0.106776,0.0996058,0.118882,0.104302,0.103948,0.116234,0.109402,0.337576,0.337426,1.2,4.82397e-07,0.00600798
36,train,0,0,True,True,0.0296985,0.0298768,-0.000178316,0.0611246,0.0613086,0.0307954,0.0306646,0.0297085,0.0298868,False,0.06123323750000001,0.0296985,0.0298768,-0.000178316,False,0.0612231,0.0613172,0.0612018,0.0612533,0.0612225,0.0612005,0.0612244,0.0612231,0.343214,0.343145,1.19701,1.15084,0.0243532
37,train,1,0,True,True,0.0314071,0.0316752,-0.000268052,0.0628874,0.063164,0.0307522,0.0306208,0.0314168,0.0316848,False,0.0638005875,0.0314071,0.0316752,-0.000268052,False,0.0631664,0.0630945,0.0630031,0.0690318,0.0630347,0.0630011,0.0630376,0.0630355,0.342881,0.342819,1.11971,1.04608,0.000649934
38,train,2,0,True,True,0.0360376,0.0363184,-0.000280759,0.0676653,0.0679549,0.029785,0.029632,0.0360468,0.0363275,False,0.0707432,0.0360376,0.0363184,-0.000280759,False,0.0816472,0.0679256,0.0679515,0.0715077,0.0678199,0.0717807,0.0684983,0.0688147,0.342167,0.342053,1.2,4.83336e-07,1.04498
39,train,3,0,True,True,0.023245,0.0233774,-0.000132343,0.0544656,0.0546022,0.0327311,0.0325878,0.0232556,0.023388,False,0.0545353375,0.023245,0.0233774,-0.000132343,False,0.0545393,0.0545431,0.0545215,0.0545399,0.0545388,0.0545203,0.0545405,0.0545393,0.451508,0.443737,1.19701,1.15087,0.0278581
40,train,4,0,True,True,0.0233874,0.023509,-0.000121647,0.0546122,0.0547378,0.0327323,0.0325891,0.0233978,0.0235195,False,0.0547292375,0.0233874,0.023509,-0.000121647,False,0.05468,0.0546792,0.0549516,0.0546805,0.0546795,0.0546625,0.0548206,0.05468,0.443281,0.436088,1.18744,1.14167,0.00074265
41,train,5,0,True,True,0.0232292,0.0233614,-0.000132189,0.0544492,0.0545857,0.0327344,0.0325911,0.0232398,0.023372,False,0.0545184875,0.0232292,0.0233614,-0.000132189,False,0.0545229,0.054522,0.0545051,0.0545235,0.0545224,0.0545039,0.0545253,0.0545228,0.452544,0.444782,1.17795,1.13993,2.54122e-05
42,train,6,1,True,True,0.0497437,0.0478038,0.00193988,0.079802,0.0818026,0.0391286,0.0380957,0.0478124,0.0497521,True,0.106505825,0.0497437,0.0478038,0.00193988,True,0.110742,0.102308,0.0956053,0.118623,0.100753,0.0995193,0.118051,0.106445,0.293856,0.302013,1.2,4.82511e-07,0.00630628
43,train,7,1,True,True,0.049372,0.0475341,0.00183794,0.0795238,0.0814191,0.00207851,0.00216274,0.0475427,0.0493805,True,0.105178225,0.049372,0.0475341,0.00183794,True,0.109651,0.100768,0.0953201,0.116349,0.0997164,0.0980303,0.11646,0.105131,0.335411,0.335141,1.2,4.82519e-07,0.00432851
44,train,8,1,True,True,0.0246236,0.0245133,0.000110227,0.0557747,0.0558885,0.0327043,0.0325613,0.0245236,0.0246338,True,0.056319,0.0246236,0.0245133,0.000110227,True,0.0565372,0.0558402,0.057148,0.0558367,0.0558358,0.0558201,0.0566226,0.0569114,0.374845,0.368083,1.19701,1.15084,0.00385797
45,train,9,1,True,True,0.0501437,0.0480807,0.00206294,0.0800883,0.082216,0.0217582,0.0211612,0.0480893,0.0501522,True,0.1081427875,0.0501437,0.0480807,0.00206294,True,0.111823,0.10437,0.0958863,0.121778,0.101718,0.101587,0.119557,0.108423,0.339363,0.339062,1.2,4.82502e-07,0.00163317
46,train,10,1,True,True,0.0501309,0.0480678,0.00206306,0.0800749,0.0822027,0.0124108,0.011864,0.0480765,0.0501395,True,0.10812548749999999,0.0501309,0.0480678,0.00206306,True,0.111806,0.104352,0.0958699,0.12176,0.101701,0.10157,0.11954,0.108405,0.338415,0.338106,1.2,4.82502e-07,0.00150449
47,train,11,1,True,True,0.0501179,0.0480548,0.00206315,0.0800615,0.0821894,0.0124147,0.0118678,0.0480635,0.0501266,True,0.108107925,0.0501179,0.0480548,0.00206315,True,0.111788,0.104334,0.0958534,0.121741,0.101684,0.101552,0.119524,0.108387,0.338417,0.338107,1.2,4.82503e-07,0.00144093
48,train,0,0,True,True,0.0232934,0.0234296,-0.000136139,0.0545156,0.0546561,0.0327455,0.0326021,0.0233039,0.02344,False,0.0546243125,0.0232934,0.0234296,-0.000136139,False,0.0545914,0.0548078,0.054573,0.0546755,0.0545909,0.0545718,0.0545927,0.0545914,0.448784,0.440783,1.19701,1.15084,0.0194049
49,train,1,0,True,True,0.0254444,0.0257135,-0.000269162,0.0567354,0.0570132,0.032673,0.0325285,0.0254545,0.0257237,False,0.0579014375,0.0254444,0.0257135,-0.000269162,False,0.0570865,0.0570374,0.0568485,0.0647347,0.0568846,0.056846,0.0568882,0.0568856,0.349821,0.349311,1.18744,1.14164,0.000519037
50,train,2,0,True,True,0.0306488,0.0309444,-0.000295579,0.0621065,0.0624115,0.0309308,0.0307398,0.0306585,0.030954,False,0.0659625625,0.0306488,0.0309444,-0.000295579,False,0.0800784,0.062372,0.0623863,0.0669978,0.0622708,0.0671393,0.0630575,0.0633984,0.345553,0.345432,1.16328,1.10921,1.9498e-05
51,train,3,0,True,True,0.0231589,0.0232906,-0.000131688,0.0543767,0.0545126,0.0327509,0.0326075,0.0231695,0.0233012,False,0.0544459875,0.0231589,0.0232906,-0.000131688,False,0.0544501,0.0544527,0.0544323,0.0544507,0.0544496,0.0544311,0.0544513,0.0544501,0.456682,0.448981,1.15398,1.14015,6.28629e-06
52,train,4,0,True,True,0.0232974,0.0234187,-0.00012129,0.0545192,0.0546443,0.0327522,0.0326087,0.0233078,0.0234291,False,0.0546343625,0.0232974,0.0234187,-0.00012129,False,0.0545868,0.0545859,0.0548499,0.0545873,0.0545863,0.0545693,0.0547227,0.0545867,0.448718,0.441577,1.14476,1.13993,5.93687e-06
53,train,5,0,True,True,0.0231435,0.023275,-0.000131546,0.0543608,0.0544965,0.0327542,0.0326107,0.0231541,0.0232856,False,0.054429637499999996,0.0231435,0.023275,-0.000131546,False,0.0544341,0.0544332,0.0544163,0.0544346,0.0544336,0.0544151,0.0544362,0.054434,0.457698,0.450004,1.13993,1.13993,5.92763e-06
54,train,6,1,True,True,0.0495709,0.0476346,0.00193632,0.0796275,0.0816244,0.0221713,0.0216053,0.0476432,0.0495794,True,0.10622751250000001,0.0495709,0.0476346,0.00193632,True,0.110499,0.101999,0.0953943,0.118255,0.100519,0.0992138,0.117806,0.106134,0.339402,0.339125,1.2,4.82515e-07,0.00729879
55,train,7,1,True,True,0.0491943,0.0473614,0.00183285,0.0793459,0.081236,0.00208443,0.00216752,0.04737,0.0492028,True,0.10488355,0.0491943,0.0473614,0.00183285,True,0.109391,0.100443,0.0951055,0.115958,0.0994663,0.0977096,0.116187,0.104808,0.335433,0.335161,1.2,4.82523e-07,0.00359959
