cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.155601,0.162906,-0.00730491,0.190559,0.198097,0.00659785,0.00632858,0.155594,0.162899,False,0.0366111875,0.155601,0.162906,-0.00730491,False,0.0290381,0.0797896,-7.20481e-28,0.0835334,-4.62949e-99,0.0432834,0.0251977,0.0320473,0.336075,0.336065,1.21817,1.21808
1,initial_eval,1,0,False,False,0.137137,0.144458,-0.00732159,0.162974,0.171812,0.00840253,0.00815966,0.137129,0.14445,False,0.066011815,0.137137,0.144458,-0.00732159,False,0.0923893,0.0925533,0.00345532,0.15706,0.0163988,0.082902,0.0463099,0.0370259,0.33844,0.338326,1.20767,1.20753
2,initial_eval,2,0,False,False,0.12292,0.1291,-0.00617981,0.0896521,0.0939561,0.0146447,0.0145939,0.122913,0.129093,False,0.153952625,0.12292,0.1291,-0.00617981,False,0.198372,0.143876,0.143329,0.170213,0.121793,0.14162,0.152303,0.160115,0.342947,0.342765,1.19735,1.19717
3,initial_eval,3,0,False,False,0.156165,0.163383,-0.00721809,0.190885,0.19836,-0.00142201,-0.00166942,0.156156,0.163374,False,0.05038984999999999,0.156165,0.163383,-0.00721809,False,0.0419697,0.0713851,0.0437443,0.0681613,0.0198529,0.0612144,0.0460594,0.0507317,0.336043,0.336038,1.18667,1.18643
4,initial_eval,4,0,False,False,0.148998,0.15611,-0.00711247,0.181282,0.188777,0.00095599,0.000740275,0.14899,0.156102,False,0.06404357499999999,0.148998,0.15611,-0.00711247,False,0.0735116,0.0475322,0.0981613,0.0370952,0.0487857,0.0557235,0.0795631,0.071976,0.337163,0.337172,1.1763,1.176
5,initial_eval,5,0,False,False,0.152235,0.159384,-0.00714962,0.185789,0.193272,-0.00159719,-0.00180257,0.152226,0.159375,False,0.058937075000000005,0.152235,0.159384,-0.00714962,False,0.0703724,0.0673881,0.0704176,0.0321126,0.0354061,0.051668,0.0683421,0.0757897,0.336582,0.336584,1.16594,1.16559
6,initial_eval,6,1,False,False,0.118181,0.113088,0.00509247,0.097369,0.099722,0.00618064,0.00610596,0.113082,0.118174,True,0.255114125,0.118181,0.113088,0.00509247,True,0.266841,0.262241,0.216561,0.287632,0.241719,0.236837,0.266841,0.262241,0.337472,0.337442,1.15597,1.15558
7,initial_eval,7,1,False,False,0.118094,0.113074,0.00502047,0.097368,0.0997211,0.00618085,0.00610616,0.113068,0.118088,True,0.25511175,0.118094,0.113074,0.00502047,True,0.266839,0.262238,0.216559,0.287629,0.241717,0.236835,0.266839,0.262238,0.337472,0.337442,1.1462,1.14578
8,initial_eval,8,1,False,False,0.146388,0.139494,0.00689414,0.158636,0.166707,0.00662123,0.00634311,0.139486,0.14638,True,0.0862533375,0.146388,0.139494,0.00689414,True,0.0865565,0.119923,0.0914308,0.0535845,0.0664294,0.0597288,0.116782,0.0955917,0.339892,0.33986,1.13942,1.13938
9,initial_eval,9,1,False,False,0.115991,0.110791,0.00519987,0.0973661,0.0997191,0.00618125,0.00610656,0.110785,0.115984,True,0.255106875,0.115991,0.110791,0.00519987,True,0.266834,0.262233,0.216555,0.287624,0.241712,0.23683,0.266834,0.262233,0.337473,0.337442,1.13993,1.13993
