cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node
0,initial_eval,0,0,False,False,0.0767125,0.0775058,-0.000793312,0.1096,0.110417,0.018992,0.0189622,0.0767191,0.0775124,False,0.11001087500000001,0.0767125,0.0775058,-0.000793312,False,0.110025,0.110023,0.109969,0.110027,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21815,1.21814,,,,,,,,,
1,initial_eval,1,0,False,False,0.0768885,0.0776881,-0.000799561,0.109781,0.110605,0.0189966,0.0189667,0.0768951,0.0776946,False,0.110278125,0.0768885,0.0776881,-0.000799561,False,0.11021,0.110208,0.110153,0.110872,0.110209,0.11015,0.110213,0.11021,0.337464,0.337467,1.20805,1.20804,,,,,,,,,
2,initial_eval,2,0,False,False,0.0785598,0.079385,-0.000825209,0.111503,0.112353,0.0190304,0.0190005,0.0785663,0.0793914,False,0.112736375,0.0785598,0.079385,-0.000825209,False,0.116059,0.111996,0.111895,0.113082,0.111945,0.112614,0.11216,0.11214,0.337467,0.33747,1.19802,1.198,,,,,,,,,
3,initial_eval,3,0,False,False,0.0766767,0.0774698,-0.000793089,0.109563,0.11038,0.0189942,0.0189644,0.0766833,0.0774763,False,0.109973875,0.0766767,0.0774698,-0.000793089,False,0.109988,0.109986,0.109932,0.10999,0.109987,0.109929,0.109991,0.109988,0.337464,0.337467,1.18809,1.18806,,,,,,,,,
4,initial_eval,4,0,False,False,0.0766648,0.0774578,-0.000793017,0.10955,0.110368,0.018995,0.0189651,0.0766714,0.0774644,False,0.10996175000000001,0.0766648,0.0774578,-0.000793017,False,0.109976,0.109974,0.10992,0.109977,0.109975,0.109917,0.109979,0.109976,0.337464,0.337467,1.17824,1.1782,,,,,,,,,
5,initial_eval,5,0,False,False,0.0766529,0.0774458,-0.000792942,0.109538,0.110355,0.0189957,0.0189659,0.0766595,0.0774524,False,0.10994925,0.0766529,0.0774458,-0.000792942,False,0.109964,0.109961,0.109907,0.109965,0.109962,0.109905,0.109966,0.109964,0.337464,0.337467,1.16846,1.16842,,,,,,,,,
6,initial_eval,6,1,False,False,0.0922137,0.0911884,0.00102526,0.124515,0.125571,0.0472288,0.0471351,0.0911942,0.0922194,True,0.132054375,0.0922137,0.0911884,0.00102526,True,0.133114,0.13207,0.12841,0.135891,0.130388,0.130187,0.133789,0.132586,0.19266,0.194153,1.15859,1.15854,,,,,,,,,
7,initial_eval,7,1,False,False,0.0920424,0.0910198,0.00102267,0.124342,0.125395,0.0125912,0.0125762,0.0910256,0.0920482,True,0.131793,0.0920424,0.0910198,0.00102267,True,0.13286,0.131794,0.128197,0.135585,0.130142,0.129927,0.133517,0.132322,0.33714,0.337134,1.14886,1.14881,,,,,,,,,
8,initial_eval,8,1,False,False,0.0774097,0.076617,0.000792717,0.109501,0.110318,0.0312717,0.0311209,0.0766236,0.0774163,True,0.10991225,0.0774097,0.076617,0.000792717,True,0.109927,0.109924,0.10987,0.109928,0.109925,0.109868,0.109929,0.109927,0.332571,0.332757,1.13995,1.13994,,,,,,,,,
9,initial_eval,9,1,False,False,0.0922998,0.0912729,0.00102692,0.124602,0.12566,0.0120451,0.012029,0.0912787,0.0923055,True,0.13220874999999999,0.0922998,0.0912729,0.00102692,True,0.133263,0.132233,0.128531,0.136077,0.130529,0.130341,0.133949,0.132747,0.337086,0.33708,1.13965,1.13964,,,,,,,,,
10,initial_eval,10,1,False,False,0.092285,0.0912582,0.00102682,0.124587,0.125645,0.0120339,0.0120178,0.091264,0.0922908,True,0.132192,0.092285,0.0912582,0.00102682,True,0.133247,0.132216,0.128515,0.136059,0.130513,0.130324,0.133932,0.13273,0.337085,0.337079,1.13978,1.13978,,,,,,,,,
11,initial_eval,11,1,False,False,0.0922702,0.0912434,0.00102673,0.124572,0.12563,0.0120228,0.0120066,0.0912492,0.0922759,True,0.132175125,0.0922702,0.0912434,0.00102673,True,0.13323,0.132199,0.128499,0.136042,0.130496,0.130307,0.133915,0.132713,0.337084,0.337078,1.13978,1.13978,,,,,,,,,
12,train,0,0,True,True,0.0765693,0.0773617,-0.00079242,0.109452,0.110269,0.0190009,0.0189711,0.0765759,0.0773683,False,0.109862875,0.0765693,0.0773617,-0.00079242,False,0.109877,0.109875,0.109821,0.109879,0.109876,0.109818,0.10988,0.109877,0.337508,0.33751,1.2,3.02672e-07,1.04498,0.0448611,0.0457073,1.07864e-08,0.015202,2.47985e-10,0.015199,0.0,1.13676
13,train,1,0,True,True,0.0666064,0.0667605,-0.000154105,0.0991839,0.0993427,0.0197119,0.0196917,0.0666137,0.0667678,False,0.0994205,0.0666064,0.0667605,-0.000154105,False,0.0992671,0.0992664,0.099255,0.10052,0.0992667,0.0992544,0.0992675,0.0992669,0.337686,0.337704,1.2,3.02724e-07,1.04498,0.0354289,0.0354297,2.02189e-09,0.00524659,1.52793e-10,0.00524794,0.0,1.13676
14,train,2,0,True,True,0.0642944,0.0643698,-7.54858e-05,0.0968013,0.0968791,0.025907,0.0257653,0.0643017,0.0643772,False,0.09803189999999999,0.0642944,0.0643698,-7.54858e-05,False,0.102761,0.0968918,0.0968852,0.0983304,0.0968419,0.0982543,0.0971158,0.0971748,0.335005,0.335033,1.2,3.02741e-07,1.04498,0.0331123,0.0331123,2.24262e-09,0.00300236,2.17904e-10,0.00300525,0.0,1.13676
15,train,3,0,True,True,0.0568842,0.0568828,1.394e-06,0.0891619,0.0891605,0.0207255,0.0206855,0.056892,0.0568906,True,0.08916122499999998,0.0568842,0.0568828,1.394e-06,True,0.0891612,0.0891612,0.0891613,0.0891612,0.0891612,0.0891613,0.0891612,0.0891612,0.337953,0.337967,1.2,3.0281e-07,1.04498,0.0258561,0.0258561,1.88812e-09,1.79039e-05,1.883e-09,1.78552e-05,0.0,1.13676
16,train,4,0,True,True,0.0524927,0.0524766,1.60818e-05,0.0846342,0.0846176,0.0217935,0.0217397,0.0525009,0.0524848,True,0.0846258625,0.0524927,0.0524766,1.60818e-05,True,0.0846255,0.0846256,0.0846269,0.0846255,0.0846255,0.084627,0.0846254,0.0846255,0.33821,0.338221,1.2,3.02872e-07,1.04498,0.0215865,0.0215865,5.5012e-11,1.05184e-07,5.48626e-11,1.04898e-07,0.0,1.13676
17,train,5,0,True,True,0.0482672,0.0482366,3.0605e-05,0.0802773,0.0802457,0.0231519,0.0230869,0.0482757,0.0482451,True,0.08026138749999999,0.0482672,0.0482366,3.0605e-05,True,0.0802607,0.0802608,0.0802635,0.0802606,0.0802607,0.0802636,0.0802605,0.0802607,0.338556,0.338565,1.2,3.02961e-07,1.04498,0.0174785,0.0174785,3.23172e-13,6.17908e-10,3.22295e-13,6.1623e-10,0.0,1.13676
18,train,6,1,True,True,0.0654503,0.0650411,0.000409266,0.0975732,0.0979951,0.0167445,0.0165767,0.0650486,0.0654578,True,0.109293125,0.0654503,0.0650411,0.000409266,True,0.111616,0.108204,0.104247,0.114619,0.106995,0.105884,0.113288,0.109492,0.337852,0.337822,1.2,3.02733e-07,0.0210496,0.0329513,0.0337632,1.36712e-42,2.61503e-39,1.36683e-42,2.61447e-39,0.0,1.13676
19,train,7,1,True,True,0.0648532,0.0644693,0.000383943,0.0969837,0.0973795,0.00129504,0.00125002,0.0644769,0.0648608,True,0.10825775,0.0648532,0.0644693,0.000383943,True,0.110692,0.106991,0.103701,0.113193,0.10607,0.104753,0.112226,0.108436,0.334106,0.334088,1.2,3.02737e-07,0.0074648,0.0332082,0.033209,6.14944e-72,1.17626e-68,6.14813e-72,1.17601e-68,0.0,1.13676
20,train,8,1,True,True,0.0442345,0.0442834,-4.89502e-05,0.0761691,0.0761186,0.03714,0.0370485,0.0442922,0.0442433,False,0.07617885,0.0442345,0.0442834,-4.89502e-05,False,0.0761597,0.0761426,0.0763071,0.0761423,0.0761425,0.0761474,0.0761596,0.0762296,0.310712,0.311368,1.2,3.03092e-07,0.00955889,0.013649,0.013649,2.76608e-101,5.29095e-98,2.76549e-101,5.28982e-98,0.0,1.13676
21,train,9,1,True,True,0.0661409,0.0657031,0.000437774,0.098257,0.0987083,0.0162768,0.0161004,0.0657106,0.0661484,True,0.11053575,0.0661409,0.0657031,0.000437774,True,0.112596,0.109753,0.104865,0.116471,0.107953,0.107354,0.114364,0.11093,0.337817,0.337784,1.2,3.02728e-07,0.0071294,0.0344049,0.0344049,1.99687e-102,1.99737e-102,1.99644e-102,1.99694e-102,0.0,1.13676
22,train,10,1,True,True,0.0661268,0.0656891,0.000437685,0.0982424,0.0986936,0.00779685,0.00765061,0.0656968,0.0661345,True,0.110517875,0.0661268,0.0656891,0.000437685,True,0.112578,0.109735,0.104848,0.116452,0.107935,0.107337,0.114346,0.110912,0.336774,0.336738,1.2,3.02729e-07,0.00695625,0.0343915,0.0343915,4.32995e-73,4.32101e-73,4.32903e-73,4.32008e-73,0.0,1.13676
23,train,11,1,True,True,0.0661126,0.065675,0.000437593,0.0982279,0.098679,0.00779992,0.00765364,0.0656826,0.0661202,True,0.11050025,0.0661126,0.065675,0.000437593,True,0.11256,0.109718,0.104832,0.116433,0.107918,0.10732,0.114327,0.110894,0.336775,0.336738,1.2,3.02729e-07,0.00697252,0.0343778,0.0343778,1.63068e-55,1.63068e-55,1.63034e-55,1.63034e-55,0.0,1.13676
24,train,0,0,True,True,0.0441508,0.0441056,4.52609e-05,0.0760323,0.0759856,0.0247165,0.0246406,0.0441596,0.0441144,True,0.07600872499999999,0.0441508,0.0441056,4.52609e-05,True,0.0760076,0.0760078,0.076012,0.0760075,0.0760077,0.0760122,0.0760074,0.0760076,0.339015,0.339026,1.2,3.03098e-07,1.04498,0.0126494,0.0134767,1.00405e-12,2.94495e-05,1.00143e-12,2.93702e-05,0.0,1.13676
25,train,1,0,True,True,0.0376044,0.0375887,1.5754e-05,0.0692802,0.069264,0.0280306,0.0279341,0.0376137,0.037598,True,0.06971505,0.0376044,0.0375887,1.5754e-05,True,0.0692716,0.0692716,0.0692733,0.0728158,0.0692716,0.0692734,0.0692715,0.0692716,0.340368,0.340386,1.2,3.03619e-07,1.04498,0.00716507,0.00716586,6.13569e-15,1.79859e-07,6.12187e-15,1.79444e-07,0.0,1.13676
26,train,2,0,True,True,0.037316,0.0373426,-2.65923e-05,0.0689836,0.0690111,0.0267549,0.0266121,0.0373254,0.037352,False,0.0708643875,0.037316,0.0373426,-2.65923e-05,False,0.0804222,0.0689981,0.0689952,0.0708998,0.0689982,0.0705989,0.0689985,0.0690042,0.340742,0.340736,1.2,3.03656e-07,1.04498,0.00692773,0.00692773,3.01085e-17,9.34363e-10,3.00406e-17,9.32017e-10,0.0,1.13676
27,train,3,0,True,True,0.0295457,0.0294544,9.13408e-05,0.060967,0.0608727,0.0308761,0.0307623,0.0295557,0.0294644,True,0.0609192875,0.0295457,0.0294544,9.13408e-05,True,0.0609165,0.060917,0.0609274,0.0609162,0.0609168,0.0609281,0.0609158,0.0609165,0.343223,0.343372,1.19701,1.15087,0.0294589,4.47028e-06,4.47028e-06,1.29355e-46,3.98889e-39,1.29328e-46,3.98804e-39,0.0,1.13676
28,train,4,0,True,True,0.0295382,0.0294468,9.13775e-05,0.0609589,0.0608646,0.0308789,0.030765,0.0295482,0.0294568,True,0.060911225,0.0295382,0.0294468,9.13775e-05,True,0.0609084,0.060909,0.0609193,0.0609081,0.0609087,0.06092,0.0609078,0.0609085,0.343227,0.343376,1.18744,1.14167,0.000784998,2.13964e-09,2.13964e-09,5.81852e-76,1.79424e-68,5.81728e-76,1.79386e-68,0.0,1.13676
29,train,5,0,True,True,0.0295301,0.0294387,9.14155e-05,0.0609509,0.0608566,0.0308817,0.0307678,0.0295401,0.0294488,True,0.06090317500000001,0.0295301,0.0294387,9.14155e-05,True,0.0609004,0.0609009,0.0609113,0.0609001,0.0609007,0.0609119,0.0608997,0.0609004,0.34323,0.34338,1.17795,1.13993,2.65322e-05,1.02411e-12,1.02411e-12,2.61723e-105,8.07067e-98,2.61667e-105,8.06894e-98,0.0,1.13676
30,train,6,1,True,True,0.0496946,0.0491421,0.000552542,0.0811904,0.0817596,0.0338842,0.0334594,0.0491512,0.0497037,True,0.093666775,0.0496946,0.0491421,0.000552542,True,0.0973436,0.0908794,0.0892831,0.0983322,0.0914466,0.0884329,0.0997219,0.0938945,0.328719,0.330177,1.2,3.02926e-07,0.00723318,0.0175556,0.0183563,2.41867e-105,1.38965e-105,2.41815e-105,1.38935e-105,0.0,1.13676
31,train,7,1,True,True,0.0490361,0.0485387,0.000497341,0.0805681,0.0810803,0.00256154,0.00255077,0.0485478,0.0490451,True,0.092399075,0.0490361,0.0485387,0.000497341,True,0.0959277,0.0895166,0.0886981,0.0966427,0.0900208,0.0871957,0.0978858,0.0933052,0.335166,0.335091,1.2,3.02941e-07,0.00588042,0.017771,0.0177718,1.08794e-134,6.25078e-135,1.08771e-134,6.24945e-135,0.0,1.13676
32,train,8,1,True,True,0.029653,0.0297572,-0.000104233,0.0611852,0.0610777,0.0308859,0.030772,0.0297672,0.029663,False,0.0612177125,0.029653,0.0297572,-0.000104233,False,0.061202,0.0611282,0.0615495,0.0611273,0.061128,0.0611408,0.0611381,0.0613278,0.343194,0.343345,1.19701,1.15084,0.00886116,1.38463e-05,1.38466e-05,1.4429e-163,8.29023e-164,1.4426e-163,8.28846e-164,0.0,1.13676
33,train,9,1,True,True,0.0508573,0.050196,0.000661262,0.0822958,0.0829789,0.0122486,0.0119952,0.0502061,0.0508674,True,0.09605538749999999,0.0508573,0.050196,0.000661262,True,0.100196,0.0934272,0.0902769,0.101544,0.094102,0.0908354,0.103177,0.0948846,0.338005,0.337902,1.2,3.02902e-07,0.00690173,0.0193785,0.0193785,2.34385e-126,5.63666e-125,2.34335e-126,5.63546e-125,0.0,1.13676
34,train,10,1,True,True,0.0508382,0.0501773,0.00066082,0.0822762,0.0829588,0.012256,0.0120027,0.0501874,0.0508483,True,0.09602498749999999,0.0508382,0.0501773,0.00066082,True,0.100164,0.0933986,0.09025,0.10151,0.0940729,0.0908069,0.103143,0.0948545,0.338008,0.337904,1.2,3.02902e-07,0.00607961,0.0193604,0.0193604,5.32783e-28,5.32783e-28,2.47914e-27,2.47914e-27,0.0,1.13676
35,train,11,1,True,True,0.0508185,0.0501581,0.00066039,0.0822563,0.0829385,0.0122635,0.0120102,0.0501681,0.0508286,True,0.095994125,0.0508185,0.0501581,0.00066039,True,0.100131,0.0933694,0.090222,0.101477,0.0940431,0.0907784,0.103108,0.0948241,0.33801,0.337906,1.2,3.02902e-07,0.00611719,0.0193417,0.0193417,4.48029e-28,4.48029e-28,3.45243e-28,3.45243e-28,0.0,1.13676
36,final_eval,0,0,False,False,0.0294756,0.0293839,9.16771e-05,0.0608946,0.0608,0.0309012,0.0307872,0.0294856,0.029394,True,0.060846787500000006,0.0294756,0.0293839,9.16771e-05,True,0.060844,0.0608445,0.0608549,0.0608437,0.0608443,0.0608556,0.0608433,0.060844,0.343215,0.343367,1.19701,1.15084,,,,,,,,,
37,final_eval,1,0,False,False,0.0305835,0.0305439,3.95439e-05,0.0620379,0.0619971,0.0308671,0.0307527,0.0305934,0.0305538,True,0.0624875625,0.0305835,0.0305439,3.95439e-05,True,0.0620161,0.0620163,0.0620208,0.0657781,0.0620162,0.0620211,0.0620158,0.0620161,0.342959,0.343097,1.18744,1.14164,,,,,,,,,
38,final_eval,2,0,False,False,0.033948,0.0339754,-2.74473e-05,0.0655097,0.0655381,0.0277285,0.0275632,0.0339577,0.0339852,False,0.0674730625,0.033948,0.0339754,-2.74473e-05,False,0.0777003,0.0655248,0.0655216,0.0673957,0.0655248,0.0670672,0.0655252,0.0655249,0.341763,0.341747,1.17795,1.13992,,,,,,,,,
39,final_eval,3,0,False,False,0.0294522,0.0293605,9.17893e-05,0.0608705,0.0607758,0.0309095,0.0307955,0.0294623,0.0293705,True,0.0608226,0.0294522,0.0293605,9.17893e-05,True,0.0608198,0.0608203,0.0608308,0.0608195,0.0608201,0.0608314,0.0608191,0.0608198,0.343226,0.34338,1.16851,1.13993,,,,,,,,,
40,final_eval,4,0,False,False,0.0294447,0.0293529,9.1826e-05,0.0608625,0.0607678,0.0309123,0.0307982,0.0294547,0.0293629,True,0.06081458749999999,0.0294447,0.0293529,9.1826e-05,True,0.0608118,0.0608123,0.0608227,0.0608115,0.0608121,0.0608234,0.0608111,0.0608118,0.34323,0.343384,1.15917,1.13993,,,,,,,,,
41,final_eval,5,0,False,False,0.0294367,0.0293448,9.18641e-05,0.0608545,0.0607597,0.0309151,0.030801,0.0294467,0.0293549,True,0.06080651250000001,0.0294367,0.0293448,9.18641e-05,True,0.0608037,0.0608042,0.0608147,0.0608034,0.060804,0.0608154,0.060803,0.0608037,0.343233,0.343388,1.14991,1.13993,,,,,,,,,
42,final_eval,6,1,False,False,0.049457,0.0489092,0.000547801,0.0809503,0.0815146,0.034032,0.0336021,0.0489183,0.0494661,True,0.093301725,0.049457,0.0489092,0.000547801,True,0.096961,0.0905337,0.0889451,0.0979376,0.0910951,0.0880973,0.0993149,0.0935291,0.328126,0.329663,1.1405,1.13971,,,,,,,,,
43,final_eval,7,1,False,False,0.0487987,0.0483058,0.000492844,0.0803278,0.0808354,0.00258364,0.00257781,0.0483149,0.0488077,True,0.0920375875,0.0487987,0.0483058,0.000492844,True,0.0955513,0.0891745,0.08836,0.0962525,0.0896731,0.0868644,0.0974838,0.0929411,0.335152,0.335076,1.13989,1.13989,,,,,,,,,
44,final_eval,8,1,False,False,0.0295539,0.0296585,-0.000104645,0.0610834,0.0609754,0.0309194,0.0308052,0.0296685,0.0295639,False,0.061113725,0.0295539,0.0296585,-0.000104645,False,0.061096,0.0610262,0.0614427,0.0610252,0.0610259,0.0610389,0.0610341,0.0612208,0.343197,0.343353,1.13993,1.13993,,,,,,,,,
45,final_eval,9,1,False,False,0.050621,0.0499649,0.000656108,0.0820575,0.0827353,0.02638,0.0260364,0.049975,0.0506311,True,0.09568623749999998,0.050621,0.0499649,0.000656108,True,0.0998052,0.093077,0.0899415,0.101143,0.0937456,0.0904936,0.102763,0.094521,0.333979,0.333887,1.13977,1.13977,,,,,,,,,
46,final_eval,10,1,False,False,0.0506016,0.0499459,0.000655665,0.082038,0.0827153,0.0263916,0.026048,0.049956,0.0506117,True,0.09565606249999999,0.0506016,0.0499459,0.000655665,True,0.0997735,0.0930486,0.0899146,0.10111,0.0937165,0.0904653,0.102729,0.094491,0.33398,0.333888,1.13988,1.13988,,,,,,,,,
