cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.141324,0.139649,0.00167504,0.175964,0.174243,0.00699831,0.00714484,0.141321,0.139646,True,0.0366786875,0.141324,0.139649,0.00167504,True,0.0291262,0.0798826,-4.22333e-38,0.0836267,-3.67711e-38,0.0433731,0.0252852,0.0321357,0.336301,0.336306,1.21834,1.21836
1,initial_eval,1,0,False,False,0.122969,0.120862,0.00210639,0.152379,0.149593,0.0087185,0.00889008,0.122962,0.120856,True,0.066101235,0.122969,0.120862,0.00210639,True,0.0924833,0.0926472,0.00352598,0.157159,0.0164842,0.0829952,0.0464001,0.0371149,0.338616,0.338746,1.20794,1.20798
2,initial_eval,2,0,False,False,0.108182,0.106689,0.00149305,0.0874559,0.0872947,0.0013249,0.00132061,0.108176,0.106683,True,0.154051125,0.108182,0.106689,0.00149305,True,0.198473,0.143974,0.143426,0.170312,0.12189,0.141718,0.152402,0.160214,0.342434,0.34218,1.19774,1.19778
3,initial_eval,3,0,False,False,0.141665,0.139993,0.00167267,0.176187,0.174472,-0.000915688,-0.000770828,0.141659,0.139987,True,0.05048005,0.141665,0.139993,0.00167267,True,0.0420594,0.0714773,0.0438341,0.0682533,0.0199391,0.0613056,0.0461495,0.0508221,0.336274,0.336279,1.18717,1.18723
4,initial_eval,4,0,False,False,0.134334,0.132801,0.00153298,0.167482,0.166018,0.00156447,0.00170229,0.134327,0.132794,True,0.06413519999999999,0.134334,0.132801,0.00153298,True,0.0736042,0.0476224,0.0982556,0.0371844,0.0488761,0.0558144,0.0796561,0.0720684,0.337497,0.337466,1.1769,1.17697
5,initial_eval,5,0,False,False,0.137604,0.136021,0.00158308,0.171576,0.170003,-0.000920305,-0.000762467,0.137596,0.136013,True,0.0590283,0.137604,0.136021,0.00158308,True,0.0704647,0.0674802,0.0705099,0.0322012,0.0354951,0.0517586,0.0684343,0.0758824,0.336862,0.33685,1.16665,1.16673
6,initial_eval,6,1,False,False,0.0981033,0.0992435,-0.00114024,0.0951562,0.0976929,0.00642585,0.00607336,0.0992381,0.0980979,False,0.25521900000000003,0.0981033,0.0992435,-0.00114024,False,0.266947,0.262346,0.216663,0.287739,0.241823,0.236941,0.266947,0.262346,0.337621,0.337384,1.15675,1.15684
7,initial_eval,7,1,False,False,0.0983711,0.0995073,-0.00113624,0.0951553,0.097692,0.00642605,0.00607356,0.0995018,0.0983656,False,0.255216125,0.0983711,0.0995073,-0.00113624,False,0.266944,0.262343,0.216661,0.287736,0.24182,0.236938,0.266944,0.262343,0.337621,0.337384,1.1471,1.14719
8,initial_eval,8,1,False,False,0.122462,0.123741,-0.00127928,0.146751,0.146768,0.00726,0.00744998,0.123734,0.122455,False,0.0863468375,0.122462,0.123741,-0.00127928,False,0.0866501,0.120019,0.0915246,0.0536755,0.0665215,0.0598201,0.116878,0.0956859,0.340201,0.340058,1.13948,1.13948
9,initial_eval,9,1,False,False,0.0963033,0.097518,-0.0012147,0.0951534,0.0976901,0.00642644,0.00607396,0.0975126,0.0962979,False,0.255212,0.0963033,0.097518,-0.0012147,False,0.26694,0.262339,0.216657,0.287731,0.241816,0.236934,0.26694,0.262339,0.337621,0.337384,1.13993,1.13993
10,initial_eval,10,1,False,False,0.0983665,0.0995027,-0.00113618,0.0951525,0.0976891,0.00642664,0.00607416,0.0994972,0.0983611,False,0.25520925,0.0983665,0.0995027,-0.00113618,False,0.266937,0.262336,0.216655,0.287728,0.241814,0.236931,0.266937,0.262336,0.337621,0.337384,1.13974,1.13975
11,initial_eval,11,1,False,False,0.0983646,0.0995008,-0.00113618,0.0951515,0.0976881,0.00642684,0.00607436,0.0994953,0.0983592,False,0.255207125,0.0983646,0.0995008,-0.00113618,False,0.266935,0.262334,0.216653,0.287726,0.241812,0.236929,0.266935,0.262333,0.337621,0.337384,1.13976,1.13976
