cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.0339276,0.0345585,-0.000630975,0.0649884,0.0657747,0.0142394,0.0150311,0.0339257,0.0345572,False,0.0366787,0.0339276,0.0345585,-0.000630975,False,0.0291262,0.0798826,-1.72492e-28,0.0836267,1.43889e-28,0.0433731,0.0252852,0.0321358,0.343477,0.342798,-7.55712e-11,-7.55712e-11
1,initial_eval,1,0,False,False,0.0252789,0.0245446,0.000734331,0.0541436,0.0503631,0.0151588,0.0161119,0.0252775,0.0245432,True,0.066101255,0.0252789,0.0245446,0.000734331,True,0.0924833,0.0926472,0.00352624,0.157159,0.0164842,0.0829951,0.0464001,0.0371149,0.477787,0.681568,-1.24346e-58,-1.24346e-58
2,initial_eval,2,0,False,False,0.0220333,0.0219705,6.28339e-05,0.0461778,0.050204,0.00307554,0.00290709,0.0220321,0.0219693,True,0.154051125,0.0220333,0.0219705,6.28339e-05,True,0.198473,0.143974,0.143426,0.170312,0.12189,0.141718,0.152402,0.160214,0.869394,0.687857,1.50172e-36,-1.19058e-44
3,initial_eval,3,0,False,False,0.0346869,0.0350852,-0.000398338,0.0648402,0.0655768,0.0068978,0.00751774,0.034685,0.0350833,False,0.05048005,0.0346869,0.0350852,-0.000398338,False,0.0420594,0.0714773,0.0438341,0.0682533,0.0199391,0.0613056,0.0461495,0.0508221,0.343622,0.342967,-4.06291e-65,-8.11961e-46
4,initial_eval,4,0,False,False,0.0298047,0.0300972,-0.000292504,0.0530364,0.0550646,0.0101127,0.0108206,0.029803,0.0300955,False,0.06413515,0.0298047,0.0300972,-0.000292504,False,0.0736042,0.0476224,0.0982555,0.0371843,0.048876,0.0558144,0.079656,0.0720684,0.538939,0.421745,1.9041e-71,-1.6264e-71
5,initial_eval,5,0,False,False,0.0316203,0.031945,-0.000324705,0.0578328,0.0595948,0.00817283,0.00876961,0.0316186,0.0319432,False,0.059028287500000005,0.0316203,0.031945,-0.000324705,False,0.0704647,0.0674802,0.0705099,0.0322011,0.0354951,0.0517586,0.0684343,0.0758824,0.357586,0.35269,3.13307e-119,-2.67613e-119
6,initial_eval,6,1,False,False,0.0444907,0.0277884,0.0167023,0.0591998,0.0764796,0.0124024,0.0100067,0.0278038,0.0445067,True,0.25521900000000003,0.0444907,0.0277884,0.0167023,True,0.266947,0.262346,0.216663,0.287739,0.241823,0.236941,0.266947,0.262346,0.344275,0.338224,-5.82955e-46,-5.65512e-46
7,initial_eval,7,1,False,False,0.0444902,0.0277915,0.0166987,0.0591991,0.0764788,0.0124025,0.0100069,0.0278067,0.0445062,True,0.255216875,0.0444902,0.0277915,0.0166987,True,0.266945,0.262344,0.216661,0.287736,0.241821,0.236939,0.266945,0.262344,0.344276,0.338224,-3.31714e-88,-4.97223e-46
8,initial_eval,8,1,False,False,0.0261483,0.0256311,0.000517184,0.040387,0.047822,0.0183316,0.0217775,0.0256297,0.0261469,True,0.086346825,0.0261483,0.0256311,0.000517184,True,0.0866501,0.120019,0.0915246,0.0536755,0.0665214,0.0598201,0.116878,0.0956859,1.06194,0.801592,-2.45063e-36,2.90841e-84
9,initial_eval,9,1,False,False,0.0444884,0.0277862,0.0167023,0.0591976,0.0764772,0.0124028,0.0100075,0.0278016,0.0445044,True,0.255212,0.0444884,0.0277862,0.0167023,True,0.26694,0.262339,0.216657,0.287731,0.241816,0.236934,0.26694,0.262339,0.344277,0.338224,1.03397e-36,-1.73876e-36
