cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,-4.64715e-218,-4.64715e-218,0.0,0.0183011,0.0121994,0.018405,0.0112846,-2.00595e-115,-4.6469e-218,False,0.036678712499999995,-4.64715e-218,-4.64715e-218,0.0,False,0.0291263,0.0798826,4.3031e-28,0.0836267,-3.96167e-28,0.0433731,0.0252852,0.0321358,1.19801,1.19801,-2.76082e-88,-1.82692e-53
1,initial_eval,1,0,False,False,0.0253782,-2.14132e-181,0.0253782,0.0564923,0.00927368,0.0320326,0.009084,0.0253814,-2.1412e-181,True,0.06610126625,0.0253782,-2.14132e-181,0.0253782,True,0.0924833,0.0926472,0.00352623,0.157159,0.0164842,0.0829952,0.0464001,0.0371149,0.348891,1.2,-8.85171e-62,-3.00607e-101
2,initial_eval,2,0,False,False,0.00113731,0.0165761,-0.0154388,0.0316078,0.0477415,0.0068609,0.0183668,0.00114868,0.0166091,False,0.15405125,0.00113731,0.0165761,-0.0154388,False,0.198473,0.143974,0.143426,0.170313,0.12189,0.141718,0.152402,0.160214,1.19678,0.803101,2.71706e-96,-2.74026e-147
3,initial_eval,3,0,False,False,-7.11299e-28,-1.06846e-26,9.97327e-27,0.0110439,0.00921639,0.0106753,0.00880686,-7.1126e-28,-1.0684e-26,True,0.05048005,-7.11299e-28,-1.06846e-26,9.97327e-27,True,0.0420594,0.0714773,0.0438341,0.0682533,0.0199391,0.0613056,0.0461495,0.0508221,1.2,1.2,-6.13154e-104,1.27934e-74
4,initial_eval,4,0,False,False,4.39103e-52,6.59587e-51,-6.15676e-51,0.00736465,0.024456,0.0076015,0.0215175,4.39079e-52,6.5955e-51,False,0.064135175,4.39103e-52,6.59587e-51,-6.15676e-51,False,0.0736042,0.0476224,0.0982556,0.0371843,0.0488761,0.0558144,0.079656,0.0720684,1.2,1.2,-2.40346e-70,4.28956e-54
5,initial_eval,5,0,False,False,-2.7107e-76,-4.0718e-75,3.80073e-75,0.00709378,0.0188339,0.00730343,0.0181836,-2.71055e-76,-4.07158e-75,True,0.0590283,-2.7107e-76,-4.0718e-75,3.80073e-75,True,0.0704647,0.0674802,0.0705099,0.0322012,0.0354951,0.0517586,0.0684343,0.0758824,1.2,1.2,2.66572e-70,-6.2467e-61
6,initial_eval,6,1,False,False,0.060774,0.00725479,0.0535192,0.0379739,0.0933102,0.0181263,0.0303794,0.00726879,0.0607906,True,0.25521900000000003,0.060774,0.00725479,0.0535192,True,0.266947,0.262346,0.216663,0.287739,0.241823,0.236941,0.266947,0.262346,1.11884,0.330888,-8.97796e-64,-1.02785e-108
7,initial_eval,7,1,False,False,0.0607733,0.0072543,0.053519,0.0379734,0.0933095,0.0191094,0.0316878,0.00726835,0.06079,True,0.255216875,0.0607733,0.0072543,0.053519,True,0.266945,0.262344,0.216661,0.287736,0.241821,0.236939,0.266945,0.262344,1.11893,0.329205,-1.35499e-70,-1.10683e-124
8,initial_eval,8,1,False,False,0.0142106,-4.57458e-27,0.0142106,0.00718286,0.0452722,0.00804928,0.0386442,-4.57433e-27,0.0142302,True,0.086346825,0.0142106,-4.57458e-27,0.0142106,True,0.0866501,0.120019,0.0915246,0.0536755,0.0665214,0.0598201,0.116878,0.0956859,1.2,0.870625,-3.84779e-70,1.13862e-44
9,initial_eval,9,1,False,False,0.0607719,0.00725337,0.0535186,0.0379724,0.093308,0.0123608,0.017742,0.00726753,0.0607886,True,0.255212,0.0607719,0.00725337,0.0535186,True,0.26694,0.262339,0.216657,0.287731,0.241816,0.236934,0.26694,0.262339,1.11909,0.335924,8.09852e-53,1.87351e-92
10,initial_eval,10,1,False,False,0.0607712,0.00725289,0.0535183,0.0379719,0.0933072,0.0123608,0.0177423,0.00726705,0.0607879,True,0.25520974999999996,0.0607712,0.00725289,0.0535183,True,0.266938,0.262336,0.216655,0.287729,0.241814,0.236932,0.266938,0.262336,1.1191,0.335924,1.23127e-62,3.08274e-140
11,initial_eval,11,1,False,False,0.0607704,0.00725241,0.053518,0.0379714,0.0933064,0.0123608,0.0177426,0.00726656,0.0607871,True,0.25520724999999994,0.0607704,0.00725241,0.053518,True,0.266935,0.262334,0.216653,0.287726,0.241812,0.236929,0.266935,0.262334,1.11911,0.335925,-7.89282e-63,5.07243e-188
12,final_eval,0,0,False,False,-4.57334e-27,-4.20137e-26,3.74404e-26,0.0182951,0.0122019,0.0183998,0.0112868,-4.57309e-27,-4.20114e-26,True,0.0366706875,-4.57334e-27,-4.20137e-26,3.74404e-26,True,0.0291126,0.079879,-1.94983e-25,0.0836151,-2.27348e-25,0.0433593,0.0252772,0.0321223,1.2,1.2,1.94777e-98,6.80605e-62
13,final_eval,1,0,False,False,0.0253852,2.59362e-50,0.0253852,0.056499,0.00927138,0.0320353,0.00908179,0.0253884,2.59347e-50,True,0.06608193875,0.0253852,2.59362e-50,0.0253852,True,0.0924564,0.0926323,0.00350781,0.157149,0.0164661,0.0829684,0.0463834,0.0370921,0.348857,1.2,-3.19717e-121,1.12104e-109
14,final_eval,2,0,False,False,0.00113243,0.0165606,-0.0154282,0.0316024,0.0477255,0.0117938,0.0203477,0.00114375,0.0165933,False,0.15401625000000002,0.00113243,0.0165606,-0.0154282,False,0.198448,0.143933,0.143402,0.170269,0.121849,0.141687,0.152362,0.16018,1.19681,0.802645,-8.43327e-88,-3.70457e-78
15,final_eval,3,0,False,False,-7.08237e-28,-1.06741e-26,9.96585e-27,0.0110381,0.00921443,0.0106703,0.00880441,-7.08198e-28,-1.06735e-26,True,0.0504674,-7.08237e-28,-1.06741e-26,9.96585e-27,True,0.0420506,0.0714675,0.0438235,0.0682358,0.0199272,0.0612862,0.0461407,0.0508077,1.2,1.2,-7.78164e-114,1.95497e-74
16,final_eval,4,0,False,False,4.37213e-52,6.58939e-51,-6.15218e-51,0.00736325,0.0244533,0.00759993,0.0215161,4.37189e-52,6.58903e-51,False,0.06412011249999999,4.37213e-52,6.58939e-51,-6.15218e-51,False,0.0735974,0.047597,0.0982424,0.037168,0.0488596,0.0557994,0.0796417,0.0720554,1.2,1.2,-2.33485e-70,6.86934e-63
17,final_eval,5,0,False,False,-2.69903e-76,-4.0678e-75,3.7979e-75,0.00709153,0.0188264,0.00730118,0.0181769,-2.69888e-76,-4.06758e-75,True,0.05901255,-2.69903e-76,-4.0678e-75,3.7979e-75,True,0.0704516,0.0674584,0.070495,0.0321902,0.0354756,0.0517456,0.0684146,0.0758694,1.2,1.2,-6.76674e-61,2.04365e-52
18,final_eval,6,1,False,False,0.0607648,0.00724895,0.0535159,0.0379678,0.0933008,0.0170272,0.0268771,0.00726302,0.0607814,True,0.25519075,0.0607648,0.00724895,0.0535159,True,0.266919,0.262316,0.216639,0.287707,0.241797,0.236913,0.266919,0.262316,1.11911,0.333892,-1.11342e-108,3.36269e-100
19,final_eval,7,1,False,False,0.0607641,0.00724846,0.0535157,0.0379673,0.0933,0.0123609,0.0177451,0.00726262,0.0607808,True,0.25518875,0.0607641,0.00724846,0.0535157,True,0.266917,0.262314,0.216637,0.287705,0.241795,0.236911,0.266917,0.262314,1.11919,0.335925,5.79097e-53,5.53308e-148
20,final_eval,8,1,False,False,0.0142028,-4.57091e-27,0.0142028,0.00717939,0.0452643,0.00804513,0.0386443,-4.57066e-27,0.0142224,True,0.08632814999999999,0.0142028,-4.57091e-27,0.0142028,True,0.0866354,0.119987,0.0915133,0.0536527,0.0665011,0.0598047,0.116856,0.095675,1.2,0.870933,9.57185e-45,-1.33918e-69
21,final_eval,9,1,False,False,0.0607628,0.00724753,0.0535152,0.0379663,0.0932985,0.012361,0.0177458,0.00726168,0.0607795,True,0.255183875,0.0607628,0.00724753,0.0535152,True,0.266912,0.262309,0.216633,0.2877,0.24179,0.236906,0.266912,0.262309,1.11921,0.335925,-2.64748e-53,-2.20354e-117
22,final_eval,10,1,False,False,0.060762,0.00724705,0.0535149,0.0379658,0.0932977,0.012361,0.0177461,0.0072612,0.0607787,True,0.255181625,0.060762,0.00724705,0.0535149,True,0.26691,0.262307,0.216631,0.287697,0.241788,0.236904,0.26691,0.262306,1.11923,0.335925,-4.4668e-63,-3.62577e-165
23,final_eval,11,1,False,False,0.0607612,0.00724656,0.0535147,0.0379653,0.0932969,0.012361,0.0177464,0.00726072,0.0607779,True,0.25517925,0.0607612,0.00724656,0.0535147,True,0.266908,0.262304,0.216629,0.287694,0.241786,0.236901,0.266908,0.262304,1.11924,0.335925,-2.08763e-70,-4.86695e-179
