cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.0203073,-4.64715e-218,0.0203073,0.0342031,0.0089744,0.0288444,0.00956079,0.0203062,-1.72705e-162,True,0.036678712499999995,0.0203073,-4.64715e-218,0.0203073,True,0.0291263,0.0798826,-1.60437e-86,0.0836267,1.71573e-86,0.0433731,0.0252852,0.0321358,1.1736,1.19801,4.16494e-80,1.82956e-53
1,initial_eval,1,0,False,False,0.027683,-9.31803e-187,0.027683,0.0587994,0.00801811,0.0345625,0.00839589,0.0276842,-9.31751e-187,True,0.06610126625,0.027683,-9.31803e-187,0.027683,True,0.0924833,0.0926472,0.00352623,0.157159,0.0164842,0.0829952,0.0464001,0.0371149,0.33441,1.2,-1.86978e-61,4.76277e-80
2,initial_eval,2,0,False,False,0.0105939,0.012779,-0.00218512,0.0335396,0.0438167,0.00702861,0.0135588,0.0105933,0.0128119,False,0.15405125,0.0105939,0.012779,-0.00218512,False,0.198473,0.143974,0.143426,0.170313,0.12189,0.141718,0.152402,0.160214,1.18353,0.958277,4.34154e-80,-2.20887e-114
3,initial_eval,3,0,False,False,0.0219924,-8.17801e-27,0.0219924,0.0282446,0.00731068,0.0194378,0.00795504,0.0219912,-8.17756e-27,True,0.05048005,0.0219924,-8.17801e-27,0.0219924,True,0.0420594,0.0714773,0.0438341,0.0682533,0.0199391,0.0613056,0.0461495,0.0508221,1.19769,1.2,4.30789e-80,3.48925e-74
4,initial_eval,4,0,False,False,0.0181678,5.0485e-51,0.0181678,0.0170085,0.0187792,0.0126664,0.0191723,0.0181668,5.04822e-51,True,0.064135175,0.0181678,5.0485e-51,0.0181678,True,0.0736042,0.0476224,0.0982556,0.0371843,0.0488761,0.0558144,0.079656,0.0720684,1.19876,1.2,-3.28876e-79,1.92802e-114
5,initial_eval,5,0,False,False,0.0204814,-3.11657e-75,0.0204814,0.0175821,0.0149271,0.0127764,0.0164139,0.0204803,-3.1164e-75,True,0.0590283,0.0204814,-3.11657e-75,0.0204814,True,0.0704647,0.0674802,0.0705099,0.0322012,0.0354951,0.0517586,0.0684343,0.0758824,1.19846,1.2,8.96718e-53,-1.46017e-52
6,initial_eval,6,1,False,False,0.0557288,0.00917747,0.0465513,0.0389556,0.0881078,0.0143945,0.0169119,0.00917696,0.0557452,True,0.25521900000000003,0.0557288,0.00917747,0.0465513,True,0.266947,0.262346,0.216663,0.287739,0.241823,0.236941,0.266947,0.262346,1.09744,0.336821,-5.7588e-62,-2.40261e-100
7,initial_eval,7,1,False,False,0.0557282,0.00912447,0.0466037,0.038955,0.0881072,0.0143945,0.0169121,0.00912397,0.0557446,True,0.255216875,0.0557282,0.00912447,0.0466037,True,0.266945,0.262344,0.216661,0.287736,0.241821,0.236939,0.266945,0.262344,1.09745,0.336821,-4.00056e-62,-3.95333e-148
8,initial_eval,8,1,False,False,0.00555016,0.0132577,-0.00770756,0.0128598,0.0363367,0.0124041,0.0336794,0.013257,0.00557336,False,0.086346825,0.00555016,0.0132577,-0.00770756,False,0.0866501,0.120019,0.0915246,0.0536755,0.0665214,0.0598201,0.116878,0.0956859,1.19931,1.14305,3.76851e-81,-7.96707e-87
9,initial_eval,9,1,False,False,0.055727,0.0111577,0.0445693,0.038954,0.0881058,0.0143945,0.0169126,0.0111571,0.0557434,True,0.255212,0.055727,0.0111577,0.0445693,True,0.26694,0.262339,0.216657,0.287731,0.241816,0.236934,0.26694,0.262339,1.09736,0.336821,1.79753e-70,-7.88493e-120
10,initial_eval,10,1,False,False,0.0557262,0.00912273,0.0466034,0.0389534,0.0881051,0.0143945,0.0169128,0.00912223,0.0557426,True,0.25520974999999996,0.0557262,0.00912273,0.0466034,True,0.266938,0.262336,0.216655,0.287729,0.241814,0.236932,0.266938,0.262336,1.09749,0.336821,-6.5976e-62,-1.29741e-167
11,initial_eval,11,1,False,False,0.0557255,0.0091222,0.0466033,0.0389529,0.0881044,0.0143946,0.016913,0.00912169,0.0557419,True,0.25520724999999994,0.0557255,0.0091222,0.0466033,True,0.266935,0.262334,0.216653,0.287726,0.241812,0.236929,0.266935,0.262334,1.0975,0.336821,1.03538e-61,7.75327e-191
12,final_eval,0,0,False,False,0.0202928,-3.82237e-26,0.0202928,0.0341922,0.00897532,0.0288398,0.00956163,0.0202917,-3.82216e-26,True,0.0366706875,0.0202928,-3.82237e-26,0.0202928,True,0.0291126,0.079879,-1.94418e-25,0.0836151,-2.27432e-25,0.0433593,0.0252772,0.0321223,1.17569,1.2,3.7874e-81,-4.6562e-45
13,final_eval,1,0,False,False,0.0276863,2.35965e-50,0.0276863,0.0588026,0.00801581,0.0345652,0.00839359,0.0276875,2.35952e-50,True,0.06608192624999999,0.0276863,2.35965e-50,0.0276863,True,0.0924564,0.0926323,0.00350781,0.157149,0.0164661,0.0829684,0.0463833,0.0370921,0.334394,1.2,3.79486e-81,-7.66146e-93
14,final_eval,2,0,False,False,0.0135929,0.0127644,0.00082851,0.0335337,0.0438016,0.00702897,0.0135735,0.0135921,0.0127973,True,0.15401625000000002,0.0135929,0.0127644,0.00082851,True,0.198448,0.143933,0.143402,0.170269,0.121849,0.141687,0.152362,0.16018,1.18341,0.958801,1.63254e-81,-7.75342e-113
15,final_eval,3,0,False,False,0.0219796,-8.16844e-27,0.0219796,0.0282405,0.00730831,0.0194378,0.0079522,0.0219784,-8.16799e-27,True,0.0504674,0.0219796,-8.16844e-27,0.0219796,True,0.0420506,0.0714675,0.0438235,0.0682358,0.0199272,0.0612862,0.0461407,0.0508077,1.1977,1.2,4.31149e-80,3.573e-74
16,final_eval,4,0,False,False,0.0181553,5.04259e-51,0.0181553,0.0170077,0.0187755,0.0126668,0.0191694,0.0181543,5.04232e-51,True,0.06412011249999999,0.0181553,5.04259e-51,0.0181553,True,0.0735974,0.047597,0.0982424,0.037168,0.0488596,0.0557994,0.0796417,0.0720554,1.19876,1.2,7.98289e-62,5.58149e-94
17,final_eval,5,0,False,False,0.02047,-3.11292e-75,0.02047,0.0175802,0.01492,0.0127756,0.0164068,0.0204689,-3.11275e-75,True,0.05901255,0.02047,-3.11292e-75,0.02047,True,0.0704516,0.0674584,0.070495,0.0321902,0.0354756,0.0517456,0.0684146,0.0758694,1.19846,1.2,4.31649e-80,1.0037e-86
18,final_eval,6,1,False,False,0.0557206,0.00916799,0.0465526,0.038949,0.0880994,0.0143946,0.0169147,0.00916749,0.055737,True,0.25519075,0.0557206,0.00916799,0.0465526,True,0.266919,0.262316,0.216639,0.287707,0.241797,0.236913,0.266919,0.262316,1.09759,0.336822,9.65244e-62,1.65152e-134
19,final_eval,7,1,False,False,0.0557201,0.00911751,0.0466026,0.0389485,0.0880988,0.0143946,0.0169149,0.009117,0.0557365,True,0.25518875,0.0557201,0.00911751,0.0466026,True,0.266917,0.262314,0.216637,0.287705,0.241795,0.236911,0.266917,0.262314,1.0976,0.336822,2.82709e-62,-2.93074e-179
20,final_eval,8,1,False,False,0.00554248,0.0132474,-0.00770488,0.0128559,0.0363288,0.0124002,0.033676,0.0132466,0.00556569,False,0.08632814999999999,0.00554248,0.0132474,-0.00770488,False,0.0866354,0.119987,0.0915133,0.0536527,0.0665011,0.0598047,0.116856,0.095675,1.19931,1.14319,1.09383e-70,-2.03426e-102
