cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_1000ps,other_out_1000ps,margin_1000ps,correct_1000ps,target_out_1500ps,other_out_1500ps,margin_1500ps,correct_1500ps,target_out_2000ps,other_out_2000ps,margin_2000ps,correct_2000ps,target_out_2500ps,other_out_2500ps,margin_2500ps,correct_2500ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3500ps,other_out_3500ps,margin_3500ps,correct_3500ps,target_out_4000ps,other_out_4000ps,margin_4000ps,correct_4000ps,target_out_4500ps,other_out_4500ps,margin_4500ps,correct_4500ps,target_out_5000ps,other_out_5000ps,margin_5000ps,correct_5000ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.00180912,-4.64761e-218,0.00180912,0.0221555,0.00984203,0.0222982,0.0102907,0.00180884,-4.6469e-218,True,0.0344643375,0.00180912,-4.64761e-218,0.00180912,True,0.00180907,-4.64749e-218,0.00180907,True,0.00180903,-4.64737e-218,0.00180903,True,0.00180898,-4.64726e-218,0.00180898,True,0.00180894,-4.64715e-218,0.00180894,True,0.00180889,-4.64703e-218,0.00180889,True,0.00180884,-4.64691e-218,0.00180884,True,0.0018088,-4.64679e-218,0.0018088,True,0.00180875,-4.64668e-218,0.00180875,True,0.0262447,0.0768097,4.48859e-28,0.0805437,-3.73052e-28,0.0404213,0.0224407,0.0292546,1.19794,1.19801,-1.11436e-96,-9.69053e-54
1,initial_eval,1,0,False,False,0.023802,5.36311e-172,0.023802,0.0575112,0.00804456,0.0324822,0.00869989,0.0253837,5.36229e-172,True,0.06328368625,0.023802,5.36311e-172,0.023802,True,0.0250215,5.36298e-172,0.0250215,True,0.0252432,5.36284e-172,0.0252432,True,0.0253348,5.36271e-172,0.0253348,True,0.0253806,5.36259e-172,0.0253806,True,0.0253844,5.36244e-172,0.0253844,True,0.0253838,5.3623e-172,0.0253838,True,0.0253832,5.36217e-172,0.0253832,True,0.0253825,5.36203e-172,0.0253825,True,0.0893801,0.0895604,0.00198119,0.154024,0.0138149,0.0799272,0.0433885,0.0341932,0.347856,1.2,-3.33699e-61,-1.59451e-101
2,initial_eval,2,0,False,False,0.000584329,0.00979912,-0.00921479,0.0315849,0.0447308,0.0163952,0.0255987,0.00141433,0.0150415,False,0.15091575000000002,0.000584329,0.00979912,-0.00921479,False,0.000959388,0.0135371,-0.0125777,False,0.00118268,0.0144188,-0.0132361,False,0.00131994,0.0148096,-0.0134896,False,0.00140368,0.0150122,-0.0136085,False,0.00141437,0.0150419,-0.0136276,False,0.00141433,0.0150416,-0.0136272,False,0.0014143,0.0150412,-0.0136269,False,0.00141426,0.0150408,-0.0136265,False,0.195333,0.140839,0.140291,0.167176,0.11876,0.138583,0.149268,0.157076,1.19562,0.873241,1.87793e-77,-2.62365e-149
3,initial_eval,3,0,False,False,0.00223336,-9.64735e-27,0.00223336,0.0160627,0.00734364,0.0137792,0.0083251,0.00223302,-9.64587e-27,True,0.04751675,0.00223336,-9.64735e-27,0.00223336,True,0.00223331,-9.6471e-27,0.00223331,True,0.00223325,-9.64686e-27,0.00223325,True,0.0022332,-9.64662e-27,0.0022332,True,0.00223315,-9.6464e-27,0.00223315,True,0.00223308,-9.64614e-27,0.00223308,True,0.00223303,-9.6459e-27,0.00223303,True,0.00223297,-9.64565e-27,0.00223297,True,0.00223292,-9.64541e-27,0.00223292,True,0.0390943,0.0684311,0.0408783,0.0652151,0.0172125,0.0582973,0.0431657,0.0478397,1.19991,1.2,3.09001e-125,4.65556e-74
4,initial_eval,4,0,False,False,0.00108366,5.95556e-51,0.00108366,0.010003,0.0204612,0.00962474,0.0201346,0.00108349,5.95465e-51,True,0.061098175000000005,0.00108366,5.95556e-51,0.00108366,True,0.00108363,5.95541e-51,0.00108363,True,0.0010836,5.95526e-51,0.0010836,True,0.00108358,5.95511e-51,0.00108358,True,0.00108355,5.95498e-51,0.00108355,True,0.00108352,5.95481e-51,0.00108352,True,0.00108349,5.95466e-51,0.00108349,True,0.00108347,5.95451e-51,0.00108347,True,0.00108344,5.95436e-51,0.00108344,True,0.0705278,0.0446166,0.0951628,0.0342369,0.0458732,0.0527958,0.0765772,0.0689951,1.19996,1.2,1.49229e-79,2.44278e-113
5,initial_eval,5,0,False,False,0.00202435,-3.67652e-75,0.00202435,0.0100073,0.0154491,0.00949928,0.0171564,0.00202404,-3.67596e-75,True,0.05600279999999999,0.00202435,-3.67652e-75,0.00202435,True,0.0020243,-3.67643e-75,0.0020243,True,0.00202425,-3.67634e-75,0.00202425,True,0.0020242,-3.67625e-75,0.0020242,True,0.00202416,-3.67616e-75,0.00202416,True,0.0020241,-3.67606e-75,0.0020241,True,0.00202405,-3.67597e-75,0.00202405,True,0.002024,-3.67588e-75,0.002024,True,0.00202395,-3.67578e-75,0.00202395,True,0.0673976,0.0644091,0.0674524,0.0292852,0.0325538,0.0487526,0.0653642,0.0728075,1.19992,1.2,-1.78748e-45,1.43656e-44
6,initial_eval,6,1,False,False,0.0538435,0.00474705,0.0490964,0.0379042,0.0905562,0.0131692,0.0169748,0.00732977,0.0592892,True,0.252057625,0.0538435,0.00474705,0.0490964,True,0.0578405,0.00649896,0.0513416,True,0.0587025,0.00697628,0.0517262,True,0.0590787,0.007198,0.0518807,True,0.0592726,0.00731561,0.051957,True,0.0592908,0.00732997,0.0519608,True,0.0592893,0.00732979,0.0519595,True,0.0592878,0.0073296,0.0519582,True,0.0592863,0.00732942,0.0519569,True,0.263792,0.259178,0.213507,0.284574,0.238666,0.233774,0.263792,0.259178,1.11778,0.336273,3.01185e-62,2.36376e-92
7,initial_eval,7,1,False,False,0.0538521,0.00473678,0.0491153,0.0379044,0.0905598,0.0131692,0.016975,0.00732911,0.0592887,True,0.252066625,0.0538521,0.00473678,0.0491153,True,0.0578415,0.00649697,0.0513446,True,0.0587024,0.00697523,0.0517272,True,0.0590784,0.00719722,0.0518812,True,0.0592721,0.00731494,0.0519572,True,0.0592903,0.00732931,0.051961,True,0.0592888,0.00732913,0.0519597,True,0.0592873,0.00732894,0.0519584,True,0.0592859,0.00732876,0.0519571,True,0.263801,0.259188,0.213514,0.284584,0.238674,0.233783,0.263801,0.259188,1.11779,0.336273,-9.96684e-62,3.88941e-140
8,initial_eval,8,1,False,False,0.00536784,0.0007021,0.00466574,0.00841677,0.0396939,0.00956118,0.0355787,0.000701992,0.0100263,True,0.08326733750000001,0.00536784,0.0007021,0.00466574,True,0.00862397,0.000702082,0.00792189,True,0.00944556,0.000702065,0.0087435,True,0.00981387,0.000702047,0.00911182,True,0.0100056,0.000702031,0.00930353,True,0.0100266,0.000702012,0.00932455,True,0.0100263,0.000701994,0.00932431,True,0.0100261,0.000701976,0.00932408,True,0.0100258,0.000701959,0.00932384,True,0.0835599,0.116894,0.08844,0.0506419,0.0634643,0.0567931,0.113754,0.0925915,1.19998,1.03442,1.47014e-95,-7.46647e-95
9,initial_eval,9,1,False,False,0.0538507,0.00478479,0.0490659,0.0379036,0.0905592,0.0131692,0.0169755,0.00732914,0.0592873,True,0.2520645,0.0538507,0.00478479,0.0490659,True,0.0578403,0.00650434,0.051336,True,0.0587011,0.00697749,0.0517236,True,0.059077,0.00719794,0.0518791,True,0.0592707,0.00731504,0.0519557,True,0.0592889,0.00732934,0.0519596,True,0.0592874,0.00732916,0.0519583,True,0.0592859,0.00732897,0.051957,True,0.0592844,0.00732879,0.0519557,True,0.2638,0.259185,0.213511,0.284583,0.238672,0.23378,0.2638,0.259185,1.1178,0.336274,1.83288e-70,-1.22856e-142
10,initial_eval,10,1,False,False,0.0538499,0.00473547,0.0491144,0.0379028,0.0905575,0.0131692,0.0169758,0.00732762,0.0592865,True,0.252059875,0.0538499,0.00473547,0.0491144,True,0.0578394,0.00649551,0.0513438,True,0.0587003,0.00697374,0.0517265,True,0.0590762,0.00719573,0.0518805,True,0.0592699,0.00731345,0.0519565,True,0.0592881,0.00732782,0.0519603,True,0.0592866,0.00732763,0.051959,True,0.0592852,0.00732745,0.0519577,True,0.0592837,0.00732727,0.0519564,True,0.263795,0.259181,0.213508,0.284576,0.238667,0.233776,0.263795,0.259181,1.11782,0.336274,-7.60664e-62,2.52599e-160
11,initial_eval,11,1,False,False,0.0538491,0.00473505,0.0491141,0.0379023,0.0905568,0.0131692,0.016976,0.00732712,0.0592858,True,0.252057375,0.0538491,0.00473505,0.0491141,True,0.0578386,0.00649502,0.0513436,True,0.0586995,0.00697325,0.0517263,True,0.0590755,0.00719524,0.0518803,True,0.0592692,0.00731295,0.0519563,True,0.0592874,0.00732732,0.0519601,True,0.0592859,0.00732714,0.0519588,True,0.0592844,0.00732695,0.0519575,True,0.0592829,0.00732677,0.0519562,True,0.263792,0.259178,0.213506,0.284574,0.238665,0.233774,0.263792,0.259178,1.11783,0.336274,-4.08635e-62,4.41658e-160
12,final_eval,0,0,False,False,0.00180335,-4.08839e-26,0.00180335,0.0221471,0.00984364,0.022292,0.010292,0.00180307,-4.08776e-26,True,0.0344563625,0.00180335,-4.08839e-26,0.00180335,True,0.0018033,-4.08829e-26,0.0018033,True,0.00180326,-4.08818e-26,0.00180326,True,0.00180321,-4.08808e-26,0.00180321,True,0.00180317,-4.08799e-26,0.00180317,True,0.00180312,-4.08788e-26,0.00180312,True,0.00180308,-4.08777e-26,0.00180308,True,0.00180303,-4.08767e-26,0.00180303,True,0.00180299,-4.08757e-26,0.00180299,True,0.0262312,0.0768061,-1.94437e-25,0.0805321,-2.27455e-25,0.0404075,0.0224328,0.0292412,1.19993,1.2,2.31132e-89,2.2128e-44
