cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.043189,-1.00745e-147,0.043189,0.0751455,0.0089744,0.0751424,0.00956079,0.0434005,-1.00739e-147,True,0.036678712499999995,0.043189,-1.00745e-147,0.043189,True,0.0291263,0.0798826,8.8943e-38,0.0836267,-7.25806e-38,0.0433731,0.0252852,0.0321358,0.00839116,1.19801,-1.45415e-99,1.014e-44
1,initial_eval,1,0,False,False,0.0431874,6.21923e-172,0.0431874,0.0751439,0.00801811,0.0751409,0.00839599,0.043399,6.21889e-172,True,0.06610125374999999,0.0431874,6.21923e-172,0.0431874,True,0.0924833,0.0926472,0.00352623,0.157159,0.0164842,0.0829951,0.0464001,0.0371149,0.00839152,1.2,3.56162e-54,-2.67526e-63
2,initial_eval,2,0,False,False,0.0431859,0.012779,0.0304069,0.0751423,0.0438167,0.0751392,0.0253566,0.0433974,0.0128111,True,0.15405125,0.0431859,0.012779,0.0304069,True,0.198473,0.143974,0.143426,0.170313,0.12189,0.141718,0.152402,0.160214,0.00839189,0.959455,-2.05296e-52,-2.20729e-63
3,initial_eval,3,0,False,False,0.0431845,-8.17751e-27,0.0431845,0.0751408,0.00731068,0.0751378,0.00795504,0.043396,-8.17706e-27,True,0.05048005,0.0431845,-8.17751e-27,0.0431845,True,0.0420594,0.0714773,0.0438341,0.0682533,0.0199391,0.0613056,0.0461495,0.0508221,0.00839222,1.2,1.01891e-52,-3.62804e-63
4,initial_eval,4,0,False,False,0.0431899,5.04819e-51,0.0431899,0.0751408,0.0187792,0.0751376,0.0191723,0.043398,5.04791e-51,True,0.064135175,0.0431899,5.04819e-51,0.0431899,True,0.0736042,0.0476224,0.0982556,0.0371843,0.0488761,0.0558144,0.079656,0.0720684,0.00839225,1.2,-1.08513e-97,-1.96104e-45
5,initial_eval,5,0,False,False,0.0431815,-3.11638e-75,0.0431815,0.0751377,0.0149271,0.0751347,0.0164139,0.043393,-3.11621e-75,True,0.0590283,0.0431815,-3.11638e-75,0.0431815,True,0.0704647,0.0674802,0.0705099,0.0322012,0.0354951,0.0517586,0.0684343,0.0758824,0.00839292,1.2,1.61388e-54,-5.23146e-63
6,initial_eval,6,1,False,False,0.0557288,0.04318,0.0125488,0.0751361,0.0881078,0.0751334,0.0297875,0.0433916,0.0557452,True,0.25521900000000003,0.0557288,0.04318,0.0125488,True,0.266947,0.262346,0.216663,0.287739,0.241823,0.236941,0.266947,0.262346,0.00839322,0.331765,4.23436e-55,-2.36755e-63
7,initial_eval,7,1,False,False,0.0557284,0.0431795,0.0125489,0.0751348,0.0881072,0.0751317,0.0169121,0.0433904,0.0557448,True,0.255217,0.0557284,0.0431795,0.0125489,True,0.266945,0.262344,0.216661,0.287737,0.241821,0.236939,0.266945,0.262344,0.0083936,0.336821,-4.55904e-54,-6.53948e-64
8,initial_eval,8,1,False,False,0.00555017,0.0431769,-0.0376268,0.075133,0.0363367,0.0751303,0.0336795,0.0433886,0.00557337,False,0.086346825,0.00555017,0.0431769,-0.0376268,False,0.0866501,0.120019,0.0915246,0.0536755,0.0665214,0.0598201,0.116878,0.0956859,0.0083939,1.14305,-6.94887e-99,-9.30887e-55
9,initial_eval,9,1,False,False,0.055727,0.0431827,0.0125443,0.075133,0.0881058,0.0751299,0.0169126,0.0433906,0.0557434,True,0.255212,0.055727,0.0431827,0.0125443,True,0.26694,0.262339,0.216657,0.287731,0.241816,0.236934,0.26694,0.262339,0.00839401,0.336821,1.68376e-70,-1.53171e-102
