cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.0502256,-1.57569e-198,0.0502256,0.0828651,0.0117649,0.0828817,0.00173217,0.0507659,-1.57561e-198,True,0.0361863625,0.0502256,-1.57569e-198,0.0502256,True,0.082863,0.0161526,0.0117651,0.0828677,0.011765,0.0593212,0.0119724,0.0127839,0.00696408,1.19801,-2.19869e-227,-1.97485e-153
1,initial_eval,1,0,False,False,0.122034,-6.77406e-123,0.122034,0.156759,0.0117629,0.156762,0.0011896,0.122504,-6.77368e-123,True,0.056973575000000005,0.122034,-6.77406e-123,0.122034,True,0.148332,0.0178126,0.0117629,0.156764,0.0118055,0.0829961,0.0130186,0.0132969,0.00275387,1.2,5.20175e-120,-2.30646e-83
2,initial_eval,2,0,False,False,0.0250454,0.04167,-0.0166246,0.0527608,0.0734817,0.030456,0.0268387,0.025044,0.0416789,False,0.09269398750000002,0.0250454,0.04167,-0.0166246,False,0.091181,0.0790587,0.100598,0.074733,0.0782804,0.131998,0.0806238,0.105079,0.572153,0.354899,8.55913e-168,5.82599e-73
3,initial_eval,3,0,False,False,0.0354617,-2.79591e-26,0.0354617,0.067594,0.0166839,0.0676115,0.00345247,0.0359678,-2.79575e-26,True,0.036072312499999995,0.0354617,-2.79591e-26,0.0354617,True,0.0675924,0.0196334,0.0186569,0.0675958,0.0167065,0.061314,0.0176187,0.0194608,0.0106155,1.2,3.12792e-81,6.53409e-82
4,initial_eval,4,0,False,False,0.00130085,0.0171196,-0.0158187,0.0267921,0.0481578,0.025807,0.0309684,0.00130077,0.0171303,False,0.042763225,0.00130085,0.0171196,-0.0158187,False,0.0309065,0.0481578,0.0567677,0.0270007,0.0481605,0.0316385,0.0493261,0.050148,1.19808,0.795666,1.25224e-110,-3.99007e-78
5,initial_eval,5,0,False,False,0.0131238,0.00662375,0.00650009,0.044182,0.0371777,0.0440987,0.0173909,0.0133187,0.00662891,True,0.04134863749999999,0.0131238,0.00662375,0.00650009,True,0.0457735,0.0381902,0.0407555,0.0441819,0.0371777,0.0450094,0.0382897,0.0414112,0.849448,1.13655,5.595e-82,2.57417e-82
6,initial_eval,6,1,False,False,0.098075,0.0126114,0.0854636,0.0434656,0.131618,0.0193359,0.044283,0.0126206,0.0980811,True,0.177068625,0.098075,0.0126114,0.0854636,True,0.123045,0.152878,0.216663,0.121703,0.171271,0.213232,0.155411,0.262346,0.976813,0.23493,1.04353e-101,3.90947e-102
7,initial_eval,7,1,False,False,0.0980744,0.0126087,0.0854657,0.043465,0.131618,0.0193362,0.0442714,0.0126179,0.0980804,True,0.1770675,0.0980744,0.0126087,0.0854657,True,0.123045,0.152877,0.216661,0.121702,0.17127,0.213231,0.15541,0.262344,0.977387,0.235086,2.12415e-72,5.93581e-81
8,initial_eval,8,1,False,False,0.0471136,1.22878e-05,0.0471013,0.0149592,0.0791005,0.00570312,0.0544638,1.22872e-05,0.0471226,True,0.05830283750000001,0.0471136,1.22878e-05,0.0471013,True,0.0233383,0.0811496,0.0804737,0.0173107,0.0791005,0.0232541,0.0809368,0.080859,1.2,0.0557627,2.06545e-72,5.93573e-81
9,initial_eval,9,1,False,False,0.098073,0.012607,0.085466,0.0434639,0.131616,0.0193369,0.0442483,0.0126162,0.0980791,True,0.177065125,0.098073,0.012607,0.085466,True,0.123043,0.152875,0.216657,0.1217,0.17127,0.213229,0.155408,0.262339,0.977432,0.235397,2.5728e-92,3.1504e-102
10,initial_eval,10,1,False,False,0.0980724,0.0126077,0.0854647,0.0434633,0.131616,0.0193373,0.0442367,0.0126169,0.0980785,True,0.17706387499999998,0.0980724,0.0126077,0.0854647,True,0.123043,0.152874,0.216655,0.121699,0.171269,0.213228,0.155407,0.262336,0.977432,0.235552,2.16837e-72,5.93555e-81
11,initial_eval,11,1,False,False,0.0980717,0.0126065,0.0854652,0.0434627,0.131615,0.0193376,0.0442251,0.0126158,0.0980778,True,0.17706275000000002,0.0980717,0.0126065,0.0854652,True,0.123042,0.152873,0.216653,0.121698,0.171269,0.213226,0.155407,0.262334,0.97746,0.235707,2.02642e-72,5.93545e-81
12,final_eval,0,0,False,False,0.0502144,-7.19181e-26,0.0502144,0.0828535,0.0117655,0.0828701,0.00173298,0.0507546,-7.19141e-26,True,0.0361815125,0.0502144,-7.19181e-26,0.0502144,True,0.0828514,0.0161531,0.0117657,0.0828561,0.0117656,0.0593042,0.0119727,0.0127833,0.00696582,1.19944,2.07791e-72,5.93536e-81
13,final_eval,1,0,False,False,0.122025,4.43969e-50,0.122025,0.15675,0.0117598,0.156752,0.00118978,0.122494,4.43945e-50,True,0.056963274999999994,0.122025,4.43969e-50,0.122025,True,0.148306,0.0178084,0.0117598,0.156754,0.0118022,0.0829693,0.0130147,0.0132918,0.00275408,1.2,3.41906e-120,5.56319e-72
14,final_eval,2,0,False,False,0.0250513,0.0416435,-0.0165922,0.052776,0.0734543,0.030489,0.0268238,0.0250499,0.0416523,False,0.09267795,0.0250513,0.0416435,-0.0165922,False,0.0911894,0.0790297,0.100567,0.0747342,0.0782507,0.132016,0.0805946,0.105042,0.571298,0.354931,8.06819e-121,1.89948e-72
