cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_1000ps,other_out_1000ps,margin_1000ps,correct_1000ps,target_out_1500ps,other_out_1500ps,margin_1500ps,correct_1500ps,target_out_2000ps,other_out_2000ps,margin_2000ps,correct_2000ps,target_out_2500ps,other_out_2500ps,margin_2500ps,correct_2500ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3500ps,other_out_3500ps,margin_3500ps,correct_3500ps,target_out_4000ps,other_out_4000ps,margin_4000ps,correct_4000ps,target_out_4500ps,other_out_4500ps,margin_4500ps,correct_4500ps,target_out_5000ps,other_out_5000ps,margin_5000ps,correct_5000ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.0383836,-8.80129e-230,0.0383836,0.0762852,0.0110617,0.0829129,0.00152253,0.0508035,-8.79994e-230,True,0.0339499125,0.0383836,-8.80129e-230,0.0383836,True,0.0466203,-8.80107e-230,0.0466203,True,0.0487765,-8.80085e-230,0.0487765,True,0.0497663,-8.80063e-230,0.0497663,True,0.0502877,-8.80043e-230,0.0502877,True,0.0506361,-8.80019e-230,0.0506361,True,0.0507921,-8.79997e-230,0.0507921,True,0.0508864,-8.79975e-230,0.0508864,True,0.0509491,-8.79952e-230,0.0509491,True,0.0762092,0.0155284,0.0110674,0.0763873,0.011065,0.0579047,0.0112918,0.0121455,0.00695938,1.19801,2.79692e-172,5.20409e-152
1,initial_eval,1,0,False,False,0.106206,-6.77702e-123,0.106206,0.147994,0.0111439,0.156762,0.000973601,0.122504,-6.77599e-123,True,0.0547693,0.106206,-6.77702e-123,0.106206,True,0.118236,-6.77685e-123,0.118236,True,0.120598,-6.77668e-123,0.120598,True,0.121559,-6.77651e-123,0.121559,True,0.122035,-6.77636e-123,0.122035,True,0.12235,-6.77617e-123,0.12235,True,0.122493,-6.776e-123,0.122493,True,0.12258,-6.77583e-123,0.12258,True,0.122637,-6.77566e-123,0.122637,True,0.1449,0.0172716,0.011147,0.148449,0.0111988,0.0800036,0.0124416,0.0127428,0.00275386,1.2,-1.37069e-122,-2.30789e-83
2,initial_eval,2,0,False,False,0.0394901,0.0250233,0.0144668,0.0742653,0.0594382,0.0773846,0.0071121,0.0451642,0.0279228,True,0.08985066250000001,0.0394901,0.0250233,0.0144668,True,0.0417494,0.0271371,0.0146122,True,0.0423123,0.0276033,0.014709,True,0.042566,0.0278084,0.0147575,True,0.0426985,0.0279146,0.0147839,True,0.0446499,0.0279236,0.0167263,True,0.0451354,0.0279229,0.0172124,True,0.0453518,0.0279222,0.0174296,True,0.0454736,0.0279215,0.0175521,True,0.109318,0.066915,0.0859483,0.0919091,0.0664099,0.138584,0.0686642,0.0910568,0.00791526,0.380858,-4.96342e-171,5.82637e-73
3,initial_eval,3,0,False,False,0.0330162,-1.8325e-26,0.0330162,0.0702988,0.0146276,0.0746313,0.00244052,0.0428103,-1.83222e-26,True,0.035318437499999994,0.0330162,-1.8325e-26,0.0330162,True,0.0397393,-1.83245e-26,0.0397393,True,0.0413302,-1.83241e-26,0.0413302,True,0.0420394,-1.83236e-26,0.0420394,True,0.0424081,-1.83232e-26,0.0424081,True,0.042672,-1.83227e-26,0.042672,True,0.0428005,-1.83222e-26,0.0428005,True,0.0428815,-1.83218e-26,0.0428815,True,0.0429368,-1.83213e-26,0.0429368,True,0.0702452,0.0177745,0.0168481,0.0702575,0.0146846,0.0593772,0.0156869,0.0176735,0.00850872,1.2,8.21321e-91,7.00409e-92
4,initial_eval,4,0,False,False,0.0299692,5.34572e-05,0.0299158,0.0666274,0.0268053,0.0685789,0.00413894,0.036788,5.34491e-05,True,0.0434179625,0.0299692,5.34572e-05,0.0299158,True,0.0346717,5.34559e-05,0.0346182,True,0.0354454,5.34546e-05,0.035392,True,0.0357503,5.34532e-05,0.0356969,True,0.0359,5.3452e-05,0.0358465,True,0.036509,5.34505e-05,0.0364556,True,0.0367702,5.34492e-05,0.0367168,True,0.0369105,5.34478e-05,0.0368571,True,0.0369975,5.34465e-05,0.0369441,True,0.0667668,0.0272872,0.039478,0.066606,0.0276416,0.0579325,0.0297305,0.0319011,0.0102544,1.2,-1.35366e-86,-2.09306e-79
5,initial_eval,5,0,False,False,0.0327276,-3.30051e-29,0.0327276,0.0700447,0.0225356,0.0745602,0.00346962,0.0427339,-3.30001e-29,True,0.0409602,0.0327276,-3.30051e-29,0.0327276,True,0.0395249,-3.30043e-29,0.0395249,True,0.0411776,-3.30035e-29,0.0411776,True,0.0419231,-3.30027e-29,0.0419231,True,0.0423126,-3.30019e-29,0.0423126,True,0.0425904,-3.3001e-29,0.0425904,True,0.0427239,-3.30002e-29,0.0427239,True,0.0428074,-3.29994e-29,0.0428074,True,0.0428641,-3.29985e-29,0.0428641,True,0.0699956,0.0245973,0.0284701,0.0700045,0.0228375,0.0578751,0.0247502,0.0291513,0.00852538,1.2,-2.22736e-134,-5.45745e-93
6,initial_eval,6,1,False,False,0.0838202,0.0126395,0.0711807,0.0456489,0.120461,0.0184051,0.0221375,0.0146683,0.087295,True,0.173597,0.0838202,0.0126395,0.0711807,True,0.0863802,0.013989,0.0723912,True,0.0869276,0.0143761,0.0725516,True,0.0871659,0.0145602,0.0726056,True,0.0872884,0.0146593,0.0726291,True,0.0872974,0.0146687,0.0726287,True,0.0872952,0.0146683,0.0726269,True,0.087293,0.014668,0.072625,True,0.0872908,0.0146676,0.0726232,True,0.125258,0.144003,0.213511,0.12366,0.160063,0.216508,0.146581,0.259192,0.899447,0.336615,3.45883e-120,-4.55553e-93
7,initial_eval,7,1,False,False,0.0838137,0.0125933,0.0712204,0.0456484,0.12046,0.0184047,0.0221365,0.0146663,0.0872946,True,0.17359525000000003,0.0838137,0.0125933,0.0712204,True,0.086379,0.0139789,0.0724001,True,0.0869269,0.0143714,0.0725555,True,0.0871653,0.0145574,0.0726079,True,0.0872879,0.0146572,0.0726307,True,0.087297,0.0146667,0.0726303,True,0.0872948,0.0146663,0.0726284,True,0.0872926,0.014666,0.0726266,True,0.0872904,0.0146656,0.0726248,True,0.125258,0.144002,0.213506,0.123659,0.160063,0.216507,0.146581,0.259186,0.901256,0.336615,-9.56619e-91,-1.05249e-99
8,initial_eval,8,1,False,False,0.0261886,0.00358528,0.0226034,0.0265186,0.0610556,0.037141,0.0293725,0.00612917,0.0296324,True,0.0519147625,0.0261886,0.00358528,0.0226034,True,0.028733,0.00358519,0.0251478,True,0.0292699,0.0035851,0.0256848,True,0.029503,0.00358501,0.025918,True,0.0296229,0.00358493,0.0260379,True,0.0296332,0.00556751,0.0240657,True,0.0296325,0.00609823,0.0235342,True,0.0296317,0.00632875,0.023303,True,0.029631,0.00645726,0.0231737,True,0.0330247,0.064898,0.0654036,0.0277998,0.0611306,0.0326753,0.0646535,0.0657326,1.17454,0.369113,-1.74674e-110,-2.85055e-119
9,initial_eval,9,1,False,False,0.0838137,0.0125637,0.0712501,0.0456467,0.12046,0.0184038,0.0221345,0.0146642,0.0872937,True,0.173597,0.0838137,0.0125637,0.0712501,True,0.0863783,0.0139718,0.0724065,True,0.0869262,0.0143677,0.0725584,True,0.0871645,0.0145548,0.0726097,True,0.0872871,0.014655,0.0726321,True,0.0872961,0.0146646,0.0726315,True,0.0872939,0.0146642,0.0726297,True,0.0872918,0.0146639,0.0726279,True,0.0872896,0.0146635,0.0726261,True,0.125256,0.144,0.213516,0.123656,0.160062,0.216504,0.146579,0.259203,0.901181,0.336615,5.20629e-69,1.02027e-91
