cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.155516,0.162828,-0.00731222,0.190528,0.198067,0.00659574,0.00632697,0.15551,0.162823,False,0.036678675,0.155516,0.162828,-0.00731222,False,0.0291262,0.0798826,-1.03839e-37,0.0836267,-2.28616e-101,0.0433731,0.0252851,0.0321357,0.336078,0.336067,1.21817,1.21808
1,initial_eval,1,0,False,False,0.135733,0.143088,-0.00735529,0.162897,0.171739,0.00841478,0.00817197,0.135725,0.14308,False,0.06610110875,0.135733,0.143088,-0.00735529,False,0.0924833,0.0926472,0.00352607,0.157158,0.0164841,0.0829952,0.0464001,0.0371149,0.338447,0.338332,1.20768,1.20754
2,initial_eval,2,0,False,False,0.121588,0.127659,-0.00607157,0.089628,0.0939248,0.0146373,0.0145864,0.121581,0.127652,False,0.154051125,0.121588,0.127659,-0.00607157,False,0.198473,0.143974,0.143426,0.170312,0.12189,0.141718,0.152402,0.160214,0.342939,0.342758,1.19738,1.19719
3,initial_eval,3,0,False,False,0.155984,0.163222,-0.0072383,0.190838,0.198315,-0.00145204,-0.00169875,0.155976,0.163214,False,0.05048005,0.155984,0.163222,-0.0072383,False,0.0420594,0.0714774,0.0438341,0.0682533,0.019939,0.0613057,0.0461494,0.0508221,0.336047,0.336043,1.18669,1.18645
4,initial_eval,4,0,False,False,0.148241,0.155375,-0.00713433,0.181213,0.188709,0.000971416,0.000756483,0.148232,0.155366,False,0.0641352,0.148241,0.155375,-0.00713433,False,0.0736042,0.0476224,0.0982556,0.0371843,0.0488761,0.0558145,0.0796561,0.0720684,0.337172,0.337181,1.17633,1.17603
5,initial_eval,5,0,False,False,0.151707,0.158884,-0.0071775,0.185728,0.193213,-0.00157464,-0.00177947,0.151698,0.158875,False,0.059028287500000005,0.151707,0.158884,-0.0071775,False,0.0704647,0.0674802,0.0705099,0.0322011,0.0354951,0.0517586,0.0684343,0.0758824,0.336589,0.336591,1.16597,1.16562
6,initial_eval,6,1,False,False,0.116876,0.111804,0.00507153,0.09739,0.0997425,0.00617241,0.00609772,0.111798,0.116869,True,0.25521900000000003,0.116876,0.111804,0.00507153,True,0.266947,0.262346,0.216663,0.287739,0.241823,0.236941,0.266947,0.262346,0.337469,0.337439,1.156,1.15562
7,initial_eval,7,1,False,False,0.11735,0.112339,0.00501138,0.097389,0.0997415,0.00617262,0.00609793,0.112333,0.117344,True,0.255216125,0.11735,0.112339,0.00501138,True,0.266944,0.262343,0.216661,0.287736,0.24182,0.236938,0.266944,0.262343,0.337469,0.337439,1.14624,1.14583
8,initial_eval,8,1,False,False,0.144925,0.138061,0.0068633,0.158531,0.166605,0.00666137,0.00638257,0.138054,0.144917,True,0.0863468125,0.144925,0.138061,0.0068633,True,0.0866501,0.120019,0.0915246,0.0536754,0.0665214,0.0598201,0.116878,0.0956859,0.339901,0.339868,1.13943,1.13939
9,initial_eval,9,1,False,False,0.114447,0.109384,0.00506269,0.0973871,0.0997396,0.00617302,0.00609833,0.109378,0.11444,True,0.25521175,0.114447,0.109384,0.00506269,True,0.26694,0.262338,0.216657,0.287731,0.241816,0.236934,0.26694,0.262338,0.337469,0.337439,1.13993,1.13993
10,initial_eval,10,1,False,False,0.117347,0.112335,0.00501138,0.0973861,0.0997386,0.00617322,0.00609852,0.112329,0.11734,True,0.25520937499999996,0.117347,0.112335,0.00501138,True,0.266937,0.262336,0.216655,0.287728,0.241814,0.236932,0.266937,0.262336,0.33747,0.337439,1.1397,1.13969
11,initial_eval,11,1,False,False,0.117345,0.112334,0.00501139,0.0973852,0.0997376,0.00617342,0.00609872,0.112328,0.117339,True,0.25520724999999994,0.117345,0.112334,0.00501139,True,0.266935,0.262334,0.216653,0.287726,0.241812,0.236929,0.266935,0.262334,0.33747,0.337439,1.13973,1.13972
12,train,0,0,True,True,0.155492,0.162804,-0.00731179,0.190506,0.198044,0.00659813,0.00632928,0.155487,0.162799,False,0.0366706625,0.155492,0.162804,-0.00731179,False,0.0291125,0.079879,-1.93204e-25,0.0836151,-2.26034e-25,0.0433593,0.0252772,0.0321222,0.33612,0.336109,0.560865,1.19999
13,train,1,0,True,True,0.138543,0.129724,0.00881971,0.164485,0.156781,0.0083094,0.00854738,0.138536,0.129717,True,0.06585481374999999,0.138543,0.129724,0.00881971,True,0.0921421,0.0924905,0.00322571,0.157266,0.0162276,0.082568,0.0461957,0.0367229,0.338397,0.338483,0.185101,1.2
14,train,2,0,True,True,0.125607,0.109776,0.0158306,0.0899123,0.0839054,0.00123587,0.00133641,0.1256,0.10977,True,0.153269625,0.125607,0.109776,0.0158306,True,0.198163,0.142959,0.14301,0.169237,0.120832,0.141056,0.151447,0.159453,0.342121,0.342791,0.156319,1.2
15,train,3,0,True,True,0.160866,0.137222,0.0236437,0.195838,0.171559,-0.00121928,-0.000479044,0.160857,0.137215,True,0.05004113749999999,0.160866,0.137222,0.0236437,True,0.041835,0.071239,0.0434693,0.0676192,0.0194959,0.0604902,0.0459261,0.0502544,0.335937,0.336169,0.162959,1.2
16,train,4,0,True,True,0.155298,0.120787,0.0345106,0.188147,0.152891,0.000780988,0.00196101,0.155289,0.120781,True,0.0635069625,0.155298,0.120787,0.0345106,True,0.0736502,0.0463045,0.0977485,0.0363886,0.0480867,0.0551255,0.079129,0.0716227,0.336898,0.337433,0.14559,1.2
17,train,5,0,True,True,0.160474,0.118609,0.0418653,0.194478,0.151679,-0.00208771,-0.000522709,0.160465,0.118602,True,0.058228487499999995,0.160474,0.118609,0.0418653,True,0.0699633,0.0663337,0.0697411,0.031651,0.0342962,0.0510266,0.0674738,0.0753422,0.336326,0.336815,0.13917,1.2
18,train,6,1,True,True,0.083487,0.118871,-0.0353839,0.102334,0.0841904,0.00590562,0.00753936,0.118864,0.0834824,False,0.254086125,0.083487,0.118871,-0.0353839,False,0.266005,0.261029,0.215698,0.28643,0.240859,0.235634,0.266005,0.261029,0.337163,0.33822,-1.00887e-07,1.2
19,train,7,1,True,True,0.117473,0.1148,0.00267316,0.0571006,0.151729,0.00525186,0.00861618,0.114794,0.117486,True,0.25390162499999996,0.117473,0.1148,0.00267316,True,0.26585,0.260815,0.215541,0.286218,0.240701,0.235423,0.26585,0.260815,0.373092,0.33383,1.2,0.228253
20,train,8,1,True,True,0.125146,0.136907,-0.0117607,0.154824,0.159483,-0.00696241,0.0366942,0.136899,0.125151,False,0.0848736125,0.125146,0.136907,-0.0117607,False,0.0857409,0.117144,0.0908796,0.051419,0.0646715,0.0583867,0.115606,0.0951412,0.340416,0.308061,0.177545,1.2
