cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.0502877,-3.22244e-219,0.0502877,0.0828983,0.0105147,0.0829129,0.00152253,0.0508035,-3.22226e-219,True,0.0354491,0.0502877,-3.22244e-219,0.0502877,True,0.0828963,0.0150404,0.0105148,0.0829007,0.0105148,0.059324,0.0107595,0.0116423,0.00695938,1.19801,-1.00737e-99,-2.19869e-227
1,initial_eval,1,0,False,False,0.122035,-6.77636e-123,0.122035,0.15676,0.0109427,0.156762,0.000973601,0.122504,-6.77599e-123,True,0.05649275,0.122035,-6.77636e-123,0.122035,True,0.148332,0.0170947,0.0109427,0.156764,0.0109996,0.0829964,0.0122528,0.0125598,0.00275386,1.2,-8.07796e-98,-2.30789e-83
2,initial_eval,2,0,False,False,0.0426985,0.0279146,0.0147839,0.0745679,0.0592653,0.0773846,0.0071121,0.0451642,0.0279228,True,0.09020926250000001,0.0426985,0.0279146,0.0147839,True,0.109582,0.0667658,0.0857814,0.0921538,0.0662635,0.141718,0.0685171,0.0908925,0.00791526,0.380858,-8.22851e-99,5.82637e-73
3,initial_eval,3,0,False,False,0.0424081,-1.83232e-26,0.0424081,0.0746096,0.0140937,0.0746313,0.00244052,0.0428103,-1.83222e-26,True,0.0363447125,0.0424081,-1.83232e-26,0.0424081,True,0.0746086,0.0172903,0.0163738,0.0746088,0.0141575,0.0613298,0.0151838,0.0172051,0.00850872,1.2,8.21321e-91,-1.14298e-69
4,initial_eval,4,0,False,False,0.0359,5.3452e-05,0.0358465,0.0675828,0.0264125,0.0685019,0.00482718,0.0367267,5.34491e-05,True,0.043610125000000007,0.0359,5.3452e-05,0.0358465,True,0.0677097,0.0269082,0.0391542,0.0675827,0.0272706,0.0593187,0.0293727,0.0315642,0.0102821,1.2,-1.33384e-89,-7.76411e-93
5,initial_eval,5,0,False,False,0.0423126,-3.30019e-29,0.0423126,0.0745356,0.021662,0.0745602,0.00346962,0.0427339,-3.30001e-29,True,0.041784362500000005,0.0423126,-3.30019e-29,0.0423126,True,0.0745344,0.0237921,0.0277351,0.0745347,0.0219959,0.0593165,0.023948,0.0284182,0.00852538,1.2,-3.91169e-90,-5.44354e-93
6,initial_eval,6,1,False,False,0.0872884,0.0146593,0.0726291,0.0455759,0.120507,0.0184051,0.0221375,0.0146683,0.087295,True,0.174367,0.0872884,0.0146593,0.0726291,True,0.125183,0.14404,0.216663,0.123593,0.160108,0.216385,0.146618,0.262346,0.899447,0.336615,-4.48735e-90,-4.55553e-93
7,initial_eval,7,1,False,False,0.0872879,0.0146572,0.0726307,0.0455753,0.120507,0.0184047,0.0221365,0.0146663,0.0872946,True,0.174365875,0.0872879,0.0146572,0.0726307,True,0.125182,0.144039,0.216661,0.123592,0.160108,0.216384,0.146617,0.262344,0.901256,0.336615,2.51733e-89,-1.05249e-99
8,initial_eval,8,1,False,False,0.0296229,0.00358493,0.0260379,0.0265186,0.0610555,0.037141,0.0293725,0.00612917,0.0296324,True,0.05191467499999999,0.0296229,0.00358493,0.0260379,True,0.0330247,0.0648979,0.0654035,0.0277998,0.0611305,0.0326752,0.0646533,0.0657325,1.17454,0.369113,6.19742e-90,-2.85704e-119
9,initial_eval,9,1,False,False,0.0872871,0.014655,0.0726321,0.045574,0.120506,0.0184038,0.0221345,0.0146642,0.0872937,True,0.17436362499999997,0.0872871,0.014655,0.0726321,True,0.125181,0.144037,0.216657,0.12359,0.160107,0.216382,0.146616,0.262339,0.901181,0.336615,9.00386e-69,1.02027e-91
10,initial_eval,10,1,False,False,0.0872867,0.0146553,0.0726314,0.0455734,0.120505,0.0184034,0.0221335,0.0146645,0.0872933,True,0.17436237500000001,0.0872867,0.0146553,0.0726314,True,0.12518,0.144037,0.216655,0.123589,0.160107,0.21638,0.146615,0.262336,0.901326,0.336615,5.44362e-86,-2.85036e-119
11,initial_eval,11,1,False,False,0.0872863,0.0146547,0.0726316,0.0455727,0.120505,0.0184029,0.0221325,0.0146638,0.0872929,True,0.17436125,0.0872863,0.0146547,0.0726316,True,0.125179,0.144036,0.216653,0.123588,0.160106,0.216379,0.146615,0.262334,0.90135,0.336615,1.53529e-80,3.11421e-120
