cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0767122,0.0775055,-0.000793312,0.109599,0.110417,0.0189921,0.0189622,0.0767188,0.077512,False,0.11001075,0.0767122,0.0775055,-0.000793312,False,0.110025,0.110023,0.109969,0.110026,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21909,1.21909,
1,initial_eval,1,0,False,False,0.0769736,0.0777761,-0.000802542,0.109869,0.110696,0.0189986,0.0189688,0.0769801,0.0777826,False,0.110406375,0.0769736,0.0777761,-0.000802542,False,0.110299,0.110297,0.110242,0.111275,0.110298,0.110239,0.110302,0.110299,0.337464,0.337467,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0788662,0.0796987,-0.000832544,0.111819,0.112677,0.00290227,0.00284692,0.0788726,0.0797051,False,0.113190125,0.0788662,0.0796987,-0.000832544,False,0.115323,0.112669,0.112625,0.113743,0.112306,0.112592,0.11302,0.113243,0.334903,0.334895,1.19894,1.19892,
3,initial_eval,3,0,False,False,0.0766682,0.0774613,-0.000793037,0.109554,0.110371,0.0189948,0.0189649,0.0766749,0.0774679,False,0.10996487499999999,0.0766682,0.0774613,-0.000793037,False,0.109979,0.109977,0.109923,0.109981,0.109978,0.10992,0.109982,0.109979,0.337464,0.337467,1.18901,1.18898,
4,initial_eval,4,0,False,False,0.0766537,0.0774466,-0.000792948,0.109539,0.110356,0.0189957,0.0189658,0.0766603,0.0774532,False,0.109949875,0.0766537,0.0774466,-0.000792948,False,0.109964,0.109962,0.109908,0.109966,0.109963,0.109905,0.109967,0.109964,0.337464,0.337467,1.17914,1.17911,
5,initial_eval,5,0,False,False,0.076639,0.0774319,-0.000792854,0.109524,0.110341,0.0189966,0.0189668,0.0766456,0.0774384,False,0.109934875,0.076639,0.0774319,-0.000792854,False,0.109949,0.109947,0.109893,0.109951,0.109948,0.10989,0.109952,0.109949,0.337465,0.337467,1.16936,1.16932,
6,initial_eval,6,1,False,False,0.092324,0.0912969,0.00102707,0.124627,0.125685,0.0120633,0.0120473,0.0913027,0.0923297,True,0.13223575,0.092324,0.0912969,0.00102707,True,0.13329,0.132261,0.128557,0.136105,0.130556,0.130367,0.133976,0.132774,0.337088,0.337082,1.15949,1.15944,
7,initial_eval,7,1,False,False,0.0923058,0.0912788,0.00102695,0.124608,0.125666,0.0120494,0.0120334,0.0912846,0.0923115,True,0.13221525,0.0923058,0.0912788,0.00102695,True,0.13327,0.13224,0.128538,0.136084,0.130535,0.130347,0.133955,0.132753,0.337086,0.337081,1.14975,1.14969,
8,initial_eval,8,1,False,False,0.0774086,0.0766155,0.000793136,0.109499,0.110317,0.0189995,0.0189697,0.0766221,0.0774152,True,0.10991875000000001,0.0774086,0.0766155,0.000793136,True,0.109925,0.109964,0.109869,0.109926,0.109924,0.109866,0.109951,0.109925,0.337465,0.337468,1.14023,1.14017,
9,initial_eval,9,1,False,False,0.0922692,0.0912425,0.00102672,0.124571,0.125629,0.012022,0.0120058,0.0912483,0.092275,True,0.13217399999999999,0.0922692,0.0912425,0.00102672,True,0.133229,0.132198,0.128498,0.136041,0.130495,0.130306,0.133914,0.132711,0.337084,0.337078,1.13965,1.13964,
10,initial_eval,10,1,False,False,0.0922511,0.0912245,0.0010266,0.124552,0.12561,0.0120083,0.0119921,0.0912303,0.0922569,True,0.13215325,0.0922511,0.0912245,0.0010266,True,0.133208,0.132177,0.128478,0.136019,0.130475,0.130286,0.133893,0.13269,0.337083,0.337077,1.13978,1.13978,
11,initial_eval,11,1,False,False,0.0922329,0.0912064,0.00102649,0.124534,0.125591,0.0119947,0.0119784,0.0912122,0.0922386,True,0.132132375,0.0922329,0.0912064,0.00102649,True,0.133187,0.132156,0.128458,0.135997,0.130455,0.130265,0.133872,0.132669,0.337081,0.337076,1.13978,1.13978,
12,train,0,0,True,True,0.0765367,0.077329,-0.000792217,0.109418,0.110235,0.019003,0.0189731,0.0765434,0.0773355,False,0.109829,0.0765367,0.077329,-0.000792217,False,0.109844,0.109841,0.109787,0.109845,0.109842,0.109784,0.109846,0.109843,0.337508,0.337511,1.2,4.82258e-07,1.04518
13,train,1,0,True,True,0.0646766,0.0646998,-2.32921e-05,0.0971946,0.0972186,0.0198725,0.0198542,0.0646839,0.0647072,False,0.097447625,0.0646766,0.0646998,-2.32921e-05,False,0.0972071,0.0972071,0.0972053,0.0991349,0.0972071,0.0972052,0.0972072,0.0972071,0.337727,0.33775,1.2,4.82324e-07,1.04518
14,train,2,0,True,True,0.0618141,0.0618041,1.00376e-05,0.0942445,0.0942341,0.020489,0.0204578,0.0618216,0.0618116,True,0.095621925,0.0618141,0.0618041,1.00376e-05,True,0.0989009,0.0947389,0.0950182,0.0959817,0.0942758,0.0950395,0.0952113,0.0958091,0.337879,0.337899,1.2,4.82347e-07,1.04518
15,train,3,0,True,True,0.0531539,0.0530829,7.10442e-05,0.085316,0.0852427,0.0216131,0.021566,0.053162,0.053091,True,0.0852790375,0.0531539,0.0530829,7.10442e-05,True,0.0852774,0.0852777,0.0852837,0.0852773,0.0852776,0.085284,0.0852771,0.0852775,0.338164,0.338181,1.2,4.82448e-07,1.04518
16,train,4,0,True,True,0.048052,0.0479651,8.69637e-05,0.0800552,0.0799655,0.0232355,0.0231754,0.0480605,0.0479736,True,0.08001056250000001,0.048052,0.0479651,8.69637e-05,True,0.0800079,0.0800082,0.0800208,0.0800077,0.0800081,0.0800164,0.0800075,0.0800079,0.338575,0.338593,1.2,4.82554e-07,1.04518
17,train,5,0,True,True,0.0431853,0.0430827,0.000102555,0.0750364,0.0749307,0.0251264,0.0250528,0.0431942,0.0430916,True,0.0749830375,0.0431853,0.0430827,0.000102555,True,0.0749805,0.0749809,0.0749905,0.0749802,0.0749807,0.0749911,0.0749799,0.0749805,0.339144,0.339166,1.2,4.82731e-07,1.04518
18,train,6,1,True,True,0.0606904,0.0602498,0.000440526,0.0926488,0.0931034,0.00906018,0.00888629,0.0602585,0.060699,True,0.10561962500000002,0.0606904,0.0602498,0.000440526,True,0.108556,0.104073,0.1,0.11126,0.103372,0.101619,0.110727,0.10535,0.337079,0.337032,1.2,4.82356e-07,0.0187436
19,train,7,1,True,True,0.0606696,0.0602294,0.00044025,0.0926276,0.0930819,0.00906631,0.00889262,0.060238,0.0606783,True,0.105590925,0.0606696,0.0602294,0.00044025,True,0.10853,0.104041,0.0999764,0.111226,0.103347,0.101589,0.110702,0.105316,0.337081,0.337033,1.2,4.82357e-07,0.00489417
