cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.077745,0.0765966,0.00114839,0.110663,0.10948,0.0189457,0.0189873,0.0777515,0.0766032,True,0.11007824999999999,0.077745,0.0765966,0.00114839,True,0.110132,0.110043,0.110047,0.11005,0.110128,0.110045,0.110049,0.110132,0.337451,0.337471,1.21908,1.2191,
1,initial_eval,1,0,False,False,0.0777315,0.0765832,0.00114832,0.11065,0.109466,0.0189465,0.0189881,0.0777381,0.0765898,True,0.11006437499999999,0.0777315,0.0765832,0.00114832,True,0.110119,0.110029,0.110033,0.110036,0.110114,0.110031,0.110035,0.110118,0.337451,0.337471,1.20897,1.20899,
2,initial_eval,2,0,False,False,0.0788331,0.077709,0.00112408,0.111785,0.110626,0.0189695,0.0190111,0.0788395,0.0777155,True,0.11167025,0.0788331,0.077709,0.00112408,True,0.111453,0.111454,0.112319,0.111895,0.111285,0.111656,0.112035,0.111265,0.337455,0.337475,1.19893,1.19896,
3,initial_eval,3,0,False,False,0.0777048,0.0765566,0.00114819,0.110622,0.109439,0.0189482,0.0189897,0.0777113,0.0765632,True,0.110037,0.0777048,0.0765566,0.00114819,True,0.110091,0.110001,0.110006,0.110009,0.110087,0.110004,0.110007,0.110091,0.337452,0.337472,1.18898,1.18902,
4,initial_eval,4,0,False,False,0.0776915,0.0765434,0.00114813,0.110608,0.109425,0.018949,0.0189906,0.077698,0.07655,True,0.11002325000000002,0.0776915,0.0765434,0.00114813,True,0.110077,0.109988,0.109992,0.109995,0.110073,0.10999,0.109994,0.110077,0.337452,0.337472,1.17911,1.17916,
5,initial_eval,5,0,False,False,0.077678,0.07653,0.00114806,0.110595,0.109412,0.0189498,0.0189914,0.0776846,0.0765366,True,0.11000937499999999,0.077678,0.07653,0.00114806,True,0.110064,0.109974,0.109978,0.109981,0.110059,0.109976,0.10998,0.110063,0.337452,0.337472,1.16932,1.16938,
6,initial_eval,6,1,False,False,0.090416,0.0916187,-0.0012027,0.124958,0.12372,0.0123613,0.012411,0.0916245,0.0904219,False,0.13086862500000002,0.090416,0.0916187,-0.0012027,False,0.132258,0.128182,0.134887,0.129569,0.129515,0.132803,0.131701,0.128034,0.337092,0.337112,1.15944,1.15951,
7,initial_eval,7,1,False,False,0.0903995,0.0916021,-0.00120262,0.124942,0.123703,0.0123493,0.0123991,0.0916079,0.0904053,False,0.130849875,0.0903995,0.0916021,-0.00120262,False,0.132239,0.128164,0.134867,0.129551,0.129496,0.132784,0.131682,0.128016,0.337091,0.337111,1.1497,1.14978,
8,initial_eval,8,1,False,False,0.0765801,0.0777256,-0.00114553,0.110644,0.109463,0.0189538,0.0189954,0.0777322,0.0765867,False,0.11009625,0.0765801,0.0777256,-0.00114553,False,0.110114,0.110024,0.11032,0.110032,0.110109,0.110027,0.11003,0.110114,0.337453,0.337473,1.14019,1.14027,
9,initial_eval,9,1,False,False,0.0903667,0.0915692,-0.00120246,0.124908,0.123669,0.0123255,0.0123753,0.091575,0.0903726,False,0.13081275,0.0903667,0.0915692,-0.00120246,False,0.132201,0.128128,0.134828,0.129515,0.129459,0.132747,0.131644,0.12798,0.337089,0.337109,1.13965,1.13966,
10,initial_eval,10,1,False,False,0.0903505,0.0915528,-0.00120238,0.124891,0.123652,0.0123136,0.0123635,0.0915586,0.0903563,False,0.130794125,0.0903505,0.0915528,-0.00120238,False,0.132182,0.12811,0.134809,0.129496,0.129441,0.132728,0.131625,0.127962,0.337088,0.337108,1.13978,1.13979,
11,initial_eval,11,1,False,False,0.0903341,0.0915364,-0.0012023,0.124874,0.123635,0.0123014,0.0123516,0.0915422,0.0903399,False,0.130775375,0.0903341,0.0915364,-0.0012023,False,0.132163,0.128092,0.134789,0.129478,0.129422,0.132709,0.131606,0.127944,0.337087,0.337107,1.13978,1.13979,
12,train,0,0,True,True,0.0775845,0.0764369,0.00114761,0.110498,0.109316,0.0189556,0.0189972,0.077591,0.0764435,True,0.10991325,0.0775845,0.0764369,0.00114761,True,0.109967,0.109878,0.109882,0.109885,0.109963,0.10988,0.109884,0.109967,0.337496,0.337516,4.82257e-07,1.2,0.00595217
13,train,1,0,True,True,0.0775715,0.076424,0.00114754,0.110484,0.109302,0.0189564,0.018998,0.0775781,0.0764306,True,0.10989937500000001,0.0775715,0.076424,0.00114754,True,0.109954,0.109864,0.109868,0.109871,0.109949,0.109866,0.10987,0.109953,0.337496,0.337516,4.82258e-07,1.2,0.0038335
14,train,2,0,True,True,0.0786477,0.0775242,0.00112355,0.111594,0.110436,0.0189789,0.0190205,0.0786542,0.0775307,True,0.11146912500000002,0.0786477,0.0775242,0.00112355,True,0.111251,0.111259,0.112104,0.111696,0.111091,0.11145,0.111828,0.111074,0.3375,0.33752,4.82254e-07,1.2,0.0036945
15,train,3,0,True,True,0.0775444,0.076397,0.00114741,0.110457,0.109274,0.0189581,0.0189996,0.077551,0.0764036,True,0.10987225,0.0775444,0.076397,0.00114741,True,0.109926,0.109837,0.109841,0.109844,0.109922,0.109839,0.109843,0.109926,0.337496,0.337516,4.82258e-07,1.2,0.00397333
16,train,4,0,True,True,0.0775311,0.0763838,0.00114735,0.110443,0.109261,0.0189589,0.0190005,0.0775377,0.0763904,True,0.10985824999999999,0.0775311,0.0763838,0.00114735,True,0.109912,0.109823,0.109827,0.10983,0.109908,0.109825,0.109829,0.109912,0.337496,0.337517,4.82258e-07,1.2,0.0039723
17,train,5,0,True,True,0.0775177,0.0763704,0.00114728,0.110429,0.109247,0.0189597,0.0190013,0.0775243,0.076377,True,0.10984450000000001,0.0775177,0.0763704,0.00114728,True,0.109899,0.109809,0.109813,0.109817,0.109894,0.109811,0.109815,0.109898,0.337497,0.337517,4.82258e-07,1.2,0.00397637
18,train,6,1,True,True,0.0902193,0.0914211,-0.00120173,0.124755,0.123517,0.0289097,0.0289346,0.0914269,0.0902252,False,0.13064537499999998,0.0902193,0.0914211,-0.00120173,False,0.13203,0.127966,0.134653,0.12935,0.129293,0.132578,0.131474,0.127819,0.333402,0.333426,0.000162402,1.2,1.04518
19,train,7,1,True,True,0.0815244,0.0799947,0.00152967,0.112983,0.114559,0.00989443,0.00987464,0.0800013,0.0815309,True,0.12206687499999999,0.0815244,0.0799947,0.00152967,True,0.123537,0.118961,0.127279,0.120454,0.120126,0.124728,0.122969,0.118481,0.336938,0.336908,4.82467e-07,1.2,1.04518
20,train,8,1,True,True,0.0583748,0.0561792,0.00219562,0.0884351,0.0906987,0.0207783,0.0206753,0.0561871,0.0583826,True,0.08964659999999999,0.0583748,0.0561792,0.00219562,True,0.0894473,0.0896282,0.0903207,0.0896137,0.0894432,0.089658,0.0896287,0.089433,0.338042,0.33788,1.2,4.82379e-07,0.0148748
21,train,9,1,True,True,0.0774146,0.0746778,0.00273684,0.107504,0.110325,0.00862859,0.00848177,0.0746847,0.0774214,True,0.118013,0.0774146,0.0746778,0.00273684,True,0.119452,0.114738,0.123883,0.116264,0.115754,0.121041,0.11889,0.114082,0.336811,0.336727,1.2,4.82258e-07,0.0041201
22,train,10,1,True,True,0.0773989,0.0746622,0.00273664,0.107488,0.110308,0.00862513,0.00847798,0.0746692,0.0774056,True,0.11799412499999998,0.0773989,0.0746622,0.00273664,True,0.119432,0.11472,0.123863,0.116246,0.115735,0.121022,0.118871,0.114064,0.336811,0.336727,1.2,4.82258e-07,0.00379304
