cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2000ps,other_out_2000ps,margin_2000ps,correct_2000ps,target_out_2500ps,other_out_2500ps,margin_2500ps,correct_2500ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3500ps,other_out_3500ps,margin_3500ps,correct_3500ps,target_out_4000ps,other_out_4000ps,margin_4000ps,correct_4000ps,target_out_4500ps,other_out_4500ps,margin_4500ps,correct_4500ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0763697,0.077163,-0.000793261,0.1096,0.110418,0.018992,0.0189622,0.0767192,0.0775124,False,0.11001175,0.0763697,0.077163,-0.000793261,False,0.0765957,0.077389,-0.000793299,False,0.0767126,0.0775059,-0.000793311,False,0.0767213,0.0775146,-0.000793294,False,0.0767194,0.0775126,-0.000793274,False,0.0767174,0.0775107,-0.000793254,False,0.110026,0.110024,0.10997,0.110027,0.110025,0.109967,0.110029,0.110026,0.337463,0.337466,1.21909,1.21909,
1,initial_eval,1,0,False,False,0.0766315,0.077434,-0.000802499,0.109871,0.110698,0.0189985,0.0189687,0.0769816,0.0777842,False,0.110408875,0.0766315,0.077434,-0.000802499,False,0.076858,0.0776605,-0.000802539,False,0.0769751,0.0777776,-0.000802551,False,0.0769838,0.0777863,-0.000802533,False,0.0769818,0.0777843,-0.000802513,False,0.0769799,0.0777824,-0.000802493,False,0.110302,0.110299,0.110245,0.111277,0.1103,0.110242,0.110304,0.110302,0.337464,0.337467,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0785255,0.079358,-0.000832516,0.111824,0.112681,0.00290071,0.0028454,0.0788759,0.0797085,False,0.11319487500000001,0.0785255,0.079358,-0.000832516,False,0.0787524,0.0795849,-0.000832557,False,0.0788696,0.0797021,-0.000832569,False,0.0788781,0.0797107,-0.000832549,False,0.0788761,0.0797087,-0.000832528,False,0.0788742,0.0797067,-0.000832507,False,0.115328,0.112674,0.112629,0.113748,0.11231,0.112597,0.113025,0.113248,0.334903,0.334895,1.19894,1.19892,
3,initial_eval,3,0,False,False,0.076329,0.077122,-0.000793013,0.109559,0.110376,0.0189945,0.0189647,0.076679,0.0774721,False,0.10997024999999999,0.076329,0.077122,-0.000793013,False,0.0765554,0.0773484,-0.000793051,False,0.0766724,0.0774655,-0.000793063,False,0.0766811,0.0774742,-0.000793046,False,0.0766792,0.0774722,-0.000793026,False,0.0766773,0.0774703,-0.000793006,False,0.109985,0.109982,0.109928,0.109986,0.109983,0.109926,0.109987,0.109985,0.337464,0.337467,1.18901,1.18898,
4,initial_eval,4,0,False,False,0.0763159,0.0771088,-0.000792936,0.109545,0.110363,0.0189953,0.0189655,0.0766658,0.0774587,False,0.10995675,0.0763159,0.0771088,-0.000792936,False,0.0765422,0.0773352,-0.000792971,False,0.0766592,0.0774522,-0.000792982,False,0.0766679,0.0774609,-0.000792965,False,0.076666,0.0774589,-0.000792945,False,0.0766641,0.077457,-0.000792925,False,0.109971,0.109969,0.109915,0.109972,0.10997,0.109912,0.109974,0.109971,0.337464,0.337467,1.17914,1.17911,
5,initial_eval,5,0,False,False,0.0763024,0.0770952,-0.000792847,0.109532,0.110349,0.0189962,0.0189663,0.0766525,0.0774453,False,0.10994275000000002,0.0763024,0.0770952,-0.000792847,False,0.0765288,0.0773217,-0.000792885,False,0.0766458,0.0774387,-0.000792897,False,0.0766546,0.0774475,-0.00079288,False,0.0766526,0.0774455,-0.00079286,False,0.0766507,0.0774436,-0.00079284,False,0.109957,0.109955,0.109901,0.109958,0.109956,0.109898,0.10996,0.109957,0.337464,0.337467,1.16936,1.16932,
6,initial_eval,6,1,False,False,0.0919879,0.0909608,0.00102707,0.124638,0.125697,0.012071,0.0120551,0.0913128,0.0923399,True,0.1322485,0.0919879,0.0909608,0.00102707,True,0.0922164,0.0911893,0.00102712,True,0.0923342,0.091307,0.00102713,True,0.0923425,0.0913154,0.0010271,True,0.0923401,0.0913131,0.00102708,True,0.0923378,0.0913108,0.00102705,True,0.133303,0.132274,0.12857,0.136118,0.130568,0.13038,0.133988,0.132787,0.337088,0.337083,1.15948,1.15944,
7,initial_eval,7,1,False,False,0.0919713,0.0909444,0.00102696,0.124622,0.12568,0.0120585,0.0120425,0.0912964,0.0923233,True,0.13223000000000001,0.0919713,0.0909444,0.00102696,True,0.0921998,0.0911728,0.00102701,True,0.0923176,0.0912906,0.00102702,True,0.0923259,0.0912989,0.001027,True,0.0923236,0.0912966,0.00102697,True,0.0923213,0.0912943,0.00102695,True,0.133284,0.132255,0.128552,0.136099,0.13055,0.130362,0.13397,0.132768,0.337087,0.337082,1.14975,1.14969,
8,initial_eval,8,1,False,False,0.0770768,0.0762836,0.000793152,0.109511,0.110329,0.0189988,0.018969,0.076633,0.0774262,True,0.10993087500000001,0.0770768,0.0762836,0.000793152,True,0.0773028,0.0765096,0.000793193,True,0.0774196,0.0766264,0.000793206,True,0.0774283,0.0766351,0.000793188,True,0.0774264,0.0766332,0.000793169,True,0.0774244,0.0766313,0.000793149,True,0.109937,0.109976,0.109881,0.109938,0.109936,0.109878,0.109964,0.109937,0.337465,0.337468,1.14023,1.14017,
9,initial_eval,9,1,False,False,0.0919378,0.0909111,0.00102676,0.124588,0.125645,0.0120334,0.0120173,0.0912633,0.0922901,True,0.132192375,0.0919378,0.0909111,0.00102676,True,0.0921665,0.0911397,0.0010268,True,0.0922843,0.0912575,0.00102682,True,0.0922926,0.0912659,0.00102679,True,0.0922903,0.0912636,0.00102677,True,0.092288,0.0912613,0.00102674,True,0.133247,0.132217,0.128516,0.13606,0.130513,0.130324,0.133932,0.13273,0.337085,0.337079,1.13965,1.13964,
10,initial_eval,10,1,False,False,0.0919216,0.090895,0.00102665,0.124571,0.125628,0.012021,0.0120048,0.091247,0.0922736,True,0.13217362500000002,0.0919216,0.090895,0.00102665,True,0.0921501,0.0911234,0.0010267,True,0.0922679,0.0912412,0.00102671,True,0.0922762,0.0912495,0.00102669,True,0.0922739,0.0912472,0.00102666,True,0.0922716,0.0912449,0.00102663,True,0.133228,0.132198,0.128498,0.13604,0.130495,0.130306,0.133913,0.132711,0.337084,0.337078,1.13978,1.13978,
11,initial_eval,11,1,False,False,0.0919051,0.0908785,0.00102654,0.124554,0.125611,0.0120086,0.0119923,0.0912305,0.0922571,True,0.13215475000000002,0.0919051,0.0908785,0.00102654,True,0.0921336,0.091107,0.00102659,True,0.0922513,0.0912247,0.00102661,True,0.0922596,0.091233,0.00102658,True,0.0922573,0.0912308,0.00102656,True,0.092255,0.0912285,0.00102653,True,0.133209,0.132179,0.12848,0.136021,0.130476,0.130287,0.133894,0.132692,0.337083,0.337077,1.13978,1.13978,
12,train,0,0,True,True,0.0762094,0.0770017,-0.000792267,0.109436,0.110252,0.0190019,0.0189721,0.0765595,0.0773518,False,0.10984674999999999,0.0762094,0.0770017,-0.000792267,False,0.0764358,0.0772281,-0.000792305,False,0.0765529,0.0773452,-0.000792317,False,0.0765616,0.0773539,-0.0007923,False,0.0765597,0.077352,-0.00079228,False,0.0765578,0.07735,-0.00079226,False,0.109861,0.109859,0.109805,0.109862,0.10986,0.109802,0.109864,0.109861,0.337508,0.337511,1.2,4.82258e-07,1.04498
13,train,1,0,True,True,0.0653478,0.0654378,-8.99705e-05,0.0982406,0.0983333,0.0197947,0.0197754,0.0656976,0.0657875,False,0.0985163875,0.0653478,0.0654378,-8.99705e-05,False,0.0655735,0.0656634,-8.99741e-05,False,0.0656902,0.0657802,-8.99749e-05,False,0.0656994,0.0657893,-8.99798e-05,False,0.0656977,0.0657877,-8.99775e-05,False,0.0656961,0.065786,-8.99752e-05,False,0.0982891,0.0982888,0.0982821,0.100122,0.0982889,0.0982817,0.0982894,0.0982891,0.337706,0.337726,1.2,4.82317e-07,1.04498
14,train,2,0,True,True,0.0628474,0.0628825,-3.51739e-05,0.0956639,0.0957002,0.0358077,0.0357618,0.0631975,0.0632327,False,0.09703817499999999,0.0628474,0.0628825,-3.51739e-05,False,0.0630733,0.0631084,-3.51768e-05,False,0.0631901,0.0632253,-3.51771e-05,False,0.0631993,0.0632345,-3.51817e-05,False,0.0631977,0.0632329,-3.51809e-05,False,0.0631961,0.0632313,-3.518e-05,False,0.100224,0.0961894,0.096443,0.0974229,0.0957239,0.0964465,0.0966507,0.097205,0.317807,0.318096,1.2,4.82335e-07,1.04498
15,train,3,0,True,True,0.054632,0.0545953,3.67757e-05,0.0871923,0.0871543,0.0211446,0.0211004,0.054981,0.0549443,True,0.08717309999999999,0.054632,0.0545953,3.67757e-05,True,0.0548566,0.0548198,3.67871e-05,True,0.054973,0.0549362,3.67919e-05,True,0.0549826,0.0549458,3.67813e-05,True,0.0549812,0.0549444,3.67804e-05,True,0.0549798,0.054943,3.67795e-05,True,0.0871723,0.0871724,0.0871755,0.0871722,0.0871724,0.0871756,0.0871721,0.0871723,0.338053,0.338067,1.2,4.82421e-07,1.04498
16,train,4,0,True,True,0.0498725,0.0498203,5.22219e-05,0.0822838,0.0822299,0.022497,0.0224396,0.0502209,0.0501687,True,0.0822571875,0.0498725,0.0498203,5.22219e-05,True,0.0500964,0.0500442,5.22365e-05,True,0.0502126,0.0501604,5.22425e-05,True,0.0502223,0.0501701,5.22279e-05,True,0.050221,0.0501688,5.22266e-05,True,0.0502198,0.0501675,5.22253e-05,True,0.0822554,0.0822556,0.0822647,0.0822553,0.0822555,0.0822604,0.0822552,0.0822554,0.338383,0.338396,1.2,4.82502e-07,1.04498
17,train,5,0,True,True,0.0453112,0.045244,6.72829e-05,0.0775794,0.07751,0.0241234,0.0240544,0.0456592,0.0455919,True,0.077544375,0.0453112,0.045244,6.72829e-05,True,0.0455346,0.0454673,6.73012e-05,True,0.0456506,0.0455833,6.73086e-05,True,0.0456605,0.0455932,6.72886e-05,True,0.0456593,0.0455921,6.72869e-05,True,0.0456582,0.0455909,6.72852e-05,True,0.0775427,0.077543,0.0775491,0.0775426,0.0775429,0.0775495,0.0775424,0.0775428,0.338831,0.338845,1.2,4.82626e-07,1.04498
18,train,6,1,True,True,0.0632305,0.0627874,0.000443049,0.0956416,0.0960994,0.00831793,0.00815695,0.0631679,0.0636118,True,0.10845875,0.0632305,0.0627874,0.000443049,True,0.0634773,0.0630337,0.00044364,True,0.0636034,0.0631595,0.000443895,True,0.0636136,0.0631696,0.000443919,True,0.063612,0.0631681,0.000443908,True,0.0636104,0.0631665,0.000443897,True,0.110766,0.10745,0.102621,0.114531,0.105852,0.105009,0.112729,0.108712,0.3369,0.336858,1.2,4.82332e-07,0.0215235
19,train,7,1,True,True,0.0632114,0.0627686,0.00044282,0.0956216,0.0960792,0.00832311,0.00816211,0.0631487,0.0635924,True,0.1084315,0.0632114,0.0627686,0.00044282,True,0.063458,0.0630146,0.000443417,True,0.063584,0.0631403,0.000443674,True,0.0635942,0.0631505,0.000443697,True,0.0635926,0.0631489,0.000443686,True,0.063591,0.0631473,0.000443675,True,0.110742,0.107419,0.102599,0.114497,0.10583,0.10498,0.112705,0.10868,0.336901,0.336859,1.2,4.82332e-07,0.00782973
20,train,8,1,True,True,0.0409131,0.040994,-8.08828e-05,0.0731266,0.0730431,0.0345123,0.0344115,0.0413417,0.0412608,False,0.07311085,0.0409131,0.040994,-8.08828e-05,False,0.0411361,0.041217,-8.09043e-05,False,0.0412519,0.0413328,-8.09131e-05,False,0.0412619,0.0413428,-8.08959e-05,False,0.0412609,0.0413418,-8.08939e-05,False,0.0412599,0.0413408,-8.08919e-05,False,0.0730983,0.0730827,0.0731036,0.0730822,0.0730826,0.073091,0.0732067,0.0731397,0.328802,0.329263,1.2,4.82837e-07,0.00655526
21,train,9,1,True,True,0.063171,0.0627286,0.000442362,0.095581,0.0960382,0.00833386,0.00817282,0.0631092,0.0635524,True,0.108376625,0.063171,0.0627286,0.000442362,True,0.0634179,0.0629749,0.000442958,True,0.0635439,0.0631007,0.00044321,True,0.0635542,0.0631109,0.000443233,True,0.0635526,0.0631093,0.000443222,True,0.063551,0.0631078,0.000443211,True,0.110694,0.107358,0.102554,0.114429,0.105784,0.10492,0.112657,0.108617,0.336903,0.336861,1.2,4.82333e-07,0.00740521
22,train,10,1,True,True,0.0631519,0.0627098,0.000442135,0.095561,0.0960179,0.00833913,0.00817806,0.0630899,0.0635329,True,0.10834962499999999,0.0631519,0.0627098,0.000442135,True,0.0633985,0.0629558,0.000442732,True,0.0635245,0.0630815,0.000442988,True,0.0635347,0.0630917,0.000443012,True,0.0635331,0.0630901,0.000443001,True,0.0635315,0.0630885,0.00044299,True,0.110671,0.107328,0.102532,0.114395,0.105761,0.104891,0.112633,0.108586,0.336904,0.336862,1.2,4.82333e-07,0.00711653
23,train,11,1,True,True,0.0631301,0.0626882,0.000441904,0.09554,0.0959966,0.00834478,0.00818369,0.0630692,0.063512,True,0.10832075000000001,0.0631301,0.0626882,0.000441904,True,0.0633773,0.0629348,0.000442484,True,0.0635035,0.0630608,0.000442736,True,0.0635137,0.063071,0.000442759,True,0.0635121,0.0630694,0.000442748,True,0.0635105,0.0630678,0.000442737,True,0.110646,0.107295,0.102509,0.114358,0.105737,0.104859,0.112609,0.108553,0.336906,0.336863,1.2,4.82333e-07,0.00693809
24,train,0,0,True,True,0.0408903,0.0408076,8.26972e-05,0.0730196,0.0729342,0.0259772,0.025895,0.0412381,0.0411554,True,0.0729764875,0.0408903,0.0408076,8.26972e-05,True,0.0411133,0.0410306,8.27194e-05,True,0.0412291,0.0411464,8.27284e-05,True,0.0412392,0.0411565,8.27047e-05,True,0.0412382,0.0411555,8.27026e-05,True,0.0412372,0.0411545,8.27005e-05,True,0.0729744,0.0729747,0.0729827,0.0729741,0.0729746,0.0729831,0.0729739,0.0729744,0.33944,0.33946,1.2,4.82845e-07,1.04498
25,train,1,0,True,True,0.034456,0.0344301,2.59727e-05,0.0663823,0.0663556,0.0294504,0.0293476,0.0348036,0.0347777,True,0.067087725,0.034456,0.0344301,2.59727e-05,True,0.0346785,0.0346525,2.59715e-05,True,0.0347941,0.0347681,2.59719e-05,True,0.0348046,0.0347786,2.59579e-05,True,0.0348037,0.0347778,2.59572e-05,True,0.0348028,0.0347769,2.59566e-05,True,0.066368,0.0664666,0.066371,0.0720209,0.0663681,0.0663712,0.0663679,0.0663681,0.341379,0.341418,1.2,0.392813,1.04498
