cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0600549,0.060501,-0.000446082,0.0924313,0.0928912,0.0237303,0.0237414,0.0600625,0.0605086,False,0.0926620375,0.0600549,0.060501,-0.000446082,False,0.0926782,0.0926483,0.09265,0.0926794,0.0926473,0.0926492,0.0926807,0.0926781,0.0926484,0.09265,0.0926793,0.0926474,0.0926493,0.0926806,0.092678,0.0926484,0.338537,0.33852,1.21929,1.21928,
1,initial_eval,1,0,False,False,0.0607494,0.061203,-0.00045359,0.0931474,0.093615,0.0237719,0.0237682,0.0607569,0.0612105,False,0.09357174375,0.0607494,0.061203,-0.00045359,False,0.0933985,0.093368,0.0933697,0.0950473,0.093367,0.0933689,0.093401,0.0933984,0.0933681,0.0933698,0.0934854,0.0933671,0.093369,0.0934009,0.0933983,0.0946705,0.338521,0.338515,1.20931,1.2093,
2,initial_eval,2,0,False,False,0.0645683,0.0650695,-0.000501205,0.0970843,0.0976009,0.000590938,0.000585885,0.0645755,0.0650767,False,0.09858179375000002,0.0645683,0.0650695,-0.000501205,False,0.101264,0.0982454,0.0981655,0.0995111,0.0975996,0.0981313,0.0986555,0.0989136,0.0973787,0.098505,0.0982774,0.0974062,0.0990872,0.0983395,0.0982791,0.0995496,0.336328,0.336315,1.19936,1.19935,
3,initial_eval,3,0,False,False,0.0600245,0.0604704,-0.000445946,0.0924,0.0928597,0.0237329,0.0237444,0.0600321,0.060478,False,0.09263068125,0.0600245,0.0604704,-0.000445946,False,0.0926468,0.0926169,0.0926186,0.092648,0.092616,0.0926178,0.0926494,0.0926468,0.092617,0.0926187,0.0926479,0.092616,0.0926179,0.0926493,0.0926467,0.0926171,0.338538,0.338521,1.18956,1.18954,
4,initial_eval,4,0,False,False,0.0600183,0.0604641,-0.000445817,0.0923934,0.092853,0.0237339,0.0237454,0.0600259,0.0604717,False,0.0926248875,0.0600183,0.0604641,-0.000445817,False,0.0926401,0.0926102,0.0926263,0.0926413,0.0926093,0.0926112,0.0926427,0.0926401,0.0926103,0.092612,0.0926412,0.0926093,0.0926112,0.0926426,0.09264,0.0926104,0.338539,0.338522,1.17982,1.1798,
5,initial_eval,5,0,False,False,0.0600129,0.0604591,-0.0004462,0.0923881,0.092848,0.0237349,0.0237465,0.0600205,0.0604667,False,0.09262125624999999,0.0600129,0.0604591,-0.0004462,False,0.092635,0.0926051,0.0926068,0.0926362,0.0926041,0.092606,0.0926375,0.0926349,0.0926052,0.0926068,0.0926361,0.0926042,0.0926061,0.092676,0.0926349,0.0926052,0.338539,0.338522,1.17016,1.17014,
6,initial_eval,6,1,False,False,0.0834866,0.0829342,0.000552394,0.116012,0.116581,0.0127505,0.0127523,0.0829405,0.0834929,True,0.12397712499999998,0.0834866,0.0829342,0.000552394,True,0.124955,0.124868,0.12018,0.127742,0.122977,0.12202,0.125609,0.124438,0.120466,0.127085,0.122623,0.12247,0.125025,0.125051,0.120272,0.127853,0.337589,0.337586,1.16031,1.16028,
7,initial_eval,7,1,False,False,0.0834716,0.0829193,0.000552336,0.115997,0.116566,0.0292066,0.0292164,0.0829256,0.0834779,True,0.1239598125,0.0834716,0.0829193,0.000552336,True,0.124937,0.124851,0.120163,0.127724,0.12296,0.122003,0.125591,0.124421,0.120449,0.127067,0.122607,0.122453,0.125007,0.125034,0.120255,0.127835,0.333764,0.333761,1.15063,1.1506,
8,initial_eval,8,1,False,False,0.0606972,0.0602455,0.000451716,0.0926278,0.0930935,0.0237696,0.0237659,0.0602531,0.0607047,True,0.09293664375000002,0.0606972,0.0602455,0.000451716,True,0.0928779,0.0931587,0.0928492,0.0928791,0.0928465,0.0928485,0.0931312,0.0928817,0.0928476,0.0928493,0.092879,0.0928466,0.0928485,0.0935171,0.0928777,0.0928477,0.338524,0.338518,1.14115,1.14112,
9,initial_eval,9,1,False,False,0.0834416,0.0828893,0.000552221,0.115966,0.116535,0.0127009,0.0127027,0.0828957,0.0834479,True,0.12392506249999999,0.0834416,0.0828893,0.000552221,True,0.124903,0.124815,0.12013,0.127688,0.122926,0.121969,0.125556,0.124385,0.120416,0.127031,0.122573,0.122418,0.124973,0.124998,0.120222,0.127798,0.337584,0.33758,1.13959,1.13959,
10,initial_eval,10,1,False,False,0.0834267,0.0828745,0.000552163,0.115951,0.116519,0.0291503,0.0291601,0.0828808,0.083433,True,0.1239078125,0.0834267,0.0828745,0.000552163,True,0.124885,0.124798,0.120114,0.12767,0.122909,0.121951,0.125539,0.124368,0.1204,0.127013,0.122556,0.122401,0.124955,0.12498,0.120206,0.12778,0.333763,0.33376,1.1398,1.1398,
