cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0767124,0.0775057,-0.000793313,0.109599,0.110417,0.018992,0.0189622,0.076719,0.0775122,False,0.11001075,0.0767124,0.0775057,-0.000793313,False,0.110025,0.110023,0.109969,0.110026,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21909,1.21909,
1,initial_eval,1,0,False,False,0.0769751,0.0777777,-0.000802554,0.10987,0.110697,0.0189985,0.0189687,0.0769817,0.0777842,False,0.11040837499999999,0.0769751,0.0777777,-0.000802554,False,0.110301,0.110299,0.110244,0.111277,0.1103,0.110241,0.110304,0.110301,0.337464,0.337467,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0788736,0.0797062,-0.000832629,0.111827,0.112685,0.00289372,0.0028386,0.07888,0.0797126,False,0.113199875,0.0788736,0.0797062,-0.000832629,False,0.115334,0.112679,0.112633,0.113755,0.112314,0.112601,0.11303,0.113253,0.334904,0.334896,1.19894,1.19892,
3,initial_eval,3,0,False,False,0.0766724,0.0774655,-0.000793063,0.109558,0.110376,0.0189945,0.0189647,0.076679,0.0774721,False,0.10996975000000002,0.0766724,0.0774655,-0.000793063,False,0.109984,0.109982,0.109928,0.109985,0.109983,0.109925,0.109987,0.109984,0.337464,0.337467,1.18901,1.18898,
4,initial_eval,4,0,False,False,0.0766592,0.0774522,-0.000792982,0.109545,0.110362,0.0189953,0.0189655,0.0766658,0.0774587,False,0.10995574999999999,0.0766592,0.0774522,-0.000792982,False,0.10997,0.109968,0.109914,0.109971,0.109969,0.109911,0.109973,0.10997,0.337464,0.337467,1.17914,1.17911,
5,initial_eval,5,0,False,False,0.0766458,0.0774387,-0.000792897,0.109531,0.110348,0.0189962,0.0189663,0.0766525,0.0774453,False,0.109941875,0.0766458,0.0774387,-0.000792897,False,0.109956,0.109954,0.1099,0.109958,0.109955,0.109897,0.109959,0.109956,0.337464,0.337467,1.16936,1.16932,
6,initial_eval,6,1,False,False,0.0923552,0.0913277,0.00102745,0.124659,0.125717,0.0121118,0.012096,0.0913336,0.0923609,True,0.132280625,0.0923552,0.0913277,0.00102745,True,0.133336,0.132306,0.128597,0.136155,0.130598,0.130411,0.134022,0.13282,0.337092,0.337087,1.15948,1.15944,
7,initial_eval,7,1,False,False,0.0923421,0.0913147,0.0010274,0.124645,0.125704,0.0121058,0.01209,0.0913205,0.0923478,True,0.13226725,0.0923421,0.0913147,0.0010274,True,0.133322,0.132293,0.128584,0.136142,0.130584,0.130397,0.134009,0.132807,0.337092,0.337086,1.14974,1.14969,
8,initial_eval,8,1,False,False,0.0774204,0.0766272,0.000793228,0.109511,0.110329,0.0356284,0.0355334,0.0766338,0.0774269,True,0.10993125000000001,0.0774204,0.0766272,0.000793228,True,0.109937,0.109978,0.109881,0.109938,0.109936,0.109878,0.109965,0.109937,0.318376,0.318876,1.14023,1.14017,
9,initial_eval,9,1,False,False,0.0923157,0.0912884,0.00102729,0.124619,0.125677,0.0120938,0.0120779,0.0912942,0.0923214,True,0.13224049999999998,0.0923157,0.0912884,0.00102729,True,0.133296,0.132266,0.128557,0.136115,0.130557,0.13037,0.133983,0.13278,0.337091,0.337085,1.13965,1.13964,
