cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.066771,0.0673359,-0.000564847,0.0993541,0.0999363,0.0216196,0.0216125,0.0667782,0.0673431,False,0.0996461,0.066771,0.0673359,-0.000564847,False,0.0996622,0.0996214,0.0996246,0.0996634,0.099661,0.0996232,0.0996648,0.0996621,0.0996216,0.0996247,0.0996633,0.0996609,0.33804,0.338037,1.21921,1.2192,
1,initial_eval,1,0,False,False,0.0671117,0.0676891,-0.000577408,0.0997054,0.100301,0.0216287,0.0216215,0.0671189,0.0676963,False,0.10012046666666667,0.0671117,0.0676891,-0.000577408,False,0.10002,0.0999786,0.0999819,0.101396,0.100019,0.0999804,0.100023,0.10002,0.0999787,0.099982,0.100047,0.100019,0.338041,0.338038,1.20918,1.20917,
2,initial_eval,2,0,False,False,0.0697869,0.0703962,-0.000609227,0.102463,0.103091,4.55995e-05,3.12152e-05,0.0697938,0.070403,False,0.10377041666666666,0.0697869,0.0703962,-0.000609227,False,0.106399,0.103496,0.103428,0.1047,0.102945,0.103395,0.103886,0.104133,0.102764,0.103742,0.103538,0.102819,0.335577,0.335566,1.1992,1.19918,
3,initial_eval,3,0,False,False,0.0667369,0.0673015,-0.000564669,0.099319,0.099901,0.0216224,0.0216153,0.0667441,0.0673087,False,0.099610875,0.0667369,0.0673015,-0.000564669,False,0.0996269,0.0995862,0.0995894,0.0996282,0.0996258,0.0995879,0.0996296,0.0996269,0.0995863,0.0995895,0.0996281,0.0996257,0.338041,0.338038,1.18934,1.18932,
4,initial_eval,4,0,False,False,0.0667255,0.0672902,-0.000564611,0.0993072,0.0998892,0.0216233,0.0216163,0.0667327,0.0672973,False,0.0995991,0.0667255,0.0672902,-0.000564611,False,0.0996152,0.0995744,0.0995776,0.0996164,0.099614,0.0995762,0.0996178,0.0996151,0.0995746,0.0995777,0.0996163,0.0996139,0.338041,0.338038,1.17955,1.17953,
5,initial_eval,5,0,False,False,0.0667141,0.0672787,-0.000564551,0.0992955,0.0998774,0.0216243,0.0216173,0.0667213,0.0672859,False,0.09958738333333333,0.0667141,0.0672787,-0.000564551,False,0.0996035,0.0995627,0.0995659,0.0996047,0.0996023,0.0995644,0.0996061,0.0996034,0.0995628,0.099566,0.0996046,0.0996022,0.338042,0.338038,1.16984,1.16982,
6,initial_eval,6,1,False,False,0.0863835,0.0856931,0.000690332,0.118854,0.119566,0.0125763,0.0125786,0.0856993,0.0863896,True,0.12645558333333334,0.0863835,0.0856931,0.000690332,True,0.127745,0.12768,0.122959,0.130561,0.124982,0.124804,0.128421,0.127225,0.12325,0.129894,0.125409,0.124537,0.337402,0.337401,1.15999,1.15996,
7,initial_eval,7,1,False,False,0.086368,0.0856777,0.000690262,0.118838,0.11955,0.0125615,0.0125638,0.0856838,0.0863741,True,0.126438,0.086368,0.0856777,0.000690262,True,0.127727,0.127662,0.122942,0.130543,0.124964,0.124787,0.128403,0.127207,0.123233,0.129876,0.125392,0.12452,0.337401,0.337399,1.15029,1.15025,
8,initial_eval,8,1,False,False,0.0673236,0.06676,0.000563577,0.0993429,0.0999237,0.0216287,0.0216218,0.0667672,0.0673308,True,0.09966076666666666,0.0673236,0.06676,0.000563577,True,0.0996503,0.0997929,0.0996127,0.0996515,0.0996491,0.0996113,0.0997883,0.0996502,0.0996097,0.0996128,0.0996514,0.099649,0.338043,0.338039,1.1408,1.14076,
9,initial_eval,9,1,False,False,0.0863368,0.0856467,0.000690124,0.118807,0.119518,0.0125318,0.0125341,0.0856528,0.0863429,True,0.12640216666666668,0.0863368,0.0856467,0.000690124,True,0.127691,0.127625,0.122908,0.130505,0.12493,0.124751,0.128367,0.127171,0.123198,0.129839,0.125357,0.124484,0.337398,0.337396,1.13962,1.13962,
10,initial_eval,10,1,False,False,0.0863214,0.0856314,0.000690053,0.118791,0.119502,0.0125171,0.0125194,0.0856375,0.0863275,True,0.1263845,0.0863214,0.0856314,0.000690053,True,0.127673,0.127607,0.122891,0.130487,0.124912,0.124734,0.128349,0.127153,0.123181,0.12982,0.12534,0.124467,0.337396,0.337394,1.1398,1.13979,
11,initial_eval,11,1,False,False,0.0863059,0.0856159,0.000689984,0.118775,0.119486,0.0125024,0.0125047,0.0856221,0.086312,True,0.12636675,0.0863059,0.0856159,0.000689984,True,0.127656,0.127589,0.122874,0.130468,0.124895,0.124716,0.128331,0.127135,0.123164,0.129802,0.125322,0.124449,0.337394,0.337393,1.1398,1.13979,
12,train,0,0,True,True,0.0666346,0.0671987,-0.00056414,0.0992135,0.099795,0.0216308,0.021624,0.0666418,0.0672059,False,0.099505175,0.0666346,0.0671987,-0.00056414,False,0.0995212,0.0994805,0.0994837,0.0995225,0.0995201,0.0994822,0.0995239,0.0995212,0.0994806,0.0994838,0.0995224,0.09952,0.338086,0.338082,1.2,4.82308e-07,1.04498
13,train,1,0,True,True,0.0577689,0.0582448,-0.000475843,0.0900746,0.0905651,0.0225106,0.0225039,0.0577768,0.0582526,False,0.09051609999999999,0.0577689,0.0582448,-0.000475843,False,0.0903356,0.0902978,0.0903007,0.0925646,0.0903345,0.0902993,0.0903381,0.0903356,0.0902978,0.0903008,0.0904539,0.0903345,0.338366,0.338364,1.2,4.8238e-07,1.04498
14,train,2,0,True,True,0.0565577,0.0570528,-0.000495042,0.0888261,0.0893365,0.0230767,0.0230536,0.0565656,0.0570606,False,0.0903218,0.0565577,0.0570528,-0.000495042,False,0.0940604,0.0898715,0.0900561,0.0911599,0.0892147,0.0900621,0.0903341,0.090923,0.0890639,0.0899253,0.0900919,0.0890987,0.33854,0.338526,1.2,4.82394e-07,1.04498
15,train,3,0,True,True,0.0484136,0.0488197,-0.000406125,0.0804285,0.0808473,0.0239744,0.0239228,0.0484221,0.0488282,False,0.08063870000000001,0.0484136,0.0488197,-0.000406125,False,0.0806528,0.080617,0.08062,0.0806539,0.0806517,0.0806186,0.0806552,0.0806527,0.0806171,0.08062,0.0806538,0.0806516,0.338853,0.338811,1.2,4.82532e-07,1.04498
16,train,4,0,True,True,0.0442983,0.0446811,-0.000382738,0.0761846,0.0765793,0.0252967,0.0252291,0.044307,0.0446897,False,0.07638625,0.0442983,0.0446811,-0.000382738,False,0.0763967,0.0763612,0.0764063,0.0763978,0.0763956,0.0763628,0.0763991,0.0763966,0.0763613,0.0763643,0.0763977,0.0763956,0.339277,0.339212,1.2,4.8266e-07,1.04498
17,train,5,0,True,True,0.0403238,0.0406848,-0.000360953,0.0720855,0.0724578,0.0268268,0.0267486,0.0403329,0.0406938,False,0.07227242499999999,0.0403238,0.0406848,-0.000360953,False,0.0722863,0.072251,0.072254,0.0722874,0.0722852,0.0722527,0.0722887,0.0722862,0.0722511,0.0722541,0.0722873,0.0722851,0.339858,0.33977,1.2,4.82878e-07,1.04498
18,train,6,1,True,True,0.0628014,0.0621347,0.00066665,0.0945938,0.0952807,0.00765205,0.00750371,0.0621433,0.0628099,True,0.10697174999999999,0.0628014,0.0621347,0.00066665,True,0.109542,0.108718,0.101571,0.113174,0.104776,0.103887,0.111361,0.107558,0.10237,0.111594,0.105896,0.103214,0.336985,0.336931,1.2,4.82338e-07,0.0183299
19,train,7,1,True,True,0.0627819,0.0621153,0.000666647,0.0945736,0.0952606,0.00765754,0.00751608,0.0621239,0.0627905,True,0.10694475000000002,0.0627819,0.0621153,0.000666647,True,0.109518,0.108686,0.101549,0.113142,0.104753,0.103858,0.111338,0.107527,0.102347,0.111561,0.105873,0.103185,0.336986,0.336932,1.2,4.82339e-07,0.00398298
20,train,8,1,True,True,0.0369784,0.0366356,0.000342809,0.0682814,0.068635,0.0359251,0.0358129,0.0366448,0.0369876,True,0.06849749166666667,0.0369784,0.0366356,0.000342809,True,0.0685313,0.0684464,0.0684933,0.068474,0.0684717,0.0684391,0.068694,0.0685964,0.0684375,0.0684406,0.0684739,0.0684717,0.323303,0.323802,1.2,4.83303e-07,0.00314943
21,train,9,1,True,True,0.0627415,0.0620749,0.000666664,0.0945322,0.0952192,0.00766888,0.00752743,0.0620835,0.0627501,True,0.10688941666666667,0.0627415,0.0620749,0.000666664,True,0.10947,0.108621,0.101504,0.113071,0.104707,0.103797,0.111289,0.107464,0.102302,0.111495,0.105826,0.103127,0.336988,0.336934,1.2,4.82339e-07,0.00473078
22,train,10,1,True,True,0.0627223,0.0620556,0.000666649,0.0945121,0.0951991,0.00767434,0.00753283,0.0620642,0.0627308,True,0.10686266666666666,0.0627223,0.0620556,0.000666649,True,0.109447,0.108589,0.101482,0.11304,0.104684,0.103769,0.111265,0.107433,0.10228,0.111462,0.105803,0.103098,0.33699,0.336936,1.2,4.82339e-07,0.00379371
23,train,11,1,True,True,0.062701,0.0620343,0.0006667,0.0944906,0.0951776,0.00768031,0.00753871,0.0620429,0.0627096,True,0.10683358333333333,0.062701,0.0620343,0.0006667,True,0.109422,0.108553,0.101458,0.113005,0.10466,0.103738,0.11124,0.107399,0.102256,0.111426,0.105779,0.103067,0.336991,0.336937,1.2,4.82339e-07,0.00385375
24,train,0,0,True,True,0.0364792,0.0368175,-0.000338349,0.06812,0.068469,0.0283993,0.028313,0.0364885,0.0368269,False,0.06829665833333333,0.0364792,0.0368175,-0.000338349,False,0.068309,0.0682908,0.068277,0.0683101,0.0683079,0.0682757,0.0683115,0.0683089,0.0682741,0.0682771,0.06831,0.0683078,0.340699,0.34058,1.2,4.83332e-07,1.04498
25,train,1,0,True,True,0.030998,0.031375,-0.000377015,0.0624659,0.0628549,0.0311236,0.031027,0.0310078,0.0313848,False,0.06317838333333334,0.030998,0.031375,-0.000377015,False,0.0626786,0.0628358,0.0626384,0.0685149,0.0626772,0.0626366,0.062682,0.0626785,0.062675,0.0626385,0.062808,0.0626771,0.342897,0.342752,1.16269,1.08625,0.0293031
26,train,2,0,True,True,0.0329723,0.0334206,-0.000448341,0.0645029,0.0649654,0.0307457,0.0306431,0.0329818,0.0334301,False,0.06586671666666667,0.0329723,0.0334206,-0.000448341,False,0.0727248,0.0647653,0.0649944,0.0660699,0.0647544,0.0655254,0.0653665,0.0660153,0.0647029,0.0647397,0.0659877,0.0647543,0.342715,0.342563,1.19998,0.750436,1.04498
27,train,3,0,True,True,0.0243494,0.0246142,-0.000264774,0.0556057,0.0558789,0.0328404,0.0327359,0.0243598,0.0246246,False,0.05574300833333334,0.0243494,0.0246142,-0.000264774,False,0.0557563,0.0557222,0.0557255,0.0557575,0.0557551,0.055724,0.055759,0.0557562,0.0557223,0.0557256,0.0557574,0.055755,0.38303,0.36643,1.197,1.15195,0.0315866
28,train,4,0,True,True,0.0243515,0.0246157,-0.000264155,0.0556076,0.0558802,0.0328426,0.032738,0.0243619,0.0246261,False,0.05574697500000001,0.0243515,0.0246157,-0.000264155,False,0.0557579,0.0557239,0.055755,0.0557591,0.0557567,0.0557257,0.0557607,0.0557578,0.055724,0.0557273,0.055759,0.0557566,0.382947,0.366367,1.18743,1.14274,0.000841284
