cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0600608,0.0604949,-0.000434161,0.0924374,0.0928849,0.0237304,0.0237413,0.0600684,0.0605025,False,0.09266193750000003,0.0600608,0.0604949,-0.000434161,False,0.0926777,0.0926486,0.0926502,0.0926788,0.0926476,0.0926495,0.0926801,0.0926776,0.0926486,0.0926502,0.0926787,0.0926477,0.0926495,0.09268,0.0926775,0.0926487,0.338536,0.33852,1.21929,1.21928,
1,initial_eval,1,0,False,False,0.0607553,0.0611969,-0.00044165,0.0931535,0.0936087,0.0237718,0.0237682,0.0607628,0.0612045,False,0.09357164375,0.0607553,0.0611969,-0.00044165,False,0.0933979,0.0933683,0.0933699,0.0950468,0.0933673,0.0933692,0.0934004,0.0933979,0.0933683,0.09337,0.0934848,0.0933674,0.0933692,0.0934003,0.0933978,0.0946708,0.338521,0.338515,1.2093,1.2093,
2,initial_eval,2,0,False,False,0.0645743,0.0650635,-0.000489157,0.0970905,0.0975947,0.000590714,0.000585982,0.0645815,0.0650706,False,0.09858175624999999,0.0645743,0.0650635,-0.000489157,False,0.101264,0.0982457,0.0981658,0.0995106,0.0976,0.0981316,0.0986549,0.0989131,0.097379,0.0985053,0.0982768,0.0974065,0.0990874,0.0983389,0.0982786,0.0995499,0.336328,0.336315,1.19936,1.19935,
3,initial_eval,3,0,False,False,0.0600304,0.0604644,-0.000434027,0.0924061,0.0928535,0.0237331,0.0237443,0.060038,0.060472,False,0.09263056874999999,0.0600304,0.0604644,-0.000434027,False,0.0926463,0.0926172,0.0926188,0.0926475,0.0926163,0.0926181,0.0926487,0.0926462,0.0926173,0.0926189,0.0926474,0.0926163,0.0926181,0.0926486,0.0926461,0.0926173,0.338538,0.338522,1.18956,1.18954,
4,initial_eval,4,0,False,False,0.0600242,0.0604581,-0.000433899,0.0923994,0.0928467,0.023734,0.0237453,0.0600318,0.0604657,False,0.09262477499999999,0.0600242,0.0604581,-0.000433899,False,0.0926396,0.0926105,0.0926265,0.0926408,0.0926096,0.0926114,0.092642,0.0926395,0.0926106,0.0926122,0.0926407,0.0926096,0.0926114,0.092642,0.0926394,0.0926106,0.338538,0.338522,1.17982,1.1798,
5,initial_eval,5,0,False,False,0.0600188,0.0604531,-0.000434283,0.0923941,0.0928418,0.023735,0.0237464,0.0600264,0.0604607,False,0.09262115,0.0600188,0.0604531,-0.000434283,False,0.0926345,0.0926054,0.092607,0.0926356,0.0926044,0.0926062,0.0926369,0.0926344,0.0926054,0.092607,0.0926356,0.0926045,0.0926063,0.0926754,0.0926343,0.0926055,0.338539,0.338523,1.17016,1.17014,
6,initial_eval,6,1,False,False,0.0834803,0.0829405,0.000539788,0.116019,0.116575,0.0127504,0.0127524,0.0829468,0.0834866,True,0.12397706250000001,0.0834803,0.0829405,0.000539788,True,0.124954,0.124869,0.12018,0.127742,0.122978,0.12202,0.125608,0.124438,0.120466,0.127085,0.122623,0.12247,0.125025,0.125051,0.120271,0.127853,0.337589,0.337586,1.16031,1.16028,
7,initial_eval,7,1,False,False,0.0834653,0.0829256,0.000539731,0.116003,0.116559,0.0292066,0.0292164,0.0829319,0.0834716,True,0.12395981249999999,0.0834653,0.0829256,0.000539731,True,0.124937,0.124851,0.120163,0.127724,0.122961,0.122003,0.125591,0.12442,0.12045,0.127067,0.122606,0.122453,0.125008,0.125033,0.120255,0.127835,0.333764,0.333761,1.15063,1.1506,
8,initial_eval,8,1,False,False,0.0606911,0.0602513,0.000439793,0.0926339,0.0930873,0.0237695,0.0237659,0.0602589,0.0606987,True,0.09293654375,0.0606911,0.0602513,0.000439793,True,0.0928773,0.093159,0.0928495,0.0928785,0.0928468,0.0928487,0.0931306,0.0928812,0.0928479,0.0928495,0.0928784,0.0928469,0.0928488,0.0935165,0.0928772,0.0928479,0.338523,0.338518,1.14115,1.14112,
9,initial_eval,9,1,False,False,0.0834352,0.0828956,0.000539617,0.115972,0.116528,0.0127008,0.0127028,0.0829019,0.0834415,True,0.12392512499999998,0.0834352,0.0828956,0.000539617,True,0.124902,0.124816,0.12013,0.127687,0.122927,0.121969,0.125556,0.124385,0.120417,0.127031,0.122572,0.122418,0.124973,0.124998,0.120222,0.127799,0.337584,0.33758,1.13959,1.13959,
10,initial_eval,10,1,False,False,0.0834203,0.0828808,0.00053956,0.115957,0.116513,0.0126844,0.0126865,0.0828871,0.0834266,True,0.12390775000000001,0.0834203,0.0828808,0.00053956,True,0.124885,0.124798,0.120114,0.127669,0.12291,0.121952,0.125539,0.124367,0.1204,0.127013,0.122555,0.122401,0.124956,0.12498,0.120205,0.12778,0.337582,0.337578,1.1398,1.1398,
11,initial_eval,11,1,False,False,0.0834054,0.0828659,0.000539503,0.115942,0.116497,0.012668,0.0126701,0.0828722,0.0834116,True,0.12389031249999999,0.0834054,0.0828659,0.000539503,True,0.124868,0.12478,0.120097,0.127651,0.122893,0.121935,0.125521,0.12435,0.120383,0.126995,0.122538,0.122384,0.124938,0.124962,0.120188,0.127762,0.33758,0.337576,1.1398,1.1398,
12,train,0,0,True,True,0.0599393,0.060373,-0.000433628,0.0923122,0.0927592,0.0237409,0.0237532,0.059947,0.0603806,False,0.09253651875,0.0599393,0.060373,-0.000433628,False,0.0925522,0.0925231,0.0925248,0.0925534,0.0925222,0.092524,0.0925547,0.0925522,0.0925232,0.0925248,0.0925533,0.0925223,0.0925241,0.0925546,0.0925521,0.0925233,0.338584,0.338567,1.2,4.82359e-07,1.04498
13,train,1,0,True,True,0.052763,0.0531684,-0.000405406,0.0849137,0.0853317,0.0247182,0.024717,0.0527711,0.0531764,False,0.08544354374999999,0.052763,0.0531684,-0.000405406,False,0.085142,0.0851256,0.0851114,0.0876227,0.0851086,0.0851106,0.0851423,0.0851397,0.0851097,0.0851114,0.0853416,0.0851087,0.0851106,0.0851422,0.0851396,0.08753,0.338938,0.338929,1.2,4.82447e-07,1.04498
