cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0767129,0.0775062,-0.000793313,0.1096,0.110417,0.018992,0.0189622,0.0767195,0.0775127,False,0.11001087500000001,0.0767129,0.0775062,-0.000793313,False,0.110025,0.110023,0.109969,0.110027,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21909,1.21909,
1,initial_eval,1,0,False,False,0.0769774,0.0777799,-0.000802565,0.109873,0.1107,0.0189984,0.0189685,0.076984,0.0777865,False,0.110410375,0.0769774,0.0777799,-0.000802565,False,0.110303,0.110301,0.110246,0.111279,0.110302,0.110243,0.110306,0.110303,0.337464,0.337467,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0788747,0.0797073,-0.000832609,0.111828,0.112686,0.00289832,0.00284307,0.0788811,0.0797137,False,0.11319987499999999,0.0788747,0.0797073,-0.000832609,False,0.115333,0.112679,0.112634,0.113753,0.112315,0.112602,0.11303,0.113253,0.334903,0.334895,1.19894,1.19892,
3,initial_eval,3,0,False,False,0.0766788,0.0774719,-0.000793103,0.109565,0.110382,0.0189941,0.0189643,0.0766854,0.0774785,False,0.109976,0.0766788,0.0774719,-0.000793103,False,0.109991,0.109988,0.109934,0.109992,0.109989,0.109931,0.109993,0.10999,0.337464,0.337467,1.18901,1.18898,
4,initial_eval,4,0,False,False,0.0766677,0.0774607,-0.000793035,0.109553,0.110371,0.0189948,0.018965,0.0766743,0.0774673,False,0.10996475,0.0766677,0.0774607,-0.000793035,False,0.109979,0.109977,0.109923,0.10998,0.109978,0.10992,0.109982,0.109979,0.337464,0.337467,1.17914,1.17911,
5,initial_eval,5,0,False,False,0.0766563,0.0774493,-0.000792963,0.109542,0.110359,0.0189955,0.0189657,0.076663,0.0774559,False,0.109952875,0.0766563,0.0774493,-0.000792963,False,0.109967,0.109965,0.109911,0.109969,0.109966,0.109908,0.10997,0.109967,0.337464,0.337467,1.16936,1.16932,
6,initial_eval,6,1,False,False,0.0923498,0.0913226,0.00102723,0.124654,0.125712,0.012083,0.0120671,0.0913284,0.0923556,True,0.13226537500000002,0.0923498,0.0913226,0.00102723,True,0.13332,0.132291,0.128586,0.136136,0.130584,0.130397,0.134005,0.132804,0.337089,0.337084,1.15948,1.15944,
7,initial_eval,7,1,False,False,0.0923358,0.0913087,0.00102714,0.124639,0.125697,0.0120724,0.0120564,0.0913145,0.0923415,True,0.13224937499999997,0.0923358,0.0913087,0.00102714,True,0.133304,0.132275,0.12857,0.136119,0.130569,0.130381,0.133989,0.132788,0.337088,0.337083,1.14974,1.14969,
8,initial_eval,8,1,False,False,0.0774365,0.0766432,0.000793314,0.109528,0.110345,0.0189978,0.018968,0.0766498,0.0774431,True,0.10994762500000001,0.0774365,0.0766432,0.000793314,True,0.109954,0.109993,0.109897,0.109955,0.109952,0.109895,0.109981,0.109954,0.337465,0.337468,1.14023,1.14017,
9,initial_eval,9,1,False,False,0.0923076,0.0912807,0.00102696,0.124611,0.125668,0.0120511,0.012035,0.0912865,0.0923134,True,0.13221750000000002,0.0923076,0.0912807,0.00102696,True,0.133272,0.132242,0.12854,0.136086,0.130538,0.130349,0.133957,0.132756,0.337087,0.337081,1.13965,1.13964,
10,initial_eval,10,1,False,False,0.0922937,0.0912669,0.00102687,0.124596,0.125654,0.0120405,0.0120244,0.0912727,0.0922995,True,0.13220187500000002,0.0922937,0.0912669,0.00102687,True,0.133256,0.132226,0.128525,0.13607,0.130522,0.130334,0.133942,0.13274,0.337086,0.33708,1.13978,1.13978,
11,initial_eval,11,1,False,False,0.0922797,0.0912529,0.00102679,0.124582,0.12564,0.01203,0.0120139,0.0912587,0.0922855,True,0.132186,0.0922797,0.0912529,0.00102679,True,0.133241,0.13221,0.128509,0.136053,0.130507,0.130318,0.133926,0.132724,0.337085,0.337079,1.13978,1.13978,
