cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0767125,0.0775059,-0.000793314,0.1096,0.110417,0.018992,0.0189622,0.0767191,0.0775124,False,0.11001087500000001,0.0767125,0.0775059,-0.000793314,False,0.110025,0.110023,0.109969,0.110027,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21815,1.21814,
1,initial_eval,1,0,False,False,0.0767447,0.0775394,-0.000794718,0.109633,0.110452,0.0189935,0.0189636,0.0767513,0.0775459,False,0.11006425,0.0767447,0.0775394,-0.000794718,False,0.110059,0.110057,0.110003,0.110216,0.110058,0.11,0.110062,0.110059,0.337464,0.337467,1.20806,1.20804,
2,initial_eval,2,0,False,False,0.0766886,0.0774818,-0.000793164,0.109575,0.110392,0.0189935,0.0189637,0.0766952,0.0774883,False,0.10998625,0.0766886,0.0774818,-0.000793164,False,0.110001,0.109998,0.109944,0.110002,0.109999,0.109942,0.110003,0.110001,0.337464,0.337467,1.19804,1.19802,
3,initial_eval,3,0,False,False,0.0766767,0.0774698,-0.000793089,0.109563,0.11038,0.0189942,0.0189644,0.0766833,0.0774763,False,0.109973875,0.0766767,0.0774698,-0.000793089,False,0.109988,0.109986,0.109932,0.10999,0.109987,0.109929,0.109991,0.109988,0.337464,0.337467,1.18811,1.18808,
4,initial_eval,4,0,False,False,0.0766647,0.0774578,-0.000793015,0.10955,0.110368,0.018995,0.0189651,0.0766714,0.0774643,False,0.10996175000000001,0.0766647,0.0774578,-0.000793015,False,0.109976,0.109974,0.10992,0.109977,0.109975,0.109917,0.109979,0.109976,0.337464,0.337467,1.17825,1.17822,
5,initial_eval,5,0,False,False,0.0785841,0.0794343,-0.000850212,0.111528,0.112405,0.019035,0.0190051,0.0785905,0.0794407,False,0.11279950000000001,0.0785841,0.0794343,-0.000850212,False,0.112698,0.113756,0.111956,0.113683,0.11218,0.111921,0.113757,0.112445,0.337469,0.337472,1.16845,1.16841,
6,initial_eval,6,0,False,False,0.0766409,0.0774337,-0.000792866,0.109526,0.110343,0.0189965,0.0189666,0.0766475,0.0774403,False,0.109936875,0.0766409,0.0774337,-0.000792866,False,0.109951,0.109949,0.109895,0.109953,0.10995,0.109892,0.109954,0.109951,0.337465,0.337467,1.15876,1.15872,
7,initial_eval,7,0,False,False,0.0786103,0.0794359,-0.000825623,0.111555,0.112406,0.0190376,0.0190077,0.0786167,0.0794423,False,0.11283149999999999,0.0786103,0.0794359,-0.000825623,False,0.113372,0.112598,0.11271,0.113625,0.112058,0.112001,0.11291,0.113378,0.33747,0.337473,1.14912,1.14907,
8,initial_eval,8,0,False,False,0.076617,0.0774097,-0.000792717,0.109501,0.110318,0.018998,0.0189681,0.0766237,0.0774163,False,0.10991225,0.076617,0.0774097,-0.000792717,False,0.109927,0.109924,0.10987,0.109928,0.109925,0.109868,0.109929,0.109927,0.337465,0.337468,1.13987,1.13986,
9,initial_eval,9,0,False,False,0.0766051,0.0773977,-0.000792643,0.109489,0.110306,0.0189987,0.0189688,0.0766117,0.0774043,False,0.10989987500000001,0.0766051,0.0773977,-0.000792643,False,0.109914,0.109912,0.109858,0.109916,0.109913,0.109855,0.109917,0.109914,0.337465,0.337468,1.13982,1.13982,
10,initial_eval,10,0,False,False,0.0790111,0.0798772,-0.000866067,0.111969,0.112861,0.0269496,0.0269108,0.0790176,0.0798836,False,0.11348299999999999,0.0790111,0.0798772,-0.000866067,False,0.113927,0.113275,0.112406,0.116448,0.112636,0.112439,0.113764,0.112969,0.336306,0.336325,1.13979,1.13979,
11,initial_eval,11,0,False,False,0.0765878,0.0773805,-0.000792715,0.109471,0.110288,0.0190002,0.0189704,0.0765944,0.0773871,False,0.10988487499999999,0.0765878,0.0773805,-0.000792715,False,0.109897,0.109894,0.10984,0.109921,0.109895,0.109837,0.109899,0.109896,0.337465,0.337468,1.13984,1.13984,
12,initial_eval,12,0,False,False,0.0765693,0.0773617,-0.00079242,0.109452,0.110269,0.0190009,0.0189711,0.0765759,0.0773683,False,0.109862875,0.0765693,0.0773617,-0.00079242,False,0.109877,0.109875,0.109821,0.109879,0.109876,0.109818,0.10988,0.109877,0.337466,0.337468,1.13982,1.13982,
13,initial_eval,13,0,False,False,0.0765576,0.0773499,-0.00079235,0.10944,0.110257,0.0190017,0.0189718,0.0765642,0.0773565,False,0.10985087499999999,0.0765576,0.0773499,-0.00079235,False,0.109866,0.109863,0.109809,0.109866,0.109864,0.109806,0.109868,0.109865,0.337466,0.337469,1.13982,1.13982,
