cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0767125,0.0775059,-0.000793314,0.1096,0.110417,0.018992,0.0189622,0.0767191,0.0775124,False,0.11001087500000001,0.0767125,0.0775059,-0.000793314,False,0.110025,0.110023,0.109969,0.110027,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21909,1.21909,
1,initial_eval,1,0,False,False,0.0767447,0.0775394,-0.000794719,0.109633,0.110452,0.0189935,0.0189636,0.0767513,0.077546,False,0.11006425,0.0767447,0.0775394,-0.000794719,False,0.110059,0.110057,0.110003,0.110216,0.110058,0.11,0.110062,0.110059,0.337464,0.337467,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0766886,0.0774818,-0.000793164,0.109575,0.110392,0.0189935,0.0189637,0.0766952,0.0774883,False,0.10998625,0.0766886,0.0774818,-0.000793164,False,0.110001,0.109998,0.109944,0.110002,0.109999,0.109942,0.110003,0.110001,0.337464,0.337467,1.19897,1.19895,
3,initial_eval,3,0,False,False,0.0766767,0.0774698,-0.000793089,0.109563,0.11038,0.0189942,0.0189644,0.0766833,0.0774763,False,0.109973875,0.0766767,0.0774698,-0.000793089,False,0.109988,0.109986,0.109932,0.10999,0.109987,0.109929,0.109991,0.109988,0.337464,0.337467,1.18903,1.189,
4,initial_eval,4,0,False,False,0.0766647,0.0774578,-0.000793015,0.10955,0.110368,0.018995,0.0189651,0.0766714,0.0774643,False,0.10996175000000001,0.0766647,0.0774578,-0.000793015,False,0.109976,0.109974,0.10992,0.109977,0.109975,0.109917,0.109979,0.109976,0.337464,0.337467,1.17916,1.17913,
5,initial_eval,5,0,False,False,0.0785921,0.0794426,-0.000850438,0.111537,0.112413,0.0190352,0.0190053,0.0785986,0.079449,False,0.112811375,0.0785921,0.0794426,-0.000850438,False,0.112711,0.113769,0.111965,0.113698,0.112191,0.111929,0.113771,0.112457,0.337469,0.337472,1.16936,1.16932,
6,initial_eval,6,0,False,False,0.0766409,0.0774337,-0.000792866,0.109526,0.110343,0.0189965,0.0189666,0.0766475,0.0774403,False,0.109936875,0.0766409,0.0774337,-0.000792866,False,0.109951,0.109949,0.109895,0.109953,0.10995,0.109892,0.109954,0.109951,0.337465,0.337467,1.15966,1.15961,
7,initial_eval,7,0,False,False,0.0786223,0.0794481,-0.000825828,0.111568,0.112419,0.0190379,0.019008,0.0786287,0.0794545,False,0.11284949999999999,0.0786223,0.0794481,-0.000825828,False,0.113392,0.112616,0.112726,0.113647,0.112072,0.112016,0.11293,0.113397,0.33747,0.337473,1.15001,1.14996,
8,initial_eval,8,0,False,False,0.076617,0.0774097,-0.000792717,0.109501,0.110318,0.018998,0.0189681,0.0766236,0.0774163,False,0.10991225,0.076617,0.0774097,-0.000792717,False,0.109927,0.109924,0.10987,0.109928,0.109925,0.109868,0.109929,0.109927,0.337465,0.337468,1.14047,1.14041,
9,initial_eval,9,0,False,False,0.0766051,0.0773977,-0.000792643,0.109489,0.110306,0.0189987,0.0189688,0.0766117,0.0774043,False,0.10989987500000001,0.0766051,0.0773977,-0.000792643,False,0.109914,0.109912,0.109858,0.109916,0.109913,0.109855,0.109917,0.109914,0.337465,0.337468,1.13982,1.13982,
