cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.060055,0.0605011,-0.000446083,0.0924315,0.0928914,0.0237303,0.0237414,0.0600626,0.0605087,False,0.09266223749999998,0.060055,0.0605011,-0.000446083,False,0.0926784,0.0926485,0.0926502,0.0926796,0.0926475,0.0926494,0.0926809,0.0926783,0.0926486,0.0926502,0.0926795,0.0926476,0.0926495,0.0926808,0.0926782,0.0926486,0.338537,0.33852,1.21929,1.21928,
1,initial_eval,1,0,False,False,0.0602284,0.0606776,-0.000449181,0.0926103,0.0930733,0.0237362,0.0237471,0.060236,0.0606851,False,0.09289145000000003,0.0602284,0.0606776,-0.000449181,False,0.0928589,0.0928288,0.0928305,0.0933846,0.0928278,0.0928297,0.0928614,0.0928588,0.0928288,0.0928305,0.09286,0.0928279,0.0928298,0.0928613,0.0928587,0.0930857,0.338538,0.338521,1.20931,1.2093,
2,initial_eval,2,0,False,False,0.0600377,0.0604836,-0.000445982,0.0924136,0.0928734,0.0237319,0.0237432,0.0600453,0.0604912,False,0.09264452499999999,0.0600377,0.0604836,-0.000445982,False,0.0926605,0.0926306,0.0926355,0.0926617,0.0926296,0.0926315,0.092663,0.0926604,0.0926306,0.0926323,0.0926616,0.0926297,0.0926315,0.0926629,0.0926603,0.0926307,0.338538,0.338521,1.19942,1.1994,
3,initial_eval,3,0,False,False,0.0600277,0.0604737,-0.00044596,0.0924034,0.0928631,0.0237327,0.023744,0.0600354,0.0604813,False,0.09263406875000002,0.0600277,0.0604737,-0.00044596,False,0.0926502,0.0926203,0.092622,0.0926514,0.0926194,0.0926212,0.0926527,0.0926502,0.0926204,0.0926221,0.0926513,0.0926194,0.0926213,0.0926526,0.0926501,0.0926205,0.338538,0.338521,1.1896,1.18958,
4,initial_eval,4,0,False,False,0.0600186,0.0604646,-0.00044592,0.092394,0.0928537,0.0237334,0.0237449,0.0600263,0.0604722,False,0.09262468750000001,0.0600186,0.0604646,-0.00044592,False,0.0926408,0.0926109,0.0926126,0.092642,0.09261,0.0926119,0.0926434,0.0926408,0.092611,0.0926127,0.0926419,0.09261,0.0926119,0.0926433,0.0926407,0.0926111,0.338538,0.338522,1.17986,1.17984,
5,initial_eval,5,0,False,False,0.0644937,0.0649747,-0.000480969,0.0970076,0.0975034,0.0238566,0.0238529,0.064501,0.0649819,False,0.0985069,0.0644937,0.0649747,-0.000480969,False,0.0984994,0.10001,0.0974589,0.0996727,0.0978283,0.0973223,0.0997631,0.0981719,0.097299,0.0988753,0.0975485,0.0976224,0.0985079,0.100225,0.0975287,0.099777,0.338521,0.338515,1.17015,1.17012,
6,initial_eval,6,0,False,False,0.0600005,0.0604463,-0.000445839,0.0923753,0.0928349,0.023735,0.0237467,0.0600081,0.0604539,False,0.09260591874999999,0.0600005,0.0604463,-0.000445839,False,0.0926221,0.0925922,0.0925938,0.0926233,0.0925912,0.0925931,0.0926246,0.092622,0.0925922,0.0925939,0.0926232,0.0925913,0.0925931,0.0926245,0.0926219,0.0925923,0.338539,0.338522,1.16058,1.16055,
7,initial_eval,7,0,False,False,0.0645868,0.0650763,-0.000489462,0.0971035,0.0976081,0.0238632,0.0238594,0.064594,0.0650835,False,0.09861307499999998,0.0645868,0.0650763,-0.000489462,False,0.099391,0.0985454,0.0986254,0.0996908,0.0976595,0.0976358,0.0988581,0.099396,0.0974023,0.0985901,0.097904,0.0974574,0.0994472,0.0986803,0.0987664,0.0997595,0.338523,0.338518,1.15102,1.15099,
8,initial_eval,8,0,False,False,0.0599823,0.0604281,-0.000445758,0.0923566,0.0928161,0.0237366,0.0237485,0.0599899,0.0604357,False,0.0925871375,0.0599823,0.0604281,-0.000445758,False,0.0926033,0.0925734,0.0925751,0.0926045,0.0925724,0.0925743,0.0926058,0.0926032,0.0925735,0.0925751,0.0926044,0.0925725,0.0925744,0.0926057,0.0926031,0.0925735,0.33854,0.338523,1.14161,1.14157,
9,initial_eval,9,0,False,False,0.0599732,0.0604189,-0.000445718,0.0923472,0.0928067,0.0237374,0.0237494,0.0599809,0.0604266,False,0.09257774375000001,0.0599732,0.0604189,-0.000445718,False,0.0925939,0.092564,0.0925657,0.0925951,0.092563,0.0925649,0.0925964,0.0925938,0.0925641,0.0925657,0.092595,0.0925631,0.092565,0.0925963,0.0925938,0.0925641,0.338541,0.338524,1.13986,1.13986,
10,initial_eval,10,0,False,False,0.0653672,0.0658515,-0.000484236,0.0979081,0.0984072,0.031571,0.0315646,0.0653744,0.0658586,False,0.09967266875,0.0653672,0.0658515,-0.000484236,False,0.100316,0.0996764,0.0983627,0.103077,0.0987333,0.0984439,0.100144,0.0991631,0.0986661,0.0998801,0.0987298,0.0984449,0.0995673,0.0997846,0.0984245,0.103349,0.335918,0.335927,1.1398,1.13979,
11,initial_eval,11,0,False,False,0.0600379,0.0604851,-0.000447201,0.0924139,0.0928749,0.023735,0.0237477,0.0600455,0.0604927,False,0.09266733125000001,0.0600379,0.0604851,-0.000447201,False,0.0926614,0.0926314,0.0926331,0.0929096,0.0926304,0.0926323,0.0926639,0.0926613,0.0926315,0.0926331,0.0926625,0.0926305,0.0926324,0.0926638,0.0926613,0.0927388,0.338539,0.338522,1.1399,1.1399,
12,initial_eval,12,0,False,False,0.059946,0.0603916,-0.000445596,0.0923191,0.0927785,0.0237397,0.023752,0.0599536,0.0603992,False,0.09254961874999999,0.059946,0.0603916,-0.000445596,False,0.0925658,0.0925359,0.0925375,0.092567,0.0925349,0.0925368,0.0925683,0.0925657,0.0925359,0.0925376,0.0925669,0.092535,0.0925368,0.0925682,0.0925656,0.092536,0.338542,0.338525,1.13986,1.13986,
13,initial_eval,13,0,False,False,0.0600954,0.0605435,-0.000448059,0.0924732,0.0929351,0.0237701,0.0237664,0.060103,0.060551,False,0.09274751875000001,0.0600954,0.0605435,-0.000448059,False,0.0928595,0.0928222,0.0926928,0.0927947,0.0926901,0.092692,0.0927941,0.0927211,0.0926912,0.0926928,0.0927223,0.0926902,0.0926921,0.0928894,0.092721,0.0927948,0.338525,0.338519,1.13986,1.13986,
14,initial_eval,14,0,False,False,0.0599278,0.0603733,-0.000445515,0.0923004,0.0927597,0.0237412,0.0237538,0.0599354,0.0603809,False,0.0925308375,0.0599278,0.0603733,-0.000445515,False,0.092547,0.0925171,0.0925188,0.0925482,0.0925161,0.092518,0.0925495,0.0925469,0.0925172,0.0925188,0.0925481,0.0925162,0.0925181,0.0925494,0.0925468,0.0925172,0.338543,0.338525,1.13986,1.13986,
