cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0941396,0.095674,-0.00153438,0.127554,0.129135,0.0162166,0.0161951,0.0941452,0.0956795,False,0.128332,0.0941396,0.095674,-0.00153438,False,0.128362,0.12836,0.128243,0.128363,0.336653,0.336654,1.21889,1.21887,
1,initial_eval,1,0,False,False,0.0953154,0.0968862,-0.0015708,0.128772,0.13039,0.012656,0.0126457,0.0953213,0.096892,False,0.130447,0.0953154,0.0968862,-0.0015708,False,0.130823,0.129596,0.129476,0.131893,0.336573,0.336568,1.20864,1.20861,
2,initial_eval,2,0,False,False,0.10615,0.107162,-0.00101144,0.139941,0.140981,0.00767534,0.00776607,0.106156,0.107167,False,0.1490445,0.10615,0.107162,-0.00101144,False,0.140473,0.160365,0.154866,0.140474,0.335909,0.335926,1.19835,1.19831,
3,initial_eval,3,0,False,False,0.0967567,0.0982427,-0.00148594,0.130262,0.131792,0.00954187,0.00956977,0.0967627,0.0982486,False,0.1329015,0.0967567,0.0982427,-0.00148594,False,0.131941,0.131797,0.133071,0.134797,0.336393,0.336395,1.18829,1.18824,
4,initial_eval,4,0,False,False,0.102889,0.103371,-0.000481934,0.13658,0.137075,0.00851923,0.00866256,0.102895,0.103377,False,0.1429765,0.102889,0.103371,-0.000481934,False,0.136833,0.139671,0.158425,0.136977,0.336071,0.336104,1.17821,1.17816,
5,initial_eval,5,0,False,False,0.0940639,0.0955974,-0.00153356,0.127476,0.129056,0.0162197,0.016198,0.0940695,0.095603,False,0.12825350000000002,0.0940639,0.0955974,-0.00153356,False,0.128284,0.128281,0.128164,0.128285,0.336653,0.336655,1.16833,1.16827,
6,initial_eval,6,0,False,False,0.0942971,0.095825,-0.00152789,0.12772,0.129293,0.0139211,0.0139204,0.0943029,0.0958307,False,0.12866275,0.0942971,0.095825,-0.00152789,False,0.128985,0.128522,0.128619,0.128525,0.336657,0.33666,1.15849,1.15842,
7,initial_eval,7,0,False,False,0.0940336,0.0955668,-0.00153323,0.127445,0.129024,0.016221,0.0161992,0.0940392,0.0955723,False,0.12822225,0.0940336,0.0955668,-0.00153323,False,0.128252,0.12825,0.128133,0.128254,0.336653,0.336655,1.14874,1.14866,
8,initial_eval,8,0,False,False,0.0940448,0.095575,-0.0015302,0.127457,0.129034,0.0146332,0.0146257,0.0940504,0.0955806,False,0.12825024999999998,0.0940448,0.095575,-0.0015302,False,0.128263,0.128261,0.128206,0.128271,0.336684,0.336688,1.13979,1.13978,
9,initial_eval,9,0,False,False,0.0999021,0.100731,-0.00082862,0.133501,0.134353,0.0103821,0.0104884,0.0999079,0.100736,False,0.13789425,0.0999021,0.100731,-0.00082862,False,0.133937,0.135315,0.148387,0.133938,0.336252,0.336284,1.13971,1.13971,
10,initial_eval,10,0,False,False,0.0939881,0.0955209,-0.00153274,0.127398,0.128977,0.0162228,0.0162009,0.0939937,0.0955264,False,0.12817525,0.0939881,0.0955209,-0.00153274,False,0.128205,0.128203,0.128086,0.128207,0.336654,0.336656,1.13983,1.13982,
11,initial_eval,11,0,False,False,0.0946246,0.0961774,-0.00155273,0.128058,0.129658,0.0133396,0.0133287,0.0946304,0.0961831,False,0.12933050000000001,0.0946246,0.0961774,-0.00155273,False,0.129193,0.128873,0.128755,0.130501,0.336624,0.33662,1.13977,1.13976,
12,initial_eval,12,0,False,False,0.0984255,0.100098,-0.00167294,0.131981,0.133705,0.00882056,0.00881496,0.0984314,0.100104,False,0.13620749999999998,0.0984255,0.100098,-0.00167294,False,0.13484,0.135084,0.132769,0.142137,0.336281,0.336271,1.13973,1.13973,
13,initial_eval,13,0,False,False,0.0939427,0.0954749,-0.00153225,0.127351,0.12893,0.0162248,0.0162029,0.0939483,0.0954805,False,0.12812825,0.0939427,0.0954749,-0.00153225,False,0.128158,0.128156,0.128039,0.12816,0.336654,0.336656,1.13982,1.13981,
14,initial_eval,14,0,False,False,0.108214,0.109987,-0.00177329,0.142068,0.143894,0.00517284,0.00518115,0.108219,0.109993,False,0.155048,0.108214,0.109987,-0.00177329,False,0.164181,0.143012,0.147912,0.165087,0.335752,0.335744,1.13961,1.1396,
15,initial_eval,15,0,False,False,0.0944251,0.0959724,-0.00154729,0.127853,0.129447,0.0134364,0.0134261,0.0944309,0.0959781,False,0.1290095,0.0944251,0.0959724,-0.00154729,False,0.129398,0.128665,0.128547,0.129428,0.336634,0.336631,1.13989,1.13989,
16,initial_eval,16,1,False,False,0.095429,0.0938973,0.00153176,0.127305,0.128882,0.0162268,0.0162049,0.0939029,0.0954346,True,0.12808125,0.095429,0.0938973,0.00153176,True,0.128111,0.128109,0.127992,0.128113,0.336654,0.336656,1.13978,1.13978,
17,initial_eval,17,1,False,False,0.0965195,0.0951266,0.00139289,0.128577,0.130011,0.0129146,0.012944,0.0951324,0.0965252,True,0.1300755,0.0965195,0.0951266,0.00139289,True,0.12931,0.129568,0.132113,0.129311,0.336573,0.336586,1.13976,1.13976,
18,initial_eval,18,1,False,False,0.0953984,0.093867,0.00153143,0.127273,0.128851,0.0162281,0.0162063,0.0938727,0.095404,True,0.12804949999999998,0.0953984,0.093867,0.00153143,True,0.12808,0.128077,0.12796,0.128081,0.336655,0.336656,1.13979,1.13978,
19,initial_eval,19,1,False,False,0.0953832,0.0938519,0.00153127,0.127258,0.128835,0.0162288,0.0162069,0.0938575,0.0953887,True,0.12803425000000002,0.0953832,0.0938519,0.00153127,True,0.128064,0.128062,0.127945,0.128066,0.336655,0.336656,1.13978,1.13977,
20,initial_eval,20,1,False,False,0.0953679,0.0938368,0.0015311,0.127242,0.128819,0.0162294,0.0162076,0.0938424,0.0953734,True,0.12801825,0.0953679,0.0938368,0.0015311,True,0.128048,0.128046,0.127929,0.12805,0.336655,0.336657,1.13978,1.13977,
21,initial_eval,21,1,False,False,0.0953526,0.0938216,0.00153094,0.127227,0.128804,0.0162301,0.0162083,0.0938273,0.0953581,True,0.12800250000000002,0.0953526,0.0938216,0.00153094,True,0.128033,0.12803,0.127913,0.128034,0.336655,0.336657,1.13978,1.13977,
22,initial_eval,22,1,False,False,0.0953373,0.0938065,0.00153078,0.127211,0.128788,0.0162308,0.016209,0.0938121,0.0953428,True,0.12798725,0.0953373,0.0938065,0.00153078,True,0.128017,0.128015,0.127898,0.128019,0.336655,0.336657,1.13978,1.13977,
23,initial_eval,23,1,False,False,0.095322,0.0937914,0.00153061,0.127195,0.128772,0.0162314,0.0162097,0.093797,0.0953275,True,0.12797125,0.095322,0.0937914,0.00153061,True,0.128001,0.127999,0.127882,0.128003,0.336655,0.336657,1.13978,1.13977,
