cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.186328,0.194337,-0.00800938,0.222431,0.230665,0.0172891,0.0165366,0.186328,0.194337,False,0.286677,0.186328,0.194337,-0.00800938,False,0.287711,0.285061,0.288292,0.285644,0.336749,0.336664,1.21781,1.21771
1,initial_eval,1,0,False,False,0.189381,0.195016,-0.00563556,0.22557,0.231364,0.0172785,0.0165262,0.189381,0.195016,False,0.29240675,0.189381,0.195016,-0.00563556,False,0.306728,0.270602,0.284392,0.307905,0.336749,0.336664,1.20683,1.2067
2,initial_eval,2,0,False,False,0.193598,0.19605,-0.00245253,0.229906,0.232426,0.0206067,0.0198325,0.193598,0.19605,False,0.30030725,0.193598,0.19605,-0.00245253,False,0.273979,0.313265,0.313171,0.300814,0.336536,0.336487,1.1959,1.19577
3,initial_eval,3,0,False,False,0.201517,0.197921,0.003596,0.238047,0.234349,0.0220322,0.0212161,0.201516,0.197921,True,0.3153015,0.201517,0.197921,0.003596,True,0.314225,0.31407,0.315931,0.31698,0.336343,0.336317,1.18499,1.18491
4,initial_eval,4,0,False,False,0.197865,0.197084,0.000780875,0.234292,0.233489,0.0214404,0.0206417,0.197864,0.197084,True,0.308358,0.197865,0.197084,0.000780875,True,0.292786,0.31452,0.316085,0.310041,0.336432,0.336396,1.17423,1.17415
5,initial_eval,5,0,False,False,0.173946,0.190475,-0.0165284,0.209698,0.226694,0.0171498,0.0164132,0.173947,0.190475,False,0.2642595,0.173946,0.190475,-0.0165284,False,0.247539,0.272883,0.267444,0.269172,0.336735,0.336645,1.16382,1.16355
6,initial_eval,6,0,False,False,0.193146,0.195969,-0.00282371,0.229441,0.232343,0.0173318,0.016574,0.193146,0.195969,False,0.29945475,0.193146,0.195969,-0.00282371,False,0.307562,0.291211,0.306647,0.292399,0.336755,0.336667,1.15318,1.15294
7,initial_eval,7,0,False,False,0.172781,0.190045,-0.0172634,0.2085,0.226252,0.0171317,0.0163947,0.172783,0.190045,False,0.26220750000000004,0.172781,0.190045,-0.0172634,False,0.244776,0.263236,0.277027,0.263791,0.336733,0.336645,1.14293,1.14251
8,initial_eval,8,0,False,False,0.19148,0.195521,-0.00404104,0.227729,0.231883,0.0173222,0.0165648,0.19148,0.195521,False,0.29635725,0.19148,0.195521,-0.00404104,False,0.291122,0.285983,0.304566,0.303758,0.336753,0.336667,1.13937,1.13948
9,initial_eval,9,0,False,False,0.194384,0.196175,-0.0017917,0.230714,0.232555,0.0199482,0.0191875,0.194384,0.196175,False,0.30183875,0.194384,0.196175,-0.0017917,False,0.285448,0.31072,0.313731,0.297456,0.336613,0.336551,1.13951,1.13952
10,initial_eval,10,0,False,False,0.173903,0.190403,-0.0165001,0.209654,0.226621,0.0171507,0.0164069,0.173904,0.190403,False,0.26422725,0.173903,0.190403,-0.0165001,False,0.263453,0.252828,0.266013,0.274615,0.336735,0.336654,1.13977,1.1396
11,initial_eval,11,0,False,False,0.190085,0.195067,-0.00498223,0.226294,0.231416,0.0172977,0.0165416,0.190085,0.195067,False,0.29381199999999996,0.190085,0.195067,-0.00498223,False,0.305111,0.27997,0.282495,0.307672,0.336751,0.336665,1.13939,1.13949
