cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.205085,0.12068,0.0844048,0.241715,0.154879,0.0216909,0.018057,0.205084,0.122179,True,0.31706425,0.205085,0.12068,0.0844048,True,0.324576,0.303381,0.316751,0.323549,0.337732,0.336254,1.21759,1.21856,
1,initial_eval,1,0,False,False,0.217399,0.11662,0.10078,0.254373,0.150696,0.0348844,0.028074,0.217398,0.120636,True,0.32965725,0.217399,0.11662,0.10078,True,0.358075,0.284022,0.314106,0.362426,0.324269,0.333369,1.20636,1.20813,
2,initial_eval,2,0,False,False,0.213896,0.117066,0.0968299,0.250773,0.151156,0.0354938,0.0284438,0.213895,0.121017,True,0.33786375,0.213896,0.117066,0.0968299,True,0.304991,0.345745,0.355215,0.345504,0.321079,0.333232,1.19531,1.19778,
3,initial_eval,3,0,False,False,0.235682,0.110995,0.124687,0.273159,0.144897,0.0376451,0.029822,0.23568,0.117703,True,0.36624625,0.235682,0.110995,0.124687,True,0.371494,0.350619,0.364844,0.378028,0.307593,0.332826,1.18408,1.18754,
4,initial_eval,4,0,False,False,0.225226,0.113641,0.111586,0.262416,0.147625,0.0367335,0.0291125,0.225225,0.118914,True,0.3529275,0.225226,0.113641,0.111586,True,0.336314,0.349588,0.362314,0.363494,0.313672,0.332922,1.17314,1.17737,
5,initial_eval,5,0,False,False,0.178601,0.130805,0.0477962,0.214486,0.165305,0.0213165,0.0177483,0.178602,0.131131,True,0.27945074999999997,0.178601,0.130805,0.0477962,True,0.259809,0.284681,0.281425,0.291888,0.337676,0.336293,1.16273,1.16713,
6,initial_eval,6,0,False,False,0.219393,0.115688,0.103705,0.256421,0.149736,0.0345339,0.0278726,0.219392,0.120052,True,0.3391675,0.219393,0.115688,0.103705,True,0.357289,0.313122,0.348591,0.337668,0.325993,0.333471,1.15184,1.15714,
7,initial_eval,7,0,False,False,0.176232,0.131189,0.045043,0.212049,0.1657,0.0212821,0.0177143,0.176233,0.131531,True,0.27635149999999997,0.176232,0.131189,0.045043,True,0.25531,0.270299,0.296271,0.283526,0.337673,0.336297,1.14163,1.14707,
8,initial_eval,8,0,False,False,0.216318,0.116462,0.0998562,0.253262,0.150534,0.0332603,0.0270944,0.216317,0.120334,True,0.33419975,0.216318,0.116462,0.0998562,True,0.333121,0.305016,0.345051,0.353611,0.331052,0.333896,1.13911,1.13982,
9,initial_eval,9,0,False,False,0.217013,0.115961,0.101052,0.253976,0.150017,0.0353626,0.0283739,0.217012,0.120126,True,0.34124225,0.217013,0.115961,0.101052,True,0.322919,0.342591,0.357264,0.342195,0.321831,0.333254,1.13947,1.13972,
10,initial_eval,10,0,False,False,0.183325,0.127297,0.0560278,0.219343,0.161694,0.0213669,0.0177813,0.183325,0.12777,True,0.28183025,0.183325,0.127297,0.0560278,True,0.285615,0.257047,0.281413,0.303246,0.337685,0.336275,1.13985,1.13962,
11,initial_eval,11,0,False,False,0.217809,0.116625,0.101183,0.254793,0.150702,0.0341234,0.0276167,0.217807,0.120511,True,0.33147525,0.217809,0.116625,0.101183,True,0.355482,0.298008,0.310649,0.361762,0.32778,0.333599,1.13916,1.13978,
12,initial_eval,12,0,False,False,0.236211,0.110659,0.125552,0.273703,0.14455,0.0375015,0.0297609,0.236209,0.117383,True,0.36667925,0.236211,0.110659,0.125552,True,0.374225,0.354884,0.35749,0.380118,0.308685,0.332863,1.13926,1.13975,
13,initial_eval,13,0,False,False,0.198932,0.12271,0.0762222,0.23539,0.15697,0.0216293,0.0180058,0.198932,0.123755,True,0.30807924999999997,0.198932,0.12271,0.0762222,True,0.314144,0.303369,0.302177,0.312627,0.337723,0.336257,1.13985,1.13965,
14,initial_eval,14,0,False,False,0.238332,0.110023,0.128309,0.275882,0.143894,0.0370115,0.0295659,0.23833,0.117012,True,0.3699145,0.238332,0.110023,0.128309,True,0.379212,0.348548,0.369901,0.381997,0.312246,0.332992,1.13906,1.13978,
15,initial_eval,15,0,False,False,0.222172,0.114816,0.107357,0.259278,0.148837,0.0336863,0.0273425,0.222171,0.119396,True,0.33961675,0.222172,0.114816,0.107357,True,0.360493,0.300175,0.334682,0.363117,0.329555,0.333744,1.13961,1.1397,
16,initial_eval,16,1,False,False,0.174438,0.117881,0.0565565,0.152006,0.210202,0.0212011,0.0170479,0.117885,0.174439,True,0.1972925,0.174438,0.117881,0.0565565,True,0.132183,0.242346,0.250769,0.163872,0.33781,0.336397,1.13993,1.13907,
17,initial_eval,17,1,False,False,0.15878,0.13798,0.0207999,0.172697,0.194094,0.0310124,0.0246149,0.137984,0.159241,True,0.23456075,0.15878,0.13798,0.0207999,True,0.141288,0.299926,0.30888,0.188149,0.33624,0.335137,1.13948,1.13976,
18,initial_eval,18,1,False,False,0.172994,0.120118,0.0528764,0.154309,0.208717,0.0214173,0.0171637,0.120122,0.172995,True,0.20247074999999998,0.172994,0.120118,0.0528764,True,0.125674,0.258304,0.256534,0.169371,0.33787,0.336388,1.13987,1.13946,
19,initial_eval,19,1,False,False,0.1717,0.107462,0.0642378,0.141277,0.207386,0.0203747,0.0165519,0.107467,0.171701,True,0.17306950000000001,0.1717,0.107462,0.0642378,True,0.153804,0.18228,0.184126,0.172068,0.337635,0.336417,1.13986,1.1396,
