cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.130224,0.132788,-0.00256325,0.164713,0.167351,0.000231107,0.000166391,0.130229,0.132792,False,0.5246405,0.130224,0.132788,-0.00256325,False,0.531747,0.513496,0.535893,0.517426,0.335549,0.33552,1.21847,1.21844,
1,initial_eval,1,0,False,False,0.135166,0.141428,-0.00626278,0.1698,0.176245,0.000227289,6.557e-05,0.135169,0.141432,False,0.5838829999999999,0.135166,0.141428,-0.00626278,False,0.699918,0.417568,0.496653,0.721393,0.335581,0.335544,1.2079,1.2078,
2,initial_eval,2,0,False,False,0.151546,0.146046,0.00549999,0.186689,0.18101,-7.48641e-05,4.68452e-06,0.15155,0.14605,True,0.6401345,0.151546,0.146046,0.00549999,True,0.421678,0.770074,0.770073,0.598713,0.335606,0.335579,1.19724,1.19724,
3,initial_eval,3,0,False,False,0.156282,0.156278,3.16248e-06,0.191529,0.191525,-0.000183953,-0.000201409,0.156284,0.156281,True,0.7129907499999999,0.156282,0.156278,3.16248e-06,True,0.692519,0.690144,0.72244,0.74686,0.335651,0.33562,1.18668,1.18665,
4,initial_eval,4,0,False,False,0.154993,0.150573,0.00442055,0.190225,0.18565,-0.000168871,-0.000105835,0.154997,0.150576,True,0.674488,0.154993,0.150573,0.00442055,True,0.516261,0.744647,0.770074,0.66697,0.335627,0.335599,1.17623,1.17626,
5,initial_eval,5,0,False,False,0.114049,0.117108,-0.0030585,0.14806,0.151209,0.000959686,0.000876646,0.114054,0.117112,False,0.438589,0.114049,0.117108,-0.0030585,False,0.350727,0.486348,0.453581,0.4637,0.335563,0.335531,1.16616,1.16621,
6,initial_eval,6,0,False,False,0.143763,0.143343,0.000420058,0.178647,0.178215,-2.0168e-05,-2.87866e-05,0.143766,0.143346,True,0.5992369999999999,0.143763,0.143343,0.000420058,True,0.674624,0.525695,0.662635,0.533994,0.335589,0.335562,1.15597,1.15598,
7,initial_eval,7,0,False,False,0.114018,0.115279,-0.00126025,0.148028,0.149326,0.00103398,0.000989945,0.114023,0.115283,False,0.43275399999999997,0.114018,0.115279,-0.00126025,False,0.341263,0.434023,0.518626,0.437104,0.335569,0.335538,1.14612,1.14614,
8,initial_eval,8,0,False,False,0.140109,0.139832,0.000277631,0.174887,0.174601,5.00974e-05,4.75093e-05,0.140113,0.139835,True,0.58055175,0.140109,0.139832,0.000277631,True,0.532435,0.498079,0.65046,0.641233,0.33558,0.335553,1.13942,1.13944,
9,initial_eval,9,0,False,False,0.15098,0.14494,0.00604007,0.186096,0.179853,-0.000119371,-1.72772e-05,0.150984,0.144943,True,0.632647,0.15098,0.14494,0.00604007,True,0.483452,0.711219,0.770073,0.565844,0.335602,0.335577,1.13954,1.13961,
10,initial_eval,10,0,False,False,0.11283,0.116111,-0.00328086,0.146805,0.150183,0.000799092,0.000711731,0.112836,0.116116,False,0.43758925,0.11283,0.116111,-0.00328086,False,0.4312,0.376196,0.445481,0.49748,0.335521,0.33549,1.13993,1.13993,
11,initial_eval,11,0,False,False,0.135372,0.141579,-0.00620675,0.170012,0.1764,0.000170734,3.28997e-05,0.135376,0.141582,False,0.5810897500000001,0.135372,0.141579,-0.00620675,False,0.668544,0.46683,0.481908,0.707077,0.335579,0.335544,1.13947,1.13942,
12,initial_eval,12,0,False,False,0.154409,0.158595,-0.00418596,0.189596,0.193906,-0.000136209,-0.000235156,0.154412,0.158598,False,0.71808275,0.154409,0.158595,-0.00418596,False,0.720509,0.728816,0.652934,0.770072,0.335655,0.335621,1.13945,1.13946,
13,initial_eval,13,0,False,False,0.125717,0.129041,-0.00332382,0.160073,0.163495,0.000324997,0.00024636,0.125722,0.129045,False,0.50175075,0.125717,0.129041,-0.00332382,False,0.50324,0.525332,0.489959,0.488472,0.335535,0.335506,1.13993,1.13993,
14,initial_eval,14,0,False,False,0.157279,0.15606,0.0012188,0.192564,0.191299,-0.000162254,-0.000161363,0.157282,0.156062,True,0.7426807500000001,0.157279,0.15606,0.0012188,True,0.770074,0.660504,0.770071,0.770074,0.335664,0.335633,1.13933,1.13938,
15,initial_eval,15,0,False,False,0.14029,0.144335,-0.00404445,0.175074,0.179236,5.39978e-05,-4.09549e-05,0.140294,0.144338,False,0.6019209999999999,0.14029,0.144335,-0.00404445,False,0.684604,0.467712,0.570865,0.684503,0.335593,0.33556,1.13982,1.13976,
16,initial_eval,16,1,False,False,0.112773,0.110795,0.00197782,0.144709,0.146745,0.00428592,0.0042765,0.1108,0.112777,True,0.2865836,0.112773,0.110795,0.00197782,True,0.0999604,0.412792,0.449507,0.184075,0.336053,0.336029,1.13993,1.13993,
17,initial_eval,17,1,False,False,0.142152,0.152986,-0.0108343,0.188139,0.176989,0.00252158,0.00280086,0.152989,0.142155,False,0.42697925000000003,0.142152,0.152986,-0.0108343,False,0.091242,0.667252,0.734517,0.214906,0.336027,0.336019,1.13924,1.13939,
18,initial_eval,18,1,False,False,0.119446,0.117599,0.00184644,0.151715,0.153616,0.0030141,0.00299694,0.117604,0.11945,True,0.30445275,0.119446,0.117599,0.00184644,True,0.08,0.474305,0.468278,0.195228,0.335953,0.335928,1.13993,1.13991,
19,initial_eval,19,1,False,False,0.0830151,0.078228,0.00478705,0.111152,0.116085,0.00969733,0.00966187,0.0782338,0.0830206,True,0.21676325,0.0830151,0.078228,0.00478705,True,0.175672,0.226021,0.238658,0.226702,0.337964,0.337911,1.13993,1.13993,
20,initial_eval,20,1,False,False,0.0960954,0.0904483,0.00564711,0.123749,0.129567,0.00697188,0.00682011,0.0904538,0.0961006,True,0.26045225,0.0960954,0.0904483,0.00564711,True,0.299048,0.163159,0.184964,0.394638,0.336787,0.336717,1.13967,1.13965,
21,initial_eval,21,1,False,False,0.133542,0.133789,-0.000246816,0.168382,0.168128,0.00315354,0.0031965,0.133793,0.133546,False,0.31174452500000005,0.133542,0.133789,-0.000246816,False,0.0914141,0.50706,0.535796,0.112708,0.335876,0.335857,1.13928,1.13933,
22,initial_eval,22,1,False,False,0.0912626,0.08563,0.0056326,0.118783,0.124587,0.00866862,0.00855876,0.0856356,0.0912679,True,0.22886499999999999,0.0912626,0.08563,0.0056326,True,0.173148,0.240816,0.156831,0.344665,0.337397,0.337313,1.13993,1.13993,
23,initial_eval,23,1,False,False,0.0876551,0.082635,0.00502011,0.115696,0.120869,0.00863616,0.00856614,0.0826407,0.0876606,True,0.23050825000000003,0.0876551,0.082635,0.00502011,True,0.264519,0.145354,0.235699,0.276461,0.33741,0.337354,1.13983,1.13982,
24,initial_eval,24,1,False,False,0.148231,0.153065,-0.00483477,0.18822,0.183245,0.00322532,0.00339833,0.153068,0.148234,False,0.37532475000000004,0.148231,0.153065,-0.00483477,False,0.101968,0.636781,0.649199,0.113351,0.335966,0.335952,1.13898,1.13908,
25,initial_eval,25,1,False,False,0.111953,0.108944,0.00300899,0.142801,0.145899,0.00384078,0.00392061,0.108948,0.111957,True,0.22686699999999999,0.111953,0.108944,0.00300899,True,0.100075,0.331969,0.395424,0.08,0.335986,0.336,1.13993,1.13993,
26,initial_eval,26,1,False,False,0.133697,0.133735,-3.87617e-05,0.168327,0.168286,0.00288595,0.00291624,0.133739,0.1337,False,0.31912324999999997,0.133697,0.133735,-3.87617e-05,False,0.08,0.524397,0.534777,0.137319,0.335931,0.335912,1.13945,1.13948,
27,initial_eval,27,1,False,False,0.104886,0.0984373,0.00644854,0.131977,0.138619,0.0074674,0.00730727,0.0984422,0.10489,True,0.1551275,0.104886,0.0984373,0.00644854,True,0.201368,0.08,0.08,0.259142,0.337462,0.337388,1.13993,1.13993,
28,initial_eval,28,1,False,False,0.103758,0.0981018,0.00565618,0.131635,0.137461,0.0053677,0.00524348,0.0981071,0.103763,True,0.2961595,0.103758,0.0981018,0.00565618,True,0.154622,0.361194,0.214988,0.453834,0.336335,0.336291,1.13977,1.13976,
29,initial_eval,29,1,False,False,0.1402,0.14204,-0.00183965,0.176874,0.17498,0.00348905,0.00356907,0.142043,0.140204,False,0.3406239999999999,0.1402,0.14204,-0.00183965,False,0.101853,0.563537,0.583379,0.113727,0.335947,0.335928,1.13925,1.13933,
30,initial_eval,30,1,False,False,0.095031,0.0886131,0.00641791,0.121853,0.128466,0.00995168,0.00988547,0.0886184,0.095036,True,0.16665275000000002,0.095031,0.0886131,0.00641791,True,0.08,0.214809,0.209604,0.162198,0.338311,0.338255,1.13993,1.13993,
31,initial_eval,31,1,False,False,0.117575,0.113528,0.004047,0.147523,0.15169,0.00470232,0.00475393,0.113532,0.117579,True,0.29591825,0.117575,0.113528,0.004047,True,0.106901,0.507163,0.389555,0.180054,0.336138,0.336145,1.1395,1.13951,
32,train,0,0,True,True,0.130203,0.132765,-0.00256144,0.164691,0.167328,0.000231347,0.00016666,0.130208,0.132769,False,0.5246405,0.130203,0.132765,-0.00256144,False,0.531747,0.513496,0.535893,0.517426,0.335591,0.335562,0.564693,1.19999,1.15098
33,train,16,1,True,True,0.111124,0.110737,0.000386882,0.144649,0.145047,0.00428278,0.00435037,0.110742,0.111129,True,0.2865836,0.111124,0.110737,0.000386882,True,0.0999604,0.412792,0.449507,0.184075,0.336078,0.336079,0.573479,1.19999,1.15099
34,train,1,0,True,True,0.133435,0.136581,-0.00314561,0.168019,0.171256,0.000255141,0.000176572,0.133439,0.136585,False,0.5838829999999999,0.133435,0.136581,-0.00314561,False,0.699918,0.417568,0.496653,0.721393,0.335606,0.33558,0.560549,1.19999,1.15098
35,train,17,1,True,True,0.130317,0.151438,-0.021121,0.186546,0.164808,0.0025374,0.00308193,0.151441,0.130321,False,0.42697925000000003,0.130317,0.151438,-0.021121,False,0.091242,0.667252,0.734517,0.214906,0.336031,0.336063,0.163801,1.2,1.151
36,train,2,0,True,True,0.142322,0.134655,0.00766667,0.177172,0.169277,0.000104093,0.000254097,0.142325,0.134659,True,0.6401345,0.142322,0.134655,0.00766667,True,0.421678,0.770074,0.770073,0.598713,0.335612,0.335595,1.2,0.418915,1.15098
37,train,18,1,True,True,0.114208,0.115919,-0.00171091,0.149985,0.148223,0.00304338,0.00320453,0.115924,0.114213,False,0.30445275,0.114208,0.115919,-0.00171091,False,0.08,0.474305,0.468278,0.195228,0.335937,0.335956,0.244849,1.2,1.151
38,train,3,0,True,True,0.145072,0.132786,0.0122858,0.179994,0.167349,6.50905e-06,0.000293953,0.145075,0.13279,True,0.7129907499999999,0.145072,0.132786,0.0122858,True,0.692519,0.690144,0.72244,0.74686,0.335635,0.335631,0.17733,1.2,1.151
39,train,19,1,True,True,0.0803318,0.0768347,0.0034971,0.109717,0.11332,0.00979841,0.00989062,0.0768406,0.0803375,True,0.21676325,0.0803318,0.0768347,0.0034971,True,0.175672,0.226021,0.238658,0.226702,0.337924,0.337986,1.2,4.82248e-07,1.15099
40,train,4,0,True,True,0.141462,0.12232,0.0191416,0.176284,0.156572,6.80424e-05,0.000579281,0.141465,0.122324,True,0.674488,0.141462,0.12232,0.0191416,True,0.516261,0.744647,0.770074,0.66697,0.335587,0.335623,0.16302,1.2,1.151
41,train,20,1,True,True,0.0900645,0.088958,0.00110649,0.122214,0.123354,0.0071199,0.00734422,0.0889637,0.0900701,True,0.26045225,0.0900645,0.088958,0.00110649,True,0.299048,0.163159,0.184964,0.394638,0.336753,0.336869,0.000143858,1.2,1.15099
42,train,5,0,True,True,0.112577,0.106537,0.00604004,0.146544,0.140324,0.000957402,0.00144272,0.112582,0.106542,True,0.438589,0.112577,0.106537,0.00604004,True,0.350727,0.486348,0.453581,0.4637,0.335506,0.335595,0.183463,1.2,1.151
43,train,21,1,True,True,0.114086,0.130183,-0.0160968,0.16467,0.148097,0.00320643,0.00419696,0.130187,0.11409,False,0.31174452500000005,0.114086,0.130183,-0.0160968,False,0.0914141,0.50706,0.535796,0.112708,0.335802,0.335993,0.161692,1.2,1.151
44,train,6,0,True,True,0.135853,0.111362,0.0244906,0.170507,0.145293,7.72596e-05,0.00100304,0.135856,0.111367,True,0.5992369999999999,0.135853,0.111362,0.0244906,True,0.674624,0.525695,0.662635,0.533994,0.335514,0.335617,0.14539,1.2,1.151
45,train,22,1,True,True,0.0844429,0.0824499,0.00199301,0.115507,0.117559,0.00894244,0.00910632,0.0824558,0.0844486,True,0.22886499999999999,0.0844429,0.0824499,0.00199301,True,0.173148,0.240816,0.156831,0.344665,0.337351,0.337473,1.2,4.66516e-07,1.15099
46,train,7,0,True,True,0.111469,0.0986002,0.0128684,0.145403,0.132149,0.00111697,0.00216537,0.111474,0.0986058,True,0.43275399999999997,0.111469,0.0986002,0.0128684,True,0.341263,0.434023,0.518626,0.437104,0.335498,0.335695,0.0614291,1.2,1.151
47,train,23,1,True,True,0.0811121,0.0800027,0.00110933,0.112984,0.114126,0.00881975,0.00915437,0.0800087,0.0811179,True,0.23050825000000003,0.0811121,0.0800027,0.00110933,True,0.264519,0.145354,0.235699,0.276461,0.33731,0.337526,1.2,4.82245e-07,1.15099
48,train,8,0,True,True,0.129212,0.102431,0.026781,0.163671,0.136094,0.000203297,0.00155531,0.129216,0.102436,True,0.58055175,0.129212,0.102431,0.026781,True,0.532435,0.498079,0.65046,0.641233,0.335478,0.33568,0.101896,1.2,1.151
49,train,24,1,True,True,0.106753,0.135245,-0.0284919,0.169881,0.140545,0.00368369,0.00553089,0.135248,0.106758,False,0.37532475000000004,0.106753,0.135245,-0.0284919,False,0.101968,0.636781,0.649199,0.113351,0.335857,0.33627,0.130884,1.2,1.151
50,train,9,0,True,True,0.123614,0.100595,0.0230194,0.157905,0.1342,0.00037471,0.00189412,0.123618,0.1006,True,0.6326467499999999,0.123614,0.100595,0.0230194,True,0.483452,0.711219,0.770072,0.565844,0.335491,0.335751,0.0742048,1.2,1.151
51,train,25,1,True,True,0.0992679,0.104005,-0.0047374,0.137716,0.132835,0.00430635,0.0054432,0.10401,0.099273,False,0.22686699999999999,0.0992679,0.104005,-0.0047374,False,0.100075,0.331969,0.395424,0.08,0.335957,0.33634,0.0912455,1.2,1.151
52,train,10,0,True,True,0.108855,0.0942248,0.01463,0.142711,0.127641,0.000976036,0.00272784,0.10886,0.0942306,True,0.43758925,0.108855,0.0942248,0.01463,True,0.4312,0.376196,0.445481,0.49748,0.335424,0.335787,0.0138655,1.2,1.151
53,train,26,1,True,True,0.102324,0.119664,-0.0173409,0.153842,0.135983,0.00325886,0.0051184,0.119669,0.102329,False,0.31912324999999997,0.102324,0.119664,-0.0173409,False,0.08,0.524397,0.534777,0.137319,0.335807,0.336276,0.274775,1.2,1.15099
54,train,11,0,True,True,0.117989,0.0925634,0.0254258,0.152117,0.125929,0.000541503,0.00265349,0.117994,0.0925693,True,0.5810897500000001,0.117989,0.0925634,0.0254258,True,0.668544,0.46683,0.481908,0.707077,0.335451,0.335852,0.000613624,1.2,1.151
55,train,27,1,True,True,0.0918619,0.089492,0.00236992,0.122763,0.125204,0.00784725,0.00802066,0.0894975,0.0918672,True,0.1551275,0.0918619,0.089492,0.00236992,True,0.201368,0.08,0.08,0.259142,0.337356,0.337558,1.2,6.95703e-05,1.15099
56,train,12,0,True,True,0.116297,0.0888631,0.0274337,0.15037,0.122111,0.000648994,0.00304814,0.116301,0.088869,True,0.7180825,0.116297,0.0888631,0.0274337,True,0.720509,0.728816,0.652934,0.770071,0.335518,0.336013,1.40547e-05,1.2,1.15099
57,train,28,1,True,True,0.0860688,0.0899852,-0.00391635,0.123274,0.119237,0.00611684,0.00701208,0.0899909,0.0860747,False,0.2961595,0.0860688,0.0899852,-0.00391635,False,0.154622,0.361194,0.214988,0.453834,0.336343,0.336676,-3.64258e-05,1.2,1.15099
58,train,13,0,True,True,0.112968,0.0920853,0.0208829,0.146947,0.125437,0.000697359,0.00317261,0.112973,0.0920912,True,0.50175075,0.112968,0.0920853,0.0208829,True,0.50324,0.525332,0.489959,0.488472,0.335402,0.335918,0.000490324,1.2,1.151
59,train,29,1,True,True,0.0960633,0.113134,-0.0170704,0.147117,0.129534,0.00454653,0.00684704,0.113138,0.0960686,False,0.3406239999999999,0.0960633,0.113134,-0.0170704,False,0.101853,0.563537,0.583379,0.113727,0.33586,0.336538,0.0301627,1.2,1.151
60,train,14,0,True,True,0.108793,0.0831076,0.025685,0.142638,0.116175,0.0010361,0.00385088,0.108797,0.0831135,True,0.74268025,0.108793,0.0831076,0.025685,True,0.770073,0.660504,0.770071,0.770073,0.335548,0.336196,2.57721e-07,1.2,1.15099
61,train,30,1,True,True,0.0824338,0.0775764,0.00485733,0.110482,0.115488,0.0104704,0.0105276,0.0775824,0.0824394,True,0.16665275000000002,0.0824338,0.0775764,0.00485733,True,0.08,0.214809,0.209604,0.162198,0.338193,0.338271,1.2,4.82241e-07,1.15099
62,train,15,0,True,True,0.110163,0.0824483,0.0277146,0.144058,0.115505,0.00104299,0.00411729,0.110168,0.0824546,True,0.6019209999999999,0.110163,0.0824483,0.0277146,True,0.684604,0.467712,0.570865,0.684503,0.335483,0.336185,4.75363e-07,1.2,1.15099
63,train,31,1,True,True,0.0898796,0.0942347,-0.00435512,0.127652,0.123164,0.00606447,0.00747421,0.0942402,0.0898852,False,0.29591825,0.0898796,0.0942347,-0.00435512,False,0.106901,0.507163,0.389555,0.180054,0.336221,0.336732,0.000111896,1.2,1.151
64,train,0,0,True,True,0.107686,0.0838133,0.0238726,0.141507,0.116913,0.00124451,0.00435612,0.107691,0.0838195,True,0.5246405,0.107686,0.0838133,0.0238726,True,0.531747,0.513496,0.535893,0.517426,0.335469,0.336195,-9.13997e-07,1.2,1.15099
65,train,16,1,True,True,0.0850766,0.0952896,-0.0102129,0.128739,0.118214,0.00557015,0.00766625,0.0952951,0.0850825,False,0.2865836,0.0850766,0.0952896,-0.0102129,False,0.0999604,0.412792,0.449507,0.184075,0.336113,0.336849,-1.356e-05,1.2,1.15099
66,train,1,0,True,True,0.103597,0.0775823,0.0260148,0.137296,0.110489,0.00159254,0.0049695,0.103602,0.0775888,True,0.5838829999999999,0.103597,0.0775823,0.0260148,True,0.699918,0.417568,0.496653,0.721393,0.335533,0.336379,4.82194e-07,1.2,1.151
67,train,17,1,True,True,0.0820588,0.0915189,-0.00946003,0.124853,0.115103,0.00505735,0.00702454,0.0915246,0.0820648,False,0.42697925000000003,0.0820588,0.0915189,-0.00946003,False,0.091242,0.667252,0.734517,0.214906,0.336179,0.33687,5.10001e-07,1.2,1.151
68,train,2,0,True,True,0.0943797,0.0777274,0.0166523,0.127796,0.110635,0.00222162,0.00514825,0.0943853,0.0777336,True,0.640134,0.0943797,0.0777274,0.0166523,True,0.421678,0.770073,0.770072,0.598713,0.335653,0.336446,4.82211e-07,1.2,1.15099
69,train,18,1,True,True,0.0848509,0.0925688,-0.00771797,0.125936,0.117982,0.00495018,0.0068436,0.0925745,0.0848567,False,0.30445275,0.0848509,0.0925688,-0.00771797,False,0.08,0.474305,0.468278,0.195228,0.336119,0.336773,-1.06791e-05,1.2,1.15099
70,train,3,0,True,True,0.0946972,0.0734882,0.021209,0.128128,0.106266,0.00234298,0.00558713,0.094703,0.0734947,True,0.7129907499999999,0.0946972,0.0734882,0.021209,True,0.692519,0.690144,0.72244,0.74686,0.335718,0.336637,4.8221e-07,1.2,1.15099
