cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.130224,0.132788,-0.00256325,0.164713,0.167351,0.000231106,0.00016639,0.130229,0.132792,False,0.5246405,0.130224,0.132788,-0.00256325,False,0.531747,0.513496,0.535893,0.517426,0.335549,0.33552,1.21847,1.21844,
1,initial_eval,1,0,False,False,0.135166,0.141429,-0.00626281,0.1698,0.176246,0.000227286,6.55665e-05,0.13517,0.141432,False,0.5838829999999999,0.135166,0.141429,-0.00626281,False,0.699918,0.417568,0.496653,0.721393,0.335581,0.335544,1.2079,1.2078,
2,initial_eval,2,0,False,False,0.151546,0.146046,0.00549994,0.18669,0.181011,-7.48696e-05,4.67982e-06,0.151551,0.14605,True,0.6401345,0.151546,0.146046,0.00549994,True,0.421678,0.770074,0.770073,0.598713,0.335606,0.335579,1.19724,1.19724,
3,initial_eval,3,0,False,False,0.156282,0.156279,3.10314e-06,0.191529,0.191526,-0.00018396,-0.000201415,0.156285,0.156282,True,0.7129907499999999,0.156282,0.156279,3.10314e-06,True,0.692519,0.690144,0.72244,0.74686,0.335651,0.33562,1.18668,1.18665,
4,initial_eval,4,0,False,False,0.154994,0.150574,0.00442046,0.190225,0.185651,-0.000168881,-0.000105846,0.154998,0.150576,True,0.674488,0.154994,0.150574,0.00442046,True,0.516261,0.744647,0.770074,0.66697,0.335627,0.335599,1.17623,1.17626,
5,initial_eval,5,0,False,False,0.114051,0.117109,-0.00305862,0.148062,0.151211,0.000959666,0.000876625,0.114056,0.117114,False,0.438589,0.114051,0.117109,-0.00305862,False,0.350727,0.486348,0.453581,0.4637,0.335563,0.335531,1.16616,1.16621,
6,initial_eval,6,0,False,False,0.143764,0.143344,0.000419933,0.178649,0.178216,-2.01837e-05,-2.87949e-05,0.143768,0.143347,True,0.5992369999999999,0.143764,0.143344,0.000419933,True,0.674624,0.525695,0.662635,0.533994,0.335589,0.335562,1.15597,1.15598,
7,initial_eval,7,0,False,False,0.11402,0.115281,-0.00126043,0.14803,0.149328,0.00103395,0.000989915,0.114025,0.115285,False,0.43275399999999997,0.11402,0.115281,-0.00126043,False,0.341263,0.434023,0.518626,0.437104,0.335569,0.335538,1.14612,1.14614,
8,initial_eval,8,0,False,False,0.140111,0.139833,0.000277462,0.174889,0.174603,5.00741e-05,4.74853e-05,0.140115,0.139837,True,0.58055175,0.140111,0.139833,0.000277462,True,0.532435,0.498079,0.65046,0.641233,0.33558,0.335553,1.13942,1.13944,
9,initial_eval,9,0,False,False,0.150982,0.144942,0.00603986,0.186098,0.179855,-0.000119395,-1.72984e-05,0.150986,0.144945,True,0.632647,0.150982,0.144942,0.00603986,True,0.483452,0.711219,0.770073,0.565844,0.335602,0.335577,1.13954,1.13961,
10,initial_eval,10,0,False,False,0.112833,0.116114,-0.0032811,0.146808,0.150186,0.000799052,0.000711689,0.112838,0.116119,False,0.43758925,0.112833,0.116114,-0.0032811,False,0.4312,0.376196,0.445481,0.49748,0.335521,0.33549,1.13993,1.13993,
11,initial_eval,11,0,False,False,0.135374,0.141581,-0.00620697,0.170014,0.176403,0.000170741,3.28671e-05,0.135378,0.141585,False,0.5810897500000001,0.135374,0.141581,-0.00620697,False,0.668544,0.46683,0.481908,0.707077,0.335579,0.335544,1.13947,1.13942,
12,initial_eval,12,0,False,False,0.154411,0.158597,-0.00418616,0.189598,0.193909,-0.000136234,-0.000235183,0.154414,0.1586,False,0.71808275,0.154411,0.158597,-0.00418616,False,0.720509,0.728816,0.652934,0.770072,0.335655,0.335621,1.13945,1.13946,
13,initial_eval,13,0,False,False,0.12572,0.129044,-0.00332411,0.160077,0.163498,0.000324952,0.000246313,0.125725,0.129049,False,0.50175075,0.12572,0.129044,-0.00332411,False,0.50324,0.525332,0.489959,0.488472,0.335535,0.335506,1.13993,1.13993,
14,initial_eval,14,0,False,False,0.157281,0.156062,0.00121852,0.192567,0.191301,-0.000162284,-0.000161392,0.157284,0.156065,True,0.7426807500000001,0.157281,0.156062,0.00121852,True,0.770074,0.660504,0.770071,0.770074,0.335664,0.335633,1.13933,1.13938,
15,initial_eval,15,0,False,False,0.140294,0.144338,-0.00404476,0.175077,0.17924,5.39953e-05,-4.09822e-05,0.140297,0.144342,False,0.6019209999999999,0.140294,0.144338,-0.00404476,False,0.684604,0.467712,0.570865,0.684503,0.335593,0.33556,1.13982,1.13976,
16,initial_eval,16,1,False,False,0.11278,0.110802,0.00197844,0.144716,0.146753,0.0042858,0.00427638,0.110807,0.112785,True,0.2865836,0.11278,0.110802,0.00197844,True,0.0999604,0.412792,0.449507,0.184075,0.336053,0.336029,1.13993,1.13993,
17,initial_eval,17,1,False,False,0.142158,0.152991,-0.0108338,0.188144,0.176995,0.0025215,0.00280077,0.152994,0.142161,False,0.42697925000000003,0.142158,0.152991,-0.0108338,False,0.091242,0.667252,0.734517,0.214906,0.336027,0.336019,1.13924,1.13939,
18,initial_eval,18,1,False,False,0.119454,0.117607,0.00184711,0.151723,0.153624,0.00301398,0.00299682,0.117611,0.119458,True,0.30445275,0.119454,0.117607,0.00184711,True,0.08,0.474305,0.468278,0.195228,0.335953,0.335928,1.13993,1.13991,
19,initial_eval,19,1,False,False,0.0830258,0.0782379,0.00478788,0.111162,0.116096,0.00969717,0.00966171,0.0782437,0.0830314,True,0.21676325,0.0830258,0.0782379,0.00478788,True,0.175672,0.226021,0.238658,0.226702,0.337964,0.337911,1.13993,1.13993,
20,initial_eval,20,1,False,False,0.0961057,0.0904578,0.0056479,0.123759,0.129578,0.00697173,0.00681996,0.0904633,0.0961109,True,0.26045225,0.0961057,0.0904578,0.0056479,True,0.299048,0.163159,0.184964,0.394638,0.336787,0.336717,1.13967,1.13965,
