cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.130225,0.132788,-0.00256325,0.164713,0.167351,0.000231105,0.000166389,0.130229,0.132792,False,0.5246405,0.130225,0.132788,-0.00256325,False,0.531747,0.513496,0.535893,0.517426,0.335549,0.33552,1.21847,1.21844,
1,initial_eval,1,0,False,False,0.135166,0.141429,-0.00626285,0.1698,0.176245,0.000227288,6.55684e-05,0.13517,0.141432,False,0.5838835,0.135166,0.141429,-0.00626285,False,0.699919,0.417568,0.496653,0.721394,0.335581,0.335544,1.2079,1.2078,
2,initial_eval,2,0,False,False,0.15156,0.146051,0.00550823,0.186698,0.181014,-7.49024e-05,4.70622e-06,0.151564,0.146055,True,0.6402075,0.15156,0.146051,0.00550823,True,0.421678,0.77022,0.770219,0.598713,0.335607,0.335579,1.19724,1.19724,
3,initial_eval,3,0,False,False,0.156282,0.156279,3.18514e-06,0.191529,0.191525,-0.000183953,-0.000201408,0.156285,0.156281,True,0.71299175,0.156282,0.156279,3.18514e-06,True,0.69252,0.690144,0.722441,0.746862,0.335651,0.33562,1.18668,1.18665,
4,initial_eval,4,0,False,False,0.155002,0.150571,0.00443132,0.19023,0.185649,-0.000168917,-0.000105795,0.155006,0.150574,True,0.674525,0.155002,0.150571,0.00443132,True,0.516261,0.744649,0.77022,0.66697,0.335627,0.335599,1.17623,1.17626,
5,initial_eval,5,0,False,False,0.114049,0.117108,-0.00305849,0.14806,0.151209,0.000959682,0.000876642,0.114054,0.117113,False,0.438589,0.114049,0.117108,-0.00305849,False,0.350727,0.486348,0.453581,0.4637,0.335563,0.335531,1.16616,1.16621,
6,initial_eval,6,0,False,False,0.143763,0.143343,0.000420095,0.178647,0.178215,-2.01696e-05,-2.87869e-05,0.143766,0.143346,True,0.5992375,0.143763,0.143343,0.000420095,True,0.674625,0.525695,0.662635,0.533995,0.335589,0.335562,1.15597,1.15598,
7,initial_eval,7,0,False,False,0.114018,0.115279,-0.00126024,0.148028,0.149326,0.00103397,0.00098994,0.114023,0.115283,False,0.43275425,0.114018,0.115279,-0.00126024,False,0.341263,0.434023,0.518626,0.437105,0.335569,0.335538,1.14612,1.14614,
8,initial_eval,8,0,False,False,0.140109,0.139832,0.000277666,0.174887,0.174601,5.00956e-05,4.75081e-05,0.140113,0.139835,True,0.58055225,0.140109,0.139832,0.000277666,True,0.532436,0.498079,0.650461,0.641233,0.33558,0.335553,1.13942,1.13944,
9,initial_eval,9,0,False,False,0.150989,0.144938,0.00605149,0.186102,0.179852,-0.000119424,-1.72373e-05,0.150993,0.144941,True,0.63268375,0.150989,0.144938,0.00605149,True,0.483452,0.71122,0.770219,0.565844,0.335602,0.335577,1.13954,1.13961,
10,initial_eval,10,0,False,False,0.112831,0.116111,-0.00328086,0.146805,0.150183,0.000799088,0.000711726,0.112836,0.116116,False,0.43758925,0.112831,0.116111,-0.00328086,False,0.4312,0.376196,0.445481,0.49748,0.335521,0.33549,1.13993,1.13993,
11,initial_eval,11,0,False,False,0.135372,0.141579,-0.00620679,0.170012,0.1764,0.000170734,3.28986e-05,0.135376,0.141583,False,0.58109,0.135372,0.141579,-0.00620679,False,0.668545,0.46683,0.481908,0.707077,0.335579,0.335544,1.13947,1.13942,
12,initial_eval,12,0,False,False,0.154407,0.158594,-0.00418734,0.189595,0.193905,-0.000136159,-0.000235109,0.15441,0.158597,False,0.71812,0.154407,0.158594,-0.00418734,False,0.72051,0.728817,0.652934,0.770219,0.335655,0.335621,1.13945,1.13946,
