cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.130224,0.132788,-0.00256325,0.164713,0.167351,0.000231107,0.000166391,0.130229,0.132792,False,0.5246405,0.130224,0.132788,-0.00256325,False,0.531747,0.513496,0.535893,0.517426,0.335549,0.33552,1.21753,1.2175,
1,initial_eval,1,0,False,False,0.135166,0.141428,-0.00626278,0.1698,0.176245,0.000227289,6.557e-05,0.135169,0.141432,False,0.5838829999999999,0.135166,0.141428,-0.00626278,False,0.699918,0.417568,0.496653,0.721393,0.335581,0.335544,1.20696,1.20687,
2,initial_eval,2,0,False,False,0.151546,0.146046,0.00549999,0.186689,0.18101,-7.48641e-05,4.68452e-06,0.15155,0.14605,True,0.6401345,0.151546,0.146046,0.00549999,True,0.421678,0.770074,0.770073,0.598713,0.335606,0.335579,1.19631,1.19631,
3,initial_eval,3,0,False,False,0.156282,0.156278,3.16248e-06,0.191529,0.191525,-0.000183953,-0.000201409,0.156284,0.156281,True,0.7129907499999999,0.156282,0.156278,3.16248e-06,True,0.692519,0.690144,0.72244,0.74686,0.335651,0.33562,1.18576,1.18573,
4,initial_eval,4,0,False,False,0.154993,0.150573,0.00442055,0.190225,0.18565,-0.000168871,-0.000105835,0.154997,0.150576,True,0.674488,0.154993,0.150573,0.00442055,True,0.516261,0.744647,0.770074,0.66697,0.335627,0.335599,1.17532,1.17534,
5,initial_eval,5,0,False,False,0.114049,0.117108,-0.0030585,0.14806,0.151209,0.000959686,0.000876646,0.114054,0.117112,False,0.438589,0.114049,0.117108,-0.0030585,False,0.350727,0.486348,0.453581,0.4637,0.335563,0.335531,1.16526,1.16531,
6,initial_eval,6,0,False,False,0.143763,0.143343,0.000420058,0.178647,0.178215,-2.0168e-05,-2.87866e-05,0.143766,0.143346,True,0.5992369999999999,0.143763,0.143343,0.000420058,True,0.674624,0.525695,0.662635,0.533994,0.335589,0.335562,1.15507,1.15508,
7,initial_eval,7,0,False,False,0.114018,0.115279,-0.00126025,0.148028,0.149326,0.00103398,0.000989945,0.114023,0.115283,False,0.43275399999999997,0.114018,0.115279,-0.00126025,False,0.341263,0.434023,0.518626,0.437104,0.335569,0.335538,1.14523,1.14525,
8,initial_eval,8,0,False,False,0.140109,0.139832,0.000277631,0.174887,0.174601,5.00974e-05,4.75093e-05,0.140113,0.139835,True,0.58055175,0.140109,0.139832,0.000277631,True,0.532435,0.498079,0.65046,0.641233,0.33558,0.335553,1.13942,1.13944,
9,initial_eval,9,0,False,False,0.15098,0.14494,0.00604007,0.186096,0.179853,-0.000119371,-1.72772e-05,0.150984,0.144943,True,0.632647,0.15098,0.14494,0.00604007,True,0.483452,0.711219,0.770073,0.565844,0.335602,0.335577,1.13954,1.13961,
10,initial_eval,10,0,False,False,0.11283,0.116111,-0.00328086,0.146805,0.150183,0.000799092,0.000711731,0.112836,0.116116,False,0.43758925,0.11283,0.116111,-0.00328086,False,0.4312,0.376196,0.445481,0.49748,0.335521,0.33549,1.13993,1.13993,
11,initial_eval,11,0,False,False,0.135372,0.141579,-0.00620675,0.170012,0.1764,0.000170734,3.28997e-05,0.135376,0.141582,False,0.5810897500000001,0.135372,0.141579,-0.00620675,False,0.668544,0.46683,0.481908,0.707077,0.335579,0.335544,1.13947,1.13942,
12,initial_eval,12,0,False,False,0.154409,0.158595,-0.00418596,0.189596,0.193906,-0.000136209,-0.000235156,0.154412,0.158598,False,0.71808275,0.154409,0.158595,-0.00418596,False,0.720509,0.728816,0.652934,0.770072,0.335655,0.335621,1.13945,1.13946,
13,initial_eval,13,0,False,False,0.125717,0.129041,-0.00332382,0.160073,0.163495,0.000324997,0.00024636,0.125722,0.129045,False,0.50175075,0.125717,0.129041,-0.00332382,False,0.50324,0.525332,0.489959,0.488472,0.335535,0.335506,1.13993,1.13993,
14,initial_eval,14,0,False,False,0.157279,0.15606,0.0012188,0.192564,0.191299,-0.000162254,-0.000161363,0.157282,0.156062,True,0.7426807500000001,0.157279,0.15606,0.0012188,True,0.770074,0.660504,0.770071,0.770074,0.335664,0.335633,1.13933,1.13938,
