cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.119496,0.124462,-0.00496623,0.153669,0.158782,0.000867611,0.000779172,0.119501,0.124467,False,0.47006824999999997,0.119496,0.124462,-0.00496623,False,0.664006,0.347312,0.420621,0.448334,0.335577,0.335552,1.21765,1.21759,
1,initial_eval,1,0,False,False,0.15998,0.15969,0.000289746,0.195351,0.195047,-0.000181552,-0.000200452,0.159983,0.159693,True,0.77007325,0.15998,0.15969,0.000289746,True,0.770074,0.770073,0.770072,0.770074,0.335678,0.335645,1.20675,1.20672,
2,initial_eval,2,0,False,False,0.134138,0.134378,-0.000240009,0.168742,0.168988,0.000172652,0.000159498,0.134142,0.134382,False,0.5316045,0.134138,0.134378,-0.000240009,False,0.433327,0.634002,0.607172,0.451917,0.335544,0.335518,1.19639,1.19635,
3,initial_eval,3,0,False,False,0.13675,0.13861,-0.00186023,0.17143,0.173344,0.000116796,6.19732e-05,0.136754,0.138614,False,0.56647625,0.13675,0.13861,-0.00186023,False,0.548402,0.475704,0.594566,0.647233,0.33557,0.335541,1.18599,1.18593,
4,initial_eval,4,0,False,False,0.117038,0.12043,-0.00339208,0.151138,0.15463,0.000522435,0.000445841,0.117043,0.120435,False,0.4594485,0.117038,0.12043,-0.00339208,False,0.479241,0.427603,0.454394,0.476556,0.335504,0.335476,1.17591,1.17582,
5,initial_eval,5,0,False,False,0.0933841,0.0970314,-0.00364729,0.126775,0.130532,0.00310838,0.00306642,0.0933898,0.0970368,False,0.33973075,0.0933841,0.0970314,-0.00364729,False,0.343936,0.323118,0.344081,0.347788,0.335867,0.335843,1.16605,1.16594,
6,initial_eval,6,0,False,False,0.15538,0.153447,0.00193229,0.190612,0.188629,-0.000197378,-0.000183912,0.155383,0.153451,True,0.67430725,0.15538,0.153447,0.00193229,True,0.633768,0.770074,0.723852,0.569535,0.335628,0.335599,1.15555,1.15548,
7,initial_eval,7,0,False,False,0.139983,0.139008,0.000974296,0.174757,0.173754,5.61806e-05,6.9531e-05,0.139987,0.139012,True,0.5647639999999999,0.139983,0.139008,0.000974296,True,0.456787,0.651137,0.65153,0.499602,0.335562,0.335538,1.14552,1.14545,
8,initial_eval,8,0,False,False,0.117588,0.121062,-0.0034738,0.151704,0.15528,0.000509918,0.000431322,0.117593,0.121066,False,0.4610115,0.117588,0.121062,-0.0034738,False,0.501218,0.453388,0.451211,0.438229,0.335505,0.335477,1.13991,1.13987,
9,initial_eval,9,0,False,False,0.129737,0.135466,-0.00572883,0.164211,0.170108,0.000435575,0.000288635,0.129741,0.135469,False,0.5387675,0.129737,0.135466,-0.00572883,False,0.633768,0.382031,0.461924,0.677347,0.335581,0.335544,1.13958,1.13954,
10,initial_eval,10,0,False,False,0.142735,0.136974,0.00576189,0.177591,0.17166,0.00035108,0.000442992,0.142739,0.136977,True,0.56798925,0.142735,0.136974,0.00576189,True,0.359347,0.662439,0.734393,0.515778,0.33562,0.335596,1.13954,1.13966,
11,initial_eval,11,0,False,False,0.108201,0.110506,-0.00230465,0.142038,0.144411,0.00111419,0.00102274,0.108206,0.110511,False,0.409532,0.108201,0.110506,-0.00230465,False,0.403619,0.401778,0.463042,0.369689,0.33554,0.335503,1.13993,1.13993,
12,initial_eval,12,0,False,False,0.116384,0.120399,-0.0040143,0.150464,0.154597,0.000695797,0.000609168,0.116389,0.120403,False,0.45655049999999997,0.116384,0.120399,-0.0040143,False,0.507996,0.379869,0.429527,0.50881,0.335531,0.335503,1.13965,1.13962,
13,initial_eval,13,0,False,False,0.102278,0.103805,-0.00152737,0.135937,0.13751,0.00291039,0.00284777,0.102283,0.10381,False,0.36135324999999996,0.102278,0.103805,-0.00152737,False,0.300618,0.403654,0.470055,0.271086,0.335868,0.335829,1.13988,1.1399,
14,initial_eval,14,0,False,False,0.120045,0.123471,-0.00342644,0.154234,0.157761,0.000559524,0.000464518,0.12005,0.123476,False,0.46996875,0.120045,0.123471,-0.00342644,False,0.532303,0.486761,0.462999,0.397812,0.335531,0.335499,1.13955,1.13952,
15,initial_eval,15,0,False,False,0.12052,0.122744,-0.00222389,0.154723,0.157012,0.000441496,0.000390168,0.120525,0.122749,False,0.47358975000000003,0.12052,0.122744,-0.00222389,False,0.455622,0.445758,0.510799,0.48218,0.335514,0.335486,1.13971,1.13971,
16,initial_eval,16,0,False,False,0.151227,0.15171,-0.000482684,0.186328,0.186825,-0.000148369,-0.000185887,0.15123,0.151713,False,0.6550855,0.151227,0.15171,-0.000482684,False,0.719875,0.627597,0.676656,0.596214,0.335621,0.335591,1.13935,1.13937,
17,initial_eval,17,0,False,False,0.131756,0.135476,-0.00371988,0.16629,0.170118,0.000201914,0.000112125,0.13176,0.13548,False,0.537222,0.131756,0.135476,-0.00371988,False,0.568791,0.520787,0.507744,0.551566,0.335557,0.335526,1.13986,1.13982,
18,initial_eval,18,0,False,False,0.157153,0.154928,0.00222537,0.192448,0.190145,-0.000172906,-0.000153481,0.157157,0.154931,True,0.723181,0.157153,0.154928,0.00222537,True,0.582506,0.770071,0.770074,0.770073,0.335653,0.335624,1.13939,1.13945,
19,initial_eval,19,0,False,False,0.148876,0.142998,0.0058784,0.183915,0.177864,6.82715e-05,0.000160664,0.14888,0.143001,True,0.615335,0.148876,0.142998,0.0058784,True,0.394457,0.766377,0.76218,0.538326,0.33561,0.335582,1.13972,1.13977,
20,initial_eval,20,1,False,False,0.11141,0.106686,0.00472423,0.140477,0.145342,0.00414219,0.00411196,0.106691,0.111415,True,0.31727625000000004,0.11141,0.106686,0.00472423,True,0.113786,0.504182,0.321666,0.329471,0.336008,0.335994,1.13993,1.13993,
21,initial_eval,21,1,False,False,0.134503,0.136538,-0.00203454,0.171212,0.169118,0.00327762,0.00333832,0.136542,0.134507,False,0.395002,0.134503,0.136538,-0.00203454,False,0.107908,0.617438,0.606871,0.247791,0.336011,0.335989,1.1394,1.13946,
22,initial_eval,22,1,False,False,0.144448,0.145623,-0.00117533,0.180562,0.179352,0.00402689,0.00408548,0.145627,0.144451,False,0.36115075,0.144448,0.145623,-0.00117533,False,0.112462,0.626863,0.584413,0.120865,0.336041,0.336019,1.13957,1.13956,
23,initial_eval,23,1,False,False,0.123699,0.12114,0.00255928,0.155361,0.157995,0.00338029,0.00337188,0.121144,0.123703,True,0.287191725,0.123699,0.12114,0.00255928,True,0.0837599,0.479907,0.444972,0.140128,0.335934,0.335916,1.13992,1.13988,
24,initial_eval,24,1,False,False,0.0947145,0.089239,0.00547553,0.122501,0.128142,0.0103663,0.0103551,0.0892444,0.0947196,True,0.19165625000000003,0.0947145,0.089239,0.00547553,True,0.125702,0.245846,0.263411,0.131666,0.337913,0.337889,1.13993,1.13993,
25,initial_eval,25,1,False,False,0.120739,0.119468,0.0012709,0.153639,0.154948,0.00478937,0.00478673,0.119473,0.120743,True,0.3010405,0.120739,0.119468,0.0012709,True,0.116752,0.453388,0.482446,0.151576,0.336105,0.33608,1.13943,1.13947,
26,initial_eval,26,1,False,False,0.117526,0.113123,0.00440295,0.147106,0.15164,0.00501309,0.00508863,0.113128,0.11753,True,0.30575175,0.117526,0.113123,0.00440295,True,0.117705,0.534373,0.376994,0.193935,0.336213,0.336218,1.13979,1.13975,
27,initial_eval,27,1,False,False,0.107293,0.10177,0.00552272,0.135414,0.141101,0.00472479,0.00460504,0.101775,0.107298,True,0.306419,0.107293,0.10177,0.00552272,True,0.139576,0.419892,0.233553,0.432655,0.33615,0.336111,1.13986,1.13984,
28,initial_eval,28,1,False,False,0.10179,0.09576,0.00603023,0.129219,0.135431,0.00799226,0.00783996,0.0957651,0.101795,True,0.1675427,0.10179,0.09576,0.00603023,True,0.0969991,0.224223,0.0812477,0.267701,0.337439,0.337364,1.13983,1.13981,
29,initial_eval,29,1,False,False,0.0837651,0.0782876,0.00547753,0.111211,0.116857,0.0109748,0.0109134,0.0782933,0.0837706,True,0.195629,0.0837651,0.0782876,0.00547753,True,0.167326,0.220959,0.201242,0.192989,0.33859,0.338508,1.13993,1.13993,
30,initial_eval,30,1,False,False,0.12442,0.122557,0.0018632,0.156819,0.158737,0.00393391,0.00391873,0.122561,0.124424,True,0.305389625,0.12442,0.122557,0.0018632,True,0.0976875,0.493411,0.47311,0.15735,0.336028,0.336002,1.1393,1.13932,
31,initial_eval,31,1,False,False,0.0934192,0.0884752,0.004944,0.121716,0.12681,0.00638885,0.00628672,0.0884809,0.0934246,True,0.27038775,0.0934192,0.0884752,0.004944,True,0.161394,0.322873,0.237898,0.359386,0.336634,0.336584,1.13993,1.13993,
32,initial_eval,32,1,False,False,0.0958902,0.091785,0.00410522,0.125127,0.129356,0.00366398,0.00359396,0.0917907,0.0958956,True,0.32910975000000003,0.0958902,0.091785,0.00410522,True,0.28902,0.349148,0.302907,0.375364,0.33599,0.335959,1.13975,1.13975,
33,initial_eval,33,1,False,False,0.109806,0.104964,0.0048419,0.138703,0.143689,0.00533752,0.00533003,0.104969,0.109811,True,0.230170325,0.109806,0.104964,0.0048419,True,0.0857193,0.399819,0.309748,0.125395,0.33627,0.336267,1.13963,1.13961,
34,initial_eval,34,1,False,False,0.104542,0.098583,0.00595909,0.13213,0.138268,0.00637809,0.00620602,0.0985882,0.104547,True,0.266395,0.104542,0.098583,0.00595909,True,0.146884,0.336786,0.156324,0.425586,0.336532,0.336469,1.13982,1.1398,
35,initial_eval,35,1,False,False,0.107727,0.101983,0.00574391,0.135631,0.141547,0.00431365,0.00412623,0.101988,0.107731,True,0.19915825,0.107727,0.101983,0.00574391,True,0.325031,0.08,0.08,0.311602,0.336287,0.33623,1.13973,1.13971,
36,initial_eval,36,1,False,False,0.092126,0.0879149,0.00421115,0.121139,0.125477,0.00613623,0.0061079,0.0879206,0.0921315,True,0.27432475,0.092126,0.0879149,0.00421115,True,0.166267,0.344374,0.298002,0.288656,0.336572,0.336547,1.13991,1.13991,
37,initial_eval,37,1,False,False,0.117979,0.11501,0.00296856,0.149048,0.152105,0.00190226,0.00194155,0.115015,0.117983,True,0.2396535,0.117979,0.11501,0.00296856,True,0.08,0.391374,0.40724,0.08,0.335698,0.3357,1.13947,1.13948,
38,initial_eval,38,1,False,False,0.102468,0.0968404,0.00562773,0.130334,0.136131,0.00777145,0.0075858,0.0968456,0.102473,True,0.22180475,0.102468,0.0968404,0.00562773,True,0.122524,0.308635,0.113946,0.342114,0.336787,0.336714,1.13992,1.13989,
39,initial_eval,39,1,False,False,0.117069,0.114211,0.00285799,0.148226,0.151168,0.00374829,0.00379738,0.114216,0.117074,True,0.2541843,0.117069,0.114211,0.00285799,True,0.106584,0.403124,0.414038,0.0929912,0.335856,0.335857,1.13957,1.13958,
40,train,0,0,True,True,0.119465,0.124431,-0.00496587,0.153637,0.15875,0.000868203,0.000779811,0.11947,0.124435,False,0.47006824999999997,0.119465,0.124431,-0.00496587,False,0.664006,0.347312,0.420621,0.448334,0.335619,0.335594,1.2,0.203025,1.04431
41,train,20,1,True,True,0.103781,0.111044,-0.00726236,0.144965,0.137485,0.00398732,0.00465442,0.111048,0.103786,False,0.31727625000000004,0.103781,0.111044,-0.00726236,False,0.113786,0.504182,0.321666,0.329471,0.335931,0.336157,0.164858,1.2,1.04431
42,train,1,0,True,True,0.146011,0.114852,0.0311594,0.180951,0.14887,1.73633e-05,0.000940894,0.146014,0.114856,True,0.77007325,0.146011,0.114852,0.0311594,True,0.770074,0.770073,0.770072,0.770074,0.335612,0.335713,0.143113,1.2,0.0380555
43,train,21,1,True,True,0.113499,0.132638,-0.0191397,0.167198,0.147493,0.00336582,0.00425527,0.132642,0.113503,False,0.395002,0.113499,0.132638,-0.0191397,False,0.107908,0.617438,0.606871,0.247791,0.33596,0.33612,0.155882,1.2,1.04431
44,train,2,0,True,True,0.0939584,0.125244,-0.0312854,0.127366,0.159586,0.00267737,0.00060411,0.0939642,0.125248,False,0.5316045,0.0939584,0.125244,-0.0312854,False,0.433327,0.634002,0.607172,0.451917,0.335909,0.335406,1.2,0.00126961,1.04431
45,train,22,1,True,True,0.09588,0.107812,-0.011932,0.141635,0.129342,0.00612749,0.0088062,0.107817,0.0958851,False,0.36115075,0.09588,0.107812,-0.011932,False,0.112462,0.626863,0.584413,0.120865,0.336176,0.33716,0.0329545,1.2,1.04467
46,train,3,0,True,True,0.0971487,0.0857276,0.0114212,0.130653,0.118882,0.00409183,0.00558276,0.0971542,0.0857333,True,0.56647625,0.0971487,0.0857276,0.0114212,True,0.548402,0.475704,0.594566,0.647233,0.336152,0.336473,-2.53014e-05,1.2,0.0189194
47,train,23,1,True,True,0.108685,0.0901065,0.0185784,0.123394,0.142534,0.00763163,0.00704641,0.0901119,0.108689,True,0.287191725,0.108685,0.0901065,0.0185784,True,0.0837599,0.479907,0.444972,0.140128,0.33698,0.336612,1.2,0.00012679,0.01305
48,train,4,0,True,True,0.0956798,0.0879053,0.00777449,0.12914,0.121128,0.00410731,0.00554789,0.0956853,0.087911,True,0.4594485,0.0956798,0.0879053,0.00777449,True,0.479241,0.427603,0.454394,0.476556,0.336062,0.336378,-3.39721e-05,1.2,0.0124886
49,train,24,1,True,True,0.100432,0.0894736,0.0109585,0.122743,0.134033,0.0112963,0.0112494,0.089479,0.100437,True,0.19165625000000003,0.100432,0.0894736,0.0109585,True,0.125702,0.245846,0.263411,0.131666,0.338026,0.337834,1.2,6.31305e-05,0.0127442
50,train,5,0,True,True,0.08942,0.0886647,0.000755351,0.12269,0.121911,0.00521072,0.00635037,0.0894257,0.0886703,True,0.33973075,0.08942,0.0886647,0.000755351,True,0.343936,0.323118,0.344081,0.347788,0.336197,0.336473,1.2,6.4147e-05,1.04498
51,train,25,1,True,True,0.0977555,0.0877539,0.0100016,0.12097,0.131276,0.00921503,0.00974017,0.0877594,0.0977605,True,0.3010405,0.0977555,0.0877539,0.0100016,True,0.116752,0.453388,0.482446,0.151576,0.337206,0.337371,1.2,-3.72331e-05,0.0183482
52,train,6,0,True,True,0.102028,0.074787,0.0272406,0.135676,0.107594,0.00412176,0.00734429,0.102033,0.0747927,True,0.67430725,0.102028,0.074787,0.0272406,True,0.633768,0.770074,0.723852,0.569535,0.336173,0.337205,4.82197e-07,1.2,0.0131704
53,train,26,1,True,True,0.0938147,0.084431,0.0093837,0.117546,0.127216,0.0090221,0.00945995,0.0844367,0.0938199,True,0.30575175,0.0938147,0.084431,0.0093837,True,0.117705,0.534373,0.376994,0.193935,0.337197,0.337318,1.2,-5.61041e-06,0.0102267
54,train,7,0,True,True,0.0917101,0.0780958,0.0136143,0.12505,0.111013,0.00436194,0.0072355,0.0917158,0.0781016,True,0.5647639999999999,0.0917101,0.0780958,0.0136143,True,0.456787,0.651137,0.65153,0.499602,0.336128,0.337065,4.82216e-07,1.2,0.0127113
