cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.148544,0.152774,-0.00422935,0.183562,0.187918,-6.84688e-05,-0.000161041,0.148547,0.152776,False,0.68048875,0.148544,0.152774,-0.00422935,False,0.741245,0.57729,0.633202,0.770218,0.335637,0.335604,1.21825,1.2182,
1,initial_eval,1,0,False,False,0.13628,0.140078,-0.0037977,0.170946,0.174855,0.000125062,2.89132e-05,0.136284,0.140081,False,0.56834375,0.13628,0.140078,-0.0037977,False,0.632611,0.475342,0.540965,0.624457,0.335572,0.33554,1.20774,1.20766,
2,initial_eval,2,0,False,False,0.110958,0.114528,-0.00357005,0.144877,0.148553,0.00128982,0.00122746,0.110963,0.114533,False,0.423802,0.110958,0.114528,-0.00357005,False,0.460496,0.315118,0.428067,0.491527,0.335602,0.335576,1.19752,1.19743,
3,initial_eval,3,0,False,False,0.107319,0.111611,-0.00429182,0.141129,0.145549,0.00110748,0.00106431,0.107324,0.111616,False,0.4112875,0.107319,0.111611,-0.00429182,False,0.465983,0.392788,0.363332,0.423047,0.335536,0.33552,1.18738,1.18725,
4,initial_eval,4,0,False,False,0.130053,0.135156,-0.00510278,0.164537,0.169789,0.000251105,0.000131781,0.130058,0.13516,False,0.53626175,0.130053,0.135156,-0.00510278,False,0.584164,0.47028,0.462056,0.628547,0.335555,0.335523,1.17703,1.17685,
5,initial_eval,5,0,False,False,0.126283,0.128732,-0.00244923,0.160656,0.163177,0.000313218,0.000254073,0.126288,0.128736,False,0.5014115,0.126283,0.128732,-0.00244923,False,0.543454,0.493438,0.523504,0.44525,0.335532,0.335504,1.1669,1.16671,
6,initial_eval,6,0,False,False,0.156878,0.152866,0.00401251,0.19216,0.18801,-0.000221329,-0.000178869,0.156882,0.152869,True,0.6901015,0.156878,0.152866,0.00401251,True,0.676339,0.66374,0.770219,0.650108,0.335637,0.335608,1.15647,1.15634,
7,initial_eval,7,0,False,False,0.129372,0.135849,-0.00647691,0.163836,0.170503,0.000320974,0.000170951,0.129377,0.135853,False,0.5533682500000001,0.129372,0.135849,-0.00647691,False,0.580763,0.423695,0.455836,0.753179,0.335563,0.335528,1.14655,1.14634,
8,initial_eval,8,0,False,False,0.128223,0.131627,-0.00340311,0.162653,0.166156,0.00028547,0.000201722,0.128228,0.131631,False,0.52184275,0.128223,0.131627,-0.00340311,False,0.464831,0.474401,0.515151,0.632988,0.335546,0.335516,1.1397,1.13972,
9,initial_eval,9,0,False,False,0.145873,0.151182,-0.00530935,0.180813,0.18628,6.58508e-07,-0.000127162,0.145876,0.151185,False,0.6614505,0.145873,0.151182,-0.00530935,False,0.715184,0.569406,0.590993,0.770219,0.335628,0.335594,1.13949,1.13946,
10,initial_eval,10,0,False,False,0.114618,0.118429,-0.0038105,0.148646,0.152569,0.000795271,0.000709349,0.114623,0.118433,False,0.44754325,0.114618,0.118429,-0.0038105,False,0.460057,0.36972,0.432466,0.52793,0.335536,0.335507,1.13993,1.13993,
11,initial_eval,11,0,False,False,0.125926,0.129781,-0.00385441,0.160289,0.164256,0.000343736,0.000246758,0.125931,0.129785,False,0.5092194999999999,0.125926,0.129781,-0.00385441,False,0.521068,0.418723,0.488581,0.608506,0.335539,0.335508,1.13959,1.13958,
12,initial_eval,12,0,False,False,0.148509,0.151253,-0.00274406,0.183531,0.186354,-0.000130132,-0.000206599,0.148512,0.151256,False,0.6372745,0.148509,0.151253,-0.00274406,False,0.685667,0.646988,0.616585,0.599858,0.335613,0.335581,1.13943,1.13944,
13,initial_eval,13,0,False,False,0.139155,0.141963,-0.0028088,0.173905,0.176795,3.8316e-05,-3.53405e-05,0.139159,0.141967,False,0.5835359999999999,0.139155,0.141963,-0.0028088,False,0.599362,0.50374,0.580641,0.650401,0.335585,0.335554,1.13975,1.13974,
14,initial_eval,14,0,False,False,0.139337,0.139693,-0.000355856,0.174093,0.174459,9.05258e-05,6.52256e-05,0.139341,0.139697,False,0.5715635,0.139337,0.139693,-0.000355856,False,0.423736,0.592923,0.632225,0.63737,0.335571,0.335543,1.13966,1.13969,
15,initial_eval,15,0,False,False,0.144451,0.147236,-0.0027848,0.179355,0.182221,-2.82901e-05,-0.00010679,0.144455,0.147239,False,0.61704675,0.144451,0.147236,-0.0027848,False,0.618181,0.572318,0.6045,0.673188,0.335604,0.335572,1.13961,1.13958,
16,initial_eval,16,0,False,False,0.0995912,0.102001,-0.00240987,0.133169,0.135651,0.00324383,0.00322438,0.0995965,0.102006,False,0.345156,0.0995912,0.102001,-0.00240987,False,0.22759,0.408197,0.427667,0.31717,0.335908,0.335885,1.13993,1.13993,
17,initial_eval,17,0,False,False,0.158068,0.154593,0.00347472,0.193383,0.189787,-0.00022663,-0.000192769,0.158072,0.154596,True,0.7034009999999999,0.158068,0.154593,0.00347472,True,0.640951,0.717267,0.770219,0.685167,0.335644,0.335614,1.13908,1.13914,
18,initial_eval,18,0,False,False,0.152524,0.148236,0.00428842,0.18769,0.183261,2.82446e-05,7.30167e-05,0.152528,0.148239,True,0.66192325,0.152524,0.148236,0.00428842,True,0.396961,0.77022,0.77022,0.710292,0.335636,0.335605,1.13969,1.1397,
