cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.131832,0.138347,-0.00651574,0.12549,0.133759,0.0141951,0.0140901,0.131824,0.13834,False,0.111727375,0.131832,0.138347,-0.00651574,False,0.160016,0.0986667,0.119667,0.115452,0.0692546,0.0968147,0.101435,0.132513,0.343408,0.343203,1.2175,1.21743,
1,initial_eval,1,0,False,False,0.143106,0.15029,-0.00718347,0.174768,0.182569,0.0071472,0.00695839,0.143098,0.150281,False,0.0629646125,0.143106,0.15029,-0.00718347,False,0.126537,0.0524858,0.0329478,0.100646,0.0224333,0.0752115,0.04525,0.0482055,0.338077,0.338066,1.20685,1.20672,
2,initial_eval,2,0,False,False,0.147247,0.154373,-0.00712622,0.180028,0.187524,0.00206642,0.00185047,0.147239,0.154365,False,0.0643468,0.147247,0.154373,-0.00712622,False,0.0739281,0.0416276,0.103902,0.0341487,0.0514093,0.0564967,0.0828939,0.0703681,0.337324,0.337334,1.19628,1.1961,
3,initial_eval,3,0,False,False,0.155883,0.163142,-0.00725924,0.190783,0.198276,0.000512611,0.000269648,0.155875,0.163134,False,0.0484739,0.155883,0.163142,-0.00725924,False,0.041225,0.0753335,0.0363434,0.0705236,0.0147841,0.0608175,0.0402397,0.0485244,0.336053,0.336046,1.18572,1.18547,
4,initial_eval,4,1,False,False,0.119984,0.114806,0.00517794,0.0911792,0.09365,0.0455818,0.0453461,0.1148,0.119977,True,0.22175925000000002,0.119984,0.114806,0.00517794,True,0.238228,0.219274,0.202983,0.246565,0.202816,0.200833,0.228685,0.23469,0.220692,0.224087,1.17557,1.17529,
5,initial_eval,5,1,False,False,0.115992,0.110984,0.00500775,0.0973909,0.0997434,0.00617222,0.00609752,0.110978,0.115986,True,0.255221375,0.115992,0.110984,0.00500775,True,0.266949,0.262349,0.216665,0.287742,0.241825,0.236943,0.266949,0.262349,0.337469,0.337439,1.16568,1.16537,
6,initial_eval,6,1,False,False,0.117352,0.11234,0.00501138,0.0973899,0.0997424,0.00617242,0.00609773,0.112334,0.117345,True,0.25521900000000003,0.117352,0.11234,0.00501138,True,0.266947,0.262346,0.216663,0.287739,0.241823,0.236941,0.266947,0.262346,0.337469,0.337439,1.15572,1.15538,
7,initial_eval,7,1,False,False,0.125834,0.119669,0.00616522,0.112359,0.119522,0.0117557,0.0115979,0.119662,0.125827,True,0.1310206625,0.125834,0.119669,0.00616522,True,0.110379,0.158185,0.0788539,0.258355,0.108556,0.0804974,0.151563,0.101776,0.340887,0.340676,1.14576,1.14537,
8,train,0,0,True,True,0.130927,0.13751,-0.00658333,0.125498,0.133767,0.0141924,0.0140874,0.13092,0.137503,False,0.1117076,0.130927,0.13751,-0.00658333,False,0.160003,0.0986449,0.119649,0.115424,0.0692328,0.0967981,0.101412,0.132497,0.343448,0.343243,0.40034,1.2,1.15097
9,train,1,0,True,True,0.143875,0.14138,0.00249491,0.175781,0.173324,0.00637883,0.00650154,0.143867,0.141372,True,0.0627609375,0.143875,0.14138,0.00249491,True,0.126334,0.0522341,0.0327123,0.100659,0.0221372,0.0750244,0.0450032,0.0479833,0.337652,0.337792,1.19999,0.623457,1.14926
