cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0771076,0.0779103,-0.000802703,0.110007,0.110834,0.0282411,0.0281799,0.0771142,0.0779168,False,0.110588,0.0771076,0.0779103,-0.000802703,False,0.111484,0.110436,0.110421,0.110453,0.110437,0.110378,0.110441,0.110654,0.334986,0.335012,1.21909,1.21908,
1,initial_eval,1,0,False,False,0.0767502,0.0775445,-0.000794305,0.109639,0.110458,0.028609,0.028572,0.0767568,0.077551,False,0.11006625000000002,0.0767502,0.0775445,-0.000794305,False,0.110188,0.110063,0.110009,0.110067,0.110064,0.110006,0.110068,0.110065,0.336042,0.336062,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0767127,0.077506,-0.000793313,0.1096,0.110418,0.0194751,0.0194456,0.0767193,0.0775126,False,0.11001175,0.0767127,0.077506,-0.000793313,False,0.110026,0.110024,0.10997,0.110027,0.110025,0.109967,0.110029,0.110026,0.337496,0.337499,1.19896,1.19894,
3,initial_eval,3,0,False,False,0.0767119,0.0775052,-0.000793307,0.1096,0.110417,0.0194751,0.0194457,0.0767185,0.0775118,False,0.11001075,0.0767119,0.0775052,-0.000793307,False,0.110025,0.110023,0.109969,0.110026,0.110024,0.109966,0.110028,0.110025,0.337496,0.337499,1.18902,1.18899,
4,initial_eval,4,1,False,False,0.0872551,0.0863276,0.000927486,0.119508,0.120464,0.0469153,0.0468009,0.0863336,0.0872611,True,0.124397875,0.0872551,0.0863276,0.000927486,True,0.125703,0.123796,0.122784,0.126749,0.122772,0.122745,0.125266,0.125368,0.198454,0.200247,1.17905,1.17901,
5,initial_eval,5,1,False,False,0.0924312,0.0914035,0.00102774,0.124738,0.125796,0.0123182,0.0123028,0.0914093,0.092437,True,0.132358125,0.0924312,0.0914035,0.00102774,True,0.133413,0.132384,0.128675,0.136233,0.130675,0.130489,0.134098,0.132898,0.337131,0.337125,1.16913,1.16909,
6,initial_eval,6,1,False,False,0.0924302,0.0914024,0.00102774,0.124737,0.125795,0.0123175,0.0123021,0.0914082,0.0924359,True,0.13235699999999997,0.0924302,0.0914024,0.00102774,True,0.133411,0.132383,0.128674,0.136232,0.130674,0.130488,0.134097,0.132897,0.337131,0.337125,1.15931,1.15926,
7,initial_eval,7,1,False,False,0.0803904,0.0794991,0.000891306,0.112472,0.11339,0.0383147,0.0381735,0.0795055,0.0803967,True,0.11420499999999999,0.0803904,0.0794991,0.000891306,True,0.11295,0.113765,0.112886,0.121601,0.112949,0.112883,0.113656,0.11295,0.300221,0.301305,1.1497,1.14965,
8,train,0,0,True,True,0.0771014,0.0779041,-0.000802666,0.110001,0.110828,0.0194825,0.019453,0.0771079,0.0779106,False,0.1105815,0.0771014,0.0779041,-0.000802666,False,0.111478,0.110429,0.110415,0.110446,0.11043,0.110372,0.110434,0.110648,0.33754,0.337542,1.2,4.82256e-07,1.04518
9,train,1,0,True,True,0.0760625,0.0768132,-0.00075073,0.10893,0.109704,0.0195081,0.0194825,0.0760691,0.0768198,False,0.10933612499999999,0.0760625,0.0768132,-0.00075073,False,0.109466,0.109331,0.10928,0.109334,0.109332,0.109277,0.109336,0.109333,0.337551,0.337552,1.2,4.8226e-07,1.04518
10,train,2,0,True,True,0.0756586,0.0763664,-0.000707824,0.108514,0.109243,0.0195229,0.0195019,0.0756653,0.0763731,False,0.10888112500000001,0.0756586,0.0763664,-0.000707824,False,0.108894,0.108892,0.108843,0.108895,0.108893,0.108841,0.108897,0.108894,0.33756,0.337558,1.2,4.82262e-07,1.04518
11,train,3,0,True,True,0.0752969,0.0759652,-0.000668232,0.108141,0.10883,0.0195514,0.0195228,0.0753036,0.0759718,False,0.10848775000000001,0.0752969,0.0759652,-0.000668232,False,0.1085,0.108498,0.108452,0.108501,0.108499,0.10845,0.108502,0.1085,0.337558,0.337564,1.2,4.82264e-07,1.04518
12,train,4,1,True,True,0.0856123,0.0848486,0.000763705,0.117984,0.118771,0.0475513,0.0474439,0.0848547,0.0856184,True,0.1229185,0.0856123,0.0848486,0.000763705,True,0.124272,0.122257,0.121361,0.12528,0.12124,0.121217,0.123803,0.123918,0.188398,0.190147,1.2,-1.18048e-05,0.0183155
