cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0771077,0.0779104,-0.000802703,0.110007,0.110834,0.0194822,0.0194527,0.0771142,0.0779169,False,0.110588,0.0771077,0.0779104,-0.000802703,False,0.111484,0.110436,0.110421,0.110453,0.110437,0.110378,0.110441,0.110654,0.337498,0.3375,1.21909,1.21908,
1,initial_eval,1,0,False,False,0.0767507,0.077545,-0.000794308,0.109639,0.110458,0.028609,0.028572,0.0767572,0.0775515,False,0.11006650000000001,0.0767507,0.077545,-0.000794308,False,0.110189,0.110063,0.110009,0.110067,0.110064,0.110006,0.110068,0.110066,0.336042,0.336062,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0767135,0.0775068,-0.000793318,0.109601,0.110419,0.019475,0.0194456,0.0767201,0.0775134,False,0.11001274999999999,0.0767135,0.0775068,-0.000793318,False,0.110027,0.110025,0.109971,0.110028,0.110026,0.109968,0.11003,0.110027,0.337496,0.337499,1.19896,1.19894,
3,initial_eval,3,0,False,False,0.0767131,0.0775064,-0.000793315,0.109601,0.110418,0.019475,0.0194456,0.0767197,0.0775129,False,0.11001187500000001,0.0767131,0.0775064,-0.000793315,False,0.110026,0.110024,0.10997,0.110028,0.110025,0.109967,0.110029,0.110026,0.337496,0.337499,1.18902,1.18899,
4,initial_eval,4,1,False,False,0.0872571,0.0863296,0.000927504,0.11951,0.120466,0.0469142,0.0467998,0.0863356,0.0872631,True,0.12440062499999999,0.0872571,0.0863296,0.000927504,True,0.125706,0.123799,0.122786,0.126752,0.122775,0.122748,0.125269,0.12537,0.19847,0.200263,1.17905,1.17901,
5,initial_eval,5,1,False,False,0.0924336,0.0914058,0.00102775,0.12474,0.125799,0.0123201,0.0123047,0.0914116,0.0924393,True,0.13236075,0.0924336,0.0914058,0.00102775,True,0.133415,0.132387,0.128677,0.136235,0.130678,0.130492,0.134101,0.132901,0.337131,0.337126,1.16913,1.16909,
6,initial_eval,6,1,False,False,0.092433,0.0914052,0.00102775,0.124739,0.125798,0.0123197,0.0123044,0.091411,0.0924387,True,0.132360375,0.092433,0.0914052,0.00102775,True,0.133415,0.132387,0.128677,0.136235,0.130677,0.130491,0.1341,0.132901,0.337131,0.337126,1.15931,1.15926,
7,initial_eval,7,1,False,False,0.0803931,0.0795018,0.000891322,0.112474,0.113393,0.0192921,0.0192643,0.0795082,0.0803994,True,0.11420775000000001,0.0803931,0.0795018,0.000891322,True,0.112953,0.113768,0.112889,0.121604,0.112951,0.112886,0.113658,0.112953,0.337504,0.337506,1.1497,1.14965,
8,train,0,0,True,True,0.0771044,0.0779071,-0.000802685,0.110004,0.110831,0.0194823,0.0194528,0.077111,0.0779136,False,0.11058500000000002,0.0771044,0.0779071,-0.000802685,False,0.111481,0.110433,0.110418,0.11045,0.110434,0.110375,0.110438,0.110651,0.33754,0.337542,1.2,4.82256e-07,1.04518
9,train,1,0,True,True,0.0764059,0.0771784,-0.000772492,0.109284,0.11008,0.0194922,0.0194642,0.0764125,0.0771849,False,0.10970062500000001,0.0764059,0.0771784,-0.000772492,False,0.109827,0.109696,0.109644,0.1097,0.109697,0.109641,0.109701,0.109699,0.337545,0.337546,1.2,4.82259e-07,1.04518
