cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0750308,0.0763342,-0.00130338,0.107867,0.10921,0.0196404,0.019613,0.0750375,0.0763408,False,0.10872875000000001,0.0750308,0.0763342,-0.00130338,False,0.109694,0.108559,0.108549,0.108583,0.10856,0.108493,0.108561,0.108831,0.337558,0.337535,1.21911,1.2191,
1,initial_eval,1,0,False,False,0.0746339,0.0759263,-0.00129237,0.107458,0.10879,0.0287448,0.0287028,0.0746406,0.0759329,False,0.108150625,0.0746339,0.0759263,-0.00129237,False,0.108306,0.108144,0.108078,0.108144,0.108145,0.108079,0.108146,0.108163,0.336079,0.336083,1.20903,1.209,
2,initial_eval,2,0,False,False,0.074587,0.075878,-0.001291,0.10741,0.10874,0.0196312,0.0196049,0.0745938,0.0758847,False,0.10808224999999999,0.074587,0.075878,-0.001291,False,0.108104,0.108095,0.108029,0.108094,0.108096,0.10803,0.108097,0.108113,0.337557,0.337534,1.19902,1.19899,
3,initial_eval,3,0,False,False,0.0745862,0.0758772,-0.00129099,0.107409,0.108739,0.0196312,0.0196049,0.074593,0.0758839,False,0.1080815,0.0745862,0.0758772,-0.00129099,False,0.108103,0.108094,0.108028,0.108094,0.108095,0.108029,0.108096,0.108113,0.337557,0.337534,1.18909,1.18905,
4,initial_eval,4,1,False,False,0.0860547,0.0845996,0.00145509,0.117728,0.119227,0.0468944,0.0467665,0.0846057,0.0860607,True,0.1230105,0.0860547,0.0845996,0.00145509,True,0.124359,0.122387,0.121372,0.125418,0.121285,0.121318,0.123911,0.124034,0.198884,0.20086,1.17913,1.17907,
5,initial_eval,5,1,False,False,0.091332,0.0897699,0.00156206,0.123055,0.124664,0.0124009,0.0123639,0.0897758,0.0913378,True,0.13108475,0.091332,0.0897699,0.00156206,True,0.132192,0.131089,0.127369,0.135044,0.129241,0.129175,0.132879,0.131689,0.33716,0.337145,1.16923,1.16916,
6,initial_eval,6,1,False,False,0.0913309,0.0897689,0.00156205,0.123054,0.124663,0.0124002,0.0123631,0.0897748,0.0913367,True,0.13108375000000003,0.0913309,0.0897689,0.00156205,True,0.132191,0.131088,0.127368,0.135043,0.12924,0.129174,0.132878,0.131688,0.33716,0.337145,1.15942,1.15934,
7,initial_eval,7,1,False,False,0.078888,0.0775243,0.00136374,0.110437,0.111842,0.0194543,0.019418,0.0775308,0.0788945,True,0.11246225000000001,0.078888,0.0775243,0.00136374,True,0.11117,0.112038,0.11109,0.120036,0.111162,0.111091,0.111931,0.11118,0.337555,0.337541,1.14983,1.14974,
8,train,0,0,True,True,0.0750246,0.0763279,-0.00130333,0.107861,0.109204,0.0196405,0.0196133,0.0750313,0.0763345,False,0.10872237500000001,0.0750246,0.0763279,-0.00130333,False,0.109688,0.108553,0.108543,0.108576,0.108554,0.108486,0.108554,0.108825,0.3376,0.337577,1.2,4.82262e-07,1.04518
9,train,1,0,True,True,0.0739553,0.0752103,-0.00125492,0.106759,0.108052,0.0196887,0.0196439,0.0739621,0.075217,False,0.107433,0.0739553,0.0752103,-0.00125492,False,0.107597,0.107425,0.10736,0.107425,0.107426,0.107361,0.107427,0.107443,0.337595,0.337587,1.2,4.82267e-07,1.04518
10,train,2,0,True,True,0.0735486,0.0747677,-0.00121909,0.10634,0.107596,0.019708,0.0196637,0.0735554,0.0747744,False,0.106974875,0.0735486,0.0747677,-0.00121909,False,0.106996,0.106987,0.106924,0.106986,0.106988,0.106925,0.106989,0.107004,0.337601,0.337593,1.2,4.82269e-07,1.04518
11,train,3,0,True,True,0.0731936,0.0743803,-0.0011867,0.105974,0.107197,0.0197232,0.019684,0.0732004,0.074387,False,0.106592,0.0731936,0.0743803,-0.0011867,False,0.106612,0.106604,0.106542,0.106603,0.106605,0.106543,0.106606,0.106621,0.33761,0.337599,1.2,4.8227e-07,1.04518
12,train,4,1,True,True,0.0844691,0.0831471,0.00132201,0.116231,0.117593,0.0475223,0.0474016,0.0831533,0.0844753,True,0.12157312500000002,0.0844691,0.0831471,0.00132201,True,0.122972,0.12089,0.11999,0.123993,0.119793,0.119828,0.122492,0.122627,0.188979,0.190913,1.2,4.36237e-08,0.0183156
13,train,5,1,True,True,0.0898959,0.0884619,0.00143406,0.121707,0.123184,0.0117621,0.0117242,0.0884679,0.0899018,True,0.129892875,0.0898959,0.0884619,0.00143406,True,0.131039,0.129873,0.126097,0.133938,0.128005,0.127934,0.131761,0.130496,0.337144,0.33713,1.2,-1.23308e-05,0.00344676
14,train,6,1,True,True,0.089895,0.088461,0.00143405,0.121706,0.123184,0.0117614,0.0117235,0.088467,0.0899009,True,0.129891875,0.089895,0.088461,0.00143405,True,0.131038,0.129872,0.126096,0.133937,0.128004,0.127933,0.13176,0.130495,0.337144,0.33713,1.2,-1.23821e-05,0.00342363
15,train,7,1,True,True,0.07717,0.0759374,0.00123255,0.108802,0.110072,0.0193614,0.0193225,0.0759441,0.0771766,True,0.110827,0.07717,0.0759374,0.00123255,True,0.109465,0.110411,0.109392,0.118739,0.109457,0.109392,0.110286,0.109474,0.337618,0.33761,1.2,4.82259e-07,0.00394886
16,train,0,0,True,True,0.0733269,0.0744964,-0.00116947,0.106111,0.107316,0.019757,0.0197138,0.0733337,0.0745031,False,0.10692175,0.0733269,0.0744964,-0.00116947,False,0.107964,0.106733,0.106741,0.106759,0.106733,0.106672,0.106734,0.107038,0.337614,0.337607,1.2,4.8227e-07,1.04518
17,train,1,0,True,True,0.0722327,0.0733621,-0.00112945,0.104983,0.106147,0.0197853,0.0197425,0.0722395,0.0733689,False,0.10559575,0.0722327,0.0733621,-0.00112945,False,0.105781,0.105584,0.105524,0.105583,0.105584,0.105525,0.105585,0.1056,0.337623,0.337617,1.2,4.82275e-07,1.04518
18,train,2,0,True,True,0.0718266,0.0729277,-0.0011011,0.104565,0.1057,0.0198043,0.019762,0.0718336,0.0729346,False,0.105138875,0.0718266,0.0729277,-0.0011011,False,0.105158,0.10515,0.105092,0.105149,0.105151,0.105093,0.105152,0.105166,0.337629,0.337623,1.2,4.82277e-07,1.04518
19,train,3,0,True,True,0.0714807,0.0725568,-0.00107617,0.104208,0.105317,0.019824,0.019782,0.0714876,0.0725637,False,0.10476937500000001,0.0714807,0.0725568,-0.00107617,False,0.104788,0.10478,0.104724,0.10478,0.104781,0.104724,0.104782,0.104796,0.337635,0.337629,1.2,4.82279e-07,1.04518
20,train,4,1,True,True,0.0829463,0.0817249,0.00122133,0.114766,0.116024,0.0476905,0.0475747,0.0817312,0.0829525,True,0.12018175,0.0829463,0.0817249,0.00122133,True,0.12163,0.119435,0.118671,0.12261,0.118344,0.11838,0.121117,0.121267,0.186358,0.188231,1.2,4.83549e-07,0.0183238
21,train,5,1,True,True,0.0885203,0.0871806,0.0013397,0.120387,0.121767,0.0111732,0.0111334,0.0871866,0.0885263,True,0.12874575,0.0885203,0.0871806,0.0013397,True,0.129931,0.1287,0.124868,0.132879,0.126813,0.126737,0.130689,0.129349,0.337087,0.337073,1.2,-5.12081e-05,0.00335916
22,train,6,1,True,True,0.0885194,0.0871797,0.0013397,0.120386,0.121766,0.0276197,0.0275912,0.0871857,0.0885254,True,0.12874449999999998,0.0885194,0.0871797,0.0013397,True,0.12993,0.128699,0.124867,0.132877,0.126812,0.126736,0.130687,0.129348,0.333456,0.333444,1.2,-5.12137e-05,0.00340747
23,train,7,1,True,True,0.0755256,0.0743921,0.00113342,0.107209,0.108377,0.0192455,0.0191927,0.0743989,0.0755323,True,0.109251625,0.0755256,0.0743921,0.00113342,True,0.10782,0.108847,0.107751,0.117502,0.107812,0.107752,0.108701,0.107828,0.337641,0.337647,1.2,4.82266e-07,0.00440979
24,final_eval,0,0,False,False,0.0716704,0.0727378,-0.00106735,0.104404,0.105504,0.0198543,0.0198127,0.0716773,0.0727446,False,0.105180125,0.0716704,0.0727378,-0.00106735,False,0.106302,0.104971,0.104997,0.105,0.104972,0.104916,0.104973,0.10531,0.3376,0.337595,1.19694,1.15086,
25,final_eval,1,0,False,False,0.071196,0.0722504,-0.00105446,0.103915,0.105002,0.0198447,0.0198031,0.071203,0.0722574,False,0.1044905,0.071196,0.0722504,-0.00105446,False,0.104689,0.104476,0.10442,0.104475,0.104476,0.10442,0.104477,0.104491,0.337599,0.337593,1.18705,1.14152,
26,final_eval,2,0,False,False,0.0711322,0.0721848,-0.00105258,0.103849,0.104934,0.0198439,0.0198023,0.0711392,0.0721917,False,0.104397875,0.0711322,0.0721848,-0.00105258,False,0.104416,0.104409,0.104353,0.104408,0.104409,0.104354,0.10441,0.104424,0.337598,0.337593,1.17725,1.13983,
27,final_eval,3,0,False,False,0.0711315,0.0721841,-0.00105258,0.103848,0.104933,0.019844,0.0198024,0.0711384,0.072191,False,0.10439712500000001,0.0711315,0.0721841,-0.00105258,False,0.104416,0.104408,0.104352,0.104407,0.104409,0.104353,0.104409,0.104423,0.337598,0.337593,1.16752,1.13983,
