cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0771065,0.0779092,-0.000802696,0.110006,0.110833,0.0194823,0.0194528,0.077113,0.0779157,False,0.110586375,0.0771065,0.0779092,-0.000802696,False,0.111483,0.110434,0.11042,0.110451,0.110435,0.110376,0.110439,0.110653,0.337498,0.3375,1.21909,1.21908,
1,initial_eval,1,0,False,False,0.076741,0.0775353,-0.000794248,0.109629,0.110448,0.0286095,0.0285724,0.0767475,0.0775417,False,0.11005625000000001,0.076741,0.0775353,-0.000794248,False,0.110178,0.110053,0.109999,0.110057,0.110054,0.109996,0.110058,0.110055,0.336042,0.336062,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0766954,0.0774887,-0.000793208,0.109582,0.110399,0.0194759,0.0194465,0.076702,0.0774952,False,0.10999337499999999,0.0766954,0.0774887,-0.000793208,False,0.110008,0.110005,0.109952,0.110009,0.110006,0.109949,0.11001,0.110008,0.337497,0.337499,1.19896,1.19894,
3,initial_eval,3,0,False,False,0.0766866,0.0774797,-0.000793153,0.109573,0.11039,0.0194764,0.019447,0.0766932,0.0774863,False,0.10998424999999999,0.0766866,0.0774797,-0.000793153,False,0.109999,0.109996,0.109942,0.11,0.109997,0.10994,0.110001,0.109999,0.337497,0.337499,1.18902,1.18899,
4,initial_eval,4,1,False,False,0.0872173,0.0862901,0.000927202,0.119469,0.120424,0.0469298,0.0468154,0.0862961,0.0872233,True,0.124356625,0.0872173,0.0862901,0.000927202,True,0.125662,0.123754,0.122746,0.126706,0.122731,0.122704,0.125224,0.125326,0.198226,0.200021,1.17905,1.17901,
5,initial_eval,5,1,False,False,0.0923873,0.0913598,0.00102755,0.124692,0.125751,0.0122924,0.0122769,0.0913656,0.0923931,True,0.132311375,0.0923873,0.0913598,0.00102755,True,0.133366,0.132337,0.128629,0.136185,0.130629,0.130442,0.134052,0.132851,0.337129,0.337123,1.16913,1.16909,
6,initial_eval,6,1,False,False,0.0923777,0.0913502,0.00102751,0.124682,0.125741,0.0122867,0.0122712,0.091356,0.0923835,True,0.132301375,0.0923777,0.0913502,0.00102751,True,0.133356,0.132327,0.128619,0.136175,0.130619,0.130432,0.134042,0.132841,0.337128,0.337123,1.15931,1.15926,
7,initial_eval,7,1,False,False,0.0803335,0.0794424,0.000891035,0.112413,0.113331,0.0382955,0.0381542,0.0794488,0.0803398,True,0.11414637500000001,0.0803335,0.0794424,0.000891035,True,0.112891,0.113706,0.112827,0.121547,0.11289,0.112824,0.113595,0.112891,0.300379,0.30146,1.14971,1.14965,
8,train,0,0,True,True,0.0770351,0.0778373,-0.000802267,0.109932,0.110759,0.0194857,0.0194564,0.0770416,0.0778438,False,0.11051225,0.0770351,0.0778373,-0.000802267,False,0.111408,0.11036,0.110346,0.110377,0.110361,0.110303,0.110365,0.110578,0.337541,0.337543,1.2,4.82257e-07,1.04518
9,train,1,0,True,True,0.0749855,0.0717267,0.0032588,0.10782,0.104462,0.0187592,0.0186289,0.0749921,0.0717335,True,0.106057625,0.0749855,0.0717267,0.0032588,True,0.106249,0.105966,0.105692,0.106053,0.106065,0.10633,0.106046,0.10606,0.337231,0.337537,4.82268e-07,1.2,0.0132683
