cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0771044,0.0779071,-0.000802682,0.110003,0.11083,0.0194824,0.0194529,0.0771109,0.0779136,False,0.1105835,0.0771044,0.0779071,-0.000802682,False,0.11148,0.110431,0.110417,0.110448,0.110432,0.110374,0.110436,0.11065,0.337498,0.3375,1.21909,1.21908,
1,initial_eval,1,0,False,False,0.0767243,0.0775184,-0.000794139,0.109611,0.110429,0.0194767,0.0194473,0.0767308,0.0775249,False,0.11003825,0.0767243,0.0775184,-0.000794139,False,0.11016,0.110035,0.109981,0.110039,0.110036,0.109978,0.11004,0.110037,0.337497,0.337499,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0766643,0.0774573,-0.000793011,0.109549,0.110366,0.0194775,0.0194482,0.0766708,0.0774638,False,0.10996075000000001,0.0766643,0.0774573,-0.000793011,False,0.109975,0.109973,0.109919,0.109976,0.109974,0.109916,0.109978,0.109975,0.337497,0.337499,1.19897,1.19894,
3,initial_eval,3,0,False,False,0.0766408,0.0774337,-0.000792864,0.109525,0.110342,0.0194786,0.0194494,0.0766474,0.0774402,False,0.10993625,0.0766408,0.0774337,-0.000792864,False,0.109951,0.109948,0.109894,0.109952,0.109949,0.109892,0.109953,0.109951,0.337498,0.3375,1.18902,1.189,
4,initial_eval,4,1,False,False,0.08713,0.0862037,0.000926316,0.119379,0.120333,0.0469771,0.0468627,0.0862096,0.0871359,True,0.124252875,0.08713,0.0862037,0.000926316,True,0.125558,0.123647,0.122655,0.126593,0.122629,0.122601,0.125117,0.125223,0.197485,0.199283,1.17905,1.17901,
5,initial_eval,5,1,False,False,0.0922861,0.0912593,0.00102682,0.124588,0.125645,0.0122026,0.0121868,0.091265,0.0922918,True,0.132192375,0.0922861,0.0912593,0.00102682,True,0.133247,0.132217,0.128516,0.13606,0.130513,0.130324,0.133932,0.13273,0.33712,0.337115,1.16913,1.16909,
6,initial_eval,6,1,False,False,0.0922568,0.0912302,0.00102664,0.124558,0.125615,0.0121799,0.012164,0.0912359,0.0922625,True,0.13215925,0.0922568,0.0912302,0.00102664,True,0.133214,0.132183,0.128484,0.136025,0.130481,0.130291,0.133899,0.132697,0.337118,0.337113,1.15932,1.15927,
7,initial_eval,7,1,False,False,0.0802251,0.0793348,0.000890322,0.112301,0.113219,0.038216,0.0380749,0.0793411,0.0802314,True,0.114032625,0.0802251,0.0793348,0.000890322,True,0.112779,0.11359,0.112715,0.121433,0.112778,0.112712,0.113475,0.112779,0.301024,0.302093,1.14971,1.14965,
8,train,0,0,True,True,0.0769117,0.0777132,-0.000801463,0.109804,0.11063,0.0194932,0.0194626,0.0769182,0.0777196,False,0.11038200000000001,0.0769117,0.0777132,-0.000801463,False,0.111273,0.110232,0.110215,0.110246,0.110233,0.110175,0.110237,0.110445,0.337542,0.337545,1.2,4.82257e-07,1.04518
9,train,1,0,True,True,0.0579155,0.0574327,0.00048281,0.0902246,0.0897269,0.0208574,0.0208478,0.0579233,0.0574405,True,0.0900497,0.0579155,0.0574327,0.00048281,True,0.0904738,0.0899651,0.0900036,0.09006,0.0899644,0.0900058,0.0899614,0.0899635,0.337931,0.337979,1.2,4.82389e-07,1.04518
10,train,2,0,True,True,0.0497559,0.0492615,0.000494458,0.0818113,0.0813014,0.0229074,0.0228896,0.0497642,0.0492698,True,0.081557175,0.0497559,0.0492615,0.000494458,True,0.0815427,0.0815446,0.081612,0.0815416,0.0815437,0.0815898,0.0815403,0.0815427,0.338431,0.338503,1.2,4.82522e-07,1.04518
11,train,3,0,True,True,0.0423263,0.0418278,0.000498453,0.07415,0.0736359,0.0374237,0.0373465,0.0423351,0.0418367,True,0.07389038749999999,0.0423263,0.0418278,0.000498453,True,0.0738779,0.07388,0.0739269,0.0738766,0.073879,0.0739297,0.0738751,0.0738779,0.309112,0.309774,1.2,4.828e-07,1.04518
12,train,4,1,True,True,0.0477456,0.0482137,-0.000468114,0.0802246,0.0797415,0.0199164,0.0198781,0.0482224,0.0477543,False,0.086077875,0.0477456,0.0482137,-0.000468114,False,0.089628,0.0823966,0.088569,0.0862489,0.0821851,0.0821941,0.0857149,0.0916864,0.338984,0.339104,1.2,4.82559e-07,0.02066
13,train,5,1,True,True,0.0570204,0.056986,3.44128e-05,0.0892877,0.0893238,0.0100521,0.00993054,0.0569951,0.0570296,True,0.1021188875,0.0570204,0.056986,3.44128e-05,True,0.105806,0.0999135,0.0968489,0.107151,0.100325,0.0975017,0.108222,0.101183,0.337326,0.337305,1.2,4.82394e-07,0.00622809
14,train,6,1,True,True,0.0569868,0.0569527,3.40289e-05,0.0892532,0.0892889,0.0100636,0.00994208,0.0569618,0.0569959,True,0.1020711125,0.0569868,0.0569527,3.40289e-05,True,0.105764,0.0998613,0.0968097,0.107091,0.100284,0.0974509,0.108179,0.101129,0.337329,0.337307,1.2,4.82395e-07,0.00604183
