cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.13091,0.137479,-0.00656839,0.12549,0.133759,0.0141952,0.0140903,0.130903,0.137471,False,0.111727725,0.160017,0.098667,0.119667,0.115452,0.0692549,0.0968149,0.101436,0.132513,0.343408,0.343203,1.17666,1.17659,,,,,,,,,,,
1,initial_eval,1,0,False,False,0.143108,0.150291,-0.00718349,0.174769,0.18257,0.00714711,0.00695829,0.1431,0.150283,False,0.062966075,0.126539,0.0524873,0.0329492,0.100647,0.0224349,0.0752129,0.0452515,0.0482068,0.338077,0.338066,1.16634,1.1662,,,,,,,,,,,
2,initial_eval,2,0,False,False,0.14725,0.154376,-0.00712632,0.18003,0.187527,0.00206657,0.00185064,0.147241,0.154367,False,0.064348975,0.0739292,0.0416311,0.103904,0.0341513,0.0514116,0.0564986,0.0828959,0.0703701,0.337324,0.337334,1.15609,1.1559,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.155886,0.163146,-0.00725944,0.190786,0.19828,0.000511763,0.000268828,0.155879,0.163138,False,0.0484766875,0.0412269,0.075336,0.0363455,0.070528,0.0147866,0.0608216,0.0402415,0.0485274,0.336053,0.336047,1.14584,1.1456,,,,,,,,,,,
4,initial_eval,4,1,False,False,0.119989,0.11481,0.00517822,0.0911825,0.0936534,0.045581,0.0453453,0.114804,0.119982,True,0.221768875,0.238237,0.219286,0.202987,0.246577,0.202826,0.200843,0.228696,0.234699,0.220702,0.224098,1.13993,1.13993,,,,,,,,,,,
5,initial_eval,5,1,False,False,0.115999,0.110991,0.00500787,0.0973948,0.0997474,0.00617138,0.00609669,0.110985,0.115993,True,0.25523125,0.266959,0.262359,0.216674,0.287753,0.241834,0.236953,0.266959,0.262359,0.337469,0.337439,1.13977,1.13976,,,,,,,,,,,
6,initial_eval,6,1,False,False,0.117358,0.112346,0.00501137,0.0973946,0.0997472,0.00617143,0.00609674,0.11234,0.117351,True,0.25523025,0.266958,0.262358,0.216673,0.287752,0.241833,0.236952,0.266958,0.262358,0.337469,0.337439,1.13972,1.13971,,,,,,,,,,,
7,initial_eval,7,1,False,False,0.125844,0.119679,0.00616549,0.112358,0.119521,0.0117575,0.0115997,0.119672,0.125837,True,0.13103332499999998,0.110395,0.158194,0.0788676,0.258362,0.10857,0.080511,0.151576,0.101791,0.340887,0.340677,1.13964,1.13962,,,,,,,,,,,
8,train,0,0,True,True,0.130936,0.13752,-0.00658441,0.125492,0.133761,0.0141947,0.0140897,0.130929,0.137513,False,0.11172372500000001,0.160014,0.0986627,0.119663,0.115447,0.0692505,0.0968116,0.101431,0.13251,0.343449,0.343244,0.880621,0.924913,7.4649e-09,9.33997e-09,0.123074,2.77695e-06,1.14136,0.0144601,0.0210445,0.0057249,0.0346451,0.0346451,0.000151503
9,train,4,1,True,True,0.101729,0.113544,-0.0118145,0.0916531,0.0891865,0.0456237,0.0456054,0.113537,0.101724,False,0.22168725,0.238216,0.219123,0.203025,0.246495,0.202686,0.200698,0.228584,0.234671,0.220097,0.220494,-0.00153176,1.2,7.19178e-39,2.24126e-11,0.00030615,6.23398e-06,1.14136,-0.0118361,-2.16095e-05,1.11737e-07,1.69263e-07,1.69263e-07,0.000174186
10,train,1,0,True,True,0.148135,0.13277,0.0153646,0.179589,0.164295,0.00622266,0.00677913,0.148127,0.132763,True,0.06286823750000001,0.126483,0.0523322,0.0328452,0.100719,0.0222357,0.0751061,0.0451066,0.0481181,0.337673,0.33788,0.949819,0.866186,7.35465e-09,7.31093e-09,0.0794982,1.2343e-06,1.14136,0.0365561,0.0211915,1.11737e-07,0.0318932,0.0318932,0.00017435
11,train,5,1,True,True,0.0858122,0.112545,-0.0267329,0.0982551,0.0924451,0.00613592,0.00618964,0.112539,0.0858074,False,0.255062625,0.266898,0.262121,0.216548,0.28758,0.241659,0.236713,0.266802,0.26218,0.33748,0.337539,-9.9113e-06,1.2,7.16071e-39,1.776e-11,0.000202328,3.93222e-06,1.14136,-0.0269928,-0.000259906,1.11737e-07,2.00406e-07,2.00406e-07,0.000174473
12,train,2,0,True,True,0.157955,0.120858,0.0370968,0.190491,0.152797,0.00162213,0.00301496,0.157946,0.120851,True,0.064128375,0.0739772,0.0411378,0.103687,0.0338685,0.0511102,0.0562799,0.0827243,0.0702421,0.337151,0.337648,1.2,0.824437,7.4003e-09,1.04656e-08,0.0592966,7.77268e-07,1.14136,0.0576621,0.0205652,1.11737e-07,0.0296828,0.0296828,0.0001667
13,train,6,1,True,True,0.0817014,0.123626,-0.0419244,0.0986637,0.0894207,0.00612377,0.00623623,0.123619,0.0816969,False,0.25492675000000004,0.266785,0.261955,0.216467,0.287416,0.241542,0.236548,0.266687,0.262014,0.337466,0.337571,3.02435e-07,1.2,8.41069e-39,2.43024e-11,0.000137672,1.39417e-07,1.14136,-0.042607,-0.000682693,1.11736e-07,2.29245e-07,2.29245e-07,0.000174604
