cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0771056,0.0779082,-0.000802691,0.110004,0.110832,0.0189997,0.0189699,0.0771121,0.0779148,False,0.11058500000000002,0.0771056,0.0779082,-0.000802691,False,0.111481,0.110433,0.110418,0.11045,0.110434,0.110375,0.110438,0.110651,0.337465,0.337468,1.21909,1.21908,
1,initial_eval,1,0,False,False,0.0767342,0.0775284,-0.000794204,0.109622,0.11044,0.0189934,0.0189636,0.0767408,0.077535,False,0.11004912500000001,0.0767342,0.0775284,-0.000794204,False,0.110171,0.110046,0.109992,0.110049,0.110047,0.109989,0.110051,0.110048,0.337464,0.337467,1.20899,1.20897,
2,initial_eval,2,0,False,False,0.0766829,0.0774761,-0.00079313,0.109569,0.110386,0.0189939,0.018964,0.0766895,0.0774826,False,0.10998,0.0766829,0.0774761,-0.00079313,False,0.109995,0.109992,0.109938,0.109996,0.109993,0.109935,0.109997,0.109994,0.337464,0.337467,1.19896,1.19894,
3,initial_eval,3,0,False,False,0.0766682,0.0774613,-0.000793037,0.109554,0.110371,0.0189948,0.0189649,0.0766749,0.0774679,False,0.10996487499999999,0.0766682,0.0774613,-0.000793037,False,0.109979,0.109977,0.109923,0.109981,0.109978,0.10992,0.109982,0.109979,0.337464,0.337467,1.18902,1.189,
4,initial_eval,4,1,False,False,0.0871784,0.0862516,0.000926771,0.119429,0.120384,0.0473734,0.0472592,0.0862576,0.0871843,True,0.12430900000000002,0.0871784,0.0862516,0.000926771,True,0.125614,0.123705,0.122705,0.126653,0.122684,0.122657,0.125175,0.125279,0.190989,0.192826,1.17905,1.17901,
5,initial_eval,5,1,False,False,0.0923422,0.091315,0.00102718,0.124646,0.125704,0.0120771,0.0120611,0.0913208,0.092348,True,0.1322565,0.0923422,0.091315,0.00102718,True,0.133311,0.132282,0.128577,0.136127,0.130576,0.130388,0.133996,0.132795,0.337089,0.337083,1.16913,1.16909,
6,initial_eval,6,1,False,False,0.092324,0.0912969,0.00102707,0.124627,0.125685,0.0120633,0.0120473,0.0913027,0.0923297,True,0.13223575,0.092324,0.0912969,0.00102707,True,0.13329,0.132261,0.128557,0.136105,0.130556,0.130367,0.133976,0.132774,0.337088,0.337082,1.15932,1.15927,
7,initial_eval,7,1,False,False,0.080289,0.0793983,0.000890704,0.112367,0.113285,0.0384035,0.0382625,0.0794046,0.0802953,True,0.11409925,0.080289,0.0793983,0.000890704,True,0.112845,0.113658,0.112781,0.121498,0.112844,0.112778,0.113545,0.112845,0.29947,0.300564,1.14971,1.14965,
8,train,0,0,True,True,0.076985,0.0777869,-0.000801929,0.10988,0.110707,0.0190069,0.0189771,0.0769915,0.0777934,False,0.110459,0.076985,0.0777869,-0.000801929,False,0.111352,0.110308,0.110292,0.110323,0.110309,0.110251,0.110313,0.110524,0.337509,0.337511,1.2,4.82257e-07,1.04518
9,train,1,0,True,True,0.0642586,0.0642261,3.24996e-05,0.096764,0.0967305,0.0338076,0.0337354,0.0642659,0.0642334,True,0.0967934125,0.0642586,0.0642261,3.24996e-05,True,0.0971011,0.0967466,0.096749,0.0967621,0.0967465,0.0967492,0.0967463,0.0967465,0.328584,0.328874,1.2,4.82328e-07,1.04518
10,train,2,0,True,True,0.058538,0.058455,8.29966e-05,0.0908669,0.0907813,0.0204325,0.0204029,0.0585458,0.0584628,True,0.09082542499999999,0.058538,0.058455,8.29966e-05,True,0.090822,0.0908223,0.0908423,0.0908218,0.0908222,0.0908292,0.0908216,0.090822,0.337879,0.337901,1.2,4.82378e-07,1.04518
11,train,3,0,True,True,0.0531868,0.0530891,9.77449e-05,0.0853499,0.0852491,0.0216064,0.0215616,0.0531949,0.0530972,True,0.0852991,0.0531868,0.0530891,9.77449e-05,True,0.0852969,0.0852973,0.0853055,0.0852967,0.0852971,0.0853059,0.0852965,0.0852969,0.338162,0.338181,1.2,4.82448e-07,1.04518
12,train,4,1,True,True,0.0612349,0.0612389,-3.95138e-06,0.0936524,0.0936483,0.0169528,0.0169323,0.0612466,0.0612426,False,0.0998589125,0.0612349,0.0612389,-3.95138e-06,False,0.102275,0.0975003,0.100491,0.10149,0.0969374,0.0968386,0.100527,0.102812,0.337988,0.337995,1.2,4.82351e-07,0.0186626
13,train,5,1,True,True,0.0694501,0.069142,0.000308146,0.1018,0.102117,0.00738997,0.00728113,0.0691493,0.0694575,True,0.11336575,0.0694501,0.069142,0.000308146,True,0.115256,0.112742,0.10799,0.118996,0.110909,0.110411,0.116818,0.113804,0.336667,0.336644,1.2,4.82295e-07,0.00639788
14,train,6,1,True,True,0.0694329,0.0691249,0.000308049,0.101782,0.102099,0.00739182,0.00728292,0.0691322,0.0694403,True,0.113344375,0.0694329,0.0691249,0.000308049,True,0.115235,0.11272,0.10797,0.118974,0.110888,0.110389,0.116796,0.113783,0.336668,0.336644,1.2,4.82295e-07,0.00614691
