cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.13091,0.137479,-0.00656839,0.12549,0.133759,0.0141952,0.0140903,0.130903,0.137471,False,0.111727725,0.160017,0.098667,0.119667,0.115452,0.0692549,0.0968149,0.101436,0.132513,0.343408,0.343203,1.17666,1.17659,,,,,,,,,,,
1,initial_eval,1,0,False,False,0.143108,0.150291,-0.00718349,0.174769,0.18257,0.00714711,0.00695829,0.1431,0.150283,False,0.062966075,0.126539,0.0524873,0.0329492,0.100647,0.0224349,0.0752129,0.0452515,0.0482068,0.338077,0.338066,1.16634,1.1662,,,,,,,,,,,
2,initial_eval,2,0,False,False,0.14725,0.154376,-0.00712632,0.18003,0.187527,0.00206657,0.00185064,0.147241,0.154367,False,0.064348975,0.0739292,0.0416311,0.103904,0.0341513,0.0514116,0.0564986,0.0828959,0.0703701,0.337324,0.337334,1.15609,1.1559,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.155886,0.163146,-0.00725944,0.190786,0.19828,0.000511763,0.000268828,0.155879,0.163138,False,0.0484766875,0.0412269,0.075336,0.0363455,0.070528,0.0147866,0.0608216,0.0402415,0.0485274,0.336053,0.336047,1.14584,1.1456,,,,,,,,,,,
4,initial_eval,4,1,False,False,0.119989,0.11481,0.00517822,0.0911825,0.0936534,0.045581,0.0453453,0.114804,0.119982,True,0.221768875,0.238237,0.219286,0.202987,0.246577,0.202826,0.200843,0.228696,0.234699,0.220702,0.224098,1.13993,1.13993,,,,,,,,,,,
5,initial_eval,5,1,False,False,0.115999,0.110991,0.00500787,0.0973948,0.0997474,0.00617138,0.00609669,0.110985,0.115993,True,0.25523125,0.266959,0.262359,0.216674,0.287753,0.241834,0.236953,0.266959,0.262359,0.337469,0.337439,1.13977,1.13976,,,,,,,,,,,
6,initial_eval,6,1,False,False,0.117358,0.112346,0.00501137,0.0973946,0.0997472,0.00617143,0.00609674,0.11234,0.117351,True,0.25523025,0.266958,0.262358,0.216673,0.287752,0.241833,0.236952,0.266958,0.262358,0.337469,0.337439,1.13972,1.13971,,,,,,,,,,,
7,initial_eval,7,1,False,False,0.125844,0.119679,0.00616549,0.112358,0.119521,0.0117575,0.0115997,0.119672,0.125837,True,0.13103332499999998,0.110395,0.158194,0.0788676,0.258362,0.10857,0.080511,0.151576,0.101791,0.340887,0.340677,1.13964,1.13962,,,,,,,,,,,
8,train,0,0,True,True,0.130936,0.13752,-0.00658441,0.125492,0.133761,0.0141947,0.0140897,0.130929,0.137513,False,0.11172372500000001,0.160014,0.0986627,0.119663,0.115447,0.0692505,0.0968116,0.101431,0.13251,0.343449,0.343244,0.880621,0.924913,5.45905e-06,7.19067e-06,0.0527535,0.000262016,1.14136,-0.00656025,2.41621e-05,0.00285627,3.6254e-05,0.00285627,0.000151502
9,train,4,1,True,True,0.115442,0.109971,0.00547188,0.0911758,0.0936294,0.0456031,0.0453675,0.109965,0.115436,True,0.22167212499999997,0.238174,0.219128,0.203012,0.246457,0.202686,0.200701,0.228592,0.234627,0.220438,0.223838,0.855921,0.972556,4.11552e-05,5.37392e-05,0.0414574,0.00090474,1.14136,0.00517644,-0.000295439,0.0129231,5.30047e-06,0.0129231,0.000166368
10,train,1,0,True,True,0.143108,0.1503,-0.00719149,0.174818,0.182655,0.00639063,0.00619822,0.1431,0.150292,False,0.0628644125,0.126456,0.0523437,0.0328279,0.100713,0.0222433,0.0751169,0.0451201,0.0480944,0.337765,0.337729,0.885329,0.91909,4.41669e-12,1.31096e-07,0.066631,3.15452e-06,1.14136,-0.0071514,4.00862e-05,1.26255e-07,5.97288e-05,5.97288e-05,0.000174303
11,train,5,1,True,True,0.110232,0.104972,0.00526004,0.0971597,0.100022,0.00622881,0.00609225,0.104967,0.110226,True,0.2550535,0.266867,0.26213,0.216526,0.28756,0.241664,0.236721,0.266811,0.262149,0.337535,0.337466,0.82909,1.19999,2.13939e-05,2.69553e-05,0.0228096,6.82946e-07,1.14136,0.00501487,-0.000245174,0.00630906,2.65834e-06,0.00630906,0.000174474
12,train,2,0,True,True,0.147286,0.154391,-0.00710425,0.180168,0.187657,0.00206327,0.00185922,0.147278,0.154382,False,0.0641269125,0.0739745,0.0411519,0.103671,0.0338556,0.0511157,0.0562866,0.0827338,0.0702262,0.337348,0.337351,0.88699,0.917154,1.24983e-12,1.11188e-07,0.0501769,1.55052e-07,1.14136,-0.00705865,4.55956e-05,1.33342e-07,6.8488e-05,6.8488e-05,0.00016671
13,train,6,1,True,True,0.115321,0.110302,0.00501905,0.097026,0.10015,0.0062635,0.00609476,0.110296,0.115314,True,0.25491574999999994,0.266754,0.261965,0.216427,0.287396,0.241547,0.236557,0.266697,0.261983,0.337549,0.337459,0.859384,0.963607,2.93392e-05,3.78075e-05,0.0313418,7.73489e-05,1.14136,0.00501932,2.66083e-07,0.0134382,5.50868e-06,0.0134382,0.000174643
