cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.082147,0.0871055,-0.00495847,0.1152,0.120309,0.00599946,0.00591052,0.0821532,0.0871114,False,0.241076075,0.082147,0.0871055,-0.00495847,False,0.659615,0.181302,0.420209,0.169106,0.187826,0.118194,0.285991,0.10759,0.473663,0.120928,0.196637,0.190528,0.159575,0.124835,0.367472,0.0937462,0.337533,0.33748,1.21903,1.21897,
1,initial_eval,1,0,False,False,0.102787,0.107822,-0.00503519,0.136464,0.141661,0.0129952,0.0129637,0.102792,0.107827,False,0.32299658125,0.102787,0.107822,-0.00503519,False,0.531428,0.329745,0.126704,0.770216,0.0872333,0.260504,0.08,0.11615,0.410278,0.743052,0.339245,0.422181,0.151549,0.231893,0.202146,0.365621,0.334713,0.334684,1.20864,1.20855,
2,initial_eval,2,0,False,False,0.0979832,0.1014,-0.00341637,0.131515,0.135034,0.000524231,0.00036082,0.0979888,0.101405,False,0.28851831874999995,0.0979832,0.1014,-0.00341637,False,0.368529,0.169229,0.175716,0.447187,0.572448,0.0992514,0.371486,0.121474,0.0913314,0.363564,0.426089,0.186606,0.480168,0.10104,0.561203,0.0809713,0.336249,0.336208,1.19848,1.19836,
3,initial_eval,3,0,False,False,0.0801048,0.08713,-0.00702526,0.113095,0.120334,0.00342578,0.00343621,0.0801111,0.087136,False,0.29122803125,0.0801048,0.08713,-0.00702526,False,0.357297,0.33216,0.266193,0.270908,0.234137,0.142071,0.7278,0.153227,0.214825,0.266786,0.130531,0.245669,0.373773,0.0992605,0.571234,0.273777,0.336897,0.336878,1.18854,1.18839,
4,initial_eval,4,0,False,False,0.0907198,0.0995273,-0.00880748,0.124031,0.133117,0.00273588,0.00273601,0.0907255,0.0995331,False,0.2857172625,0.0907198,0.0995273,-0.00880748,False,0.493254,0.300336,0.26919,0.190287,0.106529,0.141304,0.770218,0.0827657,0.318614,0.494475,0.209852,0.263201,0.12677,0.0868065,0.52512,0.192754,0.336759,0.336745,1.17856,1.17831,
5,initial_eval,5,0,False,False,0.109728,0.109019,0.000709747,0.143612,0.142881,-0.000178537,-0.000279979,0.109733,0.109023,True,0.33631311250000007,0.109728,0.109019,0.000709747,True,0.465294,0.0874157,0.191103,0.269907,0.0813026,0.518277,0.0822035,0.251686,0.256907,0.598363,0.147066,0.732996,0.465958,0.429166,0.598472,0.204893,0.336211,0.33619,1.16845,1.16824,
6,initial_eval,6,0,False,False,0.137126,0.139903,-0.00277706,0.171819,0.174677,-0.00254684,-0.00256678,0.13713,0.139907,False,0.510928325,0.137126,0.139903,-0.00277706,False,0.702395,0.0993212,0.759796,0.496284,0.765427,0.649134,0.628951,0.57136,0.465774,0.132167,0.422561,0.32283,0.710292,0.502641,0.760737,0.185183,0.335787,0.335781,1.15817,1.15793,
7,initial_eval,7,0,False,False,0.118111,0.115434,0.00267681,0.152249,0.149486,-0.000896788,-0.000925123,0.118116,0.115439,True,0.40717181250000006,0.118111,0.115434,0.00267681,True,0.505842,0.732131,0.233635,0.600243,0.532366,0.235888,0.244301,0.0916183,0.379247,0.678349,0.244507,0.770216,0.222615,0.4034,0.542401,0.0979897,0.336051,0.336042,1.1483,1.14809,
8,initial_eval,8,0,False,False,0.0922177,0.0887261,0.00349161,0.125585,0.121977,0.00313609,0.00312679,0.0922238,0.0887319,True,0.30161150000000003,0.0922177,0.0887261,0.00349161,True,0.481781,0.544419,0.296158,0.132723,0.48093,0.247485,0.241888,0.173408,0.308501,0.111058,0.162904,0.77022,0.190204,0.342251,0.232827,0.109027,0.336759,0.336761,1.13994,1.13994,
9,initial_eval,9,0,False,False,0.120999,0.124262,-0.0032633,0.155223,0.158586,0.000505362,0.000437531,0.121003,0.124267,False,0.367730925,0.120999,0.124262,-0.0032633,False,0.654373,0.476083,0.595714,0.111994,0.487301,0.138987,0.41593,0.168177,0.770216,0.484931,0.770215,0.194638,0.281304,0.0891948,0.137349,0.107288,0.336214,0.336192,1.13944,1.13937,
10,initial_eval,10,0,False,False,0.0770006,0.0777699,-0.000769271,0.109895,0.110687,0.00360479,0.00352816,0.0770071,0.0777763,False,0.26229791874999997,0.0770006,0.0777699,-0.000769271,False,0.395839,0.34323,0.46856,0.198825,0.350369,0.157369,0.180249,0.170386,0.29802,0.0981267,0.354282,0.494897,0.108629,0.176049,0.271289,0.130647,0.336898,0.33687,1.13993,1.13993,
11,initial_eval,11,0,False,False,0.106355,0.105783,0.000571759,0.140138,0.139549,-0.00209282,-0.00208799,0.106361,0.105789,True,0.392097875,0.106355,0.105783,0.000571759,True,0.464333,0.403158,0.649156,0.453406,0.456862,0.111254,0.339422,0.100237,0.326429,0.397693,0.507431,0.737611,0.338074,0.271087,0.461679,0.255734,0.335798,0.335796,1.13947,1.13949,
12,initial_eval,12,0,False,False,0.116784,0.121023,-0.00423886,0.15088,0.155253,-0.00118781,-0.00127458,0.116789,0.121028,False,0.39902230624999996,0.116784,0.121023,-0.00423886,False,0.617329,0.181462,0.695972,0.132339,0.182555,0.410314,0.441598,0.393707,0.462864,0.0908699,0.435267,0.411455,0.645064,0.352551,0.770217,0.160793,0.335941,0.335924,1.13962,1.13957,
13,initial_eval,13,0,False,False,0.107854,0.109959,-0.00210535,0.141687,0.143849,-0.00170391,-0.001761,0.107859,0.109964,False,0.4256915625,0.107854,0.109959,-0.00210535,False,0.550714,0.477008,0.462373,0.512687,0.495342,0.217742,0.418747,0.300323,0.419554,0.413218,0.255757,0.770215,0.314162,0.19032,0.762551,0.250352,0.335887,0.335872,1.13982,1.13984,
14,initial_eval,14,0,False,False,0.125493,0.128288,-0.0027953,0.159852,0.162725,-0.00311414,-0.00315437,0.125498,0.128293,False,0.5165522499999999,0.125493,0.128288,-0.0027953,False,0.546871,0.376162,0.770214,0.556386,0.705625,0.479979,0.728994,0.587968,0.432986,0.516842,0.69072,0.675988,0.230543,0.351081,0.309751,0.304726,0.335716,0.335707,1.13954,1.13952,
15,initial_eval,15,0,False,False,0.0995243,0.103589,-0.00406479,0.133114,0.137296,0.000119977,5.51723e-05,0.0995303,0.103595,False,0.38124737499999994,0.0995243,0.103589,-0.00406479,False,0.590287,0.244393,0.770218,0.298306,0.250263,0.299201,0.262357,0.345688,0.495225,0.36531,0.737473,0.378855,0.213742,0.22478,0.442526,0.181334,0.336202,0.336182,1.13993,1.13993,
16,initial_eval,16,0,False,False,0.0794353,0.0820344,-0.00259908,0.112404,0.115082,0.00115864,0.00104246,0.0794419,0.0820408,False,0.2921211,0.0794353,0.0820344,-0.00259908,False,0.295627,0.370773,0.284352,0.315015,0.21828,0.459173,0.351915,0.486326,0.218155,0.167402,0.407356,0.1094,0.0866546,0.39984,0.155929,0.34774,0.33638,0.336349,1.13993,1.13993,
