cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0767128,0.0775061,-0.000793313,0.1096,0.110417,0.018992,0.0189622,0.0767194,0.0775126,False,0.11001087500000001,0.0767128,0.0775061,-0.000793313,False,0.110025,0.110023,0.109969,0.110027,0.110024,0.109966,0.110028,0.110025,0.337463,0.337466,1.21909,1.21909,
1,initial_eval,1,0,False,False,0.0767008,0.077494,-0.000793238,0.109587,0.110405,0.0189928,0.0189629,0.0767074,0.0775006,False,0.10999874999999999,0.0767008,0.077494,-0.000793238,False,0.110013,0.110011,0.109957,0.110014,0.110012,0.109954,0.110016,0.110013,0.337464,0.337466,1.20899,1.20898,
2,initial_eval,2,0,False,False,0.0766886,0.0774818,-0.000793164,0.109575,0.110392,0.0189935,0.0189637,0.0766952,0.0774883,False,0.10998625,0.0766886,0.0774818,-0.000793164,False,0.110001,0.109998,0.109944,0.110002,0.109999,0.109942,0.110003,0.110001,0.337464,0.337467,1.19897,1.19895,
3,initial_eval,3,0,False,False,0.0766767,0.0774698,-0.000793091,0.109563,0.11038,0.0189943,0.0189644,0.0766834,0.0774764,False,0.109973875,0.0766767,0.0774698,-0.000793091,False,0.109988,0.109986,0.109932,0.10999,0.109987,0.109929,0.109991,0.109988,0.337464,0.337467,1.18903,1.189,
4,initial_eval,4,0,False,False,0.0766648,0.0774578,-0.000793016,0.10955,0.110368,0.018995,0.0189651,0.0766714,0.0774644,False,0.10996175000000001,0.0766648,0.0774578,-0.000793016,False,0.109976,0.109974,0.10992,0.109977,0.109975,0.109917,0.109979,0.109976,0.337464,0.337467,1.17916,1.17913,
5,initial_eval,5,0,False,False,0.0766529,0.0774458,-0.000792943,0.109538,0.110355,0.0189957,0.0189659,0.0766595,0.0774524,False,0.10994925,0.0766529,0.0774458,-0.000792943,False,0.109964,0.109961,0.109907,0.109965,0.109962,0.109905,0.109966,0.109964,0.337464,0.337467,1.16938,1.16934,
6,initial_eval,6,0,False,False,0.0766409,0.0774338,-0.000792867,0.109526,0.110343,0.0189965,0.0189666,0.0766475,0.0774404,False,0.109936875,0.0766409,0.0774338,-0.000792867,False,0.109951,0.109949,0.109895,0.109953,0.10995,0.109892,0.109954,0.109951,0.337465,0.337467,1.15967,1.15963,
7,initial_eval,7,0,False,False,0.0766292,0.077422,-0.000792792,0.109514,0.110331,0.0189972,0.0189674,0.0766358,0.0774286,False,0.10992475,0.0766292,0.077422,-0.000792792,False,0.109939,0.109937,0.109883,0.10994,0.109938,0.10988,0.109942,0.109939,0.337465,0.337467,1.15005,1.15,
8,initial_eval,8,1,False,False,0.07741,0.0766173,0.000792717,0.109501,0.110318,0.018998,0.0189681,0.0766239,0.0774166,True,0.10991225,0.07741,0.0766173,0.000792717,True,0.109927,0.109924,0.10987,0.109928,0.109925,0.109868,0.109929,0.109927,0.337465,0.337468,1.1405,1.14044,
9,initial_eval,9,1,False,False,0.077398,0.0766054,0.000792643,0.109489,0.110306,0.0189987,0.0189688,0.076612,0.0774046,True,0.10989987500000001,0.077398,0.0766054,0.000792643,True,0.109914,0.109912,0.109858,0.109916,0.109913,0.109855,0.109917,0.109914,0.337465,0.337468,1.13982,1.13982,
10,initial_eval,10,1,False,False,0.0773857,0.0765932,0.000792569,0.109477,0.110293,0.0189994,0.0189696,0.0765998,0.0773923,True,0.10988775,0.0773857,0.0765932,0.000792569,True,0.109902,0.1099,0.109846,0.109903,0.109901,0.109843,0.109905,0.109902,0.337465,0.337468,1.13982,1.13982,
11,initial_eval,11,1,False,False,0.077374,0.0765815,0.000792494,0.109464,0.110281,0.0190002,0.0189703,0.0765881,0.0773806,True,0.10987525000000001,0.077374,0.0765815,0.000792494,True,0.10989,0.109887,0.109833,0.109891,0.109888,0.109831,0.109892,0.10989,0.337465,0.337468,1.13982,1.13982,
12,initial_eval,12,1,False,False,0.0777302,0.0769265,0.000803696,0.10982,0.110648,0.0190075,0.0189776,0.076933,0.0777367,True,0.1103945,0.0777302,0.0769265,0.000803696,True,0.110536,0.110249,0.110194,0.110827,0.11025,0.110191,0.110658,0.110251,0.337467,0.33747,1.13981,1.13981,
13,initial_eval,13,1,False,False,0.0773497,0.0765574,0.000792345,0.10944,0.110256,0.0190017,0.0189718,0.076564,0.0773563,True,0.10985075,0.0773497,0.0765574,0.000792345,True,0.109865,0.109863,0.109809,0.109866,0.109864,0.109806,0.109868,0.109865,0.337466,0.337469,1.13982,1.13982,
14,initial_eval,14,1,False,False,0.0773377,0.0765455,0.000792271,0.109428,0.110244,0.0190024,0.0189725,0.0765521,0.0773443,True,0.10983825,0.0773377,0.0765455,0.000792271,True,0.109853,0.10985,0.109796,0.109854,0.109851,0.109794,0.109855,0.109853,0.337466,0.337469,1.13982,1.13982,
15,initial_eval,15,1,False,False,0.0773902,0.076596,0.000794233,0.10948,0.110298,0.0190039,0.0189741,0.0766026,0.0773968,True,0.10991937500000001,0.0773902,0.076596,0.000794233,True,0.109917,0.109904,0.109849,0.110038,0.109905,0.109847,0.109989,0.109906,0.337466,0.337469,1.13982,1.13982,
16,train,0,0,True,True,0.0765216,0.0773137,-0.000792122,0.109403,0.110219,0.0190039,0.018974,0.0765282,0.0773203,False,0.10981375,0.0765216,0.0773137,-0.000792122,False,0.109828,0.109826,0.109772,0.109829,0.109827,0.109769,0.109831,0.109828,0.337508,0.337511,1.2,3.02673e-07,1.04498
17,train,1,0,True,True,0.0662,0.0663449,-0.000144892,0.0987653,0.0989146,0.0197077,0.0196874,0.0662073,0.0663522,False,0.09884048749999999,0.0662,0.0663449,-0.000144892,False,0.0988433,0.0988429,0.0988322,0.0988436,0.0988431,0.0988316,0.0988439,0.0988433,0.337686,0.337703,1.2,3.02727e-07,1.04498
18,train,2,0,True,True,0.0614269,0.0614831,-5.61374e-05,0.0938452,0.093903,0.0200666,0.0200448,0.0614345,0.0614907,False,0.0938743375,0.0614269,0.0614831,-5.61374e-05,False,0.0938755,0.0938753,0.093871,0.0938756,0.0938754,0.0938707,0.0938757,0.0938755,0.337786,0.337807,1.2,3.02763e-07,1.04498
