cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0336543,0.0366184,-0.0029641,0.147247,0.151718,0.000280808,0.000262562,0.0189805,0.0188437,False,0.411487625,0.0336543,0.0366184,-0.0029641,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335933,1.21959,1.21957,
1,initial_eval,1,0,False,False,0.0331144,0.0361151,-0.00300072,0.145443,0.149965,9.12431e-05,4.82204e-05,0.0192075,0.0191375,False,0.40603550000000005,0.0331144,0.0361151,-0.00300072,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.20983,1.20979,
2,initial_eval,2,0,False,False,0.0327058,0.0369995,-0.00429361,0.145185,0.151655,0.0112839,0.0112794,0.0136037,0.0135732,False,0.40229125000000004,0.0327058,0.0369995,-0.00429361,False,0.77022,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.334026,0.334022,1.20014,1.20007,
3,initial_eval,3,0,False,False,0.0408177,0.0424971,-0.00167945,0.170457,0.173015,-0.00263375,-0.00264533,0.0205176,0.0203268,False,0.501820375,0.0408177,0.0424971,-0.00167945,False,0.432994,0.77022,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.3356,1.19045,1.19038,
4,initial_eval,4,0,False,False,0.0475601,0.0450521,0.00250804,0.189446,0.1856,-0.00267157,-0.00264397,0.0199027,0.0199987,True,0.607565,0.0475601,0.0450521,0.00250804,True,0.608103,0.77022,0.77022,0.645065,0.08,0.77022,0.446472,0.77022,0.335665,0.335663,1.1808,1.18077,
5,initial_eval,5,0,False,False,0.0402953,0.0462923,-0.00599698,0.172464,0.181612,-0.000551548,-0.000650833,0.0189976,0.0188917,False,0.54561675,0.0402953,0.0462923,-0.00599698,False,0.77022,0.770218,0.608497,0.77022,0.409299,0.234623,0.168272,0.633585,0.335886,0.335883,1.17134,1.17123,
6,initial_eval,6,0,False,False,0.0466483,0.0442514,0.00239688,0.18645,0.182779,-0.00131136,-0.00130758,0.0193699,0.0195008,True,0.5987825,0.0466483,0.0442514,0.00239688,True,0.541098,0.770219,0.770218,0.700955,0.34338,0.77022,0.123952,0.770218,0.335773,0.335768,1.16185,1.16179,
7,initial_eval,7,0,False,False,0.0399138,0.0444379,-0.00452414,0.169908,0.176801,0.000100359,-1.84658e-05,0.0188225,0.0188552,False,0.472513625,0.0399138,0.0444379,-0.00452414,False,0.699475,0.770219,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.33592,0.335908,1.15254,1.15242,
8,initial_eval,8,1,False,False,0.0289519,0.0269958,0.0019561,0.12368,0.126599,0.00354948,0.00354269,0.0167351,0.0165823,True,0.24862142500000003,0.0289519,0.0269958,0.0019561,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336523,0.336534,1.14332,1.14321,
9,initial_eval,9,1,False,False,0.0304239,0.0270988,0.00332511,0.125251,0.130217,0.00301605,0.00287952,0.0161454,0.0163242,True,0.21884825,0.0304239,0.0270988,0.00332511,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336665,0.336633,1.13992,1.13991,
10,initial_eval,10,1,False,False,0.0379391,0.033439,0.00450013,0.147858,0.154648,-0.000179518,-0.000278149,0.0192726,0.019239,True,0.433851125,0.0379391,0.033439,0.00450013,True,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335859,0.33585,1.13991,1.13987,
11,initial_eval,11,1,False,False,0.0389248,0.0336084,0.00531642,0.149132,0.157158,0.0010366,0.000967894,0.018255,0.0181615,True,0.41241312500000005,0.0389248,0.0336084,0.00531642,True,0.248555,0.648564,0.26177,0.516055,0.77022,0.300008,0.152067,0.402066,0.336084,0.336079,1.13991,1.13987,
12,initial_eval,12,1,False,False,0.0253843,0.0237328,0.00165158,0.112294,0.114746,0.00380766,0.00381057,0.0164781,0.0164287,True,0.255205325,0.0253843,0.0237328,0.00165158,True,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336617,0.336616,1.13991,1.13993,
13,initial_eval,13,1,False,False,0.036297,0.0336003,0.00269672,0.146825,0.150891,0.00296571,0.00292305,0.0172906,0.0172029,True,0.33974525,0.036297,0.0336003,0.00269672,True,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336332,0.336336,1.13991,1.13988,
14,initial_eval,14,1,False,False,0.0402642,0.0358959,0.00436835,0.156106,0.162721,0.00154617,0.00150944,0.0176338,0.0174073,True,0.31755345,0.0402642,0.0358959,0.00436835,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.77022,0.26136,0.336243,0.336255,1.13988,1.13985,
15,initial_eval,15,1,False,False,0.0368335,0.0332892,0.00354435,0.146518,0.151862,0.00215488,0.00219599,0.0173968,0.0170718,True,0.25858512499999997,0.0368335,0.0332892,0.00354435,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336321,0.336347,1.13992,1.13991,
16,train,0,0,True,True,0.0336494,0.0366141,-0.00296476,0.147231,0.151703,0.000280808,0.000262544,0.0189811,0.0188442,False,0.411487625,0.0336494,0.0366141,-0.00296476,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.33597,0.335975,1.13991,1.13989,-4.5884e-12
17,train,8,1,True,True,0.0292985,0.0265105,0.00278803,0.122774,0.126933,0.00357527,0.00352579,0.0166847,0.0166461,True,0.24862142500000003,0.0292985,0.0265105,0.00278803,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336572,0.336567,1.13993,1.13993,-5.02835e-14
18,train,1,0,True,True,0.0327153,0.036063,-0.00334774,0.144391,0.149435,9.97081e-05,4.67214e-05,0.0192277,0.0191689,False,0.40603550000000005,0.0327153,0.036063,-0.00334774,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335917,0.335913,1.13993,1.13991,-5.51049e-16
