cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0336543,0.0366184,-0.0029641,0.147247,0.151718,0.147247,0.151718,0.0336543,0.0366184,False,0.411487625,0.0336543,0.0366184,-0.0029641,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335933,1.2193,1.21936,
1,initial_eval,1,0,False,False,0.0331144,0.0361151,-0.00300071,0.145443,0.149965,0.145443,0.149965,0.0331144,0.0361151,False,0.40603550000000005,0.0331144,0.0361151,-0.00300071,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.20881,1.20888,
2,initial_eval,2,0,False,False,0.0327058,0.0369994,-0.00429358,0.145185,0.151655,0.145184,0.151654,0.0327058,0.036999,False,0.402290875,0.0327058,0.0369994,-0.00429358,False,0.770217,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.334026,0.334022,1.19834,1.19844,
3,initial_eval,3,0,False,False,0.0408177,0.0424971,-0.00167942,0.170457,0.173015,0.170456,0.173014,0.0408175,0.0424966,False,0.5018201250000001,0.0408177,0.0424971,-0.00167942,False,0.432994,0.770218,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.3356,1.18786,1.18797,
4,initial_eval,4,0,False,False,0.0475601,0.0450521,0.002508,0.189446,0.1856,0.189444,0.185599,0.0475593,0.045052,True,0.607564,0.0475601,0.0450521,0.002508,True,0.608103,0.770218,0.770218,0.645065,0.08,0.770218,0.446472,0.770218,0.335665,0.335663,1.17739,1.17744,
5,initial_eval,5,0,False,False,0.0402953,0.0462922,-0.00599687,0.172464,0.181612,0.172463,0.181609,0.0402955,0.0462912,False,0.5456156249999999,0.0402953,0.0462922,-0.00599687,False,0.770217,0.770215,0.608497,0.770217,0.409299,0.234623,0.168272,0.633585,0.335886,0.335883,1.1671,1.16727,
6,initial_eval,6,0,False,False,0.0466482,0.0442514,0.00239682,0.18645,0.182779,0.186448,0.182778,0.0466474,0.0442513,True,0.598781375,0.0466482,0.0442514,0.00239682,True,0.541098,0.770217,0.770216,0.700955,0.34338,0.770217,0.123952,0.770216,0.335773,0.335768,1.15686,1.15694,
7,initial_eval,7,0,False,False,0.0399138,0.0444379,-0.00452411,0.169908,0.176801,0.169907,0.1768,0.0399136,0.0444374,False,0.47251325,0.0399138,0.0444379,-0.00452411,False,0.699475,0.770216,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.33592,0.335908,1.14677,1.14695,
8,initial_eval,8,1,False,False,0.0289519,0.0269958,0.0019561,0.12368,0.126599,0.12368,0.126599,0.0269958,0.0289519,True,0.24862142500000003,0.0289519,0.0269958,0.0019561,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336523,0.336534,1.14027,1.14028,
9,initial_eval,9,1,False,False,0.0304239,0.0270988,0.00332511,0.125251,0.130217,0.125251,0.130217,0.0270988,0.0304239,True,0.21884825,0.0304239,0.0270988,0.00332511,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336665,0.336633,1.14014,1.14017,
10,initial_eval,10,1,False,False,0.0379391,0.0334389,0.00450013,0.147858,0.154648,0.147858,0.154648,0.0334389,0.0379391,True,0.433851125,0.0379391,0.0334389,0.00450013,True,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335859,0.33585,1.14025,1.14028,
11,initial_eval,11,1,False,False,0.0389247,0.0336083,0.00531638,0.149132,0.157158,0.149131,0.157157,0.0336082,0.0389242,True,0.41241275000000005,0.0389247,0.0336083,0.00531638,True,0.248555,0.648564,0.26177,0.516055,0.770217,0.300008,0.152067,0.402066,0.336084,0.336079,1.1402,1.14022,
