cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0336543,0.0366184,-0.0029641,0.147247,0.151718,0.147247,0.151718,0.0336543,0.0366184,False,0.411487625,0.0336543,0.0366184,-0.0029641,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.2192,1.21925,
1,initial_eval,1,0,False,False,0.0331144,0.0361151,-0.00300071,0.145443,0.149965,0.145443,0.149965,0.0331144,0.0361151,False,0.40603550000000005,0.0331144,0.0361151,-0.00300071,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.20871,1.20878,
2,initial_eval,2,0,False,False,0.0327058,0.0369994,-0.00429358,0.145185,0.151655,0.145184,0.151654,0.0327058,0.036999,False,0.402290875,0.0327058,0.0369994,-0.00429358,False,0.770217,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335807,0.33581,1.19824,1.19834,
3,initial_eval,3,0,False,False,0.0408177,0.0424971,-0.00167943,0.170457,0.173015,0.170456,0.173014,0.0408175,0.0424966,False,0.5018201250000001,0.0408177,0.0424971,-0.00167943,False,0.432994,0.770218,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.18776,1.18787,
4,initial_eval,4,0,False,False,0.0475601,0.0450521,0.00250801,0.189446,0.1856,0.189444,0.185599,0.0475593,0.0450519,True,0.6075645,0.0475601,0.0450521,0.00250801,True,0.608103,0.770219,0.770219,0.645065,0.08,0.770219,0.446472,0.770219,0.335664,0.335663,1.17729,1.17734,
5,initial_eval,5,0,False,False,0.0402953,0.0462922,-0.00599687,0.172464,0.181612,0.172463,0.181609,0.0402955,0.0462912,False,0.5456156249999999,0.0402953,0.0462922,-0.00599687,False,0.770217,0.770215,0.608497,0.770217,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.167,1.16717,
6,initial_eval,6,0,False,False,0.0466482,0.0442514,0.00239682,0.18645,0.182779,0.186448,0.182778,0.0466474,0.0442513,True,0.598781375,0.0466482,0.0442514,0.00239682,True,0.541098,0.770217,0.770216,0.700955,0.34338,0.770217,0.123952,0.770216,0.335773,0.335768,1.15676,1.15684,
7,initial_eval,7,0,False,False,0.0399138,0.0444379,-0.00452411,0.169908,0.176801,0.169907,0.1768,0.0399136,0.0444374,False,0.47251325,0.0399138,0.0444379,-0.00452411,False,0.699475,0.770216,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.14668,1.14685,
8,initial_eval,8,1,False,False,0.0289519,0.0269958,0.0019561,0.12368,0.126599,0.12368,0.126599,0.0269958,0.0289519,True,0.24862142500000003,0.0289519,0.0269958,0.0019561,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.14027,1.14028,
9,initial_eval,9,1,False,False,0.0304239,0.0270988,0.00332511,0.125251,0.130217,0.125251,0.130217,0.0270988,0.0304239,True,0.21884825,0.0304239,0.0270988,0.00332511,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.14014,1.14017,
