cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0336543,0.0366184,-0.0029641,0.147247,0.151718,0.147247,0.151718,0.0336543,0.0366184,False,0.411487625,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0243858,0.0252709,-0.000885086,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.21878,1.21884,
1,initial_eval,1,0,False,False,0.0331144,0.0361151,-0.00300071,0.145443,0.149965,0.145443,0.149965,0.0331144,0.0361151,False,0.40603550000000005,0.0331144,0.0361151,-0.00300071,False,0.0331144,0.0361151,-0.00300071,False,0.0331144,0.0361151,-0.00300071,False,0.0242148,0.0250988,-0.000883959,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.20841,1.20849,
2,initial_eval,2,0,False,False,0.0327058,0.0369983,-0.00429243,0.145184,0.151652,0.145184,0.151654,0.0327058,0.036999,False,0.4022775,0.0327058,0.0369983,-0.00429243,False,0.0327058,0.0369989,-0.00429306,False,0.0327058,0.0369994,-0.00429358,False,0.0242324,0.0255218,-0.00128933,False,0.77011,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335807,0.33581,1.19787,1.19797,
3,initial_eval,3,0,False,False,0.0408174,0.0424959,-0.00167856,0.170455,0.173012,0.170456,0.173014,0.0408175,0.0424966,False,0.501806875,0.0408174,0.0424959,-0.00167856,False,0.0408175,0.0424966,-0.00167904,False,0.0408177,0.0424971,-0.00167943,False,0.0280165,0.0284,-0.000383532,False,0.432994,0.770112,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.18741,1.18752,
4,initial_eval,4,0,False,False,0.047558,0.0450518,0.00250621,0.189441,0.185598,0.189444,0.185599,0.0475593,0.0450519,True,0.6075115000000001,0.047558,0.0450518,0.00250621,True,0.0475591,0.0450519,0.0025072,True,0.0475601,0.0450521,0.00250801,True,0.029963,0.0292215,0.000741494,True,0.608103,0.770113,0.770113,0.645065,0.08,0.770113,0.446472,0.770113,0.335664,0.335663,1.17693,1.17699,
5,initial_eval,5,0,False,False,0.0402958,0.0462896,-0.00599378,0.172463,0.181606,0.172463,0.181609,0.0402955,0.0462912,False,0.5455754999999999,0.0402958,0.0462896,-0.00599378,False,0.0402955,0.046291,-0.00599548,False,0.0402953,0.0462922,-0.00599687,False,0.0268113,0.0287878,-0.00197653,False,0.77011,0.770108,0.608497,0.77011,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.16665,1.16682,
6,initial_eval,6,0,False,False,0.046646,0.0442511,0.0023949,0.186444,0.182777,0.186448,0.182778,0.0466474,0.0442513,True,0.5987279999999999,0.046646,0.0442511,0.0023949,True,0.0466472,0.0442513,0.00239596,True,0.0466482,0.0442514,0.00239682,True,0.0292903,0.0285702,0.00072011,True,0.541098,0.77011,0.770109,0.700955,0.34338,0.770111,0.123952,0.770109,0.335773,0.335768,1.15641,1.1565,
7,initial_eval,7,0,False,False,0.0399134,0.0444366,-0.00452313,0.169906,0.176798,0.169907,0.1768,0.0399136,0.0444374,False,0.47249975,0.0399134,0.0444366,-0.00452313,False,0.0399136,0.0444373,-0.00452367,False,0.0399138,0.0444379,-0.00452411,False,0.0266014,0.0281737,-0.00157223,False,0.699475,0.770108,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.14633,1.14651,
8,initial_eval,8,1,False,False,0.0289519,0.0269958,0.0019561,0.12368,0.126599,0.12368,0.126599,0.0269958,0.0289519,True,0.24862142500000003,0.0289519,0.0269958,0.0019561,True,0.0289519,0.0269958,0.0019561,True,0.0289519,0.0269958,0.0019561,True,0.0208155,0.0203275,0.000488093,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.14027,1.14027,
9,initial_eval,9,1,False,False,0.0304239,0.0270988,0.00332511,0.125251,0.130217,0.125251,0.130217,0.0270988,0.0304239,True,0.21884825,0.0304239,0.0270988,0.00332511,True,0.0304239,0.0270988,0.00332511,True,0.0304239,0.0270988,0.00332511,True,0.0211932,0.0199908,0.00120243,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.14014,1.14016,
