cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0336543,0.0366184,-0.0029641,0.147247,0.151718,0.147247,0.151718,0.0336543,0.0366184,False,0.411487625,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0243858,0.0252709,-0.000885086,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.2192,1.21925,
1,initial_eval,1,0,False,False,0.0331145,0.0361153,-0.00300073,0.145443,0.149965,0.145443,0.149965,0.0331145,0.0361153,False,0.40603550000000005,0.0331145,0.0361153,-0.00300073,False,0.0331145,0.0361153,-0.00300074,False,0.0331145,0.0361153,-0.00300074,False,0.0242149,0.0250988,-0.000883961,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.20871,1.20878,
2,initial_eval,2,0,False,False,0.0327061,0.0369985,-0.00429247,0.145184,0.151653,0.145185,0.151655,0.0327061,0.0369992,False,0.4022775,0.0327061,0.0369985,-0.00429247,False,0.0327061,0.0369992,-0.0042931,False,0.0327061,0.0369997,-0.00429361,False,0.0242325,0.0255218,-0.00128933,False,0.77011,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335807,0.33581,1.19824,1.19834,
3,initial_eval,3,0,False,False,0.0408176,0.0424962,-0.0016786,0.170456,0.173013,0.170457,0.173015,0.0408178,0.0424969,False,0.501806875,0.0408176,0.0424962,-0.0016786,False,0.0408178,0.0424968,-0.00167908,False,0.0408179,0.0424974,-0.00167946,False,0.0280165,0.0284001,-0.000383534,False,0.432994,0.770112,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.18776,1.18787,
4,initial_eval,4,0,False,False,0.0475582,0.0450521,0.00250614,0.189442,0.185599,0.189445,0.1856,0.0475595,0.0450523,True,0.6075115000000001,0.0475582,0.0450521,0.00250614,True,0.0475594,0.0450523,0.00250714,True,0.0475603,0.0450524,0.00250795,True,0.0299631,0.0292216,0.000741487,True,0.608103,0.770113,0.770113,0.645065,0.08,0.770113,0.446472,0.770113,0.335664,0.335663,1.17729,1.17734,
5,initial_eval,5,0,False,False,0.0402962,0.04629,-0.00599384,0.172464,0.181607,0.172465,0.181611,0.0402959,0.0462917,False,0.5455754999999999,0.0402962,0.04629,-0.00599384,False,0.0402959,0.0462915,-0.00599555,False,0.0402957,0.0462927,-0.00599694,False,0.0268114,0.028788,-0.00197654,False,0.77011,0.770108,0.608497,0.77011,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.167,1.16717,
6,initial_eval,6,0,False,False,0.0466464,0.0442516,0.0023948,0.186446,0.182778,0.18645,0.18278,0.0466478,0.0442518,True,0.5987279999999999,0.0466464,0.0442516,0.0023948,True,0.0466476,0.0442518,0.00239586,True,0.0466486,0.0442519,0.00239672,True,0.0292905,0.0285704,0.000720098,True,0.541098,0.77011,0.770109,0.700955,0.34338,0.770111,0.123952,0.770109,0.335773,0.335768,1.15676,1.15684,
7,initial_eval,7,0,False,False,0.0399141,0.0444373,-0.00452324,0.169908,0.1768,0.16991,0.176802,0.0399143,0.0444381,False,0.47249975,0.0399141,0.0444373,-0.00452324,False,0.0399142,0.044438,-0.00452378,False,0.0399144,0.0444386,-0.00452421,False,0.0266016,0.0281739,-0.00157224,False,0.699475,0.770108,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.14668,1.14685,
8,initial_eval,8,1,False,False,0.0289536,0.0269973,0.0019563,0.123685,0.126604,0.123685,0.126604,0.0269973,0.0289536,True,0.24862142500000003,0.0289536,0.0269973,0.0019563,True,0.0289536,0.0269973,0.0019563,True,0.0289536,0.0269973,0.0019563,True,0.020816,0.0203279,0.000488118,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.14027,1.14028,
9,initial_eval,9,1,False,False,0.0304261,0.0271007,0.00332537,0.125258,0.130224,0.125258,0.130224,0.0271007,0.0304261,True,0.21884825,0.0304261,0.0271007,0.00332537,True,0.0304261,0.0271007,0.00332537,True,0.030426,0.0271007,0.00332537,True,0.0211938,0.0199913,0.00120246,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.14014,1.14017,
