cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0336543,0.0366184,-0.0029641,0.147247,0.151718,0.147247,0.151718,0.0336543,0.0366184,False,0.411487625,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0243858,0.0252709,-0.000885086,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.22091,1.22091,
1,initial_eval,1,0,False,False,0.0331144,0.0361151,-0.00300071,0.145443,0.149965,0.145443,0.149965,0.0331144,0.0361151,False,0.40603550000000005,0.0331144,0.0361151,-0.00300071,False,0.0331144,0.0361151,-0.00300071,False,0.0331144,0.0361151,-0.00300071,False,0.0242148,0.0250988,-0.000883959,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.20972,1.20972,
2,initial_eval,2,0,False,False,0.0327058,0.0369983,-0.00429248,0.145184,0.151653,0.145184,0.151654,0.0327058,0.036999,False,0.402278,0.0327058,0.0369983,-0.00429248,False,0.0327058,0.0369989,-0.0042931,False,0.0327058,0.0369994,-0.0042936,False,0.0242324,0.0255218,-0.00128934,False,0.770114,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335807,0.33581,1.19856,1.19856,
3,initial_eval,3,0,False,False,0.0408174,0.042496,-0.00167859,0.170455,0.173012,0.170456,0.173014,0.0408175,0.0424966,False,0.50180725,0.0408174,0.042496,-0.00167859,False,0.0408175,0.0424966,-0.00167906,False,0.0408177,0.0424971,-0.00167944,False,0.0280165,0.0284,-0.000383538,False,0.432994,0.770115,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.18748,1.18748,
4,initial_eval,4,0,False,False,0.047558,0.0450518,0.00250623,0.189441,0.185598,0.189444,0.185599,0.0475593,0.045052,True,0.6075119999999998,0.047558,0.0450518,0.00250623,True,0.0475592,0.0450519,0.00250722,True,0.0475601,0.0450521,0.00250803,True,0.029963,0.0292215,0.000741496,True,0.608103,0.770114,0.770114,0.645065,0.08,0.770114,0.446472,0.770114,0.335664,0.335663,1.1765,1.1765,
5,initial_eval,5,0,False,False,0.0402958,0.0462897,-0.00599392,0.172463,0.181606,0.172463,0.18161,0.0402955,0.0462913,False,0.5455773749999999,0.0402958,0.0462897,-0.00599392,False,0.0402955,0.0462911,-0.0059956,False,0.0402953,0.0462923,-0.00599697,False,0.0268113,0.0287879,-0.00197655,False,0.770115,0.770113,0.608497,0.770115,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.1656,1.1656,
6,initial_eval,6,0,False,False,0.0466461,0.0442511,0.00239496,0.186445,0.182777,0.186448,0.182778,0.0466475,0.0442513,True,0.59872975,0.0466461,0.0442511,0.00239496,True,0.0466473,0.0442513,0.00239601,True,0.0466483,0.0442514,0.00239687,True,0.0292903,0.0285702,0.000720115,True,0.541098,0.770114,0.770112,0.700955,0.34338,0.770114,0.123952,0.770113,0.335773,0.335768,1.15479,1.15479,
7,initial_eval,7,0,False,False,0.0399134,0.0444366,-0.00452318,0.169906,0.176798,0.169907,0.1768,0.0399136,0.0444374,False,0.472500375,0.0399134,0.0444366,-0.00452318,False,0.0399136,0.0444373,-0.0045237,False,0.0399138,0.0444379,-0.00452413,False,0.0266014,0.0281737,-0.00157224,False,0.699475,0.770113,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.14406,1.14406,
8,initial_eval,8,1,False,False,0.0289519,0.0269958,0.0019561,0.12368,0.126599,0.12368,0.126599,0.0269958,0.0289519,True,0.24862142500000003,0.0289519,0.0269958,0.0019561,True,0.0289519,0.0269958,0.0019561,True,0.0289519,0.0269958,0.0019561,True,0.0208155,0.0203275,0.000488093,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.14094,1.14094,
9,initial_eval,9,1,False,False,0.0304239,0.0270988,0.00332511,0.125251,0.130217,0.125251,0.130217,0.0270988,0.0304239,True,0.21884825,0.0304239,0.0270988,0.00332511,True,0.0304239,0.0270988,0.00332511,True,0.0304239,0.0270988,0.00332511,True,0.0211932,0.0199908,0.00120243,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.14095,1.14095,
