cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0336543,0.0366184,-0.0029641,0.147247,0.151718,0.147247,0.151718,0.0336543,0.0366184,False,0.411487625,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0243858,0.0252708,-0.000885087,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.2192,1.21925,
1,initial_eval,1,0,False,False,0.0331143,0.036115,-0.00300073,0.145442,0.149965,0.145442,0.149965,0.0331143,0.036115,False,0.40603550000000005,0.0331143,0.036115,-0.00300073,False,0.0331143,0.036115,-0.00300073,False,0.0331143,0.036115,-0.00300073,False,0.0242148,0.0250988,-0.000883967,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.20871,1.20878,
2,initial_eval,2,0,False,False,0.0327056,0.0369981,-0.0042925,0.145183,0.151652,0.145183,0.151653,0.0327056,0.0369987,False,0.4022775,0.0327056,0.0369981,-0.0042925,False,0.0327056,0.0369987,-0.00429313,False,0.0327056,0.0369992,-0.00429364,False,0.0242323,0.0255217,-0.00128936,False,0.77011,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335807,0.33581,1.19824,1.19834,
3,initial_eval,3,0,False,False,0.040817,0.0424956,-0.00167859,0.170454,0.173011,0.170455,0.173012,0.0408172,0.0424963,False,0.501806875,0.040817,0.0424956,-0.00167859,False,0.0408172,0.0424962,-0.00167907,False,0.0408173,0.0424967,-0.00167946,False,0.0280164,0.0283999,-0.000383555,False,0.432994,0.770112,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.18776,1.18787,
4,initial_eval,4,0,False,False,0.0475572,0.0450509,0.00250626,0.189438,0.185595,0.189441,0.185597,0.0475585,0.0450511,True,0.6075115000000001,0.0475572,0.0450509,0.00250626,True,0.0475584,0.0450511,0.00250726,True,0.0475593,0.0450512,0.00250807,True,0.0299628,0.0292213,0.000741466,True,0.608103,0.770113,0.770113,0.645065,0.08,0.770113,0.446472,0.770113,0.335664,0.335663,1.17729,1.17734,
5,initial_eval,5,0,False,False,0.0402947,0.0462888,-0.00599406,0.172459,0.181603,0.17246,0.181607,0.0402945,0.0462905,False,0.5455754999999999,0.0402947,0.0462888,-0.00599406,False,0.0402945,0.0462903,-0.00599577,False,0.0402943,0.0462914,-0.00599716,False,0.026811,0.0287876,-0.0019766,False,0.77011,0.770108,0.608497,0.77011,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.167,1.16717,
6,initial_eval,6,0,False,False,0.0466448,0.0442498,0.00239499,0.18644,0.182772,0.186444,0.182774,0.0466462,0.04425,True,0.5987279999999999,0.0466448,0.0442498,0.00239499,True,0.0466461,0.04425,0.00239605,True,0.0466471,0.0442502,0.00239691,True,0.0292899,0.0285698,0.000720065,True,0.541098,0.77011,0.770109,0.700955,0.34338,0.770111,0.123952,0.770109,0.335773,0.335768,1.15676,1.15684,
7,initial_eval,7,0,False,False,0.0399122,0.0444356,-0.00452341,0.169902,0.176794,0.169903,0.176796,0.0399124,0.0444364,False,0.47249975,0.0399122,0.0444356,-0.00452341,False,0.0399124,0.0444363,-0.00452395,False,0.0399125,0.0444369,-0.00452439,False,0.026601,0.0281734,-0.00157239,False,0.699475,0.770108,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.14668,1.14685,
8,initial_eval,8,1,False,False,0.0289511,0.026995,0.00195604,0.123677,0.126596,0.123677,0.126596,0.026995,0.0289511,True,0.24862142500000003,0.0289511,0.026995,0.00195604,True,0.0289511,0.026995,0.00195604,True,0.0289511,0.026995,0.00195604,True,0.0208153,0.0203272,0.000488098,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.14027,1.14028,
9,initial_eval,9,1,False,False,0.0304228,0.0270977,0.0033251,0.125248,0.130214,0.125248,0.130214,0.0270977,0.0304228,True,0.21884825,0.0304228,0.0270977,0.0033251,True,0.0304228,0.0270977,0.0033251,True,0.0304228,0.0270977,0.0033251,True,0.021193,0.0199905,0.00120249,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.14014,1.14017,
