cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0336543,0.0366184,-0.0029641,0.147247,0.151718,0.147247,0.151718,0.0336543,0.0366184,False,0.411487625,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0336543,0.0366184,-0.0029641,False,0.0243858,0.0252709,-0.000885088,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.22071,1.22075,
1,initial_eval,1,0,False,False,0.0331143,0.0361151,-0.00300074,0.145442,0.149965,0.145442,0.149965,0.0331143,0.0361151,False,0.40603550000000005,0.0331143,0.0361151,-0.00300074,False,0.0331143,0.0361151,-0.00300074,False,0.0331143,0.0361151,-0.00300074,False,0.0242148,0.0250988,-0.000883969,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.21023,1.2103,
2,initial_eval,2,0,False,False,0.0327057,0.0369982,-0.00429256,0.145183,0.151652,0.145184,0.151654,0.0327057,0.0369989,False,0.402278,0.0327057,0.0369982,-0.00429256,False,0.0327057,0.0369989,-0.00429318,False,0.0327057,0.0369994,-0.00429369,False,0.0242324,0.0255217,-0.00128938,False,0.770114,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335807,0.33581,1.1998,1.19992,
3,initial_eval,3,0,False,False,0.0408171,0.0424958,-0.00167864,0.170454,0.173011,0.170455,0.173013,0.0408173,0.0424965,False,0.50180725,0.0408171,0.0424958,-0.00167864,False,0.0408173,0.0424964,-0.00167911,False,0.0408174,0.0424969,-0.00167949,False,0.0280164,0.0283999,-0.000383561,False,0.432994,0.770115,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.18924,1.18935,
4,initial_eval,4,0,False,False,0.0475574,0.0450511,0.00250627,0.189439,0.185596,0.189442,0.185597,0.0475587,0.0450513,True,0.6075125,0.0475574,0.0450511,0.00250627,True,0.0475585,0.0450513,0.00250726,True,0.0475595,0.0450514,0.00250806,True,0.0299628,0.0292213,0.000741466,True,0.608103,0.770115,0.770115,0.645065,0.08,0.770115,0.446472,0.770115,0.335664,0.335663,1.17874,1.17879,
5,initial_eval,5,0,False,False,0.0402949,0.0462892,-0.00599424,0.17246,0.181604,0.172461,0.181607,0.0402946,0.0462908,False,0.5455773749999999,0.0402949,0.0462892,-0.00599424,False,0.0402947,0.0462906,-0.00599592,False,0.0402945,0.0462917,-0.00599729,False,0.026811,0.0287876,-0.00197662,False,0.770115,0.770113,0.608497,0.770115,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.16843,1.1686,
6,initial_eval,6,0,False,False,0.0466451,0.0442501,0.002395,0.186441,0.182773,0.186445,0.182775,0.0466465,0.0442503,True,0.59872975,0.0466451,0.0442501,0.002395,True,0.0466463,0.0442503,0.00239605,True,0.0466473,0.0442504,0.0023969,True,0.02929,0.0285699,0.000720064,True,0.541098,0.770114,0.770112,0.700955,0.34338,0.770114,0.123952,0.770113,0.335773,0.335768,1.15816,1.15825,
7,initial_eval,7,0,False,False,0.0399125,0.044436,-0.00452351,0.169903,0.176795,0.169905,0.176798,0.0399127,0.0444368,False,0.472500375,0.0399125,0.044436,-0.00452351,False,0.0399127,0.0444367,-0.00452404,False,0.0399128,0.0444373,-0.00452447,False,0.0266011,0.0281735,-0.0015724,False,0.699475,0.770113,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.14805,1.14823,
8,initial_eval,8,1,False,False,0.0289519,0.0269958,0.00195614,0.12368,0.126599,0.12368,0.126599,0.0269958,0.0289519,True,0.24862142500000003,0.0289519,0.0269958,0.00195614,True,0.0289519,0.0269958,0.00195614,True,0.0289519,0.0269958,0.00195614,True,0.0208156,0.0203274,0.00048811,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.14092,1.14097,
9,initial_eval,9,1,False,False,0.0304239,0.0270987,0.00332523,0.125251,0.130217,0.125251,0.130217,0.0270987,0.0304239,True,0.21884825,0.0304239,0.0270987,0.00332523,True,0.0304239,0.0270987,0.00332523,True,0.0304239,0.0270987,0.00332523,True,0.0211933,0.0199908,0.00120251,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.14089,1.14094,
10,initial_eval,10,1,False,False,0.0379387,0.0334381,0.00450056,0.147856,0.154646,0.147856,0.154646,0.0334381,0.0379387,True,0.433851125,0.0379387,0.0334381,0.00450056,True,0.0379387,0.0334381,0.00450056,True,0.0379387,0.0334381,0.00450056,True,0.0258714,0.024389,0.00148239,True,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335858,0.33585,1.14078,1.14086,
11,initial_eval,11,1,False,False,0.038923,0.0336071,0.00531592,0.149127,0.157153,0.149129,0.157155,0.0336073,0.0389238,True,0.41240000000000004,0.038923,0.0336071,0.00531592,True,0.0389237,0.0336073,0.00531645,True,0.0389243,0.0336075,0.00531688,True,0.0254622,0.0237865,0.00167574,True,0.248555,0.648564,0.26177,0.516055,0.770115,0.300008,0.152067,0.402066,0.336083,0.336079,1.14076,1.14084,
12,initial_eval,12,1,False,False,0.0253844,0.0237328,0.00165161,0.112294,0.114746,0.112294,0.114746,0.0237328,0.0253844,True,0.255205325,0.0253844,0.0237328,0.00165161,True,0.0253844,0.0237328,0.00165161,True,0.0253844,0.0237328,0.00165161,True,0.0194423,0.0189978,0.000444469,True,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336616,0.336615,1.14093,1.14097,
13,initial_eval,13,1,False,False,0.0362965,0.0335994,0.00269706,0.146822,0.150889,0.146822,0.150889,0.0335994,0.0362965,True,0.33974525,0.0362965,0.0335994,0.00269706,True,0.0362965,0.0335994,0.00269706,True,0.0362965,0.0335994,0.00269706,True,0.0241991,0.0232959,0.000903205,True,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336331,0.336334,1.14082,1.14087,
14,initial_eval,14,1,False,False,0.0402624,0.035895,0.00436737,0.156102,0.162716,0.156102,0.162717,0.0358947,0.0402628,True,0.317540325,0.0402624,0.035895,0.00436737,True,0.0402627,0.0358947,0.00436801,True,0.040263,0.0358944,0.00436854,True,0.025718,0.02445,0.00126795,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770115,0.26136,0.336241,0.336253,1.1407,1.14077,
15,initial_eval,15,1,False,False,0.036833,0.0332882,0.00354484,0.146515,0.15186,0.146515,0.15186,0.0332882,0.036833,True,0.25858512499999997,0.036833,0.0332882,0.00354484,True,0.036833,0.0332882,0.00354484,True,0.036833,0.0332882,0.00354484,True,0.0242412,0.023121,0.00112023,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336319,0.336345,1.14081,1.14087,
