cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.113157,0.117498,-0.00434177,0.147247,0.151718,0.147247,0.151718,0.113218,0.11756,False,0.411487625,0.113157,0.117498,-0.00434177,False,0.113213,0.117555,-0.00434183,False,0.113259,0.117601,-0.00434186,False,0.113269,0.117611,-0.00434177,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.2,1.16471e-09,
1,initial_eval,1,0,False,False,0.111404,0.115795,-0.00439148,0.145443,0.149965,0.145443,0.149965,0.111465,0.115857,False,0.40603550000000005,0.111404,0.115795,-0.00439148,False,0.11146,0.115852,-0.00439159,False,0.111506,0.115898,-0.00439167,False,0.111516,0.115908,-0.00439157,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.2,1.16471e-09,
2,initial_eval,2,0,False,False,0.111147,0.11742,-0.00627314,0.145184,0.151653,0.145185,0.151654,0.11121,0.117485,False,0.4022775,0.111147,0.11742,-0.00627314,False,0.111205,0.11748,-0.00627504,False,0.111252,0.117528,-0.00627659,False,0.111262,0.117539,-0.00627682,False,0.77011,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335807,0.33581,1.16471e-09,1.2,
3,initial_eval,3,0,False,False,0.13569,0.138168,-0.00247765,0.170455,0.173012,0.170456,0.173014,0.135754,0.138233,False,0.501806875,0.13569,0.138168,-0.00247765,False,0.135748,0.138228,-0.00247902,False,0.135796,0.138277,-0.00248015,False,0.135807,0.138287,-0.00248035,False,0.432994,0.770112,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.16471e-09,1.2,
4,initial_eval,4,0,False,False,0.154121,0.150401,0.00372078,0.189441,0.185598,0.189445,0.1856,0.154192,0.150468,True,0.6075115000000001,0.154121,0.150401,0.00372078,True,0.154184,0.15046,0.00372373,True,0.154235,0.150509,0.00372615,True,0.154246,0.150519,0.0037267,True,0.608103,0.770113,0.770113,0.645065,0.08,0.770113,0.446472,0.770113,0.335664,0.335663,1.2,1.16471e-09,
5,initial_eval,5,0,False,False,0.137644,0.146505,-0.00886072,0.172463,0.181607,0.172464,0.18161,0.13771,0.146576,False,0.5455754999999999,0.137644,0.146505,-0.00886072,False,0.137702,0.146568,-0.00886569,False,0.137749,0.146619,-0.00886976,False,0.137759,0.14663,-0.00887061,False,0.77011,0.770108,0.608497,0.77011,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.2,1.16471e-09,
6,initial_eval,6,0,False,False,0.151207,0.147658,0.00354948,0.186445,0.182777,0.186449,0.182779,0.151279,0.147726,True,0.5987279999999999,0.151207,0.147658,0.00354948,True,0.15127,0.147718,0.00355262,True,0.151322,0.147766,0.00355518,True,0.151333,0.147777,0.00355578,True,0.541098,0.77011,0.770109,0.700955,0.34338,0.770111,0.123952,0.770109,0.335773,0.335768,1.2,1.16471e-09,
7,initial_eval,7,0,False,False,0.135156,0.141844,-0.00668844,0.169907,0.176799,0.169909,0.176801,0.135223,0.141913,False,0.47249975,0.135156,0.141844,-0.00668844,False,0.135215,0.141905,-0.00669005,False,0.135263,0.141954,-0.00669136,False,0.135273,0.141965,-0.00669155,False,0.699475,0.770108,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.16471e-09,1.2,
8,initial_eval,8,1,False,False,0.0931142,0.0902805,0.00283369,0.123682,0.126602,0.123682,0.126602,0.0903433,0.0931771,True,0.24862142500000003,0.0931142,0.0902805,0.00283369,True,0.0931697,0.0903359,0.00283373,True,0.0932152,0.0903815,0.00283375,True,0.0932249,0.0903912,0.00283368,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.16471e-09,1.2,
9,initial_eval,9,1,False,False,0.0966271,0.0918065,0.00482054,0.125255,0.130221,0.125255,0.130221,0.0918694,0.0966901,True,0.21884825,0.0966271,0.0918065,0.00482054,True,0.0966827,0.091862,0.00482065,True,0.0967283,0.0919076,0.00482073,True,0.0967379,0.0919173,0.00482066,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.2,1.16471e-09,
