cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.113157,0.117498,-0.00434177,0.147247,0.151718,0.147247,0.151718,0.113218,0.11756,False,0.411487625,0.113157,0.117498,-0.00434177,False,0.113213,0.117555,-0.00434182,False,0.113259,0.117601,-0.00434186,False,0.113269,0.117611,-0.00434176,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.2,1.16471e-09,
1,initial_eval,1,0,False,False,0.111404,0.115796,-0.00439145,0.145443,0.149965,0.145443,0.149965,0.111466,0.115857,False,0.40603550000000005,0.111404,0.115796,-0.00439145,False,0.11146,0.115852,-0.00439155,False,0.111507,0.115898,-0.00439163,False,0.111517,0.115908,-0.00439153,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.2,1.16471e-09,
2,initial_eval,2,0,False,False,0.111148,0.117421,-0.00627302,0.145185,0.151653,0.145185,0.151655,0.11121,0.117485,False,0.4022775,0.111148,0.117421,-0.00627302,False,0.111205,0.11748,-0.00627492,False,0.111252,0.117529,-0.00627647,False,0.111262,0.117539,-0.00627671,False,0.77011,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.334025,0.334021,1.16471e-09,1.2,
3,initial_eval,3,0,False,False,0.135691,0.138168,-0.00247758,0.170456,0.173013,0.170457,0.173015,0.135754,0.138234,False,0.501806875,0.135691,0.138168,-0.00247758,False,0.135749,0.138228,-0.00247895,False,0.135797,0.138277,-0.00248007,False,0.135808,0.138288,-0.00248027,False,0.432994,0.770112,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.2,1.16471e-09,
4,initial_eval,4,0,False,False,0.154123,0.150403,0.00372075,0.189443,0.1856,0.189447,0.185602,0.154194,0.15047,True,0.6075115000000001,0.154123,0.150403,0.00372075,True,0.154186,0.150462,0.0037237,True,0.154237,0.150511,0.00372612,True,0.154248,0.150521,0.00372667,True,0.608103,0.770113,0.770113,0.645065,0.08,0.770113,0.446472,0.770113,0.335664,0.335663,1.16471e-09,1.2,
5,initial_eval,5,0,False,False,0.137647,0.146507,-0.00886026,0.172466,0.181609,0.172467,0.181612,0.137712,0.146578,False,0.5455754999999999,0.137647,0.146507,-0.00886026,False,0.137705,0.14657,-0.00886523,False,0.137752,0.146621,-0.0088693,False,0.137762,0.146632,-0.00887015,False,0.77011,0.770108,0.608497,0.77011,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.2,1.16471e-09,
6,initial_eval,6,0,False,False,0.151211,0.147661,0.00354943,0.186449,0.182781,0.186452,0.182783,0.151282,0.147729,True,0.5987279999999999,0.151211,0.147661,0.00354943,True,0.151273,0.147721,0.00355257,True,0.151325,0.14777,0.00355513,True,0.151336,0.14778,0.00355573,True,0.541098,0.77011,0.770109,0.700955,0.34338,0.770111,0.123952,0.770109,0.335773,0.335768,1.16471e-09,1.2,
7,initial_eval,7,0,False,False,0.135159,0.141847,-0.00668796,0.16991,0.176801,0.169911,0.176803,0.135225,0.141915,False,0.47249975,0.135159,0.141847,-0.00668796,False,0.135217,0.141907,-0.00668957,False,0.135266,0.141957,-0.00669088,False,0.135276,0.141967,-0.00669107,False,0.699475,0.770108,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.2,1.16471e-09,
8,initial_eval,8,1,False,False,0.0931142,0.0902805,0.00283363,0.123683,0.126602,0.123683,0.126602,0.0903434,0.093177,True,0.24862142500000003,0.0931142,0.0902805,0.00283363,True,0.0931696,0.090336,0.00283366,True,0.0932152,0.0903815,0.00283368,True,0.0932249,0.0903913,0.00283361,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.2,1.16471e-09,
9,initial_eval,9,1,False,False,0.0966271,0.0918068,0.00482036,0.125255,0.130221,0.125255,0.130221,0.0918697,0.0966901,True,0.21884825,0.0966271,0.0918068,0.00482036,True,0.0966827,0.0918623,0.00482047,True,0.0967284,0.0919078,0.00482055,True,0.096738,0.0919175,0.00482048,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.2,1.16471e-09,
