cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.164261,0.164383,-0.000122344,0.199735,0.19986,0.182932,0.182954,0.16427,0.164392,False,0.41148750000000006,0.164261,0.164383,-0.000122344,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00227581,0.00227547,2.48822e-45,3.69123e-45,
1,initial_eval,1,0,False,False,0.164262,0.16438,-0.000117425,0.199737,0.199857,0.182893,0.18291,0.164271,0.164389,False,0.406035125,0.164262,0.16438,-0.000117425,False,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00227639,0.00227613,5.98435e-93,2.48472e-69,
2,initial_eval,2,0,False,False,0.164684,0.165035,-0.000351522,0.20017,0.200532,0.183505,0.183798,0.164693,0.165044,False,0.40224437500000004,0.164684,0.165035,-0.000351522,False,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00226719,0.00226282,-2.8666e-69,-1.87048e-69,
3,initial_eval,3,0,False,False,0.163302,0.165872,-0.00256997,0.198749,0.201393,0.182032,0.184783,0.163312,0.165882,False,0.5017732500000001,0.163302,0.165872,-0.00256997,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00228946,0.00224825,-7.67362e-117,-5.0071e-117,
4,initial_eval,4,0,False,False,0.164302,0.164637,-0.000335341,0.199778,0.200122,0.182945,0.183367,0.164311,0.164647,False,0.6073775,0.164302,0.164637,-0.000335341,False,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.00227561,0.00226927,-2.05416e-164,1.33439e-61,
5,initial_eval,5,0,False,False,0.16329,0.16575,-0.00245933,0.198737,0.201267,0.182189,0.184699,0.1633,0.165759,False,0.545476,0.16329,0.16575,-0.00245933,False,0.769846,0.769842,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00228707,0.00224947,4.11263e-45,3.59255e-109,
6,initial_eval,6,0,False,False,0.164768,0.165744,-0.000976674,0.200256,0.201261,0.183726,0.184613,0.164777,0.165753,False,0.5985946249999999,0.164768,0.165744,-0.000976674,False,0.541098,0.769844,0.769842,0.700954,0.34338,0.769845,0.123952,0.769842,0.00226389,0.00225075,1.65163e-37,2.05432e-46,
7,initial_eval,7,0,False,False,0.163285,0.16574,-0.00245468,0.198731,0.201256,0.181817,0.184344,0.163294,0.165749,False,0.472466125,0.163285,0.16574,-0.00245468,False,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00229275,0.00225471,1.03034e-44,-1.11426e-44,
8,initial_eval,8,1,False,False,0.163486,0.162325,0.00116024,0.197744,0.198937,0.179585,0.180721,0.162334,0.163494,True,0.24862142500000003,0.163486,0.162325,0.00116024,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00232741,0.00230963,2.78651e-92,7.85755e-87,
9,initial_eval,9,1,False,False,0.16012,0.155219,0.00490036,0.190433,0.195474,0.172092,0.177031,0.155228,0.160129,True,0.21884825,0.16012,0.155219,0.00490036,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00245197,0.00236842,-2.78105e-69,2.09673e-69,
