cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.0498619,0.0499435,-8.15609e-05,0.199735,0.19986,0.182932,0.182954,0.0373189,0.0373405,False,0.41148750000000006,0.0498619,0.0499435,-8.15609e-05,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00227581,0.00227547,1.21988,1.21988,,,,,,,,,
1,initial_eval,1,0,False,False,0.0498634,0.0499417,-7.829e-05,0.199737,0.199857,0.182893,0.18291,0.0373203,0.03734,False,0.406035125,0.0498634,0.0499417,-7.829e-05,False,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00227639,0.00227613,1.21002,1.21001,,,,,,,,,
2,initial_eval,2,0,False,False,0.0499483,0.0501828,-0.000234475,0.20017,0.200532,0.183505,0.183798,0.0373952,0.0375159,False,0.40224437500000004,0.0499483,0.0501828,-0.000234475,False,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00226719,0.00226282,1.20023,1.20022,,,,,,,,,
3,initial_eval,3,0,False,False,0.0491317,0.0508465,-0.0017148,0.198749,0.201393,0.182032,0.184783,0.0368954,0.0379307,False,0.5017732500000001,0.0491317,0.0508465,-0.0017148,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00228946,0.00224825,1.19052,1.1905,,,,,,,,,
4,initial_eval,4,0,False,False,0.0498358,0.0500594,-0.00022365,0.199778,0.200122,0.182945,0.183367,0.0372943,0.0374458,False,0.6073775,0.0498358,0.0500594,-0.00022365,False,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.00227561,0.00226927,1.18089,1.18087,,,,,,,,,
5,initial_eval,5,0,False,False,0.0491477,0.0507887,-0.00164103,0.198737,0.201267,0.182189,0.184699,0.0369065,0.0378672,False,0.545476,0.0491477,0.0507887,-0.00164103,False,0.769846,0.769842,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00228707,0.00224947,1.17134,1.17131,,,,,,,,,
6,initial_eval,6,0,False,False,0.0498605,0.0505119,-0.000651375,0.200256,0.201261,0.183726,0.184613,0.0373492,0.0377028,False,0.5985946249999999,0.0498605,0.0505119,-0.000651375,False,0.541098,0.769844,0.769842,0.700954,0.34338,0.769845,0.123952,0.769842,0.00226389,0.00225075,1.16186,1.16183,,,,,,,,,
7,initial_eval,7,0,False,False,0.049147,0.0507849,-0.00163792,0.198731,0.201256,0.181817,0.184344,0.036907,0.0378718,False,0.472466125,0.049147,0.0507849,-0.00163792,False,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00229275,0.00225471,1.15246,1.15242,,,,,,,,,
8,initial_eval,8,1,False,False,0.0498627,0.049088,0.000774664,0.197744,0.198937,0.179585,0.180721,0.0368013,0.0372421,True,0.24862142500000003,0.0498627,0.049088,0.000774664,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00232741,0.00230963,1.14314,1.1431,,,,,,,,,
9,initial_eval,9,1,False,False,0.0495525,0.0462719,0.00328058,0.190433,0.195474,0.172092,0.177031,0.0351597,0.0370457,True,0.21884825,0.0495525,0.0462719,0.00328058,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00245197,0.00236842,1.14027,1.14024,,,,,,,,,
10,initial_eval,10,1,False,False,0.0509542,0.048808,0.00214619,0.198038,0.201346,0.181705,0.184889,0.0367387,0.0379667,True,0.433850625,0.0509542,0.048808,0.00214619,True,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00229445,0.00224668,1.14023,1.14023,,,,,,,,,
11,initial_eval,11,1,False,False,0.0504255,0.0497547,0.00067082,0.199914,0.200949,0.183631,0.184359,0.0373151,0.0376307,True,0.41236612500000003,0.0504255,0.0497547,0.00067082,True,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00226531,0.00225449,1.14024,1.14024,,,,,,,,,
12,initial_eval,12,1,False,False,0.0491414,0.0500439,-0.000902458,0.199433,0.198043,0.181054,0.180162,0.0418859,0.0414761,False,0.2552052,0.0491414,0.0500439,-0.000902458,False,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.00230447,0.00231835,1.14024,1.14025,,,,,,,,,
13,initial_eval,13,1,False,False,0.0503349,0.0491099,0.00122502,0.198231,0.200118,0.180776,0.182654,0.0368464,0.0375649,True,0.339744875,0.0503349,0.0491099,0.00122502,True,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.00230879,0.00228,1.14026,1.14025,,,,,,,,,
14,initial_eval,14,1,False,False,0.0496193,0.0489947,0.000624665,0.197289,0.198251,0.178962,0.179985,0.0367321,0.0371152,True,0.317506575,0.0496193,0.0489947,0.000624665,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769845,0.26136,0.00233728,0.00232112,1.14025,1.14025,,,,,,,,,
15,initial_eval,15,1,False,False,0.0488687,0.0489852,-0.000116587,0.196571,0.196391,0.177582,0.177452,0.0366751,0.036619,False,0.258585,0.0488687,0.0489852,-0.000116587,False,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.00235944,0.00236155,1.14025,1.14025,,,,,,,,,
16,train,0,0,True,True,0.0498523,0.0499358,-8.35374e-05,0.199704,0.199833,0.183016,0.18304,0.0373128,0.0373355,False,0.41148750000000006,0.0498523,0.0499358,-8.35374e-05,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00227454,0.00227417,1.2,3.41802e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
17,train,8,1,True,True,0.0317766,0.0903263,-0.0585498,0.259568,0.173425,0.256475,0.118913,0.0675067,0.026846,False,0.24862142500000003,0.0317766,0.0903263,-0.0585498,False,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00153151,0.00396813,3.32406e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
18,train,1,0,True,True,0.0541175,0.0622311,-0.00811366,0.221189,0.23383,0.198865,0.221302,0.0396072,0.0441359,False,0.406035125,0.0541175,0.0622311,-0.00811366,False,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00205867,0.00181514,1.2,3.36179e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
19,train,9,1,True,True,0.0328895,0.106003,-0.0731132,0.289972,0.183143,0.286893,0.13747,0.0774537,0.0274939,False,0.21884825,0.0328895,0.106003,-0.0731132,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00134936,0.00326115,3.31928e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
20,train,2,0,True,True,0.0614512,0.0597811,0.00167001,0.237479,0.234866,0.202367,0.226232,0.0415947,0.0441985,True,0.40224437500000004,0.0614512,0.0597811,0.00167001,True,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00201642,0.00176919,1.19999,3.36153e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
21,train,10,1,True,True,0.0384466,0.103954,-0.0655078,0.298775,0.200604,0.295731,0.16105,0.0754304,0.030674,False,0.433850625,0.0384466,0.103954,-0.0655078,False,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00130431,0.00266219,3.32008e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
