cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.0495932,0.0497038,-0.000110617,0.198848,0.199019,0.182175,0.182225,0.0371601,0.0371944,False,0.41148750000000006,0.0495932,0.0497038,-0.000110617,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00228728,0.00228651,1.21937,1.21937,,,,,,,,,
1,initial_eval,1,0,False,False,0.0494106,0.0495396,-0.000128979,0.198245,0.198443,0.181688,0.181755,0.0370525,0.0370947,False,0.406035125,0.0494106,0.0495396,-0.000128979,False,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00229471,0.00229368,1.20951,1.20951,,,,,,,,,
2,initial_eval,2,0,False,False,0.049294,0.0496822,-0.000388242,0.198088,0.198686,0.181826,0.182324,0.0370077,0.0372095,False,0.40224437500000004,0.049294,0.0496822,-0.000388242,False,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.0022926,0.00228501,1.19973,1.19973,,,,,,,,,
3,initial_eval,3,0,False,False,0.0483566,0.0500545,-0.0016979,0.1961,0.198715,0.179949,0.182063,0.0411244,0.0419981,False,0.5017732500000001,0.0483566,0.0500545,-0.0016979,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00232169,0.00228898,1.19004,1.19002,,,,,,,,,
4,initial_eval,4,0,False,False,0.0488486,0.0491542,-0.000305649,0.196498,0.196968,0.180271,0.180747,0.0367084,0.036888,False,0.6073775,0.0488486,0.0491542,-0.000305649,False,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.00231665,0.00230923,1.18041,1.1804,,,,,,,,,
5,initial_eval,5,0,False,False,0.0480737,0.0496533,-0.00157961,0.195032,0.197463,0.179524,0.181326,0.0409948,0.0417568,False,0.545476,0.0480737,0.0496533,-0.00157961,False,0.769846,0.769842,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00232838,0.00230028,1.17087,1.17084,,,,,,,,,
6,initial_eval,6,0,False,False,0.0485067,0.0492546,-0.000747821,0.195744,0.196895,0.180007,0.181024,0.0365357,0.0369372,False,0.5985944999999999,0.0485067,0.0492546,-0.000747821,False,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.00232078,0.00230493,1.1614,1.16137,,,,,,,,,
7,initial_eval,7,0,False,False,0.0477044,0.0493372,-0.00163285,0.193825,0.196337,0.178189,0.180276,0.0407656,0.0416033,False,0.472466125,0.0477044,0.0493372,-0.00163285,False,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00234965,0.00231657,1.15202,1.15198,,,,,,,,,
8,initial_eval,8,1,False,False,0.0484343,0.0475441,0.000890149,0.192603,0.193971,0.169032,0.169997,0.0403387,0.0408388,True,0.24862142500000003,0.0484343,0.0475441,0.000890149,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00250681,0.00248925,1.14271,1.14266,,,,,,,,,
9,initial_eval,9,1,False,False,0.048041,0.0449987,0.00304225,0.185895,0.190561,0.168323,0.173045,0.0343661,0.0361367,True,0.21884825,0.048041,0.0449987,0.00304225,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00251986,0.00243539,1.14029,1.14026,,,,,,,,,
10,initial_eval,10,1,False,False,0.0489994,0.0469176,0.0020818,0.191557,0.194757,0.176199,0.179383,0.0355791,0.0367787,True,0.433850625,0.0489994,0.0469176,0.0020818,True,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00238209,0.0023306,1.14025,1.14024,,,,,,,,,
11,initial_eval,11,1,False,False,0.0484852,0.0476427,0.000842469,0.192894,0.194189,0.178234,0.179106,0.0407583,0.0411337,True,0.41236612500000003,0.0484852,0.0476427,0.000842469,True,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00234893,0.00233499,1.14025,1.14025,,,,,,,,,
12,initial_eval,12,1,False,False,0.0475182,0.0475955,-7.72775e-05,0.191882,0.191763,0.17591,0.17537,0.0359619,0.0358084,False,0.2552052,0.0475182,0.0475955,-7.72775e-05,False,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.00238687,0.00239587,1.14027,1.14027,,,,,,,,,
13,initial_eval,13,1,False,False,0.0480947,0.0467941,0.0013006,0.190429,0.192427,0.17437,0.176289,0.0354583,0.0361891,True,0.339744875,0.0480947,0.0467941,0.0013006,True,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.00241271,0.00238061,1.14026,1.14025,,,,,,,,,
14,initial_eval,14,1,False,False,0.0474406,0.0466178,0.000822824,0.189392,0.190656,0.172597,0.173727,0.0353246,0.0357646,True,0.31750670000000003,0.0474406,0.0466178,0.000822824,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769846,0.26136,0.00244316,0.00242367,1.14026,1.14026,,,,,,,,,
15,initial_eval,15,1,False,False,0.0468584,0.0465348,0.000323633,0.188649,0.189146,0.171414,0.171596,0.0352533,0.0353571,True,0.258585,0.0468584,0.0465348,0.000323633,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.00246392,0.0024607,1.14026,1.14026,,,,,,,,,
16,train,0,0,True,True,0.0468949,0.047378,-0.000483122,0.190021,0.190763,0.174903,0.175348,0.0355363,0.0357382,False,0.41148750000000006,0.0468949,0.047378,-0.000483122,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00240371,0.00239623,1.2,3.35329e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
