cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.0496284,0.0497344,-0.000106001,0.198964,0.199127,0.182225,0.18227,0.0371807,0.037213,False,0.41148750000000006,0.0496284,0.0497344,-0.000106001,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00228652,0.00228583,1.21989,1.21988,,,,,,,,,
1,initial_eval,1,0,False,False,0.0494479,0.0495714,-0.000123493,0.198366,0.198557,0.181712,0.181773,0.0370749,0.0371145,False,0.406035125,0.0494479,0.0495714,-0.000123493,False,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00229435,0.00229341,1.21002,1.21002,,,,,,,,,
2,initial_eval,2,0,False,False,0.0493478,0.0497189,-0.000371092,0.198255,0.198827,0.181866,0.18234,0.0370402,0.0372326,False,0.40224437500000004,0.0493478,0.0497189,-0.000371092,False,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00229199,0.00228477,1.20024,1.20023,,,,,,,,,
3,initial_eval,3,0,False,False,0.0484156,0.050115,-0.00169943,0.196302,0.198919,0.179893,0.182623,0.0364648,0.0374868,False,0.5017732500000001,0.0484156,0.050115,-0.00169943,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00232257,0.00228047,1.19054,1.19052,,,,,,,,,
4,initial_eval,4,0,False,False,0.0489219,0.0492206,-0.000298695,0.196741,0.197201,0.180326,0.180798,0.036753,0.0369302,False,0.6073775,0.0489219,0.0492206,-0.000298695,False,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.00231578,0.00230844,1.18091,1.18089,,,,,,,,,
5,initial_eval,5,0,False,False,0.0481499,0.0497362,-0.00158628,0.195297,0.197739,0.179282,0.181649,0.0363198,0.0372262,False,0.545476,0.0481499,0.0497362,-0.00158628,False,0.769846,0.769842,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00233221,0.00229531,1.17137,1.17134,,,,,,,,,
6,initial_eval,6,0,False,False,0.0486062,0.049343,-0.000736847,0.196072,0.197206,0.180091,0.181092,0.0365973,0.0369927,False,0.5985944999999999,0.0486062,0.049343,-0.000736847,False,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.00231946,0.0023039,1.16189,1.16186,,,,,,,,,
7,initial_eval,7,0,False,False,0.0478069,0.0494384,-0.00163147,0.194172,0.196683,0.177847,0.180374,0.0361013,0.0370556,False,0.472466125,0.0478069,0.0494384,-0.00163147,False,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00235515,0.00231504,1.15251,1.15246,,,,,,,,,
8,initial_eval,8,1,False,False,0.048525,0.0476464,0.000878586,0.19294,0.194291,0.175554,0.176775,0.0359555,0.0364329,True,0.24862142500000003,0.048525,0.0476464,0.000878586,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00239279,0.00237261,1.14319,1.14315,,,,,,,,,
9,initial_eval,9,1,False,False,0.048135,0.0450737,0.0030613,0.186167,0.190863,0.168286,0.173024,0.0344164,0.0361959,True,0.21884825,0.048135,0.0450737,0.0030613,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00252055,0.00243576,1.14028,1.14025,,,,,,,,,
10,initial_eval,10,1,False,False,0.0491322,0.0470476,0.00208459,0.192002,0.195206,0.176307,0.179486,0.0356626,0.0368626,True,0.433850625,0.0491322,0.0470476,0.00208459,True,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.0023803,0.00232897,1.14025,1.14024,,,,,,,,,
11,initial_eval,11,1,False,False,0.0486178,0.0477944,0.000823332,0.193392,0.194658,0.178326,0.179159,0.0408401,0.0412035,True,0.41236612500000003,0.0486178,0.0477944,0.000823332,True,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00234744,0.00233415,1.14025,1.14025,,,,,,,,,
12,initial_eval,12,1,False,False,0.0476263,0.0477527,-0.000126413,0.192371,0.192177,0.175987,0.175393,0.0360581,0.0358816,False,0.2552052,0.0476263,0.0477527,-0.000126413,False,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.0023856,0.00239548,1.14027,1.14027,,,,,,,,,
13,initial_eval,13,1,False,False,0.0482309,0.0469414,0.00128951,0.19092,0.192901,0.174432,0.176344,0.0355503,0.0362787,True,0.339744875,0.0482309,0.0469414,0.00128951,True,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.00241167,0.00237969,1.14026,1.14025,,,,,,,,,
14,initial_eval,14,1,False,False,0.0475626,0.0467591,0.000803477,0.189855,0.191089,0.172602,0.173723,0.0354127,0.0358475,True,0.31750670000000003,0.0475626,0.0467591,0.000803477,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769846,0.26136,0.00244307,0.00242373,1.14026,1.14026,,,,,,,,,
15,initial_eval,15,1,False,False,0.0469521,0.0466725,0.000279584,0.189076,0.189505,0.171343,0.171494,0.0353367,0.035425,True,0.258585,0.0469521,0.0466725,0.000279584,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.00246518,0.00246249,1.14026,1.14026,,,,,,,,,
16,train,0,0,True,True,0.0470843,0.0475231,-0.0004388,0.190624,0.191298,0.17502,0.175411,0.0356564,0.0358367,False,0.41148750000000006,0.0470843,0.0475231,-0.0004388,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00240174,0.00239519,1.2,0.0257282,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
17,train,8,1,True,True,0.0454718,0.050483,-0.00501117,0.196921,0.189222,0.179793,0.167486,0.0376624,0.0345901,False,0.24862142500000003,0.0454718,0.050483,-0.00501117,False,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00232414,0.00253545,3.41303e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
18,train,1,0,True,True,0.0494079,0.04935,5.78207e-05,0.198062,0.197973,0.175302,0.177277,0.0371031,0.0369478,True,0.406035125,0.0494079,0.04935,5.78207e-05,True,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00239701,0.00236441,3.42185e-08,1.2,1.2,0.000944911,0.00160152,-0.000656612,0.00160152,0.000944911,0.000656612,0.000656612,0.00160152
19,train,9,1,True,True,0.0479124,0.0461875,0.00172492,0.188754,0.191402,0.163678,0.169501,0.0349972,0.0361711,True,0.21884825,0.0479124,0.0461875,0.00172492,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00260893,0.00249825,1.2,5.95562e-06,1.2,0.000801242,0.000947313,-0.000146071,0.000947313,0.000801242,0.000146071,0.000146071,0.000947313
20,train,2,0,True,True,0.0486817,0.0490873,-0.000405597,0.196023,0.196648,0.173461,0.176282,0.0366838,0.0368378,False,0.40224437500000004,0.0486817,0.0490873,-0.000405597,False,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00242823,0.00238071,1.2,3.42654e-08,1.2,1.04435,0.000401056,1.04395,0.000401056,1.04435,-1.04395,1.04395,1.04435
21,train,10,1,True,True,0.0467103,0.0541927,-0.00748239,0.207044,0.195514,0.183524,0.166858,0.0399579,0.0354585,False,0.433850625,0.0467103,0.0541927,-0.00748239,False,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00226691,0.00254728,3.38723e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
22,train,3,0,True,True,0.0513526,0.052924,-0.00157138,0.206164,0.208594,0.173268,0.178913,0.0381419,0.0391931,False,0.5017732500000001,0.0513526,0.052924,-0.00157138,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00243155,0.00233807,1.2,3.39439e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
23,train,11,1,True,True,0.0496108,0.057013,-0.00740229,0.216756,0.205301,0.180725,0.166132,0.0412263,0.0372453,False,0.41236612500000003,0.0496108,0.057013,-0.00740229,False,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00230957,0.00256109,3.3775e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
24,train,4,0,True,True,0.0561301,0.0543181,0.00181194,0.219266,0.216452,0.171987,0.173615,0.0404646,0.039805,True,0.6073780000000001,0.0561301,0.0543181,0.00181194,True,0.608103,0.769846,0.769846,0.645065,0.08,0.769846,0.446472,0.769846,0.00245382,0.00242558,3.38306e-08,1.2,1.2,0.000944474,0.00160152,-0.000657049,0.00160152,0.000944474,0.000657049,0.000657049,0.00160152
