cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.0498619,0.0499434,-8.15472e-05,0.199735,0.19986,0.182932,0.182954,0.0373189,0.0373405,False,0.41148750000000006,0.0498619,0.0499434,-8.15472e-05,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00227581,0.00227547,1.21988,1.21988,,,,,,,,,
1,initial_eval,1,0,False,False,0.0498633,0.0499415,-7.82019e-05,0.199736,0.199857,0.182893,0.182911,0.0373202,0.03734,False,0.406035125,0.0498633,0.0499415,-7.82019e-05,False,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00227638,0.00227612,1.21002,1.21001,,,,,,,,,
2,initial_eval,2,0,False,False,0.0499483,0.0501826,-0.000234329,0.20017,0.200531,0.183506,0.183799,0.0373951,0.0375158,False,0.40224437500000004,0.0499483,0.0501826,-0.000234329,False,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00226719,0.00226281,1.20023,1.20022,,,,,,,,,
3,initial_eval,3,0,False,False,0.0491315,0.0508463,-0.00171477,0.198749,0.201392,0.182033,0.184783,0.0368953,0.0379306,False,0.5017732500000001,0.0491315,0.0508463,-0.00171477,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00228944,0.00224824,1.19052,1.1905,,,,,,,,,
4,initial_eval,4,0,False,False,0.0498356,0.050059,-0.00022341,0.199777,0.200121,0.182946,0.183367,0.0372942,0.0374456,False,0.6073775,0.0498356,0.050059,-0.00022341,False,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.0022756,0.00226926,1.18089,1.18087,,,,,,,,,
5,initial_eval,5,0,False,False,0.0491474,0.0507883,-0.00164095,0.198736,0.201265,0.18219,0.1847,0.0369063,0.037867,False,0.545476,0.0491474,0.0507883,-0.00164095,False,0.769846,0.769842,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00228705,0.00224946,1.17134,1.17131,,,,,,,,,
6,initial_eval,6,0,False,False,0.0498603,0.0505114,-0.000651061,0.200255,0.201259,0.183728,0.184614,0.0373491,0.0377025,False,0.5985946249999999,0.0498603,0.0505114,-0.000651061,False,0.541098,0.769844,0.769842,0.700954,0.34338,0.769845,0.123952,0.769842,0.00226387,0.00225073,1.16186,1.16183,,,,,,,,,
7,initial_eval,7,0,False,False,0.0491465,0.0507843,-0.00163781,0.19873,0.201255,0.181818,0.184346,0.0369067,0.0378715,False,0.472466125,0.0491465,0.0507843,-0.00163781,False,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00229272,0.00225469,1.15246,1.15242,,,,,,,,,
8,initial_eval,8,1,False,False,0.0498616,0.0490874,0.000774249,0.197742,0.198934,0.171677,0.172548,0.0413274,0.0417631,True,0.24862142500000003,0.0498616,0.0490874,0.000774249,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00245928,0.00244401,1.14314,1.1431,,,,,,,,,
9,initial_eval,9,1,False,False,0.0495512,0.0462702,0.003281,0.190427,0.19547,0.172092,0.177031,0.0351588,0.037045,True,0.21884825,0.0495512,0.0462702,0.003281,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00245198,0.00236842,1.14029,1.14026,,,,,,,,,
